line_id,stop_order,stop_id
19461,0,1946151
19461,1,1946158
19461,2,1946212
19461,3,1946325
19461,4,1946257
19461,5,1946138
19461,6,1946596
19461,7,1946476
19461,8,19462
19461,9,19466
19461,10,1946240
19461,11,1946472
19461,12,194613
19461,13,1946172
19461,14,1946301
19461,15,1946153
19461,16,1946157
19461,17,1946156
19461,18,19468
19462,0,1946206
19462,1,1946459
19462,2,1946457
19462,3,1946252
19462,4,1946531
19462,5,1946125
19462,6,1946170
19462,7,1946589
19462,8,1946426
19462,9,1946136
19462,10,1946232
19462,11,1946414
19462,12,194618
19463,0,1946628
19463,1,1946412
19463,2,194676
19463,3,194683
19463,4,1946539
19464,0,1946600
19464,1,1946556
19464,2,1946436
19464,3,194611
19464,4,1946345
19464,5,1946309
19464,6,1946346
19464,7,1946173
19464,8,1946291
19464,9,1946232
19464,10,1946414
19464,11,194619
19465,0,1946456
19465,1,1946437
19465,2,194689
19465,3,1946189
19465,4,1946395
19465,5,1946620
19465,6,1946621
19465,7,1946427
19465,8,1946400
19465,9,1946360
19465,10,1946448
19465,11,1946588
19465,12,1946149
19466,0,1946583
19466,1,1946586
19466,2,194632
19466,3,1946142
19466,4,1946143
19466,5,1946133
19466,6,194653
19466,7,1946536
19467,0,1946527
19467,1,1946477
19467,2,1946571
19467,3,194647
19467,4,1946628
19468,0,1946482
19468,1,1946355
19468,2,194680
19468,3,1946465
19468,4,194678
19468,5,1946553
19468,6,1946134
19468,7,1946135
19468,8,1946178
19468,9,1946187
19468,10,1946336
19468,11,1946337
19468,12,1946279
19468,13,194675
19468,14,194638
19468,15,1946145
19468,16,1946601
19468,17,1946559
19469,0,1946501
19469,1,1946500
19469,2,1946499
19469,3,1946386
19469,4,1946385
19469,5,194695
19469,6,194657
19469,7,194696
19469,8,1946613
19469,9,1946614
19469,10,1946202
19469,11,194641
19469,12,194640
19469,13,1946593
19469,14,1946315
19469,15,1946350
19469,16,1946205
194610,0,19462
194610,1,1946476
194610,2,1946573
194610,3,194698
194610,4,1946120
194610,5,1946118
194611,0,1946565
194611,1,1946297
194611,2,1946284
194612,0,1946188
194612,1,1946555
194612,2,1946267
194612,3,194649
194612,4,1946605
194612,5,1946610
194612,6,1946611
194612,7,194699
194612,8,1946147
194612,9,194645
194612,10,194635
194612,11,1946199
194612,12,1946186
194612,13,1946612
194612,14,1946390
194612,15,1946391
194612,16,1946185
194612,17,1946624
194612,18,1946625
194612,19,1946183
194612,20,1946175
194613,0,1946567
194613,1,1946562
194613,2,1946582
194613,3,194687
194613,4,1946274
194613,5,1946570
194613,6,1946332
194613,7,19461
194613,8,1946130
194614,0,1946568
194614,1,19468
194614,2,19467
194614,3,194610
194614,4,194666
194614,5,1946181
194614,6,1946331
194614,7,194627
194614,8,1946248
194614,9,1946247
194615,0,1946106
194615,1,1946402
194615,2,194677
194615,3,1946394
194615,4,1946100
194615,5,1946622
194615,6,1946621
194615,7,1946428
194615,8,194623
194615,9,1946104
194615,10,1946432
194616,0,1946545
194616,1,194650
194616,2,1946445
194616,3,1946468
194616,4,1946356
194616,5,1946357
194616,6,1946558
194617,0,1946351
194617,1,1946352
194617,2,1946294
194618,0,1946107
194618,1,1946110
194618,2,1946124
194618,3,1946122
194618,4,1946227
194618,5,194664
194618,6,1946228
194618,7,1946366
194619,0,1946550
194619,1,1946126
194619,2,1946548
194619,3,1946127
194619,4,1946546
194619,5,194650
194619,6,1946445
194619,7,1946468
194619,8,1946356
194619,9,1946357
194619,10,1946253
194619,11,1946146
194619,12,194625
194619,13,194624
194619,14,1946104
194619,15,1946103
194619,16,1946432
194620,0,1946221
194620,1,1946275
194620,2,1946548
194620,3,1946115
194620,4,1946546
194620,5,194650
194620,6,1946445
194620,7,1946468
194620,8,1946356
194620,9,1946357
194620,10,1946253
194620,11,1946146
194620,12,194625
194620,13,194624
194620,14,1946104
194620,15,1946103
194620,16,1946432
194621,0,1946545
194621,1,194650
194621,2,1946445
194621,3,1946447
194621,4,1946244
194621,5,1946245
194621,6,1946446
194621,7,1946216
194621,8,1946340
194621,9,1946384
194621,10,1946448
194621,11,1946450
194621,12,1946146
194621,13,194625
194621,14,194624
194621,15,1946104
194621,16,1946432
194622,0,1946604
194622,1,1946282
194622,2,1946444
194622,3,1946452
194622,4,1946341
194622,5,1946384
194622,6,1946448
194622,7,1946450
194622,8,1946146
194622,9,194625
194622,10,194624
194622,11,1946104
194622,12,1946432
194623,0,1946373
194623,1,1946369
194623,2,194690
194623,3,194689
194623,4,1946189
194623,5,1946392
194623,6,1946100
194623,7,194648
194623,8,1946488
194623,9,1946490
194623,10,1946489
194623,11,1946566
194624,0,1946102
194624,1,1946112
194624,2,1946108
194624,3,1946460
194624,4,1946579
194624,5,1946484
194625,0,1946106
194625,1,1946402
194625,2,1946394
194625,3,1946100
194625,4,194648
194625,5,1946488
194625,6,1946491
194625,7,1946490
194625,8,1946489
194625,9,1946566
194626,0,1946514
194626,1,1946495
194626,2,1946496
194626,3,1946207
194626,4,1946114
194626,5,1946512
194626,6,1946193
194626,7,1946200
194626,8,1946462
194626,9,1946121
194626,10,1946517
194626,11,1946516
194626,12,1946518
194626,13,1946453
194627,0,1946513
194627,1,1946214
194627,2,1946403
194627,3,1946372
194627,4,1946505
194627,5,194665
194627,6,1946549
194627,7,1946387
194627,8,1946268
194627,9,1946188
194628,0,1946592
194628,1,194641
194628,2,1946191
194628,3,194685
194628,4,1946192
194628,5,1946363
194628,6,1946261
194628,7,1946424
194628,8,19464
194628,9,1946344
194628,10,1946434
194629,0,1946119
194629,1,1946519
194629,2,1946541
194629,3,1946540
194629,4,1946269
194629,5,194658
194629,6,1946537
194629,7,1946608
194629,8,1946611
194629,9,194699
194629,10,1946147
194629,11,1946238
194629,12,1946607
194630,0,1946234
194630,1,1946593
194630,2,1946235
194630,3,1946304
194630,4,194669
194630,5,1946303
194630,6,19464
194630,7,1946344
194630,8,1946434
194631,0,1946316
194631,1,1946144
194631,2,1946152
194631,3,194632
194631,4,1946405
194631,5,19464
194631,6,1946344
194631,7,1946434
194632,0,1946616
194632,1,1946380
194632,2,1946443
194632,3,194644
194632,4,194646
194632,5,1946356
194632,6,1946357
194632,7,1946558
194633,0,1946303
194633,1,194668
194633,2,1946304
194633,3,1946315
194633,4,1946230
194633,5,1946503
194633,6,194670
194633,7,19469
194633,8,1946270
194633,9,1946563
194633,10,1946271
194633,11,1946375
194634,0,1946592
194634,1,194641
194634,2,1946305
194634,3,1946203
194634,4,1946420
194634,5,194679
194634,6,1946421
194634,7,1946424
194634,8,19464
194634,9,1946344
194634,10,1946434
194635,0,1946222
194635,1,1946422
194635,2,1946423
194635,3,1946420
194635,4,194679
194635,5,1946421
194635,6,1946424
194635,7,19464
194635,8,1946344
194635,9,1946434
194636,0,1946322
194636,1,1946231
194636,2,1946528
194636,3,1946165
194636,4,1946250
194636,5,1946215
194636,6,1946410
194636,7,1946418
194636,8,1946417
194636,9,1946414
194636,10,1946312
194636,11,1946139
194636,12,1946521
194637,0,1946209
194637,1,1946368
194637,2,1946535
194637,3,1946364
194637,4,1946207
194637,5,1946381
194637,6,1946515
194637,7,1946114
194637,8,1946278
194637,9,1946408
194637,10,194612
194638,0,1946162
194638,1,194663
194638,2,1946438
194638,3,1946265
194638,4,1946342
194638,5,1946269
194638,6,194658
194638,7,1946609
194638,8,1946611
194638,9,1946211
194638,10,1946198
194639,0,1946258
194639,1,1946287
194639,2,1946288
194639,3,194662
194639,4,1946241
194639,5,1946208
194639,6,1946455
194640,0,1946323
194640,1,1946454
194640,2,1946324
194640,3,1946246
194640,4,1946231
194640,5,1946528
194640,6,1946165
194640,7,1946164
194640,8,1946263
194640,9,1946264
194640,10,1946259
194640,11,1946269
194641,0,1946344
194641,1,1946469
194641,2,1946255
194641,3,194614
194641,4,1946354
194641,5,1946533
194641,6,1946339
194643,0,194661
194643,1,1946523
194643,2,1946575
194643,3,1946479
194644,0,1946139
194644,1,1946521
194644,2,1946348
194644,3,1946359
194644,4,1946300
194644,5,1946474
194644,6,1946559
194644,7,194615
194644,8,1946298
194644,9,194656
194644,10,1946376
194644,11,1946602
194644,12,1946388
194644,13,1946594
194644,14,194616
194644,15,1946326
194644,16,1946293
194644,17,1946353
194644,18,194659
194644,19,1946174
194644,20,1946431
194645,0,1946560
194645,1,1946111
194645,2,1946299
194645,3,194628
194645,4,1946529
194645,5,1946260
194646,0,1946224
194646,1,1946507
194646,2,1946508
194646,3,1946509
194646,4,194633
194646,5,194656
194646,6,1946298
194646,7,194681
194646,8,1946376
194646,9,1946602
194646,10,1946388
194646,11,1946594
194646,12,194616
194646,13,1946326
194646,14,1946131
194646,15,1946595
194646,16,1946295
194647,0,1946328
194647,1,1946525
194647,2,1946416
194647,3,1946551
194647,4,1946497
194647,5,1946285
194647,6,1946307
194647,7,194621
194647,8,194674
194647,9,194620
194648,0,194626
194648,1,1946160
194648,2,194682
194648,3,194643
194648,4,1946166
194648,5,194620
194648,6,1946335
194648,7,1946123
194648,8,1946318
194648,9,194629
194648,10,194672
194649,0,1946373
194649,1,194689
194649,2,1946189
194649,3,1946397
194649,4,1946621
194649,5,194623
194649,6,1946104
194649,7,1946432
194650,0,1946179
194650,1,1946487
194650,2,1946419
194650,3,1946190
194650,4,1946154
194650,5,1946389
194650,6,1946561
194650,7,1946506
194650,8,1946365
194650,9,1946226
194650,10,1946552
194650,11,1946401
194650,12,1946483
194650,13,1946249
194650,14,1946606
194650,15,1946478
194650,16,1946237
194650,17,1946210
194650,18,1946599
194650,19,1946618
194650,20,1946598
194650,21,1946262
194650,22,194655
194650,23,1946430
194650,24,1946587
194650,25,1946179
194651,0,1946226
194651,1,1946365
194651,2,1946290
194651,3,194634
194651,4,1946485
