line_id,jahr,linien_name,typ,dauer (min),ost_west,frequenz,länge (km),start,ziel
19461,1946,1,autobus,,both/unkown,25,,Flughafen,Alt-Friedrichsfelde
19462,1946,1,straßenbahn,15.0,both/unkown,10,,Hackescher Markt,Anhalter Bahnhof
19463,1946,17,autobus,,both/unkown,30,,"Zehlendorf, Rathaus",Stölpchensee
19464,1946,21,straßenbahn,15.0,both/unkown,6,,Wiebestrasse,Anhalter Bhf.
19465,1946,23,straßenbahn,20.0,both/unkown,10,,Rosenthal,Fennstrasse
19466,1946,4,straßenbahn,15.0,both/unkown,7,,Warschauer Brücke,Strelitzerstrasse
19467,1946,5,autobus,,both/unkown,60,,"Steglitz, Rathaus","Zehlendorf, Rathaus"
19468,1946,6,straßenbahn,,both/unkown,12,,"Schönberg, Wartburgplatz","Treptow, Elsenstrasse"
19469,1946,8,straßenbahn,20.0,both/unkown,15,,"Seestrasse, Friedhöfe",Gürtelstrasse Ecke Frankfurter Allee
194610,1946,9,autobus,15.0,both/unkown,10,,Alexanderplatz,"Charlottenburg, Knie"
194611,1946,13,straßenbahn,30.0,both/unkown,15,,Türschmidtstrasse Ecke Karlshorster Strasse,Kraftwerk Klingenberg
194612,1946,3,straßenbahn,,both/unkown,10,,Gotzkowskystrasse,Gardepionierplatz
194613,1946,D,autobus,,both/unkown,12,,U-Bhf. Friedrichsfelde,"Dahlwitz, Kol. Waldesruh"
194614,1946,H,autobus,,both/unkown,15,,U-Bhf. Lichtenberg,Hönow
194615,1946,24,straßenbahn,20.0,both/unkown,15,,Buchholz,Ramlerstrasse
194616,1946,25,straßenbahn,,both/unkown,15,,"Tegel, Alt-Tegel",Togostrasse
194617,1946,27,autobus,30.0,both/unkown,20,,Müggelheim,"Köpenick, Krankenhaus"
194618,1946,27,straßenbahn,20.0,both/unkown,10,,Buckow,"Neukölln, Steinmetzstrasse"
194619,1946,28,straßenbahn,,both/unkown,30,,Tegelort,Ramlerstrasse
194620,1946,128,straßenbahn,,both/unkown,30,,Heiligensee,Ramlerstrasse
194621,1946,41,straßenbahn,20.0,both/unkown,15,,"Tegel, Alt-Tegel",Ramlerstrasse
194622,1946,141,straßenbahn,20.0,both/unkown,15,,"Wilhelmsruh, Hauptstrasse",Ramlerstrasse
194623,1946,47,straßenbahn,,both/unkown,10,,Nordend,U-Bahnhof Danziger Strasse
194624,1946,147,straßenbahn,,both/unkown,15,,"Britz, Rudower Strasse",Schönefeld
194625,1946,49,straßenbahn,,both/unkown,15,,Buchholz,U-Bahnhof Danziger Strasse
194626,1946,54,straßenbahn,,both/unkown,15,,"Spandau, Johannesstrift",Richard-Wagner-Platz
194627,1946,55,straßenbahn,20.0,both/unkown,6,,Spandau markt,Gotzkowskystrasse
194628,1946,60,straßenbahn,15.0,both/unkown,5,,"Weißensee, Rennbahnstrasse",Rathaus
194629,1946,62,straßenbahn,20.0,both/unkown,15,,"Charlottenburg, Königin-Elisabeht-Strasse","Wilmersdorf, Emser Platz"
194630,1946,64,straßenbahn,15.0,both/unkown,10,,"Hohenschönhausen, Degener Strasse",Rathaus
194631,1946,65,straßenbahn,,both/unkown,10,,"Lichtenberg, Scheffelstrasse",Rathaus
194632,1946,68,straßenbahn,15.0,both/unkown,7,,"Wittenau, Nordbahnhof",Togostrasse
194633,1946,69,straßenbahn,20.0,both/unkown,7,,Landsberger Allee Ecke Elbinger Strasse,"Oberschöneweide, Edisonstrass Ecke Wilhelminenhofstrasse"
194634,1946,72,straßenbahn,15.0,both/unkown,7,,"Weißensee, Rennbahnstrasse",Rathaus
194635,1946,73,straßenbahn,,both/unkown,15,,Heinersdorf,Rathaus
194636,1946,74,straßenbahn,10.0,both/unkown,5,,"Lichterfelde, Händelplatz",Spittelmarkt
194637,1946,75,straßenbahn,10.0,both/unkown,5,,Hakenfelde,Alt-Pichelsdorf
194638,1946,75,straßenbahn,,both/unkown,15,,Freybrücke,"Grunewald, Hubertusallee"
194639,1946,76,straßenbahn,,both/unkown,15,,Joachimstaler Strasse,Roseneck
194640,1946,77,straßenbahn,,both/unkown,10,,"Lichterfelde-Süde, Goerzallee Ecke Appenzeller Strasse",Kantstrasse
194641,1946,82,straßenbahn,,both/unkown,15,,Molkenmarkt,Markgrafendamm
194642,1946,83,straßenbahn,,both/unkown,20,,"Köpenick, Marienhain über Wendenschloßstrasse",Bhf. Mahlsdorf
194643,1946,86,straßenbahn,,both/unkown,20,,Bhf. Grünau,Schmöckwitz
194644,1946,87,straßenbahn,30.0,both/unkown,10,,Dönhoffplatz,Rahnsdorf
194645,1946,91,straßenbahn,,both/unkown,15,,"Treptow, Rathaus",Johannisthal
194646,1946,95,straßenbahn,15.0,both/unkown,7,,Hermannplatz,"Köpenick, Krankenhaus"
194647,1946,96,straßenbahn,,both/unkown,15,,Machnower Schleuse,Bhf. Tempelhof
194648,1946,99,straßenbahn,10.0,both/unkown,5,,Baerwaldstrasse Ecke Gneisenaustrasse,Bhf. Lichtenrade
194649,1946,199,straßenbahn,15.0,both/unkown,10,,Nordend,Ramlerstrasse
194650,1946,KBS 100,s-bahn,,both/unkown,10,,Gesundbrunnen,Gesundbrunnen
194651,1946,KBS 100a,s-bahn,,both/unkown,30,,Hermannstr.,Grünau
194652,1946,KBS 100b,s-bahn,,both/unkown,30,,Jungfernheide,Gartenfeld
194653,1946,KBS 100c,s-bahn,,both/unkown,30,,Spandau,Grünau
194654,1946,KBS 100d,s-bahn,,both/unkown,30,,Schöneweide,Spindlersfeld
194655,1946,KBS 103,s-bahn,,both/unkown,30,,Bernau,Stettiner Bahnhof
194656,1946,KBS 103,s-bahn,,both/unkown,30,,Potsdamer Platz,Lichterfelde Süd
194657,1946,KBS 104,s-bahn,,both/unkown,30,,Oranienburg,Stettiner Bahnhof
194658,1946,KBS 104a,s-bahn,,both/unkown,30,,Friedrichstr.,Dreilinden
194659,1946,KBS 105,s-bahn,60.0,both/unkown,30,,Velten,Stettiner Bahnhof
194660,1946,KBS 105a,s-bahn,40.0,both/unkown,40,,Potsdamer Platz,Rangsdorf
194661,1946,KBS 101,s-bahn,15.0,both/unkown,15,,Potsdam,Kaulsdorf
194662,1946,A,u-bahn,10.0,both/unkown,7,,"Pankow, Vinetastrasse",Wittenbergplatz
194663,1946,A1,u-bahn,10.0,both/unkown,10,,Wittenbergplatz,Ruhleben
194664,1946,A2,u-bahn,10.0,both/unkown,10,,Wittenbergplatz,Krumme Lanke
194665,1946,B,u-bahn,12.0,both/unkown,12,,Hallesches Tor,Warschauer Brücke
194666,1946,B1,u-bahn,10.0,both/unkown,10,,Innsbrucker Platz,Nollendorfplatz
194667,1946,B2,u-bahn,10.0,both/unkown,10,,Wittenbergplatz,Uhlandstrasse
194668,1946,C,u-bahn,7.0,both/unkown,6,,Seestrasse,Grenzallee
194669,1946,D,u-bahn,7.0,both/unkown,6,,Gesundbrunnen,Leinestrasse
194670,1946,E,u-bahn,10.0,both/unkown,10,,Alexanderplatz,Friedrichsfelde
194671,1946,Wannsee-Pichelsberg,fähre,120.0,both/unkown,120,,"Pichelsberg, Stössenseebrücke",Wannsee
19511,1951,1,straßenbahn,,both/unkown,12,,Hallesches Tor (Stresemannstrasse),Charlottenstrasse Ecke Unter den Linden
19512,1951,2,straßenbahn,,both/unkown,15,,Werftstrasse Ecke Alt-Moabit,Mansteinstrasse (Bhf. Großgörschenstrasse)
19513,1951,3,straßenbahn,,both/unkown,15,,Osloerstrasse Ecke Grüntalerstrasse,Hermannplatz
19514,1951,3,straßenbahn,,both/unkown,20,,Osloerstrasse Ecke Grüntalerstrasse,"Treptow, Elsenstrasse"
19515,1951,4,straßenbahn,,both/unkown,12,,Strelitzerstrasse Ecke Bernauerstrasse,Schlesisches Tor
19516,1951,6,straßenbahn,,both/unkown,15,,Kurfürstendamm Ecke Joachimstalerstrasse,Elsenstrasse Ecke Heidelbergerstrasse
19517,1951,13,straßenbahn,,both/unkown,16,,Kraftwerk Klingenberg,Leninallee Ecke Dimitroffstrasse
19518,1951,14,straßenbahn,,both/unkown,17,,Bersarinplatz,Scheffelstrasse Ecke Möllendorferstrasse
19519,1951,15,straßenbahn,,both/unkown,15,,"Marienfelde, Daimlerstrasse","Neukölln, Schulenburgpark"
195110,1951,21,straßenbahn,,both/unkown,115,,"Moabit, Wiebestrasse",Friesenstrasse Ecke Schwiebusserstrasse
195111,1951,23,straßenbahn,,both/unkown,15,,"Rosenthal, Quickbornerstrasse",Augustenburger Platz (Virchow-Krankenhaus)
195112,1951,24,straßenbahn,,both/unkown,15,,"Buchholz, Hauptstrasse",Rügenerstrasse Ecke Brunnenstrasse
195113,1951,25,straßenbahn,,both/unkown,15,,"Tegel, Alt-Tegel","Schöneberg, Gotenstrasse"
195114,1951,26,straßenbahn,,both/unkown,15,,"Görlitzer Bhf., Spreewaldplatz",Wilhelm-Borgmann Brücke
195115,1951,27,straßenbahn,,both/unkown,15,,"Neukölln, Hermannplatz","Buckow-West, Alt-Buckow"
195116,1951,28,straßenbahn,,both/unkown,30,,"Tegelort, Kurzestrasse",Rügenesrstrasse Ecke Brunnenstrasse
195117,1951,29,straßenbahn,,both/unkown,30,,"Heiligensee, Dorfaue",Rügenesrstrasse Ecke Brunnenstrasse
195118,1951,35,straßenbahn,,both/unkown,15,,Siemensstadt (Verwaltungsgebäude),"Wilhelmsruh, Hauptstrasse"
195119,1951,36,straßenbahn,,both/unkown,15,,"Wilhelmsruh, Hauptstrasse",Rügenerstrasse Ecke Brunnenstrasse
195120,1951,40,straßenbahn,,both/unkown,15,,"Dahlem, Clayallee","Steglitz, Birkbuschstrasse Ecke Siemensstrasse"
