line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30)
19461,1946,D,omnibus,"U-Bhf. Friedrichsfelde<> Dahlwitz, Kol. Waldesruh",0.0,,unified,12.0
19462,1946,Wannsee-Pichelsberg,ferry,"Pichelsberg, Stössenseebrücke<> Wannsee",0.0,,unified,120.0
19463,1946,1,omnibus,Flughafen<> Alt-Friedrichsfelde,0.0,,unified,25.0
19464,1946,8,omnibus,"Waldstr. Ecke Thälmannstr.<> Seestr., Friedhöfe",0.0,,unified,10.0
19465,1946,17,omnibus,"Zehlendorf, Rathaus<> Stölpchensee",0.0,,unified,30.0
19466,1946,5,omnibus,"Steglitz, Rathaus<> Zehlendorf, Rathaus",0.0,,unified,60.0
19467,1946,9,omnibus,"Alexanderplatz<> Charlottenburg, Knie",0.0,,unified,10.0
19468,1946,H,omnibus,U-Bhf. Lichtenberg<> Hönow,0.0,,unified,15.0
19469,1946,27,omnibus,"Müggelheim<> Köpenick, Krankenhaus",0.0,,unified,20.0
194610,1946,KBS 100,s-bahn,Gesundbrunnen<> Gesundbrunnen,0.0,,unified,10.0
194611,1946,KBS 100a,s-bahn,Hermannstr.<> Grünau,0.0,,unified,30.0
194612,1946,KBS 100b,s-bahn,Jungfernheide<> Gartenfeld,0.0,,unified,30.0
194613,1946,KBS 100c,s-bahn,Spandau<> Grünau,0.0,,unified,30.0
194614,1946,KBS 100d,s-bahn,Schöneweide<> Spindlersfeld,0.0,,unified,30.0
194615,1946,KBS 103,s-bahn,Bernau<> Stettiner Bahnhof,0.0,,unified,30.0
194616,1946,KBS 103,s-bahn,Potsdamerplatz<> Lichterfelde Süd,0.0,,unified,30.0
194617,1946,KBS 104,s-bahn,Oranienburg<> Stettiner Bahnhof,0.0,,unified,30.0
194618,1946,KBS 104a,s-bahn,Friedrichstr.<> Dreilinden,0.0,,unified,30.0
194619,1946,KBS 105,s-bahn,Velten<> Stettiner Bahnhof,0.0,,unified,30.0
194620,1946,KBS 105a,s-bahn,Potsdamerplatz<> Rangsdorf,0.0,,unified,40.0
194621,1946,KBS 101,s-bahn,Potsdam<> Kaulsdorf,0.0,,unified,15.0
194622,1946,1,tram,Hackescher Markt<> Anhalter Bahnhof,0.0,,unified,10.0
194623,1946,21,tram,Wiebestr.<> Anhalter Bhf.,0.0,,unified,6.0
194624,1946,23,tram,Rosenthal<> Fennstr.,0.0,,unified,10.0
194625,1946,4,tram,Warschauerbrücke<> Strelitzerstr.,0.0,,unified,7.0
194626,1946,6,tram,"Schönberg, Wartburgplatz<> Treptow, Elsenstr.",0.0,,unified,12.0
194627,1946,8,tram,"Seestr., Friedhöfe<> Gürtelstr. Ecke Frankfurterallee",0.0,,unified,15.0
194628,1946,13,tram,Türschmidtstr. Ecke Karlshorsterstr.<> Kraftwerk Klingenberg,0.0,,unified,15.0
194629,1946,3,tram,Gotzkowskystr.<> Gardepionierplatz,0.0,,unified,10.0
194630,1946,24,tram,Buchholz<> Ramlerstr.,0.0,,unified,15.0
194631,1946,25,tram,"Tegel, Alt-Tegel<> Togostr.",0.0,,unified,15.0
194632,1946,27,tram,"Buckow<> Neukölln, Steinmetzstr.",0.0,,unified,10.0
194633,1946,28,tram,Tegelort<> Ramlerstr.,0.0,,unified,30.0
194634,1946,128,tram,Heiligensee<> Ramlerstr.,0.0,,unified,30.0
194635,1946,41,tram,"Tegel, Alt-Tegel<> Ramlerstr.",0.0,,unified,15.0
194636,1946,141,tram,"Wilhelmsruh, Hauptstr.<> Ramlerstr.",0.0,,unified,15.0
194637,1946,47,tram,Nordend<> U-Bahnhof Danzigerstr.,0.0,,unified,10.0
194638,1946,147,tram,"Britz, Rudowerstr.<> Schönefeld",0.0,,unified,15.0
