line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30)
19611,1961,2,tram,Bernauerstr. Ecke Wollinerstr.<> Gotenstr.,60,,west,15.0
19612,1961,3,tram,Grüntalerstr. Ecke Osloerstr.<> Elsenstr. Ecke Heidelbergerstr.,87,,west,10.0
19613,1961,15,tram,Daimlerstr.<> Schulenburgpark,36,,west,15.0
19614,1961,26,tram,Spreewaldplatz<> Industriestr.,30,,west,15.0
19615,1961,27,tram,Spreewaldplatz<> Alt-Buckow Ecke Buckowerdamm,30,,west,15.0
19616,1961,47,tram,Hermannplatz<> Bahnhofstr.,34,,west,10.0
19617,1961,53,tram,Richard-Wagner-Platz<> Hakenfelde,42,,west,20.0
19618,1961,54,tram,Richard-Wagner-Platz<> Johannesstift,43,,west,20.0
19619,1961,55,tram,Nollendorfplatz<> Nauenerstr.,54,,west,12.0
196110,1961,60,tram,Königin-Elisabethstr.<> Eythstr.,49,,west,15.0
196111,1961,66,tram,Belzigerstr.<> Bergstr.,12,,west,10.0
196112,1961,73,tram,Bhf. Lichterfelde-Ost<> Potsdamerplatz,42,,west,20.0
196113,1961,74,tram,Finckensteinallee<> Potsdamerplatz,39,,west,20.0
196114,1961,75,tram,"Bhf. Zoo, Kantstr.<> Hakenfelde",59,,west,20.0
196115,1961,76,tram,"Bhf. Zoo, Kantstr.<> Johannesstift",60,,west,20.0
196116,1961,77,tram,Bhf. Zoo<> Goerzallee,49,,west,20.0
196117,1961,78,tram,Bhf. Zoo<> Lichterfelde-West Lindenstr.,48,,west,20.0
196118,1961,95,tram,Mehringplatz<> Schwarzerweg Ecke Sonnenallee,26,,west,15.0
196119,1961,96,tram,Lindenstr.<> Schwelmerstr. Ecke Ostpreußendamm,45,,west,15.0
196120,1961,A1,autobus,Waldstr. Ecke Turmstr.<> Wismarerstr.,58,,west,15.0
196121,1961,A2,autobus,"Ernst-Reuter-Platz, Straße Des 17. Juni<> Trippsteinstr.",40,,west,15.0
196122,1961,A3,autobus,"Rathaus Zehlendorf<> Stölpchensee, Wilhelmplatz",39,,west,10.0
196123,1961,A10,autobus,"Haselhorst, Kirche<> Lupsteinerweg",62,,west,10.0
196124,1961,A11,autobus,Saargemünderstr.<> Trippsteinstr.,30,,west,7.0
196125,1961,A12,autobus,Gartenstr. Ecke Bernauerstr.<> Hainbuchenstr.,54,,west,20.0
196126,1961,A13,autobus,Alt-Heiligensee<> Weinmeisterhornweg,59,,west,15.0
196127,1961,A14,autobus,Alt-Heiligensee<> Rügenerstr.,53,,west,15.0
196128,1961,A15,autobus,Lübarserstr.<> Bhf. Frohnau,41,,west,15.0
196129,1961,A16,autobus,Louise-Schroeder-Platz<> Englerallee,44,,west,10.0
196130,1961,A17,autobus,Bhf. Grunewald<> Saaleckplatz,46,,west,10.0
196131,1961,A18,autobus,Saargemünderstr.<> Kohlhasenbrück,32,,west,20.0
196132,1961,A19,autobus,Roseneck<> Flughafen,40,,west,10.0
196133,1961,A20,autobus,"Tegelort<> Lübars, Dorfaue",36,,west,15.0
196134,1961,A21,autobus,Wentowsteig<> U-Bhf. Fehrbellinerplatz,49,,west,15.0
196135,1961,A24,autobus,Wiebestr.<> Flughafen,43,,west,5.0
196136,1961,A25,autobus,Unionplatz<> Gutschmidtstr.,63,,west,10.0
196137,1961,A28,autobus,Loewenhardtdamm<> Heckmannufer,29,,west,7.0
196138,1961,A29,autobus,Roseneck<> Askanischerplatz,32,,west,10.0
196139,1961,A31,autobus,Machandelweg<> Heidebergplan,27,,west,12.0
196140,1961,A32,autobus,Breitenbachplatz<> Bhf. Marienfelde,28,,west,5.0
196141,1961,A33,autobus,Bhf. Steglitz<> Kaiserstr.,15,,west,10.0
196142,1961,A34,autobus,"Spandau, Friedhof<> Gutshof",45,,west,30.0
196143,1961,A35,autobus,Germersheimerplatz<> Hottengrund,38,,west,30.0
196144,1961,A4,autobus,Brixplatz<> Harzerstr.,56,,west,10.0
196145,1961,A48,autobus,Potsdamerstr. Ecke Fischerhüttenstr.<> Margaretenstr.,38,,west,10.0
196146,1961,A5,autobus,Machandelweg<> Waldkrankenhaus,24,,west,10.0
196147,1961,A50,autobus,Roseneck<> Pragerplatz,15,,west,10.0
196148,1961,A51,autobus,Bhf. Wannsee<> Krankenhaus Heckeshorn,10,,west,30.0
196149,1961,A52,autobus,Alt-Marienfelde<> Mimosenweg,37,,west,30.0
196150,1961,A53,autobus,Schlachtensee<> Thunerplatz,26,,west,20.0
196151,1961,A6,autobus,Bhf. Wannsee<> Glienicker Brücke,13,,west,60.0
196152,1961,A60,autobus,"Roseneck, Hundekehl<> Wittenbergplatz",25,,west,10.0
196153,1961,A61,autobus,"Zobeltitzstr.<> Gartenplatz, Feldstr.",32,,west,10.0
196154,1961,A62,autobus,Wittenau<> Wittenbergplatz,38,,west,10.0
196155,1961,A63,autobus,Radelandstr.<> Seegefelderweg,30,,west,30.0
196156,1961,A64,autobus,Bernauerstr. Ecke Wollinerstr.<> Nachtigalplatz,22,,west,10.0
196157,1961,A65,autobus,Goebelplatz<> Bhf. Sonnenallee,56,,west,10.0
196158,1961,A66,autobus,"Doppel-Süd, Berlepschstr.<> U-Bhf. Onkel-Toms-Hütte",13,,west,20.0
196159,1961,A67,autobus,"Jerusalems-Kirche, Lindenstr.<> U-Bhf. Grenzallee",25,,west,10.0
196160,1961,A68,autobus,Clayallee Ecke Königin-Luisestr.<> Bhf. Tempelhof,36,,west,15.0
196161,1961,A69,autobus,Eichkamp<> Kongreßhalle,29,,west,20.0
196162,1961,A70,autobus,"Bhf. Wollankstr.<> Wiebestr., Strassenbahnhof",28,,west,10.0
196163,1961,A71,autobus,Bhf. Wilhelmsruh<> Bernauerstr. Ecke Wollinerstr.,22,,west,15.0
196164,1961,A72,autobus,"Alt-Reinickendorf Ecke Rödernallee<> Nonnendammallee, Siemensstadt",41,,west,15.0
196165,1961,A73,autobus,Bhf. Zoo<> Buschkrug Alle Ecke Blaschko-Allee,36,,west,12.0
196166,1961,A74,autobus,Königin-Elisabethstr.<> Eythstr.,40,,west,15.0
196167,1961,A75,autobus,Munsterdamm Ecke Steglitzerdamm<> Wiener Brücke,42,,west,10.0
196168,1961,A76,autobus,Blohmstr. Ecke Wünsdorferstr.<> Platz der Luftbrücke,36,,west,10.0
196169,1961,A77,autobus,Daimlerstr.<> Platz der Luftbrücke,25,,west,10.0
196170,1961,AS1,autobus,Bhf. Zoo<> Hohenzollernring,28,,west,15.0
196171,1961,AS2,autobus,"Bhf. Zoo<> Lichtenrade, Blohmstr. Ecke Wünsdorferstr.",40,,west,20.0
196172,1961,AS3,autobus,Bhf. Zoo<> Rathaus Zehlendorf,24,,west,15.0
196173,1961,A I,u-bahn,Gleisdreieck<> Reichskanzlerplatz,18,,west,10.0
196174,1961,A II,u-bahn,Kottbusser Tor<> Krumme Lanke,36,,west,10.0
