line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30)
19641,1964,1,tram,Ostbahnhof<> Hannoverschestr.,28.0,,east,20.0
19642,1964,A1P,autobus,"Adalbertstr. Ecke Köpenickerstr.<> Alexanderplatz, Grunerstr.",6.0,,east,10.0
19643,1964,3,tram,S-Bhf. Warschauerstr.<> Björnsonstr.,45.0,,east,12.0
19644,1964,4,tram,S-Bhf. Warschauerstr.<> Eberswalderstr. Ecke Oderbergerstr.,26.0,,east,12.0
19645,1964,11,tram,Heinrich-Heine-Str.<> Am Kupfergraben,27.0,,east,20.0
19646,1964,13,tram,Hönower Wiesenweg Ecke Blockdammweg<> Oderbergerstr. Ecke Eberswalderstr.,38.0,,east,14.0
19647,1964,22,tram,"Rosenthal, Hauptstr.<> S-Bhf. Jannowitzbrücke",46.0,,east,12.0
19648,1964,46,tram,"Niederschönhausen, Schillerstr.<> Am Kupfergraben",47.0,,east,5.0
19649,1964,46P,tram,"Niederschönhausen, Idastr.<> Ossietzkyplatz",4.0,0.7,east,12.0
196410,1964,49,tram,"Buchholz, Hauptstr.<> Hackescher Markt, Große Präsidentenstr.",39.0,,east,11.0
196411,1964,63,tram,"Hohenschönhausen, Gartenstadt<> Hackescher Markt, Große Präsidentenstr.",38.0,,east,20.0
196412,1964,64,tram,"Hohenschönhausen, Falkenbergerstr.<> Dönhoffplatz",40.0,,east,20.0
196413,1964,69,tram,"Johannisthal, Haeckelstr.<> Walter-Ulbricht-Stadion",84.0,,east,20.0
196414,1964,69E,tram,"Johannisthal, Haeckelstr.<> Kniprodestr.",55.0,,east,20.0
196415,1964,70,tram,"Hohenschönhausen, Falkenbergerstr.<> Am Kupfergraben",49.0,,east,10.0
196416,1964,71,tram,"Heinersdorf, Romain-Rolland-Str.<> Jüdenstr., Molkenmarkt",32.0,,east,10.0
196417,1964,72,tram,"Weißensee, Pasedagplatz<> Taubenstr. Ecke Glinkastr.",44.0,,east,12.0
196418,1964,74,tram,"Wießensee, Pasedagplatz<> Leipzigerstr. Ecke Wilhelmstr.",37.0,,east,6.0
196419,1964,74E,tram,Klement-Gottwald-Allee Ecke Rennbahnstr.<> Spittelmarkt,28.0,,east,6.0
196420,1964,82,tram,"Mahlsdorf-Süd, Hubertus<> Walter-Ulbricht-Stadion",88.0,,east,20.0
196421,1964,A82P,autobus,Kinderheim<> Markgrafendamm,5.0,,east,20.0
196422,1964,83,tram,Wendenschloß Ecke Ekhofstr.<> S-Bhf. Mahlsdorf,44.0,,east,20.0
196423,1964,84,tram,"Am Falkenberg<> Friedrichshagen, Wasserwerk",57.0,,east,10.0
196424,1964,85,tram,"Wendenschloß<> Johannisthal, Haeckelstr.",42.0,,east,20.0
