stop_name,type,line_name,stop_id,location,identifier
Schillingbrücke (Ostbahnhof),tram,1,19560_unified,,
Stalinallee,tram,1,19561_unified,,
Leninplatz,tram,1,19562_unified,,
"Leninallee, Kleine Frankfurterstr.",tram,1,19563_unified,,
"Alexanderplatz, Memhardstr.",tram,1,19564_unified,,
"Gipsstr., U-Bhf. Weinmeisterstr.",tram,1,19565_unified,,
Rosenthalerplatz,tram,1,19566_unified,,
Brunnen Ecke Invalidenstr.,tram,1,19567_unified,,
Invalidenstr. Ecke Chausseestr.,tram,1,19568_unified,,
Oranienburger Tor,tram,1,19569_unified,,
"Weidendammbrücke, Bhf. Friedrichstr.",tram,1,195610_unified,,
Am Kupfergraben,tram,1,195611_unified,,
"Wienerstr., Spreewaldplatz",tram,2,195612_unified,,
Hermannplatz,tram,2,195613_unified,,
Südstern,tram,2,195614_unified,,
Mehringdamm,tram,2,195615_unified,,
Goebenstr. Ecke Bülowstr.,tram,2,195616_unified,,
Nollendorfplatz,tram,2,195617_unified,,
Wittenbergplatz,tram,2,195618_unified,,
Bhf. Zoo,tram,2,195619_unified,,
Am Knie,tram,2,195620_unified,,
Gotzkowskystr. Ecke Turmstr.,tram,2,195621_unified,,
Turmstr. Ecke Rathenowerstr.,tram,2,195622_unified,,
Fennbrücke,tram,2,195623_unified,,
Weddingplatz,tram,2,195624_unified,,
Usedomerstr.,tram,2,195625_unified,,
Bernauerstr. Ecke Wollinerstr.,tram,2,195626_unified,,
Mühlenstr.,tram,3,195627_unified,,
Bhf. Warschauer Brücke,tram,3,195628_unified,,
Boxhagenerstr.,tram,3,195629_unified,,
"Bhf. Stalineallee, Gürtelstr.",tram,3,195630_unified,,
Rathaus Lichtenberg,tram,3,195631_unified,,
Roederplatz,tram,3,195632_unified,,
Landsbergerchaussee Ecke Weißenseerweg,tram,3,195633_unified,,
Hohenschönhauserstr.,tram,3,195634_unified,,
Klement-Gottwald-Allee/Lichtenbergerstr.,tram,3,195635_unified,,
Antonplatz,tram,3,195636_unified,,
Prenzlauer Promenade Ecke Gustav-Adolfstr.,tram,3,195637_unified,,
Schönhauserallee,tram,3,195638_unified,,
Björnsonstr.,tram,3,195639_unified,,
"Neukölln, Hermannplatz",tram,3,195640_unified,,
Südstern,tram,3,195641_unified,,
Zosenerstr. Ecke Gneisenaustr.,tram,3,195642_unified,,
Mehringdamm,tram,3,195643_unified,,
Potsdamerstr.,tram,3,195644_unified,,
Martin-Lutherstr.,tram,3,195645_unified,,
Bundesallee Ecke Berlinerstr.,tram,3,195646_unified,,
Fehrbellinerplatz,tram,3,195647_unified,,
Kurfürstendamm Ecke Brandenburgischestr.,tram,3,195648_unified,,
Kantstr. Ecke Wilmersdorferstr.,tram,3,195649_unified,,
Wilmersdorferstr. Ecke Berlinerstr.,tram,3,195650_unified,,
Luisenplatz,tram,3,195651_unified,,
Osnabrückerstr. Ecke Tauroggenerstr.,tram,3,195652_unified,,
Gotzkowskystr. Ecke Turmstr.,tram,3,195653_unified,,
Plötzensee,tram,3,195654_unified,,
U-Bhf. Seestr.,tram,3,195655_unified,,
Oskarplatz,tram,3,195656_unified,,
Prinzenallee Ecke Osloerstr.,tram,3,195657_unified,,
Grüntalerstr. Ecke Osloerstr.,tram,3,195658_unified,,
Mühlenstr.,tram,4,195659_unified,,
Bhf. Warschauer Brücke,tram,4,195660_unified,,
Grünbergerstr.,tram,4,195661_unified,,
Frankfurter Tor/Stalinallee,tram,4,195662_unified,,
Bersarinplatz,tram,4,195663_unified,,
Leninallee,tram,4,195664_unified,,
Paul-Heysestr.,tram,4,195665_unified,,
Arnswalderplatz,tram,4,195666_unified,,
Greifswalderstr.,tram,4,195667_unified,,
Prenzlauerallee,tram,4,195668_unified,,
U-Bhf. Dimitroffstr.,tram,4,195669_unified,,
Oderbergerstr.,tram,4,195670_unified,,
Bhf. Zoo,tram,6,195671_unified,,
Wittenbergplatz,tram,6,195672_unified,,
Grunewaldstr. Ecke Martin-Lutherstr.,tram,6,195673_unified,,
Rathaus Schöneberg,tram,6,195674_unified,,
Hauptstr.,tram,6,195675_unified,,
Alboinstr. Ecke Schönebergerstr.,tram,6,195676_unified,,
Tempelhoferdamm Ecke Alt-Tempelhof,tram,6,195677_unified,,
Oberlandstr. Ecke Germaniastr.,tram,6,195678_unified,,
Gottlieb-Dunkelstr. Ecke Germaniastr.,tram,6,195679_unified,,
Britzerdamm Ecke Blaschkoallee,tram,6,195680_unified,,
Buschkrug,tram,6,195681_unified,,
U-Bhf. Grenzallee,tram,6,195682_unified,,
U-Bhf. Neukölln,tram,6,195683_unified,,
U-Bhf. Rathaus Neukölln,tram,6,195684_unified,,
Elsenstr. Ecke Heidelbergerstr.,tram,6,195685_unified,,
Köpenickerstr. Ecke Adalbertstr.,tram,11,195686_unified,,
U-Bhf. Neanderstr.,tram,11,195687_unified,,
Bhf. Jannowitzbrücke,tram,11,195688_unified,,
"Alexanderplatz, Memhardstr.",tram,11,195689_unified,,
U-Bhf. Weinmeisterstr.,tram,11,195690_unified,,
Rosenthalerplatz,tram,11,195691_unified,,
Brunnen Ecke Invalidenstr.,tram,11,195692_unified,,
Invalidenstr. Ecke Chausseestr.,tram,11,195693_unified,,
Oranienburger Tor,tram,11,195694_unified,,
Hannoverschestr.,tram,11,195695_unified,,
"Klingenberg, Blockdammweg",tram,13,195696_unified,,
Kraftwerk Klingenberg,tram,13,195697_unified,,
"Saganerstr., Güterbahn",tram,13,195698_unified,,
"Klingenberg, Hauptstr.",tram,13,195699_unified,,
Holteistr.,tram,13,1956100_unified,,
Boxhagenerstr.,tram,13,1956101_unified,,
Frankfurter Tor/Stalinallee,tram,13,1956102_unified,,
Bersarinplatz,tram,13,1956103_unified,,
Leninallee,tram,13,1956104_unified,,
Paul-Heysestr.,tram,13,1956105_unified,,
Arnswalderplatz,tram,13,1956106_unified,,
Greifswalderstr.,tram,13,1956107_unified,,
Prenzlauerallee,tram,13,1956108_unified,,
U-Bhf. Dimitroffstr.,tram,13,1956109_unified,,
Oderbergerstr.,tram,13,1956110_unified,,
Daimlerstr.,tram,15,1956111_unified,,
Bhf. Marienfelde,tram,15,1956112_unified,,
Mariendorferdamm Ecke Alt-Mariendorf,tram,15,1956113_unified,,
Imbrosweg,tram,15,1956114_unified,,
Mariendorfer Friedhof,tram,15,1956115_unified,,
Industriestr.,tram,15,1956116_unified,,
Germaniastr. Ecke Gottlieb-Dunkelstr.,tram,15,1956117_unified,,
Frauenklinik,tram,15,1956118_unified,,
Hermannstr. Ecke Hertastr.,tram,15,1956119_unified,,
U-Bhf. Neukölln,tram,15,1956120_unified,,
Richardstr.,tram,15,1956121_unified,,
Bhf. Sonnenallee,tram,15,1956122_unified,,
Dammweg,tram,15,1956123_unified,,
Schulenburgpark,tram,15,1956124_unified,,
Bhf. Rosenthal,tram,22,1956125_unified,,
"Rosenthal, Siedlung",tram,22,1956126_unified,,
Nordendstr.,tram,22,1956127_unified,,
Kurt-Fischer-Platz,tram,22,1956128_unified,,
"Breitestr., Pankow, Rathaus",tram,22,1956129_unified,,
"Pankow, Kirche",tram,22,1956130_unified,,
"S-Bhf. Pankow, Florastr.",tram,22,1956131_unified,,
U-Bhf. Vinetastr.,tram,22,1956132_unified,,
S-Bhf. Schönhauserallee,tram,22,1956133_unified,,
"Eberswalderstr., U-Bhf. Dimitroffstr.",tram,22,1956134_unified,,
Zionskirchstr.,tram,22,1956135_unified,,
Rosenthalerplatz,tram,22,1956136_unified,,
Memhardtstr. Ecke Liebknechtstr.,tram,22,1956137_unified,,
"Alexanderplatz, Grunerstr.",tram,22,1956138_unified,,
Elisabethstr.,tram,22,1956139_unified,,
Bhf. Wollankstr.,tram,23,1956140_unified,,
Osloerstr. Ecke Prinzenallee,tram,23,1956141_unified,,
Badstr. Ecke Prinzenallee,tram,23,1956142_unified,,
Nettelbeckplatz,tram,23,1956143_unified,,
Weddingplatz,tram,23,1956144_unified,,
Fennbrücke,tram,23,1956145_unified,,
Augustenburgerplatz,tram,23,1956146_unified,,
Birkenstr. Ecke Pulitzstr.,tram,23,1956147_unified,,
Stromstrase Ecke Turmstr.,tram,23,1956148_unified,,
Turmstr. Ecke Gotzkowskystr.,tram,23,1956149_unified,,
"Moabit, Zwinglistr.",tram,23,1956150_unified,,
Bhf. Wollankstr.,tram,24,1956151_unified,,
Osloerstr. Ecke Prinzenallee,tram,24,1956152_unified,,
Prinzenallee Ecke Badstr.,tram,24,1956153_unified,,
Bhf. Gesundbrunnen,tram,24,1956154_unified,,
Rügenerstr. Ecke Brunnenstr.,tram,24,1956155_unified,,
Brunnenstr. Ecke Bernauerstr.,tram,24,1956156_unified,,
Bernauerstr. Ecke Wollinerstr.,tram,24,1956157_unified,,
"Tegel, Alt-Tegel",tram,25,1956158_unified,,
Bernauerstr. Ecke Berlinerstr.,tram,25,1956159_unified,,
Eichborndamm Ecke Scharnweberstr.,tram,25,1956160_unified,,
Kurt-Schuhmacher-Platz,tram,25,1956161_unified,,
"Londonerstr., Strassenbahnhof",tram,25,1956162_unified,,
Seestr. Ecke Müllerstr.,tram,25,1956163_unified,,
Weddingplatz,tram,25,1956164_unified,,
Kriminalgericht,tram,25,1956165_unified,,
Stromstr. Ecke Turmstr.,tram,25,1956166_unified,,
Turmstr. Ecke Gotzkowskystr.,tram,25,1956167_unified,,
U-Bhf. Ernst-Reuter-Platz,tram,25,1956168_unified,,
Bhf. Zoo,tram,25,1956169_unified,,
Wittenbergplatz,tram,25,1956170_unified,,
Grunewaldstr. Ecke Martin-Lutherstr.,tram,25,1956171_unified,,
Badenschestr. Ecke Martin-Lutherstr.,tram,25,1956172_unified,,
Rathaus Schöneberg (Belzigerstr.),tram,25,1956173_unified,,
Dominicusstr. Ecke Hauptstr.,tram,25,1956174_unified,,
Kaiser-Wilhelm-Platz,tram,25,1956175_unified,,
"Schöneberg, Gotenstr.",tram,25,1956176_unified,,
Spreewaldplatz,tram,26,1956177_unified,,
Reichenbergerstr.,tram,26,1956178_unified,,
Glogauerstr.,tram,26,1956179_unified,,
Sonnenallee,tram,26,1956180_unified,,
Hermannplatz,tram,26,1956181_unified,,
Weichselstr.,tram,26,1956182_unified,,
Rathaus Neukölln,tram,26,1956183_unified,,
Karl-Marxstr.-Station,tram,26,1956184_unified,,
U-Bhf. Neukölln,tram,26,1956185_unified,,
Hermannstr. Ecke Hertastr.,tram,26,1956186_unified,,
Germaniastr. Ecke Gottlieb-Dunkelstr.,tram,26,1956187_unified,,
"Tempelhof, Industriestr.",tram,26,1956188_unified,,
"Neukölln, Hermannplatz",tram,27,1956189_unified,,
U-Bhf. Boddinstr.,tram,27,1956190_unified,,
Bhf. Hermannstr.,tram,27,1956191_unified,,
Gradestr.,tram,27,1956192_unified,,
