stop_name,type,line_name,stop_id,location,identifier
Daimlerstr.,tram,15,19640_west,,
Großbeerenstr. Ecke Lankwitzerstr.,tram,15,19641_west,,
Körtingstr.,tram,15,19642_west,,
Mariendorferdamm,tram,15,19643_west,,
Imbrosweg,tram,15,19644_west,,
Mariendorfer Friedhof,tram,15,19645_west,,
Industriestr.,tram,15,19646_west,,
Germaniastr.,tram,15,19647_west,,
Frauenklinik,tram,15,19648_west,,
Hermannstr.,tram,15,19649_west,,
U-Bhf. Neukölln,tram,15,196410_west,,
Richardstr.,tram,15,196411_west,,
Saalestr. Ecke Sonnenallee,tram,15,196412_west,,
Dammweg,tram,15,196413_west,,
Schulenburgpark,tram,15,196414_west,,
Gradestr. Ecke Tempelhoferweg,tram,47,196415_west,,
U-Bhf. Blaschko-Allee,tram,47,196416_west,,
Buschkrug,tram,47,196417_west,,
Onkel-Herse-Str.,tram,47,196418_west,,
Parachimerallee Ecke Buschkrugallee,tram,47,196419_west,,
Grünerweg Ecke Buschkrugallee,tram,47,196420_west,,
Krankenhaus Neukölln,tram,47,196421_west,,
Johannisthalerchaussee Ecke Rudowerstr.,tram,47,196422_west,,
Wildmeisterdamm Ecke Neuköllnerstr.,tram,47,196423_west,,
Stubenrauchstr.,tram,47,196424_west,,
Köpenickerstr. Ecke Neuköllnerstr.,tram,47,196425_west,,
Große-Ziethenchaussee Ecke Waltersdorferchaussee,tram,47,196426_west,,
Richard-Wagner-Platz,tram,53,196427_west,,
Luisenplatz,tram,53,196428_west,,
Klausenerplatz,tram,53,196429_west,,
Königin-Elisabeth-Str.,tram,53,196430_west,,
Kirschenallee,tram,53,196431_west,,
Schloss Ruhwald,tram,53,196432_west,,
U-Bhf. Ruhleben,tram,53,196433_west,,
Teltowerstr.,tram,53,196434_west,,
Freiheit,tram,53,196435_west,,
"Spandau, Markt",tram,53,196436_west,,
Hafenplatz,tram,53,196437_west,,
Lynastr. Ecke Neuendorferstr.,tram,53,196438_west,,
Hohenzollernring,tram,53,196439_west,,
Hakenfelde,tram,53,196440_west,,
Richard-Wagner-Platz,tram,54,196441_west,,
Luisenplatz,tram,54,196442_west,,
Klausenerplatz,tram,54,196443_west,,
Königin-Elisabeth-Str.,tram,54,196444_west,,
Kirschenallee,tram,54,196445_west,,
Schloss Ruhwald,tram,54,196446_west,,
U-Bhf. Ruhleben,tram,54,196447_west,,
Teltowerstr.,tram,54,196448_west,,
Freiheit,tram,54,196449_west,,
"Spandau, Markt",tram,54,196450_west,,
Hafenplatz,tram,54,196451_west,,
Lynastr. Ecke Neuendorferstr.,tram,54,196452_west,,
Hohenzollernring,tram,54,196453_west,,
Johannesstift,tram,54,196454_west,,
Bhf. Zoo,tram,55,196455_west,,
U-Bhf. Ernst-Reuter-Platz,tram,55,196456_west,,
