stop_name,type,line_name,stop_id,location,identifier
Revalerstr.,tram,3,19670_east,,
Warschauerstr.,tram,3,19671_east,,
Holteistr. Ecke Boxhagenerstr.,tram,3,19672_east,,
Bhf. Frankfurterallee,tram,3,19673_east,,
Roederplatz,tram,3,19674_east,,
Hohenschönhauserstr.,tram,3,19675_east,,
Lichtenbergerstr.,tram,3,19676_east,,
Antonplatz,tram,3,19677_east,,
Prenzlauer Promenade,tram,3,19678_east,,
Schönhauserallee,tram,3,19679_east,,
Björnsonstr.,tram,3,196710_east,,
Markusstr.,tram,4,196711_east,,
Ostbahnhof,tram,4,196712_east,,
Mühlenstr.,tram,4,196713_east,,
Revalerstr.,tram,4,196714_east,,
Grünbergerstr.,tram,4,196715_east,,
Frankfurter Tor,tram,4,196716_east,,
Bersarinplatz,tram,4,196717_east,,
Leninallee,tram,4,196718_east,,
Kniprodestr.,tram,4,196719_east,,
Greifswalderstr.,tram,4,196720_east,,
Prenzlauerallee,tram,4,196721_east,,
U-Bhf. Dimitroffstr.,tram,4,196722_east,,
Eberswalderstr. Ecke Oderbergerstr.,tram,4,196723_east,,
Hönower Wiesenweg Ecke Blockdammweg,tram,13,196724_east,,
Kraftwerk Klingenberg,tram,13,196725_east,,
S-Bhf. Rummelsburg,tram,13,196726_east,,
Holteistr. Ecke Boxhagenerstr.,tram,13,196727_east,,
Frankfurter Tor,tram,13,196728_east,,
Bersarinplatz,tram,13,196729_east,,
Leninallee,tram,13,196730_east,,
Kniprodestr.,tram,13,196731_east,,
Greifswalderstr.,tram,13,196732_east,,
Prenzlauerallee,tram,13,196733_east,,
U-Bhf. Dimitroffstr.,tram,13,196734_east,,
Oderbergerstr. Ecke Eberswalderstr.,tram,13,196735_east,,
"Rosenthal, Hauptstr.",tram,22,196736_east,,
Nordendstr.,tram,22,196737_east,,
Kurt-Fischer-Platz,tram,22,196738_east,,
"Pankow, Rathaus",tram,22,196739_east,,
"Pankow, Kirche",tram,22,196740_east,,
U-Bhf. Vinetastr.,tram,22,196741_east,,
Bornholmerstr. Ecke Schönhauserallee,tram,22,196742_east,,
S-Bhf. Schönhauserallee,tram,22,196743_east,,
U-Bhf. Dimitroffstr.,tram,22,196744_east,,
