stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Invalidenstr. Ecke Chausseestr.,tram,1,19645_east,,,,,,,,,
Holteistr. Ecke Boxhagenerstr.,tram,3,196413_east,,,,,,,,,
Eberswalderstr. Ecke Oderbergerstr.,tram,4,196432_east,,,,,,,,,
Brunnenstr. Ecke Invalidenstr.,tram,11,196437_east,,,,,,,,,
"Niederschönhausen, Schillerstr.",tram,46,196464_east,,,,,,,,,
"Hackescher Markt, Große Präsidentenstr.",tram,49,196490_east,,,,,,,,,
"Hohenschönhausen, Hauptstr.",tram,63,196493_east,,,,,,,,,
"Hohenschönhausen, Hauptstr.",tram,64,1964102_east,,,,,,,,,
"Johannisthal, Haeckelstr.",tram,69,1964112_east,,,,,,,,,
"Johannisthal, Haeckelstr.",tram,69E,1964130_east,,,,,,,,,
Hochschule Für Ökonomie,tram,69E,1964134_east,,,,,,,,,
"Hohenschönhausen, Falkenbergerstr.",tram,70,1964145_east,,,,,,,,,
Prenzlauerallee Ecke Wisbyerstr.,tram,71,1964161_east,,,,,,,,,
"Alexanderplatz, Grunerstr.",tram,71,1964166_east,,,,,,,,,
Lindenstr. Ecke Hegelschule,tram,82,1964202_east,,,,,,,,,
Wilhelminenhofstr. Ecke Edisonstr.,tram,82,1964204_east,,,,,,,,,
Friedrich-Junge-Str.,autobus,A82P,1964217_east,,,,,,,,,
Seelenbinderstr. Ecke Bahnhofstr.,tram,84,1964235_east,,,,,,,,,
Lindenstr. Ecke Hegelschule,tram,85,1964244_east,,,,,,,,,
Lindenstr. Ecke Bahnhofstr.,tram,86,1964256_east,,,,,,,,,
Bahnhofstr. Ecke Lindenstr.,tram,87,1964265_east,,,,,,,,,
"Hessenwinkel, Lindenstr.",autobus,A22,1964290_east,,,,,,,,,
"Wilhelmsruh, Fontanestr.",autobus,A45,1964350_east,,,,,,,,,
Strasse Nach Wartenberg,autobus,A46,1964365_east,,,,,,,,,
"Malchow, Dorfstr.",autobus,A46,1964370_east,,,,,,,,,
"Wilhelmsruh, Fontanestr.",autobus,A55,1964390_east,,,,,,,,,
Hauptstr. Ecke Edelweißstr.,autobus,A55,1964391_east,,,,,,,,,
Gustav-Adolf-Str. Ecke Rennbahnstr.,autobus,A55,1964401_east,,,,,,,,,
Große Seestr. Ecke Klement-Gottwald-Allee,autobus,A55,1964402_east,,,,,,,,,
"Weißensee, Liebermannstr. Ecke Piesporterstr.",autobus,A55,1964403_east,,,,,,,,,
"Blankenfelde, Hauptstr.",autobus,A7E,1964442_east,,,,,,,,,
"Alt-Biesdorf, Oberfeldstr.",autobus,A8E,1964457_east,,,,,,,,,
"Bohnsdorf, Waldstr.",autobus,AD,1964473_east,,,,,,,,,
"Bonsdorf, Waldstr.",autobus,A38,1964481_east,,,,,,,,,
Königstor,omnibus,O30,1964636_east,,,,,,,,,
Bhf. Lichtenberg,omnibus,O37,1964645_east,,,,,,,,,
Küstrinerplatz,omnibus,O40,1964647_east,,,,,,,,,
Stalinallee,omnibus,O40,1964648_east,,,,,,,,,
"Bohnsdorf, Waldstr.",autobus,A38,1964678_east,,,,,,,,,
