stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
"Weverstr., Strassenbahnhof",tram,75,196477_west,"52.519459527111046, 13.197822549118774",,,,,,,,
"Weverstr., Strassenbahnhof",tram,76,196493_west,"52.519459527111046, 13.197822549118774",,,,,,,,
Schwarzerweg Ecke Sonnenallee,tram,95,1964110_west,"52.46265165359281, 13.476230141231621",,,,,,,,
Hermsdorferdamm Ecke Berlinerstr.,autobus,A12S,1964228_west,"52.62241286679181, 13.312883321618846",,,,,,,,
Grünerweg Ecke Buschkrugallee,autobus,A25,1964404_west,"52.44268761836162, 13.456304823519407",,,,,,,,
Goebenstr./Pallasstr.,autobus,A48,1964539_west,"52.4943472315569, 13.361063999097778",,,,,,,,
Lichtenraderdamm Ecke Marienfelderchaussee,autobus,A52,1964577_west,"52.414554931998765, 13.40115358385731",,,,,,,,
Tempelhoferdamm Ecke Alt-Tempelhof,autobus,A65,1964705_west,"52.46589619018799, 13.385602860994416",,,,,,,,
"Wiebestr., Strassenbahnhof",autobus,A70,1964783_west,"52.53099512694085, 13.317858101372044",,,,,,,,
Hauptstr. (Schöneberg),autobus,A74,1964840_west,"52.48179683663353, 13.3483402010736",,,,,,,,
Mariendorferdamm Ecke Tauernallee,autobus,A76,1964865_west,"52.42330967186811, 13.396205773325258",,,,,,,,
Platz Der Luftbrücke,autobus,A76,1964874_west,"52.48492678732321, 13.385968787086389",,,,,,,,
Platz Der Luftbrücke,autobus,A78,1964900_west,"52.48492678732321, 13.385968787086389",,,,,,,,
Grüntalerstr. Ecke Osloerstr.,autobus,A89,19641012_west,"52.55530184187219, 13.391417307587414",,,,,,,,
Saatwinklerdamm Ecke Seestr.,autobus,A89,19641017_west,"52.538172955011504, 13.32616463303528",,,,,,,,
Britzerdamm Ecke Tempelhoferweg,autobus,A91,19641049_west,"52.44890388355846, 13.436230665911511",,,,,,,,
Saatwinklerdamm Ecke Seestr.,autobus,A99,19641071_west,"52.538172955011504, 13.32616463303528",,,,,,,,
Görlitzer Bahnhof (Oranienstr.),u-bahn,A I,19641142_west,"52.499214906768366, 13.426735401216105",,,,,,,,
Deutsche Oper (Bismarckstr.),u-bahn,A III,19641180_west,"52.511759463561674, 13.309092210197061",,,,,,,,
