stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
"Moabit, Waldstr. Ecke Turmstr.",autobus,A1,19670_west,,,,,,,,,
Pacelli/theilallee,autobus,A1,19677_west,,,,,,,,,
Clayallee Ecke Königin-Luise-Str.,autobus,A1,19678_west,,,,,,,,,
Lindenstr. Ecke Müllerstr.,autobus,A1,196714_west,,,,,,,,,
Spichernstr. Ecke Joachimstalerstr.,autobus,A2,196716_west,,,,,,,,,
Schloßstr. Ecke Feuerbachstr.,autobus,A2,196720_west,,,,,,,,,
Alsenstr. Ecke Feuerbachstr.,autobus,A2,196721_west,,,,,,,,,
Leonorenstr. Ecke Albrechstr.,autobus,A2,196724_west,,,,,,,,,
Sonderhauserstr. Ecke Hildburghauserstr.,autobus,A2,196729_west,,,,,,,,,
Winifriedstr. Ecke Clayallee,autobus,A3,196731_west,,,,,,,,,
Benschallee Ecke Potsdamerchaussee,autobus,A3,196736_west,,,,,,,,,
Borussenstr. Ecke Kronprizessinnenweg,autobus,A3,196738_west,,,,,,,,,
Berlinerstr. Ecke Unter Den Eichen,autobus,A10,196756_west,,,,,,,,,
Daimlerstr. Ecke Großbeerenstr.,autobus,A11,196772_west,,,,,,,,,
Körtingstr. Ecke Großbeerenstr.,autobus,A11,196773_west,,,,,,,,,
Grenzstr. Ecke Gerichtstr.,autobus,A12,196776_west,,,,,,,,,
Tessenowstr. Ecke Oranienburgerstr.,autobus,A12,196782_west,,,,,,,,,
Waidmannslusterdamm Ecke Oraniendamm,autobus,A12,196785_west,,,,,,,,,
Hainbuchenstr. Ecke Kastanienallee,autobus,A12,196790_west,,,,,,,,,
Karolinenstr. Ecke Ruppinerchaussee,autobus,A13,196793_west,,,,,,,,,
Carl-Schurz-Str. Ecke Neuendorferstr.,autobus,A13,1967100_west,,,,,,,,,
Seebugerstr. Ecke Pichelsdorferstr.,autobus,A13,1967102_west,,,,,,,,,
Heiligenseestr. Ecke Ruppinerchaussee,autobus,A14,1967110_west,,,,,,,,,
Aroserallee Ecke Lindauerallee,autobus,A14,1967115_west,,,,,,,,,
Pankstr. Ecke Badstr.,autobus,A14,1967118_west,,,,,,,,,
"Gemendefriedhof, Sandhauserstr.",autobus,A14E,1967124_west,,,,,,,,,
Sperberstr. Ecke Sandhauserstr.,autobus,A14E,1967125_west,,,,,,,,,
Breitenbachstr. Ecke Eichborndamm,autobus,A15,1967130_west,,,,,,,,,
Ernststr. Ecke Conradstr.,autobus,A15,1967132_west,,,,,,,,,
Birkenstr. Ecke Perlebergerstr.,autobus,A16,1967148_west,,,,,,,,,
Morgensternstr. Ecke Wilhelmstr.,autobus,A17,1967172_west,,,,,,,,,
Bülowstr. Ecke Potsdamerstr.,autobus,A19,1967195_west,,,,,,,,,
Heiligenseestr. Ecke Konradshöherstr.,autobus,A20,1967204_west,,,,,,,,,
Drk-Krankenhaus,autobus,A21,1967223_west,,,,,,,,,
Finisterwegstr. Ecke Eichhorsterweg,autobus,A21E,1967233_west,,,,,,,,,
Schorfheidestr. Ecke Wilhelmsruherdamm,autobus,A21E,1967234_west,,,,,,,,,
Tramperweg Ecke Dannenwalderweg,autobus,A21E,1967235_west,,,,,,,,,
Stromstr. Ecke Turmstr.,autobus,A24,1967239_west,,,,,,,,,
"Bhf. Zoo, Jebensstr.",autobus,A25,1967257_west,,,,,,,,,
Gottlieb-Dunkel-Str. Ecke Germaniastr.,autobus,A25,1967264_west,,,,,,,,,
Grünerweg Ecke Buschkrugallee,autobus,A25,1967267_west,,,,,,,,,
Boelckestr. Ecke Manteuffelstr.,autobus,A28,1967269_west,,,,,,,,,
Joachim-Friedrich-Str. Ecke Kurfürstendamm,autobus,A29,1967287_west,,,,,,,,,
Uhlandstr. Ecke Kurfürstendamm,autobus,A29,1967290_west,,,,,,,,,
Lützowstr. Ecke Potsdamerstr.,autobus,A29,1967295_west,,,,,,,,,
Leonorenstr. Ecke Kaiser-Wilhelm-Str.,autobus,A32,1967307_west,,,,,,,,,
