stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Schillingbrücke (Ostbahnhof),tram,1,19600_unified,"52.51050795350326, 13.430220315575571",,,,,,,,1956944.0
U-Bhf. Strausbergerplatz,tram,1,19601_unified,"52.51808306742478, 13.432938339097822",,,,,,,,19601256.0
Stalinallee,tram,1,19602_unified,"52.51808306742478, 13.432938339097822",,,,,,,,19601138.0
Leninplatz,tram,1,19603_unified,"52.5232658,13.4326457",Q65553105,,,,,,,1960704.0
"Alexanderplats, Memhardstr.",tram,1,19604_unified,"52.5233439,13.4110773",Q65227406,,,,,,,196011.0
Rosenthalerplatz,tram,1,19605_unified,"52.5301769,13.4016121",Q65093945,,,,,,,1960991.0
Brunnen Ecke Invalidenstr.,tram,1,19606_unified,"52.5324542,13.3974236",Q65691740,,,,,,,1960232.0
Invalidenstr. Ecke Chausseestr.,tram,1,19607_unified,"52.5304158,13.3827302",Q65552697,,,,,,,1960562.0
"Weidendammbrücke, Bhf. Friedrichstr.",tram,1,19608_unified,"52.521693018839535, 13.387977713287484",,,,,,,,19561179.0
Am Kupfergraben,tram,1,19609_unified,"52.5194208,13.3953839",Q65055027,,,,,,,196041.0
Köpenickerstr. Ecke Adalbertstr.,tram,11,196010_unified,"52.50851870094253, 13.425367474591651",,,,,,,,1960684.0
Bhf. Jannowitzbrücke,tram,11,196011_unified,"52.51476676652865, 13.417918697531025",,,,,,,,1956122.0
"Alexanderplatz, Memhardstr.",tram,11,196012_unified,"52.5233439,13.4110773",Q65227406,,,,,,,196016.0
Rosenthalerplatz,tram,11,196013_unified,"52.5301769,13.4016121",Q65093945,,,,,,,1960991.0
Brunnen Ecke Invalidenstr.,tram,11,196014_unified,"52.5324542,13.3974236",Q65691740,,,,,,,1960232.0
Invalidenstr. Ecke Chausseestr.,tram,11,196015_unified,"52.5304158,13.3827302",Q65552697,,,,,,,1960562.0
"Oranienburger Tor, Hannoverschestr.",tram,11,196016_unified,"52.52693581242043, 13.384570821924626",,,,,,,,1960849.0
"Klingenberg, Blockdammweg",tram,13,196017_unified,"52.4842462,13.5104609",Q66085182,,,,,,,1960619.0
Karlshorsterstr.,tram,13,196018_unified,"52.502334098187674, 13.475466875195085",,,,,,,,1960598.0
Holteistr.,tram,13,196019_unified,"52.5088235,13.465969",Q65675805,,,,,,,1960540.0
Frankfurter Tor/Stalinallee,tram,13,196020_unified,"52.5153903,13.4540172",Q65706246,,,,,,,1960359.0
