stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Daimlerstr.,tram,15,19640_west,"52.42636276,13.37438168",,52.42636276,13.37438168,90,Großbeerenstr. Ecke Daimlerstr.,19651_west,['15'],
Körtingstr.,tram,15,19642_west,"52.43481353,13.37831564",,52.43481353,13.37831564,90,Körtingstr. Ecke Großbeerenstr.,19652_west,['15'],
Mariendorferdamm,tram,15,19643_west,"52.44016815,13.38730997",,52.44016815,13.38730997,90,Mariendorferdamm Ecke Alt-Mariendorf,19653_west,['15'],
Imbrosweg,tram,15,19644_west,"52.44352627,13.39862544",,52.44352627,13.39862544,90,Imbrosweg Ecke Rixdorferstr.,19654_west,['15'],
Mariendorfer Friedhof,tram,15,19645_west,"52.44953069256824, 13.404755931664896",,,,,,,,1964776.0
Industriestr.,tram,15,19646_west,"52.45533607,13.40989571",,52.45533607,13.40989571,90,Industriestr. Ecke Gottlieb-Dunkel-Str.,19656_west,['15'],
Germaniastr.,tram,15,19647_west,"52.46053987,13.41805889",,52.46053987,13.41805889,90,Germaniastr. Ecke Gottlieb-Dunkel-Str.,19657_west,['15'],
Frauenklinik,tram,15,19648_west,"52.46394991,13.42750955",,52.46394991,13.42750955,90,"Frauenklinik, Mariendorferweg",19658_west,['15'],
Hermannstr.,tram,15,19649_west,"52.46276073,13.43439092",,52.46276073,13.43439092,90,Hermannstr./Britzerdamm,19659_west,['15'],
U-Bhf. Neukölln,tram,15,196410_west,"52.46965568,13.44161494",,52.46965568,13.44161494,100,U-Bhf. Neukölln,196510_west,['15'],
Richardstr.,tram,15,196411_west,"52.47098038,13.44634551",,52.47098038,13.44634551,90,Richardstr. Ecke Braunschweigerstr.,196511_west,['15'],
Saalestr. Ecke Sonnenallee,tram,15,196412_west,"52.47384843,13.45589857",,52.47384843,13.45589857,100,Saalestr. Ecke Sonnenallee,196512_west,['15'],
Dammweg,tram,15,196413_west,"52.47028918,13.46461967",,52.47028918,13.46461967,90,Dammweg Ecke Sonnenallee,196513_west,['15'],
Schulenburgpark,tram,15,196414_west,"52.46666061,13.47029259",,52.46666061,13.47029259,100,Schulenburgpark,196514_west,['15'],
Gradestr. Ecke Tempelhoferweg,tram,47,196415_west,"52.45253932,13.43305683",,52.45253932,13.43305683,100,Gradestr. Ecke Tempelhoferweg,196515_west,['47'],
U-Bhf. Blaschko-Allee,tram,47,196416_west,"52.45247429,13.44902591",,52.45247429,13.44902591,98,U-Bhf. Blaschkoallee,196516_west,['47'],
Buschkrug,tram,47,196417_west,"52.44824572,13.45392578",,52.44824572,13.45392578,90,Onkel-Herse-Str. Ecke Buschkrugallee,196518_west,['47'],
Onkel-Herse-Str.,tram,47,196418_west,"52.44824572,13.45392578",,52.44824572,13.45392578,90,Onkel-Herse-Str. Ecke Buschkrugallee,196518_west,['47'],
Parachimerallee Ecke Buschkrugallee,tram,47,196419_west,"52.44543069,13.45497615",,52.44543069,13.45497615,99,Parchimerallee Ecke Buschkrugallee,196519_west,['47'],
Grünerweg Ecke Buschkrugallee,tram,47,196420_west,"52.44256249,13.45634565",,52.44256249,13.45634565,100,Grünerweg Ecke Buschkrugallee,196520_west,['47'],
Krankenhaus Neukölln,tram,47,196421_west,"52.43977054,13.45935906",,52.43977054,13.45935906,100,Krankenhaus Neukölln,196521_west,['47'],
Johannisthalerchaussee Ecke Rudowerstr.,tram,47,196422_west,"52.43431775,13.46904333",,52.43431775,13.46904333,99,Johannisthaler Chaussee Ecke Rudowerstr.,196522_west,['47'],
