stop_name,type,line_name,stop_id,location,identifier
Pankow (Vinetastr.),u-bahn,A,19650_east,"52.559166666667,13.413333333333",Q570906
Schönhauser Allee,u-bahn,A,19651_east,"52.549328888889,13.413706111111",Q47014936
Dimitroffstr.,u-bahn,A,19652_east,"52.541666666667,13.412222222222",Q571382
Senefelderplatz,u-bahn,A,19653_east,"52.53242,13.412743",Q32661454
Luxemburgplatz,u-bahn,A,19654_east,"52.528333333333,13.410277777778",Q658790
Alexanderplatz,u-bahn,A,19655_east,"52.5214,13.4119",Q17173458
Klosterstr.,u-bahn,A,19656_east,"52.516111111111,13.412222222222",Q657893
Märkisches Museum,u-bahn,A,19657_east,"52.511944444444,13.408888888889",Q657871
Spittelmarkt,u-bahn,A,19658_east,"52.511111111111,13.403611111111",Q569489
Hausvogteiplatz,u-bahn,A,19659_east,"52.513055555556,13.396666666667",Q656523
Stadtmitte (Mohrenstr.),u-bahn,A,196510_east,,
Thälmannplatz,u-bahn,A,196511_east,"52.51167,13.38472",Q658391
Alexanderplatz,u-bahn,E,196512_east,"52.5214,13.4119",Q17173458
Schillingstr.,u-bahn,E,196513_east,"52.520278,13.421667",Q552899
Strausberger Platz,u-bahn,E,196514_east,"52.518055555556,13.430833333333",Q570999
Marchlewskistr.,u-bahn,E,196515_east,"52.516794444444,13.444991666667",Q551768
Frankfurter Tor,u-bahn,E,196516_east,"52.515833333333,13.454166666667",Q568627
Samariterstr.,u-bahn,E,196517_east,"52.514722222222,13.464444444444",Q552891
Frankfurter Allee (Ringbahn),u-bahn,E,196518_east,,
Magdalenenstr.,u-bahn,E,196519_east,"52.5125,13.486388888889",Q473901
Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,E,196520_east,"52.510556,13.496389",Q3831986
Friedrichsfelde (Tierpark),u-bahn,E,196521_east,"52.506111111111,13.512777777778",Q429781
Adalbertstrasse Ecke Köpenickerstrasse,tram,1,196522_east,,
Ostbahnhof,tram,1,196523_east,"52.509107635417394, 13.43550619008533",
U-Bhf. Strausberger Platz,tram,1,196524_east,"52.51808306742478, 13.432938339097822",
Leninplatz,tram,1,196525_east,"52.5232658,13.4326457",Q65553105
"Alexanderplatz, Memhardstrasse",tram,1,196526_east,"52.5233439,13.4110773","Q65227406, Q65227406"
Rosenthaler Platz,tram,1,196527_east,"52.5301769,13.4016121",Q65093945
Invalidenstrasse Ecke Brunnenstrasse,tram,1,196528_east,,
Chausseestrasse Ecke Invalidenstrasse,tram,1,196529_east,,
Walter-Ulbricht-Stadion,tram,1,196530_east,"52.536515137173154, 13.377775719050113",
Köpenickerstrasse Ecke Adalbertstrasse,autobus,A 1 P,196531_east,"52.5088020100168, 13.42459205564356",
S-Bhf. Jannowitzbrücke,autobus,A 1 P,196532_east,"52.51478599600389, 13.418056238742702",
"Alexanderplatz, Grunerstrasse",autobus,A 1 P,196533_east,"52.52008326268696, 13.41408418961877",
Revalerstrasse (S-Bhf. Warschauer Strasse),tram,3,196534_east,,
Kopernikusstrasse,tram,3,196535_east,"52.5105842,13.4526258",
Boxhagenerstrasse,tram,3,196536_east,,
Bhf. Frankfurter Allee,tram,3,196537_east,"52.5138037,13.4773772",Q65948557
Roederplatz,tram,3,196538_east,"52.5266001,13.479068",Q65685373
Hohenschönhauser Strasse,tram,3,196539_east,"52.5359329,13.4729468",Q65553684
Omnibus Bhf. Lichtenberger Strasse,tram,3,196540_east,,
Klement-Gottwald-Allee,tram,3,196541_east,"52.55207481375682, 13.465630856253787",
Antonplatz,tram,3,196542_east,"52.5484803,13.4517416",Q65548849
Prenzlauer Promenade,tram,3,196543_east,"52.55155536618067, 13.43032253030515",
Schönhauser Allee,tram,3,196544_east,"52.5537705,13.4138898",Q65076842
Björnsonstrasse,tram,3,196545_east,"52.5544232,13.4030585",Q65920495
Revalerstrasse (S-Bhf. Warschauer Strasse),tram,4,196546_east,,
Grünberger Strasse Ecke Warschauerstrasse,tram,4,196547_east,,
Frankfurter Tor,tram,4,196548_east,"52.5153903,13.4540172",Q65706246
Bersarinplatz,tram,4,196549_east,"52.519215,13.4525257",Q65706258
Leninallee Ecke Dimitroffstrasse,tram,4,196550_east,"52.5259343,13.4462368",Q65553230
Kniprodestrasse Ecke Dimitroffstrasse,tram,4,196551_east,"52.53212517120371, 13.441486830298444",
Greifswalder Strasse Ecke Dimitroffstrasse,tram,4,196552_east,"52.5364975,13.4334045",Q65548960
Prenzlauer Allee Ecke Dimitroffstrasse,tram,4,196553_east,"52.539197857899126, 13.424201067893557",
U-Bhf. Dimitroffstrasse,tram,4,196554_east,"52.5401928,13.4113979",Q65088313
Eberswalder Strasse,tram,4,196555_east,,
Heinrich-Heine-Strasse Ecke Schmidstrasse,tram,11,196556_east,,
S-Bhf. Jannowitzbrücke,tram,11,196557_east,"52.51478599600389, 13.418056238742702",
"Alexanderplatz, Memhardstrasse",tram,11,196558_east,"52.5233439,13.4110773",Q65227406
Rosenthaler Platz,tram,11,196559_east,"52.5301769,13.4016121",Q65093945
Brunnenstrasse Ecke Invalidenstrasse,tram,11,196560_east,"52.5324542,13.3974236",Q65691740
Invalidenstrasse Ecke Chausseestrasse,tram,11,196561_east,"52.5304158,13.3827302",Q65552697
Oranienburger Tor,tram,11,196562_east,"52.5256031,13.3872745",Q65095375
Clara-Zetkin-Strasse Ecke Friedrichstrasse,tram,11,196563_east,,
Am Kupfergraben,tram,11,196564_east,"52.5194208,13.3953839",Q65055027
Hönower Wiesenweg Ecke Blockdammweg,tram,13,196565_east,"52.48430451205336, 13.505804756687008",
Kraftwerk Klingenberg,tram,13,196566_east,"52.4881374,13.4958685",Q66079524
S-Bhf. Rummelsburg,tram,13,196567_east,"52.5010558,13.4762392",Q66069079
Holteistrasse Ecke Boxhagenerstrasse,tram,13,196568_east,"52.5088235,13.465969","Q65675805, Q65675805"
Frankfurter Tor,tram,13,196569_east,"52.5153903,13.4540172",Q65706246
Bersarinplatz,tram,13,196570_east,"52.519215,13.4525257",Q65706258
Leninallee Ecke Dimitroffstrasse,tram,13,196571_east,"52.5259343,13.4462368",Q65553230
Kniprodestrasse Ecke Dimitroffstrasse,tram,13,196572_east,"52.53212517120371, 13.441486830298444",
Greifswalder Strasse Ecke Dimitroffstrasse,tram,13,196573_east,"52.5364975,13.4334045",Q65548960
Prenzlauer Allee Ecke Dimitroffstrasse,tram,13,196574_east,"52.539197857899126, 13.424201067893557",
U-Bhf. Dimitroffstrasse,tram,13,196575_east,"52.5401928,13.4113979",Q65088313
Oderberger Strasse Ecke Eberswalderstrasse,tram,13,196576_east,"52.54061076763243, 13.404559930731686",
"Rosenthal, Hauptstrasse",tram,22,196577_east,"52.5970063,13.3763916",Q65364985
Nordendstrasse,tram,22,196578_east,"52.588534,13.3882952",Q65428345
Kurt-Fischer-Platz,tram,22,196579_east,"52.578668,13.3983016",Q65032974
"Pankow, Rathaus",tram,22,196580_east,"52.5694816,13.4038045",Q65055060
"Pankow, Kirche",tram,22,196581_east,"52.5706452,13.4103115",Q65055066
S-Bhf. Pankow,tram,22,196582_east,"52.5675692,13.4121641",Q65055075
U-Bhf. Pankow,tram,22,196583_east,"52.56721533989539, 13.412199219637507",
S-Bhf. Schönhauser Allee,tram,22,196584_east,"52.5493619,13.4135734",Q65088013
U-Bhf. Dimitroffstrasse,tram,22,196585_east,"52.5401928,13.4113979",Q65088313
Rosenthaler Platz,tram,22,196586_east,"52.5301769,13.4016121",Q65093945
"Alexanderplatz, Memhardstrasse",tram,22,196587_east,"52.5233439,13.4110773",Q65227406
S-Bhf. Jannowitzbrücke,tram,22,196588_east,"52.51478599600389, 13.418056238742702",
Nordend,tram,46,196589_east,"52.5902104,13.4027524",Q65032696
Ossietzkyplatz,tram,46,196590_east,"52.58100580136794, 13.404014807678767",
Kurt-Fischer-Platz,tram,46,196591_east,"52.578668,13.3983016",Q65032974
"Pankow, Kirche",tram,46,196592_east,"52.5706452,13.4103115",Q65055066
S-Bhf. Pankow,tram,46,196593_east,"52.5675692,13.4121641",Q65055075
U-Bhf. Pankow,tram,46,196594_east,"52.56721533989539, 13.412199219637507",
S-Bhf. Schönhauser Allee,tram,46,196595_east,"52.5493619,13.4135734",Q65088013
U-Bhf. Dimitroffstrasse,tram,46,196596_east,"52.5401928,13.4113979",Q65088313
Brunnenstrasse Ecke Invalidenstrasse,tram,46,196597_east,"52.5324542,13.3974236","Q65691740, Q65691740"
Oranienburger Tor,tram,46,196598_east,"52.5256031,13.3872745",Q65095375
Bhf. Friedrichstrasse,tram,46,196599_east,"52.5192805,13.3884107","Q65095382, Q65095382"
Am Kupfergraben,tram,46,1965100_east,"52.5194208,13.3953839",Q65055027
"Niederschönhausen, Idastrasse",tram,46P,1965101_east,,
Ossietzkyplatz,tram,46P,1965102_east,"52.58100580136794, 13.404014807678767",
"Buchholz, Hauptstrasse",tram,49,1965103_east,"52.619072064369824, 13.393383358408967",
Industriebahn,tram,49,1965104_east,"52.618604307482244, 13.390395775797886",
Galenusstrasse,tram,49,1965105_east,"52.5818183,13.4287678",Q66195410
S-Bhf. Pankow-Heinersdorf,tram,49,1965106_east,"52.577507820515834, 13.427853061920917",
Klaustalerstrasse Ecke Damerowstrasse,tram,49,1965107_east,"52.573414933248586, 13.422102981815893",
"Pankow, Kirche",tram,49,1965108_east,"52.5706452,13.4103115",Q65055066
S-Bhf. Pankow,tram,49,1965109_east,"52.5675692,13.4121641",Q65055075
U-Bhf. Pankow,tram,49,1965110_east,"52.56721533989539, 13.412199219637507",
S-Bhf. Schönhauser Allee,tram,49,1965111_east,"52.5493619,13.4135734",Q65088013
U-Bhf. Dimitroffstrasse,tram,49,1965112_east,"52.5401928,13.4113979",Q65088313
Rosenthaler Platz,tram,49,1965113_east,"52.5301769,13.4016121",Q65093945
Hackescher Markt,tram,49,1965114_east,"52.522700593509725, 13.401605863643521",Q65094590
"Hohenschönhausen, Gartenstadt",tram,63,1965115_east,"52.5508672,13.5094994",Q65555882
Falkenbergerstrasse Ecke Wartenberger Strasse,tram,63,1965116_east,"52.55036672097044, 13.509915032138812",
Berlinerstrasse Ecke Hauptstrasse,tram,63,1965117_east,,
Degnerstrasse,tram,63,1965118_east,"52.54488036635163, 13.493949954029993",
Weißenseer Weg,tram,63,1965119_east,"52.532258,13.476705",Q65942700
Steuerhaus,tram,63,1965120_east,"52.530493,13.4614989",Q65553632
Dimitroffstrasse Ecke Landsberger Allee,tram,63,1965121_east,"52.5264303512303, 13.447596791543624",
Leninplatz,tram,63,1965122_east,"52.5232658,13.4326457",Q65553105
"Alexanderplatz, Memhardstrasse",tram,63,1965123_east,"52.5233439,13.4110773",Q65227406
Hackescher Markt,tram,63,1965124_east,"52.522700593509725, 13.401605863643521",Q65094590
"Hohenschönhausen, Falkenberger Strasse",tram,64,1965125_east,"52.5508672,13.5094994",Q65555882
Berlinerstrasse Ecke Falkenbergerstrasse,tram,64,1965126_east,,
Degnerstrasse,tram,64,1965127_east,"52.54489445227284, 13.493984825262666",
Weißenseer Weg,tram,64,1965128_east,"52.532258,13.476705",Q65942700
Steuerhaus,tram,64,1965129_east,"52.530493,13.4614989",Q65553632
Dimitroffstrasse Ecke Landsberger Allee,tram,64,1965130_east,"52.5264303512303, 13.447596791543624",
Leninplatz,tram,64,1965131_east,"52.5232658,13.4326457",Q65553105
"Alexanderplatz, Leninallee",tram,64,1965132_east,"52.522103158947594, 13.416511130432587",
S-Bhf. Jannowitzbrücke,tram,64,1965133_east,"52.51478599600389, 13.418056238742702",
Spittelmarkt,tram,64,1965134_east,"52.511243321361405, 13.40494539543245",
Dönhoffplatz,tram,64,1965135_east,"52.509950568117645, 13.398144081918815",
"Johannisthal, Haeckelstrasse",tram,69,1965136_east,"52.4402944,13.5052638",Q66225573
Bhf. Schöneweide,tram,69,1965137_east,"52.4553413,13.5110449",Q65950245
Wilhelminenhofstrasse,tram,69,1965138_east,"52.460837970970566, 13.521054382869073",Q65951882
S-Bhf. Karlshorst,tram,69,1965139_east,"52.481331,13.5254433",Q65952829
Hochschule für Ökonomie,tram,69,1965140_east,"52.4927681,13.5266059",Q65952866
Tierpark Berlin,tram,69,1965141_east,"52.50297204519277, 13.520916474066839",
Alt-Friedrichsfelde Ecke Am Tierpark,tram,69,1965142_east,"52.50914093654053, 13.518129930582422",
Bhf. Lichtenberg,tram,69,1965143_east,"52.5123603,13.4977547",Q66013733
Strab. Bhf. Siegfriedstrasse,tram,69,1965144_east,"52.5206411,13.4994454",Q66014798
Herzbergstrasse,tram,69,1965145_east,"52.52637,13.499036",Q65684891
Roederplatz,tram,69,1965146_east,"52.5266001,13.479068",Q65685373
Steuerhaus,tram,69,1965147_east,"52.530493,13.4614989",Q65553632
Dimitroffstrasse Ecke Landsberger Allee,tram,69,1965148_east,"52.5264303512303, 13.447596791543624",
Leninplatz,tram,69,1965149_east,"52.5232658,13.4326457",Q65553105
"Alexanderplatz, Memhardstrasse",tram,69,1965150_east,"52.5233439,13.4110773",Q65227406
Hackescher Markt,tram,69,1965151_east,"52.522700593509725, 13.401605863643521",Q65094590
Oranienburger Tor,tram,69,1965152_east,"52.5256031,13.3872745",Q65095375
Walter-Ulbricht-Stadion,tram,69,1965153_east,"52.536515137173154, 13.377775719050113",
"Johannisthal, Haeckelstrasse",tram,69 E,1965154_east,"52.4402944,13.5052638",Q66225573
Bhf. Schöneweide,tram,69 E,1965155_east,"52.4553413,13.5110449",Q65950245
Wilhelminenhofstrasse,tram,69 E,1965156_east,"52.460837970970566, 13.521054382869073",Q65951882
S-Bhf. Karlshorst,tram,69 E,1965157_east,"52.481331,13.5254433",Q65952829
Hochschule für Ökonomie,tram,69 E,1965158_east,"52.4927681,13.5266059",Q65952866
Tierpark Berlin,tram,69 E,1965159_east,"52.50297204519277, 13.520916474066839",
Alt-Friedrichsfelde Ecke Am Tierpark,tram,69 E,1965160_east,"52.50914093654053, 13.518129930582422",
Bhf. Lichtenberg,tram,69 E,1965161_east,"52.5123603,13.4977547",Q66013733
Strab. Bhf. Siegfriedstrasse,tram,69 E,1965162_east,"52.5206411,13.4994454",Q66014798
Herzbergstrasse,tram,69 E,1965163_east,"52.52637,13.499036",Q65684891
Roederplatz,tram,69 E,1965164_east,"52.5266001,13.479068",Q65685373
Steuerhaus,tram,69 E,1965165_east,"52.530493,13.4614989",Q65553632
Dimitroffstrasse Ecke Landsberger Allee,tram,69 E,1965166_east,"52.5264303512303, 13.447596791543624",
Kniprodestrasse Ecke Dimitroffstrasse,tram,69 E,1965167_east,"52.53212517120371, 13.441486830298444",
"Hohenschönhausen, Falkenberger Strasse",tram,70,1965168_east,"52.5508672,13.5094994",Q65555882
Berliner Strasse Ecke Suermondtstrasse,tram,70,1965169_east,"52.54900402056681, 13.501740363652805",
Stadion Buschallee,tram,70,1965170_east,"52.5566718,13.4869834",Q65504715
Buschallee Ecke Klement-Gottwald-Allee,tram,70,1965171_east,"52.5537598,13.4691966",Q65546661
