stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Revalerstr.,tram,3,19670_east,,,,,,,,,
Warschauerstr.,tram,3,19671_east,,,,,,,,,
Holteistr. Ecke Boxhagenerstr.,tram,3,19672_east,,,,,,,,,
Bhf. Frankfurterallee,tram,3,19673_east,"52.5138037,13.4773772",,52.5138037,13.4773772,100,Bhf. Frankfurterallee,196537_east,['3'],
Roederplatz,tram,3,19674_east,,,,,,,,,
Hohenschönhauserstr.,tram,3,19675_east,"52.5359329,13.4729468",,52.5359329,13.4729468,100,HohenSchönhauserstr.,196539_east,['3'],
Lichtenbergerstr.,tram,3,19676_east,,,,,,,,,
Antonplatz,tram,3,19677_east,,,,,,,,,
Prenzlauer Promenade,tram,3,19678_east,,,,,,,,,
Schönhauserallee,tram,3,19679_east,"52.5537705,13.4138898",,52.5537705,13.4138898,100,Schönhauserallee,196544_east,['3'],
Björnsonstr.,tram,3,196710_east,"52.5544232,13.4030585",,52.5544232,13.4030585,100,Björnsonstr.,196545_east,['3'],
Markusstr.,tram,4,196711_east,,,,,,,,,
Ostbahnhof,tram,4,196712_east,,,,,,,,,
Mühlenstr.,tram,4,196713_east,,,,,,,,,
Revalerstr.,tram,4,196714_east,"52.50641667,13.45095556",,52.50641667,13.45095556,90,Revalerstr. (S-Bhf. Warschauerstr.),196546_east,['4'],
Grünbergerstr.,tram,4,196715_east,"52.5122359,13.452609",,52.5122359,13.452609,90,Grünbergerstr. Ecke Warschauerstr.,196547_east,['4'],
Frankfurter Tor,tram,4,196716_east,,,,,,,,,
Bersarinplatz,tram,4,196717_east,"52.519215,13.4525257",,52.519215,13.4525257,100,Bersarinplatz,196549_east,['4'],
Leninallee,tram,4,196718_east,"52.5259343,13.4462368",,52.5259343,13.4462368,90,Leninallee Ecke Dimitroffstr.,196550_east,['4'],
Kniprodestr.,tram,4,196719_east,,,,,,,,,
Greifswalderstr.,tram,4,196720_east,,,,,,,,,
Prenzlauerallee,tram,4,196721_east,,,,,,,,,
U-Bhf. Dimitroffstr.,tram,4,196722_east,,,,,,,,,
Eberswalderstr. Ecke Oderbergerstr.,tram,4,196723_east,,,,,,,,,
