stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Schillingbrücke (Ostbahnhof),tram,1,19560_unified,"52.51050795,13.43022032",,,,,,,,1956944.0
Stalinallee,tram,1,19561_unified,"52.51808307,13.43293834",,,,,,,,19561026.0
Leninplatz,tram,1,19562_unified,"52.52326580,13.43264570",Q65553105,,,,,,,1956628.0
"Leninallee, Kleine Frankfurterstr.",tram,1,19563_unified,"52.52325524,13.42590900",,,,,,,,1956625.0
"Alexanderplatz, Memhardstr.",tram,1,19564_unified,"52.52334390,13.41107730",Q65227406,,,,,,,195611.0
"Gipsstr., U-Bhf. Weinmeisterstr.",tram,1,19565_unified,"52.52532150,13.40350470",Q65094293,,,,,,,1956359.0
Rosenthalerplatz,tram,1,19566_unified,"52.53017690,13.40161210",Q65093945,,,,,,,1956891.0
Brunnen Ecke Invalidenstr.,tram,1,19567_unified,"52.53245420,13.39742360",Q65691740,,,,,,,1956204.0
Invalidenstr. Ecke Chausseestr.,tram,1,19568_unified,"52.53041580,13.38273020",Q65552697,,,,,,,1956497.0
Oranienburger Tor,tram,1,19569_unified,"52.52560310,13.38727450",Q65095375,,,,,,,1956754.0
"Weidendammbrücke, Bhf. Friedrichstr.",tram,1,195610_unified,"52.52169302,13.38797771",,,,,,,,19561179.0
Am Kupfergraben,tram,1,195611_unified,"52.51942080,13.39538390",Q65055027,,,,,,,195635.0
"Wienerstr., Spreewaldplatz",tram,2,195612_unified,"52.49748411,13.43175445",,,,,,,,19561201.0
Hermannplatz,tram,2,195613_unified,"52.48708557,13.42475245",,,,,,,,1956446.0
Südstern,tram,2,195614_unified,"52.48920000,13.40758983",,,,,,,,19561055.0
Mehringdamm,tram,2,195615_unified,"52.49298792,13.38795033",,,,,,,,1956695.0
Goebenstr. Ecke Bülowstr.,tram,2,195616_unified,"52.49367856,13.36567060",,,,,,,,1956369.0
Nollendorfplatz,tram,2,195617_unified,"52.49974137,13.35287893",,,,,,,,1956732.0
Wittenbergplatz,tram,2,195618_unified,"52.50185026,13.34309835",,,,,,,,19561227.0
Bhf. Zoo,tram,2,195619_unified,"52.50719346,13.33262988",,,,,,,,1956166.0
Am Knie,tram,2,195620_unified,"52.51266888,13.32185992",,,,,,,,195634.0
Gotzkowskystr. Ecke Turmstr.,tram,2,195621_unified,"52.52723347,13.33050347",,,,,,,,1956378.0
