stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
"Glienicke, Kirche",autobus,7,19710_east,"52.63062737,13.31286192",,,,,,,,1971329.0
Elsässerstr.,autobus,7,19711_east,"52.63337295,13.34510342",,,,,,,,1971250.0
"Schildow, Kirche",autobus,7,19712_east,"52.63581867,13.37771917",,,,,,,,1971965.0
"Blankenfelde, Hauptstr.",autobus,7,19713_east,"52.63002535,13.38262328",,,,,,,,1971136.0
Industriebahn,autobus,7,19714_east,"52.61860431,13.39039578",,,,,,,,1971486.0
Nordend,autobus,7,19715_east,"52.59006569,13.40174057",,,,,,,,1971731.0
Kurt-Fischer-Platz,autobus,7,19716_east,"52.57973293,13.39833073",,,,,,,,1971579.0
"Pankow, Rathaus",autobus,7,19717_east,"52.56953909,13.40418644",,,,,,,,1971777.0
U-Bhf. Pankow,autobus,7,19718_east,"52.56721534,13.41219922",,,,,,,,19711140.0
Mahlsdorferallee,autobus,8,19719_east,"52.47821522,13.62080081",,,,,,,,1971663.0
Hultschinerdamm,autobus,8,197110_east,"52.47711374,13.60059814",,,,,,,,1971470.0
Sadowastr.,autobus,8,197111_east,"52.48267547,13.58483307",,,,,,,,1971958.0
Köpenickerstr.,autobus,8,197112_east,"52.48661965,13.56035513",,,,,,,,1971594.0
Oberfeldstr.,autobus,8,197113_east,"52.50917456,13.55329997",,,,,,,,1971735.0
Am Tierpark,autobus,8,197114_east,"52.50960268,13.51897760",,,,,,,,197153.0
U-Bhf. Friedrichsfelde,autobus,8,197115_east,"52.50624112,13.51285306",,,,,,,,19711120.0
Kurischestr.,autobus,9,197116_east,"52.53541469,13.43908579",,,,,,,,1971578.0
Hufelandstr.,autobus,9,197117_east,"52.53302774,13.42935531",,,,,,,,1971469.0
Königstor,autobus,9,197118_east,"52.52520269,13.41983499",,,,,,,,1971588.0
Hans-Beimlerstr.,autobus,9,197119_east,"52.52515376,13.41990595",,,,,,,,1971388.0
Breitestr.,autobus,9,197120_east,"52.51406755,13.40574007",,,,,,,,1971153.0
Charlottenstr.,autobus,9,197121_east,"52.51488332,13.39112662",,,,,,,,1971194.0
Otto-Grotewohlstr.,autobus,9,197122_east,"52.51648504,13.38074919",,,,,,,,1971769.0
Arkonaplatz,autobus,16,197123_east,"52.53753415,13.40176762",,,,,,,,197162.0
Brunnenstr.,autobus,16,197124_east,"52.53262273,13.39887552",,,,,,,,1971166.0
Rosenthalerplatz,autobus,16,197125_east,"52.52967295,13.40142893",,,,,,,,1971890.0
Alexanderplatz,autobus,16,197126_east,"52.52005247,13.41395724",Q65548996+nan,,,,,,,197113.0
S-Bhf. Jannowitzbr.,autobus,16,197127_east,"52.51476200,13.41800446",,,,,,,,1971927.0
Annenstr.,autobus,16,197128_east,"52.50661087,13.41780312",,,,,,,,197159.0
Adalbertstr.,autobus,16,197129_east,"52.50548700,13.42221404",,,,,,,,19712.0
Adalbertstr.,autobus,18,197130_east,"52.50548700,13.42221404",,,,,,,,19712.0
S-Bhf. Jannowitzbrücke,autobus,18,197131_east,"52.51486586,13.41796028",,,,,,,,1971928.0
Alexanderplatz,autobus,18,197132_east,"52.52005247,13.41395724",Q65548996+nan,,,,,,,197113.0
Charlottenstr. Ecke Französischestr.,autobus,18,197133_east,"52.51487005,13.39112326",,,,,,,,1971195.0
Bhf. Friedrichstr.,autobus,18,197134_east,"52.52056066,13.38823192",,,,,,,,1971109.0
Schumannstr. Ecke Reinhardtstr.,autobus,18,197135_east,"52.52325899,13.38382070",,,,,,,,1971984.0
Robert-Koch-Platz,autobus,18,197136_east,"52.52757051,13.37877230",,,,,,,,1971882.0
"Hessenwinkel, Lutherstr.",autobus,22,197137_east,"52.43013677,13.73098778",,,,,,,,1971439.0
Fahlenbergstr.,autobus,22,197138_east,"52.43147015,13.71870886",,,,,,,,1980346.0
S-Bhf. Wilhelmshagen,autobus,22,197139_east,"52.43886122,13.72106025",,,,,,,,1971949.0
Zentralschule,autobus,22,197140_east,"52.43465069,13.70369221",,,,,,,,19711278.0
Waldschänke,autobus,22,197141_east,"52.44331814,13.68593963",,,,,,,,19711185.0
S-Bhf. Rahnsdorf,autobus,22,197142_east,"52.45162837,13.69157910",,,,,,,,1971943.0
Hamburgerstr.,autobus,22,197143_east,"52.45967576,13.70340863",,,,,,,,1971387.0
"Fichtenau, Post",autobus,22,197144_east,"52.46613932,13.69970161",,,,,,,,1971275.0
Falkenhöhe,autobus,23,197145_east,"52.40050703,13.53822948",,,,,,,,1971265.0
S-Bhf. Grünbergallee,autobus,23,197146_east,"52.39982233,13.54017097",,,,,,,,1971926.0
S-Bhf. Altglienicke,autobus,23,197147_east,"52.40840520,13.55881617",,,,,,,,1971913.0
Wolfmarsteig,autobus,23,197148_east,"52.41268952,13.53660263",,,,,,,,19711259.0
Schönefelderchaussee,autobus,23,197149_east,"52.40977888,13.52697490",,,,,,,,19761374.0
"Altglienicke, Kirche",autobus,23,197150_east,"52.42184573,13.53940770",,,,,,,,197142.0
Kanalbrücke,autobus,23,197151_east,"52.42511716,13.54513738",,,,,,,,1976720.0
VEB Bautransporte,autobus,26,197152_east,"52.44295542,13.51951909",,,,,,,,19711169.0
Bhf. Schöneweide,autobus,26,197153_east,"52.45374952,13.51020040",,,,,,,,1971115.0
S-Bhf. Kaulsdorf,autobus,27,197154_east,"52.51244831,13.58958284",,,,,,,,19761299.0
Chemnitzerstr.,autobus,27,197155_east,"52.50512886,13.58158505",,,,,,,,1976283.0
Jägerstr.,autobus,27,197156_east,"52.48596831,13.57416719",,,,,,,,1971506.0
