stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
"Moabit, Waldstr. Ecke Turmstr.",autobus,A1,19710_west,"52.52718533,13.33055251",,,,,,,,1971697.0
Otto-Suhr-Allee Ecke Cauerstr.,autobus,A1,19711_west,"52.51468031,13.31523344",,,,,,,,1971770.0
Kurfürstendamm Ecke Leibnizstr.,autobus,A1,19712_west,"52.50062732,13.31305032",,,,,,,,1971574.0
Fehrbellinerplatz,autobus,A1,19713_west,"52.49040639,13.31420422",,,,,,,,1971270.0
Detmolderstr. Ecke Blissestr.,autobus,A1,19714_west,"52.47876003,13.32030364",,,,,,,,1971213.0
Breitenbachplatz,autobus,A1,19715_west,"52.46721972,13.30947349",,,,,,,,1971154.0
Botanischer Garten,autobus,A1,19716_west,"52.45859880,13.30343606",,,,,,,,1971151.0
Pacelli/Thielallee,autobus,A1,19717_west,"52.45821788,13.28711214",,,,,,,,1971771.0
Clayallee Ecke Königin-Luisestr.,autobus,A1,19718_west,"52.46044681,13.27489827",,,,,,,,1971199.0
U-Bhf. Oskar-Helene-Heim,autobus,A1,19719_west,"52.45027901,13.27036199",,,,,,,,19711139.0
Potsdamerstr. Ecke Clayallee,autobus,A1,197110_west,"52.43504800,13.26042558",,,,,,,,1971812.0
Rathaus Zehlendorf,autobus,A1,197111_west,"52.43320752,13.25953192",,,,,,,,1971856.0
Beeskowdamm Ecke Teltowerdamm,autobus,A1,197112_west,"52.40897630,13.26737852",,,,,,,,197183.0
Wismarerstr. Ecke Goerzallee,autobus,A1,197113_west,"52.42194411,13.29850123",,,,,,,,19711251.0
Lindenstr. Ecke Müllerstr.,autobus,A1,197114_west,"52.41754714,13.30666072",,,,,,,,1971638.0
Haselhorsterdamm Ecke Gartenfelderstr.,autobus,A10,197115_west,"52.54294024,13.23988194",,,,,,,,1971392.0
Paulsternstr. Ecke Nonnendammallee,autobus,A10,197116_west,"52.53818291,13.24773288",,,,,,,,1971790.0
Verwaltungs-Gebäude,autobus,A10,197117_west,"52.53706333,13.26228517",,,,,,,,19711174.0
Spandauerdamm Ecke Fürstenbrunnerweg,autobus,A10,197118_west,"52.51841553,13.28016690",,,,,,,,19711033.0
Kaiserdamm Ecke Königin-Elisabethstr.,autobus,A10,197119_west,"52.51000557,13.28176907",,,,,,,,1971511.0
Amtsgericht,autobus,A10,197120_west,"52.50682618,13.29739145",,,,,,,,197157.0
Kurfürstendamm Ecke Joachim-Friedrichstr.,autobus,A10,197121_west,"52.49800512,13.29619975",,,,,,,,1971573.0
Henriettenplatz,autobus,A10,197122_west,"52.49701780,13.29033951",,,,,,,,1971427.0
Elsterplatz,autobus,A10,197123_west,"52.47977983,13.28550761",,,,,,,,1971249.0
Königin-Luisestr. Ecke Pacelliallee,autobus,A10,197124_west,"52.45831131,13.28712680",,,,,,,,1971585.0
U-Bhf. Thielplatz,autobus,A10,197125_west,"52.45104521,13.28173642",,,,,,,,19711151.0
Berlinerstr. Ecke Unter den Eichen,autobus,A10,197126_west,"52.44190336,13.28274515",,,,,,,,197194.0
Teltowerdamm Ecke Potsdamerstr.,autobus,A10,197127_west,"52.43505952,13.26038410",,,,,,,,19711080.0
Behring-Krankenhaus,autobus,A10,197128_west,"52.42410895,13.25176454",,,,,,,,197184.0
Lupsteinerweg,autobus,A10,197129_west,"52.40950895,13.25164774",,,,,,,,1971650.0
"Dahlem, Waldfriedhof",autobus,A11,197130_west,"52.45502545,13.26600200",,,,,,,,1971205.0
U-Bhf. Oskar-Helene-Heim,autobus,A11,197131_west,"52.45027901,13.27036199",,,,,,,,19711139.0
Saargemünderstr. Ecke Kehlerweg,autobus,A11,197132_west,"52.45038486,13.27876447",,,,,,,,1971955.0
Corrensplatz,autobus,A11,197133_west,"52.44601401,13.28426468",,,,,,,,1971202.0
Unter den Eichen Ecke Habelschwerdterallee,autobus,A11,197134_west,"52.44571624,13.29368933",,,,,,,,19711164.0
Ringstr. Ecke Drakestr.,autobus,A11,197135_west,"52.43979421,13.30020166",,,,,,,,1971879.0
Wiesenbaude,autobus,A11,197136_west,"52.43049524,13.31180861",,,,,,,,19711227.0
Marienstr. Ecke Königsbergerstr.,autobus,A11,197137_west,"52.42958863,13.32131980",,,,,,,,1971679.0
Kranoldplatz,autobus,A11,197138_west,"52.42777476,13.32647358",,,,,,,,1971565.0
Geraerstr. Ecke Mariannenstr.,autobus,A11,197139_west,"52.42100711,13.33493677",,,,,,,,1971323.0
