stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from,neighbourhood,district,east_west,postal_code
U-Bhf. Friedrichsfelde,omnibus,D,19460_unified,"52.50624112,13.51285306",,,,,,,,1946567.0,Friedrichsfelde,Lichtenberg,unified,10315
Treskowallee,omnibus,D,19461_unified,"52.49277654,13.52652007",,,,,,,,1946562.0,Karlshorst,Lichtenberg,unified,10318
Warmbaderstr.,omnibus,D,19462_unified,"52.49341543,13.54477395",,,,,,,,1946582.0,Karlshorst,Lichtenberg,unified,10318
Biesdorf-Süd,omnibus,D,19463_unified,"52.49390692,13.56194255",,,,,,,,194687.0,Biesdorf,Marzahn-Hellersdorf,unified,12683
"Kaulsdorf-Süd, Zimmermannstr.",omnibus,D,19464_unified,"52.48662647,13.56036875",,,,,,,,1946274.0,Biesdorf,Marzahn-Hellersdorf,unified,12683
Ulmenstr.,omnibus,D,19465_unified,"52.48730878,13.57493203",,,,,,,,1946570.0,Kaulsdorf,Marzahn-Hellersdorf,unified,12621
"Mahlsdorf-Süd, Kohlisstr.",omnibus,D,19466_unified,"52.47546368,13.59928154",,,,,,,,1946332.0,Mahlsdorf,Marzahn-Hellersdorf,unified,12623
Akazienallee,omnibus,D,19467_unified,"52.47849809,13.60717908",,,,,,,,19461.0,Mahlsdorf,Marzahn-Hellersdorf,unified,12623
"Dahlwitz, Kol. Waldesruh",omnibus,D,19468_unified,"52.47826942,13.62093702",,,,,,,,1946130.0,,,unified,
"Pichelsberg, Stössenseebrücke",ferry,Wannsee-Pichelsberg,19469_unified,"52.51277524,13.21335208",,,,,,,,1946407.0,Wilhelmstadt,Spandau,unified,13595
Kladow,ferry,Wannsee-Pichelsberg,194610_unified,"52.45151499,13.14796194",,,,,,,,1946276.0,Kladow,Spandau,unified,14089
Wannsee,ferry,Wannsee-Pichelsberg,194611_unified,"52.42192802,13.17581596",,,,,,,,1946580.0,Wannsee,Steglitz-Zehlendorf,unified,14109
Flughafen,omnibus,1,194612_unified,"52.47096514,13.38564146",,,,,,,,1946151.0,Tempelhof,Tempelhof-Schöneberg,unified,12099
Franz-Mehringstr.,omnibus,1,194613_unified,"52.49508129,13.38932384",,,,,,,,1946158.0,Kreuzberg,Friedrichshain-Kreuzberg,unified,10961
Hallesches Tor,omnibus,1,194614_unified,"52.49794751,13.39172641",,,,,,,,1946212.0,Kreuzberg,Friedrichshain-Kreuzberg,unified,10969
Lindenstr.,omnibus,1,194615_unified,"52.50113591,13.39440895",,,,,,,,1946325.0,Kreuzberg,Friedrichshain-Kreuzberg,unified,10969
Jerusalemerstr.,omnibus,1,194616_unified,"52.50710478,13.39827704",,,,,,,,1946257.0,Kreuzberg,Friedrichshain-Kreuzberg,unified,10969
Dönhoffplatz,omnibus,1,194617_unified,"52.51104121,13.39862526",,,,,,,,1946138.0,Mitte,Mitte,unified,10117
Werderscher markt,omnibus,1,194618_unified,"52.51529178,13.39716524",,,,,,,,1946596.0,Mitte,Mitte,unified,10117
Schloßplatz,omnibus,1,194619_unified,"52.51618910,13.40187007",,,,,,,,1946476.0,Mitte,Mitte,unified,10178
Alexanderplatz,omnibus,1,194620_unified,"52.52005247,13.41395724",,,,,,,,19462.0,Mitte,Mitte,unified,10178
Alexanderstr.,omnibus,1,194621_unified,"52.51778541,13.41807793",,,,,,,,19466.0,Mitte,Mitte,unified,10179
Holzmarkstr.,omnibus,1,194622_unified,"52.51470310,13.42050214",,,,,,,,1946240.0,Mitte,Mitte,unified,10179
Schlesischer Bahnhof,omnibus,1,194623_unified,"52.50976022,13.43635888",,,,,,,,1946472.0,Friedrichshain,Friedrichshain-Kreuzberg,unified,10243
Am Schlesischen Bahnhof,omnibus,1,194624_unified,"52.51130075,13.43468930",,,,,,,,194613.0,Friedrichshain,Friedrichshain-Kreuzberg,unified,10243
Fruchtstr.,omnibus,1,194625_unified,"52.51212331,13.43841686",,,,,,,,1946172.0,Friedrichshain,Friedrichshain-Kreuzberg,unified,10243
Kürstrinerplatz,omnibus,1,194626_unified,"52.51370054,13.43784219",,,,,,,,1946301.0,Friedrichshain,Friedrichshain-Kreuzberg,unified,10243
Frankfurterallee,omnibus,1,194627_unified,"52.51348352,13.47683032",,,,,,,,1946153.0,Lichtenberg,Lichtenberg,unified,10365
Frankfurterallee Ecke Warschauerstr.,omnibus,1,194628_unified,"52.51582935,13.45399999",,,,,,,,1946157.0,Friedrichshain,Friedrichshain-Kreuzberg,unified,10243
Frankfurterallee Ecke Gürtelstr.,omnibus,1,194629_unified,"52.51348326,13.47698467",,,,,,,,1946156.0,Lichtenberg,Lichtenberg,unified,10365
Alt-Friedrichsfelde,omnibus,1,194630_unified,"52.51072943,13.50487703",,,,,,,,19468.0,Rummelsburg,Lichtenberg,unified,10317
"Zehlendorf, Rathaus",omnibus,17,194633_unified,"52.43320752,13.25953192",,,,,,,,1946628.0,Zehlendorf,Steglitz-Zehlendorf,unified,14169
Potsdamerchaussee,omnibus,17,194634_unified,"52.43100098,13.22995551",,,,,,,,1946412.0,Zehlendorf,Steglitz-Zehlendorf,unified,14163
Bhf. Nikolassee,omnibus,17,194635_unified,"52.43378197,13.19315206",,,,,,,,194676.0,Nikolassee,Steglitz-Zehlendorf,unified,14129
Bhf. Wannsee,omnibus,17,194636_unified,"52.42151302,13.17810257",,,,,,,,194683.0,Wannsee,Steglitz-Zehlendorf,unified,14109
Stölpchensee,omnibus,17,194637_unified,"52.40943024,13.14381795",,,,,,,,1946539.0,Wannsee,Steglitz-Zehlendorf,unified,14109
"Steglitz, Rathaus",omnibus,5,194638_unified,"52.45646561,13.32284907",,,,,,,,1946527.0,Steglitz,Steglitz-Zehlendorf,unified,12165
Schloßstr.,omnibus,5,194639_unified,"52.45269083,13.31301562",,,,,,,,1946477.0,Lichterfelde,Steglitz-Zehlendorf,unified,12165
Unter den Eichen,omnibus,5,194640_unified,"52.44943363,13.30386025",,,,,,,,1946571.0,Lichterfelde,Steglitz-Zehlendorf,unified,12203
