stop_order,stop_id,line_id
0,19560_unified,19561_unified
1,19561_unified,19561_unified
2,19562_unified,19561_unified
3,19563_unified,19561_unified
4,19564_unified,19561_unified
5,19565_unified,19561_unified
6,19566_unified,19561_unified
7,19567_unified,19561_unified
8,19568_unified,19561_unified
9,19569_unified,19561_unified
10,195610_unified,19561_unified
11,195611_unified,19561_unified
0,195612_unified,19562_unified
1,195613_unified,19562_unified
2,195614_unified,19562_unified
3,195615_unified,19562_unified
4,195616_unified,19562_unified
5,195617_unified,19562_unified
6,195618_unified,19562_unified
7,195619_unified,19562_unified
8,195620_unified,19562_unified
9,195621_unified,19562_unified
10,195622_unified,19562_unified
11,195623_unified,19562_unified
12,195624_unified,19562_unified
13,195625_unified,19562_unified
14,195626_unified,19562_unified
0,195627_unified,19563_unified
1,195628_unified,19563_unified
2,195629_unified,19563_unified
3,195630_unified,19563_unified
4,195631_unified,19563_unified
5,195632_unified,19563_unified
6,195633_unified,19563_unified
7,195634_unified,19563_unified
8,195635_unified,19563_unified
9,195636_unified,19563_unified
10,195637_unified,19563_unified
11,195638_unified,19563_unified
12,195639_unified,19563_unified
0,195640_unified,19564_unified
1,195641_unified,19564_unified
2,195642_unified,19564_unified
3,195643_unified,19564_unified
4,195644_unified,19564_unified
5,195645_unified,19564_unified
6,195646_unified,19564_unified
7,195647_unified,19564_unified
8,195648_unified,19564_unified
9,195649_unified,19564_unified
10,195650_unified,19564_unified
11,195651_unified,19564_unified
12,195652_unified,19564_unified
13,195653_unified,19564_unified
14,195654_unified,19564_unified
15,195655_unified,19564_unified
16,195656_unified,19564_unified
17,195657_unified,19564_unified
18,195658_unified,19564_unified
0,195659_unified,19565_unified
1,195660_unified,19565_unified
2,195661_unified,19565_unified
3,195662_unified,19565_unified
4,195663_unified,19565_unified
5,195664_unified,19565_unified
6,195665_unified,19565_unified
7,195666_unified,19565_unified
8,195667_unified,19565_unified
9,195668_unified,19565_unified
10,195669_unified,19565_unified
11,195670_unified,19565_unified
0,195671_unified,19566_unified
1,195672_unified,19566_unified
2,195673_unified,19566_unified
3,195674_unified,19566_unified
4,195675_unified,19566_unified
5,195676_unified,19566_unified
6,195677_unified,19566_unified
7,195678_unified,19566_unified
8,195679_unified,19566_unified
9,195680_unified,19566_unified
10,195681_unified,19566_unified
11,195682_unified,19566_unified
12,195683_unified,19566_unified
13,195684_unified,19566_unified
14,195685_unified,19566_unified
0,195686_unified,19567_unified
1,195687_unified,19567_unified
2,195688_unified,19567_unified
3,195689_unified,19567_unified
4,195690_unified,19567_unified
5,195691_unified,19567_unified
6,195692_unified,19567_unified
7,195693_unified,19567_unified
8,195694_unified,19567_unified
9,195695_unified,19567_unified
0,195696_unified,19568_unified
1,195697_unified,19568_unified
2,195698_unified,19568_unified
3,195699_unified,19568_unified
4,1956100_unified,19568_unified
5,1956101_unified,19568_unified
6,1956102_unified,19568_unified
7,1956103_unified,19568_unified
8,1956104_unified,19568_unified
9,1956105_unified,19568_unified
10,1956106_unified,19568_unified
11,1956107_unified,19568_unified
12,1956108_unified,19568_unified
13,1956109_unified,19568_unified
14,1956110_unified,19568_unified
0,1956111_unified,19569_unified
1,1956112_unified,19569_unified
2,1956113_unified,19569_unified
3,1956114_unified,19569_unified
4,1956115_unified,19569_unified
5,1956116_unified,19569_unified
6,1956117_unified,19569_unified
7,1956118_unified,19569_unified
8,1956119_unified,19569_unified
9,1956120_unified,19569_unified
10,1956121_unified,19569_unified
11,1956122_unified,19569_unified
12,1956123_unified,19569_unified
13,1956124_unified,19569_unified
0,1956125_unified,195610_unified
1,1956126_unified,195610_unified
2,1956127_unified,195610_unified
