line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30),profile,capacity
19561_unified,1956,1,tram,Schillingbrücke (Ostbahnhof)<> Am Kupfergraben,33,7.66,unified,20.0,,195
19562_unified,1956,2,tram,"Wienerstr., Spreewaldplatz<> Bernauerstr. Ecke Wollinerstr.",70,,unified,15.0,,195
19563_unified,1956,3,tram,Mühlenstr.<> Björnsonstr.,45,12.09,unified,12.0,,195
19564_unified,1956,3,tram,"Neukölln, Hermannplatz<> Grüntalerstr. Ecke Osloerstr.",81,,unified,10.0,,195
19565_unified,1956,4,tram,Mühlenstr.<> Oderbergerstr.,27,6.32,unified,5.0,,195
19566_unified,1956,6,tram,Bhf. Zoo<> Elsenstr. Ecke Heidelbergerstr.,58,,unified,10.0,,195
19567_unified,1956,11,tram,Köpenickerstr. Ecke Adalbertstr.<> Hannoverschestr.,23,5.43,unified,20.0,,195
19568_unified,1956,13,tram,"Klingenberg, Blockdammweg<> Oderbergerstr.",37,9.91,unified,15.0,,195
19569_unified,1956,15,tram,Daimlerstr.<> Schulenburgpark,36,,unified,15.0,,195
195610_unified,1956,22,tram,Bhf. Rosenthal<> Elisabethstr.,49,11.65,unified,12.0,,195
195611_unified,1956,23,tram,"Bhf. Wollankstr.<> Moabit, Zwinglistr.",29,,unified,15.0,,195
195612_unified,1956,24,tram,Bhf. Wollankstr.<> Bernauerstr. Ecke Wollinerstr.,14,,unified,15.0,,195
195613_unified,1956,25,tram,"Tegel, Alt-Tegel<> Schöneberg, Gotenstr.",77,,unified,15.0,,195
195614_unified,1956,26,tram,"Spreewaldplatz<> Tempelhof, Industriestr.",31,,unified,15.0,,195
195615_unified,1956,27,tram,"Neukölln, Hermannplatz<> Buckow, Alt-Buckow",26,,unified,10.0,,195
195616_unified,1956,28,tram,"Tegelort, Kurzestr.<> Rügenesrstr. Ecke Brunnenstr.",59,,unified,20.0,,195
195617_unified,1956,29,tram,"Heiligensee, Dorfaue<> Rügenerstr. Ecke Brunnenstr.",57,,unified,20.0,,195
195618_unified,1956,35,tram,"Siemensstradt, Nonnendammallee<> Reinickendorf, Teichstr. Ecke Humboldtstr.",48,,unified,15.0,,195
195619_unified,1956,36,tram,Bhf. Wilhelmsruh<> Rügenerstr. Ecke Brunnenstr.,20,,unified,15.0,,195
195620_unified,1956,40,tram,"Dahlem, Clayallee<> Steglitz, Birkbuschstr. Ecke Siemensstr.",20,,unified,15.0,,195
195621_unified,1956,41,tram,"Tegel, Alt-Tegel<> Bernauerstr. Ecke Wollinerstr.",44,,unified,15.0,,195
195622_unified,1956,44,tram,"Sandkrugbrücke, Lehrter Bahnhof<> Birkbuschstr. Ecke Siemensstr.",56,,unified,15.0,,195
195623_unified,1956,46,tram,"Niederschönhausen, Schillerstr.<> Am Kupfergraben",49,11.75,unified,12.0,,195
195624_unified,1956,47,tram,"Hermannplatz<> Rudow, Bahnhofstr.",34,,unified,10.0,,195
195625_unified,1956,49,tram,Buchholz<> Große Präsidentenstr.,42,10.38,unified,16.0,,195
195626_unified,1956,51,tram,"Roseneck, Grunewald<> Bhf. Zoo",23,,unified,20.0,,195
195627_unified,1956,54,tram,"Spandau, Johannesstift<> Bhf. Zoo",51,,unified,15.0,,195
195628_unified,1956,55,tram,"Spandau, Nauenerstr.<> Bhf. Zoo",48,,unified,12.0,,195
195629_unified,1956,60,tram,Königin-Elisabethstr. Ecke Kaiserdamm<> Lindenhof Eythstr.,49,,unified,15.0,,195
195630_unified,1956,63,tram,"Hohenschönhausen, Gartenstadt<> Große Präsidentenstr.",41,10.16,unified,20.0,,195
195631_unified,1956,64,tram,"Hohenschönhausen, Falkenbergerstr.<> Dönhoffplatz, Krausenstr.",39,12.08,unified,20.0,,195
195632_unified,1956,66,tram,Belzigerstr. Ecke Martin-Lutherstr.<> Thorwaldsenstr. Ecke Grazerdamm,12,,unified,10.0,,195
195633_unified,1956,68,tram,"Bhf. Wittenau, Nordbahn, Cyclopstr.<> Nettelbeckplatz",27,,unified,15.0,,195
195634_unified,1956,69,tram,"Johannisthal, Haeckelstr.<> Walter-Ulbricht-Stadion",79,21.39,unified,20.0,,195
195635_unified,1956,70,tram,"Hohenschönhausen, Falkenbergerstr.<> Clara-Zetkinstr. Ecke Neue Wilhelmstr.",52,12.43,unified,12.0,,195
195636_unified,1956,71,tram,"Heinersdorf, Romain-Rollandstr.<> Jüdenstr., Berliner Rathaus",31,7.56,unified,10.0,,195
195637_unified,1956,72,tram,"Weißensee, Rennbahnstr. Ecke Parkstr.<> Charlottenstr. Ecke Taubenstr.",42,10.39,unified,10.0,,195
195638_unified,1956,73,tram,"Bhf. Lichterfelde-Ost<> Potsdamerplatz, Linkstr.",41,,unified,20.0,,195
195639_unified,1956,74,tram,"Lichtefelde, Finckensteinallee<> Potsdamerplatz, Linkstr.",38,,unified,20.0,,195
195640_unified,1956,74,tram,"Wießensee, Rennbahnstr. Ecke Parkstr.<> Charlottenstr. Ecke Taubenstr.",38,9.4,unified,6.0,,195
195641_unified,1956,75,tram,"Bhf. Zoo, Kantstr.<> Hakenfelde",59,,unified,10.0,,195
195642_unified,1956,77,tram,"Bhf. Zoo<> Lichterfelde, Goerzallee",45,,unified,20.0,,195
195643_unified,1956,78,tram,Bhf. Zoo<> Lindenstr.,44,,unified,20.0,,195
195644_unified,1956,82,tram,"Dönhoffplatz, Krausenstr.<> Köpenick, Hirtestr.",73,21.53,unified,20.0,,195
195645_unified,1956,83,tram,Wendenschloß Ecke Ekhofstr.<> S-Bhf. Mahlsdorf,47,12.23,unified,20.0,,195
195646_unified,1956,84,tram,"Altglienicke, Am Falkenberg<> Friedrichshagen, Wasserwerk",52,13.6,unified,20.0,,195
195647_unified,1956,86,tram,"Alt-Schmöckwitz<> Mahlsdorf-Süd, Hubertus",53,16.17,unified,20.0,,195
195648_unified,1956,87,tram,Rahnsdorf<> Wiener Brücke,73,21.58,unified,20.0,,195
195649_unified,1956,88,tram,Stadtpark<> Wiener Brücke,45,,unified,15.0,,195
195650_unified,1956,91,tram,"Treptow, Spreeterrassen<> Johannisthal, Haeckelstr.",23,6.33,unified,20.0,,195
195651_unified,1956,92,tram,"Treptow, Flutgraben<> Oberspree",28,8.21,unified,20.0,,195
195652_unified,1956,94,tram,"Oranienplatz, Dresdenerstr.<> Neukölln, Schulenburgpark",20,,unified,15.0,,195
195653_unified,1956,95,tram,Attilaplatz<> Sonnenallee Ecke Schwarzerweg,42,,unified,15.0,,195
195654_unified,1956,95,tram,"Baumschulenweg, Sonnenallee<> Köpenick, Krankenhaus",37,10.95,unified,20.0,,195
195655_unified,1956,96,tram,"U-Bhf. Tempelhof<> Lichterfelde-Süd, Schwelmerstr.",32,,unified,15.0,,195
195656_unified,1956,96,tram,"Machnower Schleuse<> Teltow, Paul-Gerhardtstr.",24,6.96,unified,20.0,,195
195657_unified,1956,98,tram,Mehringplatz (Hallesches Tor)<> Daimlerstr. Ecke Birnhornweg,35,,unified,15.0,,195
195658_unified,1956,99,tram,"Lindenstr., Jerusalemer Kirche<> Bhf. Lichtenrade",49,,unified,15.0,,195
195659_unified,1956,A I,u-bahn,Pankow (Vinetastr.)<> Ruhleben,50,,unified,10.0,Kleinprofil,750
195660_unified,1956,A II,u-bahn,Kottbusser Tor<> Krumme Lanke,38,,unified,10.0,Kleinprofil,750
195661_unified,1956,A III,u-bahn,Deutsches Opernhaus (Bismarckstr.)<> Richard-Wagner-Platz,1,,unified,10.0,Kleinprofil,750
195662_unified,1956,A1,autobus,"Moabit, Waldstr.<> Goerzallee Ecke Wismarerstr.",57,,unified,15.0,,0
195663_unified,1956,A10,autobus,"Haselhorst, Kirche<> Zehlendorf, Andreezeile Ecke Sachtlebenstr.",58,,unified,15.0,,0
195664_unified,1956,A11,autobus,Saargemünderstr.<> Hildburghauserstr. Ecke Sonderhauserstr.,26,,unified,5.0,,0
195665_unified,1956,A12,autobus,"U-Bhf. Seestr.<> Frohnau, Invalidensiedlung",44,,unified,10.0,,0
195666_unified,1956,A12S,autobus,U-Bhf. Seestr.<> Bhf. Frohnau,34,,unified,10.0,,0
195667_unified,1956,A13,autobus,"Spandau, Weinmeisterhornweg<> Bhf. Tegel",45,,unified,15.0,,0
195668_unified,1956,A14,autobus,"Osloerstr. Ecke Schwedenstr.<> Heiligensee, Hennigsdorferstr. Ecke Mattenbuder Pfad",44,,unified,20.0,,0
195669_unified,1956,A15,autobus,Bhf. Wittenau<> Bhf. Frohnau,38,,unified,15.0,,0
195670_unified,1956,A16,autobus,"U-Bhf. Seestr.<> Englerallee, Breitenbachplatz",39,,unified,6.0,,0
195671_unified,1956,A17,autobus,"Bhf. Grunewald<> Lichterfelde, Saaleckplatz",46,,unified,10.0,,0
195672_unified,1956,A18,autobus,Saargemünderstr.<> Kohlhasenbrück,30,,unified,7.0,,0
195673_unified,1956,A19,autobus,"Roseneck, Grunewald<> Tempelhof, Flughafen",38,,unified,10.0,,0
195674_unified,1956,A2,autobus,"Am Knie<> Lankwitz, Trippsteinstr.",40,,unified,10.0,,0
195675_unified,1956,A20,autobus,"Bhf. Tegel<> Lübars, Alt-Lübars",20,,unified,15.0,,0
195676_unified,1956,A21,autobus,Wentowsteig Ecke Wilhelmsruherdamm<> U-Bhf. Fehrbellinerplatz,50,,unified,10.0,,0
195677_unified,1956,A22,autobus,"Hessenwinkel, Lindenstr.<> Fichtenau, Stadtgrenze",25,8.4,unified,20.0,,0
195678_unified,1956,A23,autobus,"Altglienicke, Kirche<> Altglienicke, Kirche",15,3.5,unified,20.0,,0
195679_unified,1956,A24,autobus,"Moabit, Wiebestr. Strassenbahnhof<> Tempelhof, Flughafen",37,,unified,7.0,,0
195680_unified,1956,A25,autobus,Unionplatz<> Grünerweg Ecke Buschkrugallee,57,,unified,10.0,,0
195681_unified,1956,A27,autobus,"S-Bhf. Kaulsdorf, Planitzstr.<> Alt-Müggelheim",47,16.0,unified,10.0,,0
195682_unified,1956,A28,autobus,Loewenhardtdamm Ecke Boelckestr.<> Schlesischestr. Ecke Heckmannufer,27,,unified,7.0,,0
195683_unified,1956,A29,autobus,Roseneck<> Anhalter Bhf.,30,,unified,10.0,,0
195684_unified,1956,A3,autobus,"Rathaus Zehlendorf<> Stölpchensee, Wilhelmplatz",39,,unified,10.0,,0
195685_unified,1956,A3E,autobus,"Saargemünderstr.<> Lichterfelde, Osteweg",11,,unified,30.0,,0
195686_unified,1956,A31,autobus,"Gartenstadt, Staaken, Heidelbergplan<> Bhf. Spandau",20,,unified,15.0,,0
195687_unified,1956,A32 (Obus),autobus,Breitenbachplatz<> Bhf. Marienfelde,28,,unified,5.0,,0
195688_unified,1956,A33 (Obus),autobus,"Bhf. Steglitz<> Mariendorf, Kaiserstr. Ecke Mariendorferdamm",15,,unified,10.0,,0
195689_unified,1956,A34,autobus,"Spandau, Friedhof<> Groß-Glienicke, Gutshof",45,,unified,30.0,,0
195690_unified,1956,A35,autobus,"Germersheimerplatz<> Kladow, Hottengrund (Stadtgrenze)",38,,unified,30.0,,0
195691_unified,1956,A36,autobus,"S-Bhf. Grünau<> Schönefeld, Dorfplatz",21,6.2,unified,40.0,,0
195692_unified,1956,A37,autobus,"Bhf. Lichtenberg<> Alt-Marzahn, Kirche",26,,unified,10.0,,0
195693_unified,1956,A38,autobus,Waltersdorf<> S-Bhf. Grünau,18,6.7,unified,10.0,,0
195694_unified,1956,A39,autobus,"Wartenberg, Siedlung<> Hohenschönhausen, Falkenbergerstr.",13,4.2,unified,15.0,,0
195695_unified,1956,A4,autobus,Brixplatz<> Finowstr. Ecke Sonnenallee,54,,unified,12.0,,0
195696_unified,1956,A41,autobus,"Leninallee Ecke Dimitroffstr.<> Marzahn, Bürknersfelde",19,,unified,15.0,,0
195697_unified,1956,A42,autobus,"Buch, Zepernickerstr.<> Ostseestr. Ecke Prenzlauerallee",41,12.1,unified,15.0,,0
195698_unified,1956,A43,autobus,Bürknersfelde<> U-Bhf. Friedrichsfelde,19,6.2,unified,20.0,,0
195699_unified,1956,A44,autobus,"Hönow, Dorfstr.<> S-Bhf. Mahlsdorf",13,4.3,unified,20.0,,0
1956100_unified,1956,A44E,autobus,Greifswalderstr.<> S-Bhf. Mahlsdorf,10,,unified,20.0,,0
1956101_unified,1956,A45,autobus,"Wilhelmsruh, Fontanestr.<> Weißensee, Feldmannstr.",45,,unified,7.0,,0
1956102_unified,1956,A46,autobus,"Ahrensfeld, Lindenbergerstr.<> Malchow, Dorfstr.",34,,unified,15.0,,0
1956103_unified,1956,A47,autobus,"Bhf. Schöneweide<> S-Bhf. Baumschulenweg, Glanzstr.",16,,unified,15.0,,0
1956104_unified,1956,A48,autobus,"Potsdamerstr. Ecke Fischerhüttenstr.<> Potsdamer Brücke, Am Karlsbad",35,,unified,10.0,,0
1956105_unified,1956,A49,autobus,"Kaulsdorf, Bausdorfstr.<> Kaulsdorf, Hönowerstr. Ecke Bausdorfstr.",14,,unified,20.0,,0
1956106_unified,1956,A5,autobus,"Machandelweg Ecke Charlottenburgerchaussee<> Spandau, Waldkrankenhaus",26,,unified,10.0,,0
1956107_unified,1956,A50,autobus,"Emserplatz, Pfalzburgerstr.<> Roseneck, Rheinbabenallee, Grunewald",12,,unified,10.0,,0
1956108_unified,1956,A51,autobus,Bhf. Wannsee<> Krankenhaus Heckeshorn,10,,unified,50.0,,0
1956109_unified,1956,A52,autobus,"Alt-Marienfelde Ecke Marienfelderallee<> Rudow, Kanalstr. Ecke Mimosenweg",38,,unified,30.0,,0
1956110_unified,1956,A55,autobus,"Wilhelmsruh, Fontanestr.<> Weißensee, Schwarzelfenweg",41,,unified,15.0,,0
1956111_unified,1956,A6,autobus,Bhf. Wannsee<> Glienicker Brücke,13,,unified,60.0,,0
1956112_unified,1956,A7,autobus,"Glienicke, Kirche<> U-Bhf. Vinetastr.",43,,unified,20.0,,0
1956113_unified,1956,A8,autobus,Waldesruh<> U-Bhf. Friedrichsfelde,35,12.0,unified,12.0,,0
1956114_unified,1956,A82P,autobus,Kinderheim<> Markgrafendamm,5,,unified,20.0,,0
1956115_unified,1956,A9,autobus,"Scharnhorststr., Volkspolizeikrankenhaus<> Arnsalderplatz, Dimitroffstr.",26,7.1,unified,12.0,,0
1956116_unified,1956,AL,autobus,"Lindenberg<> Malchow, Dorfstr.",8,,unified,80.0,,0
1956117_unified,1956,AN,autobus,"Bhf. Hohen Neuendorf<> Glienicke, Elsässerstr.",28,,unified,20.0,,0
1956118_unified,1956,B I,u-bahn,Warschauer Brücke<> Uhlandstr.,23,,unified,10.0,Kleinprofil,750
1956119_unified,1956,B II,u-bahn,Nollendorfplatz<> Innsbruckerplatz (Hauptstr.),6,,unified,5.0,Kleinprofil,750
1956120_unified,1956,C I,u-bahn,Kurt-Schumacher-Platz<> Grenzallee,34,,unified,5.0,Großprofil,1000
1956121_unified,1956,C II,u-bahn,Mehringdamm<> Tempelhof (Südring),5,,unified,5.0,Großprofil,1000
1956122_unified,1956,D,u-bahn,Gesundbrunnen<> Leinestr.,23,,unified,5.0,Großprofil,1000
1956123_unified,1956,E,u-bahn,Alexanderplatz<> Friedrichsfelde (Tierpark),17,,unified,5.0,Großprofil,1000
1956124_unified,1956,KBS 100,s-bahn,Gesundbrunnen<> Gesundbrunnen,0,,unified,0.0,,1100
1956125_unified,1956,KBS 100a,s-bahn,Westend<> Grünau,0,,unified,0.0,,1100
1956126_unified,1956,KBS 100b,s-bahn,Blankenburg<> Warschauerstr.,0,,unified,0.0,,1100
1956127_unified,1956,KBS 100c,s-bahn,Gesundbrunnen<> Warschauerstr.,0,,unified,0.0,,1100
1956128_unified,1956,KBS 100d,s-bahn,Jungfernheide<> Gartenfeld,0,,unified,0.0,,1100
1956129_unified,1956,KBS 101,s-bahn,Staaken<> Strausberg,0,,unified,0.0,,1100
1956130_unified,1956,KBS 101a,s-bahn,Strausberg<> Strausberg Nord,0,,unified,0.0,,1100
1956131_unified,1956,KBS 102,s-bahn,Potsdam<> Erkner,0,,unified,0.0,,1100
1956132_unified,1956,KBS 103,s-bahn,Falkensee<> Königs Wusterhausen,0,,unified,0.0,,1100
1956133_unified,1956,KBS 103a,s-bahn,Spandau West<> Spindlersfeld,0,,unified,0.0,,1100
1956134_unified,1956,KBS 104,s-bahn,Oranienburg<> Wannsee,0,,unified,0.0,,1100
1956135_unified,1956,KBS 104a,s-bahn,Zehlendorf<> Düppel-Kleinmachnow,0,,unified,0.0,,1100
1956136_unified,1956,KBS 104b,s-bahn,Wannsee<> Stahnsdorf,0,,unified,0.0,,1100
1956137_unified,1956,KBS 105,s-bahn,Velten (Mark)<> Rangsdorf,0,,unified,0.0,,1100
1956138_unified,1956,KBS 106,s-bahn,Bernau (b Bln)<> Teltow,0,,unified,0.0,,1100
1956139_unified,1956,O30,omnibus,Klosterstr.<> Klosterstr.,72,18.9,unified,20.0,,0
1956140_unified,1956,O37,omnibus,Bürknersfelde<> Bhf. Lichtenberg,0,10.0,unified,0.0,,0
1956141_unified,1956,O40,omnibus,Ostbahnhof<> Robert-Koch-Platz,23,6.3,unified,12.0,,0
1956142_unified,1956,O41,omnibus,Bürknersfelde<> Dimitroffstr.,18,6.2,unified,10.0,,0
1956143_unified,1956,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),ferry,Kladow<> Wannsee,20,,unified,60.0,,0
1956144_unified,1956,Wendenschloß<>Grünau,ferry,Wendenschloß<> Grünau,0,,unified,20.0,,0
