stop_order,stop_id,line_id,distance_meters
0,19600_unified,19601_unified,860.650574025092
1,19601_unified,19601_unified,0.0
2,19602_unified,19601_unified,575.6224671060139
3,19603_unified,19601_unified,1456.6842280430742
4,19604_unified,19601_unified,991.8872126767305
5,19605_unified,19601_unified,379.3261708831901
6,19606_unified,19601_unified,1017.6326019610724
7,19607_unified,19601_unified,1031.0430881605992
8,19608_unified,19601_unified,560.2089330904453
9,19609_unified,19601_unified,
0,196010_unified,19602_unified,856.8552638876128
1,196011_unified,19602_unified,1058.276122751379
2,196012_unified,19602_unified,991.8872126767305
3,196013_unified,19602_unified,379.3261708831901
4,196014_unified,19602_unified,1017.6326019610724
5,196015_unified,19602_unified,405.7837189451598
6,196016_unified,19602_unified,
0,196017_unified,19603_unified,3102.303795507833
1,196018_unified,19603_unified,964.708740762426
2,196019_unified,19603_unified,1087.7484575959916
3,196020_unified,19603_unified,436.3314773761126
4,196021_unified,19603_unified,858.3027402224645
5,196022_unified,19603_unified,822.3349297930378
6,196023_unified,19603_unified,660.1881252983035
7,196024_unified,19603_unified,696.9579387407435
8,196025_unified,19603_unified,885.1495968873576
9,196026_unified,19603_unified,459.7007961922581
10,196027_unified,19603_unified,
0,196028_unified,19604_unified,421.07176435527276
1,196029_unified,19604_unified,986.9684249070532
2,196030_unified,19604_unified,848.4679767701813
3,196031_unified,19604_unified,853.4414300998543
4,196032_unified,19604_unified,785.7193923861009
5,196033_unified,19604_unified,730.3702473540603
6,196034_unified,19604_unified,800.1762761845348
7,196035_unified,19604_unified,745.8428813113668
8,196036_unified,19604_unified,370.1563359164025
9,196037_unified,19604_unified,805.5382027226963
10,196038_unified,19604_unified,349.0194055345641
11,196039_unified,19604_unified,714.5462644537064
12,196040_unified,19604_unified,685.6395339637467
13,196041_unified,19604_unified,622.0525094442917
14,196042_unified,19604_unified,
0,196043_unified,19605_unified,879.4469067596765
1,196044_unified,19605_unified,1354.216091561043
2,196045_unified,19605_unified,2137.771743243148
3,196046_unified,19605_unified,1024.5279285043634
4,196047_unified,19605_unified,992.8113826063253
5,196048_unified,19605_unified,1277.4912635279507
6,196049_unified,19605_unified,843.9181528214382
7,196050_unified,19605_unified,923.0637580533673
8,196051_unified,19605_unified,1354.2926843126118
9,196052_unified,19605_unified,729.8309554232344
10,196053_unified,19605_unified,1267.930988224241
11,196054_unified,19605_unified,1392.3607910678186
12,196055_unified,19605_unified,1183.5388763299484
13,196056_unified,19605_unified,1266.4918670091286
14,196057_unified,19605_unified,
0,196058_unified,19606_unified,1541.1249222969516
1,196059_unified,19606_unified,1286.3716677630011
2,196060_unified,19606_unified,1085.1595773663262
3,196061_unified,19606_unified,457.5995562968838
4,196062_unified,19606_unified,1239.9108862281507
5,196063_unified,19606_unified,1138.5270636163884
6,196064_unified,19606_unified,1028.310335717693
7,196065_unified,19606_unified,1293.280529595575
8,196066_unified,19606_unified,991.8872126767305
9,196067_unified,19606_unified,788.0456892616611
10,196068_unified,19606_unified,
0,196069_unified,19607_unified,915.5853976215018
1,196070_unified,19607_unified,549.690287353612
2,196071_unified,19607_unified,1362.4946240533038
3,196072_unified,19607_unified,1118.200048004154
4,196073_unified,19607_unified,1364.1045108114856
5,196074_unified,19607_unified,1823.997798049851
6,196075_unified,19607_unified,695.9358614442846
7,196076_unified,19607_unified,1631.079688240534
8,196077_unified,19607_unified,843.9181528214382
9,196078_unified,19607_unified,923.0637580533673
10,196079_unified,19607_unified,1593.9724928806875
11,196080_unified,19607_unified,270.85365046041574
12,196081_unified,19607_unified,423.97051581900956
13,196082_unified,19607_unified,827.3127054039248
14,196083_unified,19607_unified,
0,196084_unified,19608_unified,265.5159929243666
1,196085_unified,19608_unified,529.0090804924349
2,196086_unified,19608_unified,943.8420674333348
3,196087_unified,19608_unified,385.65637376509153
4,196088_unified,19608_unified,631.5580680363825
5,196089_unified,19608_unified,254.96779665740266
6,196090_unified,19608_unified,633.8556105941776
7,196091_unified,19608_unified,362.70659489487093
8,196092_unified,19608_unified,720.4233257525894
9,196093_unified,19608_unified,470.61352167727165
10,196094_unified,19608_unified,568.0459139130596
11,196095_unified,19608_unified,565.3115409282417
12,196096_unified,19608_unified,513.7027343808718
13,196097_unified,19608_unified,288.6971277859032
14,196098_unified,19608_unified,
0,196099_unified,19609_unified,298.88790302749976
1,1960100_unified,19609_unified,676.0059789771566
2,1960101_unified,19609_unified,766.8670162517669
3,1960102_unified,19609_unified,690.0801677675242
