stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from,neighbourhood,district,east_west,postal_code
Ostbahnhof,tram,1,19610_east,"52.50910764,13.43550619",,,,,,,,1961849.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Breslauerstr. Ecke Andreasstr.,tram,1,19611_east,"52.51112573,13.43054422",,,,,,,,1961212.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
U-Bhf. Strausbergerplatz,tram,1,19612_east,"52.51808307,13.43293834",,,,,,,,19611228.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Leninplatz,tram,1,19613_east,"52.52326580,13.43264570",Q65553105,,,,,,,1961698.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
"Alexanderplatz, Memhardstr.",tram,1,19614_east,"52.52334390,13.41107730",Q65227406,,,,,,,196115.0,Mitte,Mitte,east,10178
Rosenthalerplatz,tram,1,19615_east,"52.53017690,13.40161210",Q65093945,,,,,,,1961978.0,Mitte,Mitte,east,10119
Invalidenstr. Ecke Chausseestr.,tram,1,19616_east,"52.53041580,13.38273020",Q65552697,,,,,,,1961553.0,Mitte,Mitte,east,10115
Oranienburger Tor,tram,1,19617_east,"52.52560310,13.38727450",Q65095375,,,,,,,1961838.0,Mitte,Mitte,east,10117
Bhf. Friedrichstr.,tram,1,19618_east,"52.51928050,13.38841070",Q65095382,,,,,,,1961119.0,Mitte,Mitte,east,10117
Am Kupfergraben,tram,1,19619_east,"52.51942080,13.39538390",Q65055027,,,,,,,196143.0,Mitte,Mitte,east,10117
Warschauerstr.,tram,3,196110_east,"52.50502000,13.44863000",,52.50502,13.44863,100.0,Warschauerstr.,19671_east,['3'],,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Warschauer Brücke,tram,3,196111_east,"52.50674674,13.44968449",,,,,,,,19611272.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Kopernikusstr. Ecke Warschauerstr.,tram,3,196112_east,"52.50502000,13.44863000",,52.50502,13.44863,90.0,Warschauerstr.,19671_east,['3'],,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Boxhagenerstr. Ecke Holteistr.,tram,3,196113_east,"52.50882350,13.46596900",,52.5088235,13.465969,95.0,Holteistr. Ecke Boxhagenerstr.,19672_east,['3'],,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Bhf. Stalinallee,tram,3,196114_east,"52.51539030,13.45401720",Q65706246,,,,,,,1961162.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Rathaus Lichtenberg,tram,3,196115_east,"52.51566580,13.47885620",Q65948511,,,,,,,1961926.0,Lichtenberg,Lichtenberg,east,10367
Roederplatz,tram,3,196116_east,"52.52660010,13.47906800",Q65685373,,,,,,,1961972.0,Fennpfuhl,Lichtenberg,east,10367
Landsbergerchaussee Ecke Weißenseerweg,tram,3,196117_east,"52.53225800,13.47670500",Q65942700,,,,,,,1961680.0,Fennpfuhl,Lichtenberg,east,10369
Hohenschönhauserstr.,tram,3,196118_east,"52.53593290,13.47294680",,52.5359329,13.4729468,100.0,Hohenschönhauserstr.,19675_east,['3'],,Fennpfuhl,Lichtenberg,east,10369
Klement-Gottwald-Allee Ecke Indira-Ghandistr.,tram,3,196119_east,"52.55207481,13.46563086",,,,,,,,1961612.0,Weißensee,Pankow,east,13088
Antonplatz,tram,3,196120_east,"52.54848030,13.45174160",,52.5484803,13.4517416,100.0,Antonplatz,19677_east,['3'],,Weißensee,Pankow,east,13088
Prenzlauer Promenade,tram,3,196121_east,"52.55155537,13.43032253",,52.55155537,13.43032253,100.0,Prenzlauer Promenade,19678_east,['3'],,Prenzlauer Berg,Pankow,east,10409
Schönhauserallee Ecke Bornholmerstr.,tram,3,196122_east,"52.55377050,13.41388980",Q65076842,,,,,,,19611067.0,Prenzlauer Berg,Pankow,east,10439
Björnsonstr.,tram,3,196123_east,"52.55442320,13.40305850",,52.5544232,13.4030585,100.0,Björnsonstr.,196710_east,['3'],,Prenzlauer Berg,Pankow,east,10439
Warschauerstr.,tram,4,196124_east,"52.50502000,13.44863000",Q63490275,,,,,,,19611275.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Warschauer Brücke,tram,4,196125_east,"52.50674674,13.44968449",,,,,,,,19611272.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Kopernikusstr. Ecke Warschauerstr.,tram,4,196126_east,"52.51058420,13.45262580",Q65950088,,,,,,,1961630.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Grünbergerstr.,tram,4,196127_east,"52.51223590,13.45260900",,52.5122359,13.452609,100.0,Grünbergerstr.,196715_east,['4'],,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Frankfurter Tor/Stalinallee,tram,4,196128_east,"52.51539030,13.45401720",Q65706246,,,,,,,1961357.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Bersarinplatz,tram,4,196129_east,"52.51921500,13.45252570",Q65706258,,,,,,,1961106.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Leninallee,tram,4,196130_east,"52.52593430,13.44623680",Q65553230,,,,,,,1961696.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Kniprodestr.,tram,4,196131_east,"52.53252860,13.44068680",Q65707391,,,,,,,1961619.0,Prenzlauer Berg,Pankow,east,10407
Greifswalderstr.,tram,4,196132_east,"52.53649750,13.43340450",,52.5364975,13.4334045,100.0,Greifswalderstr.,196720_east,['4'],,Prenzlauer Berg,Pankow,east,10405
Prenzlauerallee,tram,4,196133_east,"52.53965220,13.42447890",Q65222180,,,,,,,1961896.0,Prenzlauer Berg,Pankow,east,10405
U-Bhf. Dimitroffstr.,tram,4,196134_east,"52.54019280,13.41139790",Q65088313,,,,,,,19611196.0,Prenzlauer Berg,Pankow,east,10435
Eberswalderstr. Ecke Oderbergerstr.,tram,4,196135_east,"52.54061077,13.40455993",,52.54061077,13.40455993,100.0,Eberswalderstr. Ecke Oderbergerstr.,196723_east,['4'],,Prenzlauer Berg,Pankow,east,10437
Heinrich-Heinestr.,tram,11,196136_east,"52.51099529,13.41642024",,,,,,,,1961497.0,Mitte,Mitte,east,10179
S-Bhf. Jannowitzbrücke,tram,11,196137_east,"52.51478600,13.41805624",,,,,,,,19611001.0,Mitte,Mitte,east,10179
"Alexanderplatz, Memhardstr.",tram,11,196138_east,"52.52334390,13.41107730",Q65227406,,,,,,,196115.0,Mitte,Mitte,east,10178
Rosenthalerplatz,tram,11,196139_east,"52.53017690,13.40161210",Q65093945,,,,,,,1961978.0,Mitte,Mitte,east,10119
Brunnenstr. Ecke Invalidenstr.,tram,11,196140_east,"52.53245420,13.39742360",Q65691740,,,,,,,1961217.0,Mitte,Mitte,east,10115
Oranienburger Tor,tram,11,196141_east,"52.52560310,13.38727450",Q65095375,,,,,,,1961838.0,Mitte,Mitte,east,10117
Hannoverschestr.,tram,11,196142_east,"52.52716496,13.38704676",,,,,,,,1961467.0,Mitte,Mitte,east,10115
"Klingenberg, Blockdammweg",tram,13,196143_east,"52.48424620,13.51046090",Q66085182,,,,,,,1961613.0,Karlshorst,Lichtenberg,east,10318
Kraftwerk Klingenberg,tram,13,196144_east,"52.48813740,13.49586850",Q66079524,,,,,,,1961635.0,Rummelsburg,Lichtenberg,east,10317
Karlshorsterstr.,tram,13,196145_east,"52.50233410,13.47546688",,,,,,,,1961589.0,Rummelsburg,Lichtenberg,east,10317
Boxhagenerstr. Ecke Holteistr.,tram,13,196146_east,"52.50882350,13.46596900",Q65675805,,,,,,,1961533.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Frankfurter Tor/Stalinallee,tram,13,196147_east,"52.51539030,13.45401720",,52.5153903,13.4540172,90.0,Frankfurter Tor,196728_east,['13'],,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Bersarinplatz,tram,13,196148_east,"52.51921500,13.45252570",,52.519215,13.4525257,100.0,Bersarinplatz,196729_east,['13'],,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Leninallee,tram,13,196149_east,"52.52593430,13.44623680",,52.5259343,13.4462368,100.0,Leninallee,196730_east,['13'],,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Kniprodestr.,tram,13,196150_east,"52.53252860,13.44068680",Q65707391,,,,,,,1961619.0,Prenzlauer Berg,Pankow,east,10407
Greifswalderstr.,tram,13,196151_east,"52.53649750,13.43340450",Q65548960,,,,,,,1961425.0,Prenzlauer Berg,Pankow,east,10405
Prenzlauerallee,tram,13,196152_east,"52.53965220,13.42447890",Q65222180,,,,,,,1961896.0,Prenzlauer Berg,Pankow,east,10405
U-Bhf. Dimitroffstr.,tram,13,196153_east,"52.54019280,13.41139790",Q65088313,,,,,,,19611196.0,Prenzlauer Berg,Pankow,east,10435
Bhf. Rosenthal,tram,22,196154_east,"52.59866400,13.37266520",Q65364041,,,,,,,1961151.0,Rosenthal,Pankow,east,13158
Nordendstr.,tram,22,196155_east,"52.58853400,13.38829520",,52.588534,13.3882952,100.0,Nordendstr.,196737_east,['22'],,Niederschönhausen,Pankow,east,13156
Kurt-Fischer-Platz,tram,22,196156_east,"52.57866800,13.39830160",,52.578668,13.3983016,100.0,Kurt-Fischer-Platz,196738_east,['22'],,Niederschönhausen,Pankow,east,13156
"Pankow, Kirche",tram,22,196157_east,"52.57064520,13.41031150",Q65055066,,,,,,,1961859.0,Pankow,Pankow,east,13187
S-Bhf. Pankow,tram,22,196158_east,"52.56756920,13.41216410",Q65055075,,,,,,,19611010.0,Pankow,Pankow,east,13187
U-Bhf. Vinetastr.,tram,22,196159_east,"52.55961680,13.41323200",Q65075426,,,,,,,19611234.0,Pankow,Pankow,east,13189
S-Bhf. Schönhauserallee,tram,22,196160_east,"52.54936190,13.41357340",Q65088013,,,,,,,19611016.0,Prenzlauer Berg,Pankow,east,10439
U-Bhf. Dimitroffstr.,tram,22,196161_east,"52.54019280,13.41139790",Q65088313,,,,,,,19611196.0,Prenzlauer Berg,Pankow,east,10435
Rosenthalerplatz,tram,22,196162_east,"52.53017690,13.40161210",Q65093945,,,,,,,1961978.0,Mitte,Mitte,east,10119
"Alexanderplatz, Memhardstr.",tram,22,196163_east,"52.52334390,13.41107730",Q65227406,,,,,,,196115.0,Mitte,Mitte,east,10178
Elisabethstr.,tram,22,196164_east,"52.51764985,13.41804614",Q65364041,,,,,,,1961316.0,Mitte,Mitte,east,10179
"Niederschönhausen, Schillerstr.",tram,46,196165_east,"52.59230510,13.41088000",Q65032581,,,,,,,1961814.0,Niederschönhausen,Pankow,east,13156
Nordend,tram,46,196166_east,"52.59021040,13.40275240",,52.5902104,13.4027524,100.0,Nordend,196745_east,['46'],,Niederschönhausen,Pankow,east,13156
Ossietzkyplatz,tram,46,196167_east,"52.58100580,13.40401481",,52.5810058,13.40401481,100.0,Ossietzkyplatz,196746_east,['46'],,Niederschönhausen,Pankow,east,13156
Kurt-Fischer-Platz,tram,46,196168_east,"52.57866800,13.39830160",Q65032974,,,,,,,1961656.0,Niederschönhausen,Pankow,east,13156
"Pankow, Rathaus",tram,46,196169_east,"52.56948160,13.40380450",Q65055060,,,,,,,1961861.0,Pankow,Pankow,east,13187
S-Bhf. Pankow,tram,46,196170_east,"52.56756920,13.41216410",Q65055075,,,,,,,19611010.0,Pankow,Pankow,east,13187
U-Bhf. Vinetastr.,tram,46,196171_east,"52.55961680,13.41323200",,52.5596168,13.413232,100.0,U-Bhf. Vinetastr.,196749_east,['46'],,Pankow,Pankow,east,13189
S-Bhf. Schönhauserallee,tram,46,196172_east,"52.54936190,13.41357340",,52.5493619,13.4135734,100.0,S-Bhf. Schönhauserallee,196751_east,['46'],,Prenzlauer Berg,Pankow,east,10439
U-Bhf. Dimitroffstr.,tram,46,196173_east,"52.54019280,13.41139790",Q65088313,,,,,,,19611196.0,Prenzlauer Berg,Pankow,east,10435
Brunnenstr.,tram,46,196174_east,"52.53245420,13.39742360",Q65691740,,,,,,,1961216.0,Mitte,Mitte,east,10115
Oranienburger Tor,tram,46,196175_east,"52.52560310,13.38727450",Q65095375,,,,,,,1961838.0,Mitte,Mitte,east,10117
Bhf. Friedrichstr.,tram,46,196176_east,"52.51928050,13.38841070",,52.5192805,13.3884107,100.0,Bhf. Friedrichstr.,196755_east,['46'],,Mitte,Mitte,east,10117
Am Kupfergraben,tram,46,196177_east,"52.51942080,13.39538390",Q65055027,,,,,,,196143.0,Mitte,Mitte,east,10117
"Buchholz, Hauptstr.",tram,49,196178_east,"52.61907206,13.39338336",,52.61907206,13.39338336,100.0,"Buchholz, Hauptstr.",196757_east,['49'],,Blankenfelde,Pankow,east,13159
Rosenthalerweg,tram,49,196179_east,"52.60625637,13.42008768",,,,,,,,19611368.0,Französisch Buchholz,Pankow,east,13127
Blankenburgerstr. Ecke Pasewalkerstr.,tram,49,196180_east,"52.58856587,13.43021651",,,,,,,,1961188.0,Französisch Buchholz,Pankow,east,13127
"Galenusstr., Krankenhaus Pankow",tram,49,196181_east,"52.58181830,13.42876780",,52.5818183,13.4287678,90.0,Galenusstr.,196759_east,['49'],,Pankow,Pankow,east,13127
S-Bhf. Pankow-Heinersdorf,tram,49,196182_east,"52.57750782,13.42785306",,52.57750782,13.42785306,100.0,S-Bhf. Pankow-Heinersdorf,196760_east,['49'],,Pankow,Pankow,east,13187
"Pankow, Kirche",tram,49,196183_east,"52.57064520,13.41031150",,52.5706452,13.4103115,100.0,"Pankow, Kirche",196762_east,['49'],,Pankow,Pankow,east,13187
S-Bhf. Pankow,tram,49,196184_east,"52.57750782,13.42785306",,52.57750782,13.42785306,90.0,S-Bhf. Pankow-Heinersdorf,196760_east,['49'],,Pankow,Pankow,east,13187
U-Bhf. Vinetastr.,tram,49,196185_east,"52.55961680,13.41323200",Q65075426,,,,,,,19611234.0,Pankow,Pankow,east,13189
Bornholmerstr. Ecke Schönhauserallee,tram,49,196186_east,"52.55377050,13.41388980",Q65076842,,,,,,,1961199.0,Prenzlauer Berg,Pankow,east,10439
S-Bhf. Schönhauserallee,tram,49,196187_east,"52.54936190,13.41357340",Q65088013,,,,,,,19611016.0,Prenzlauer Berg,Pankow,east,10439
U-Bhf. Dimitroffstr.,tram,49,196188_east,"52.54019280,13.41139790",,52.5401928,13.4113979,100.0,U-Bhf. Dimitroffstr.,196766_east,['49'],,Prenzlauer Berg,Pankow,east,10435
Rosenthalerplatz,tram,49,196189_east,"52.53017690,13.40161210",Q65093945,,,,,,,1961978.0,Mitte,Mitte,east,10119
"Hackescher Markt, Große Präsidentenstr.",tram,49,196190_east,"52.52339250,13.40144678",,,,,,,,1961456.0,Mitte,Mitte,east,10178
"Hohenschönhausen, Gartenstadt",tram,63,196191_east,"52.55695491,13.52811922",,52.556954911992,13.528119219844012,100.0,"Hohenschönhausen, Gartenstadt",196769_east,['63'],,Neu-Hohenschönhausen,Lichtenberg,east,13057
Falkenbergerstr. Ecke Wartenbergerstr.,tram,63,196192_east,"52.55036672,13.50991503",,52.55036672,13.50991503,100.0,Falkenbergerstr. Ecke Wartenbergerstr.,196770_east,['63'],,Alt-Hohenschönhausen,Lichtenberg,east,13053
"Hohenschönhausen, Hauptstr.",tram,63,196193_east,"52.54888440,13.50460084",,,,,,,,1961477.0,Alt-Hohenschönhausen,Lichtenberg,east,13055
Degnerstr.,tram,63,196194_east,"52.54488037,13.49394995",,,,,,,,1961277.0,Alt-Hohenschönhausen,Lichtenberg,east,13055
