line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30),profile,capacity
19641_west,1964,15,tram,Daimlerstr.<> Schulenburgpark,36.0,,west,10.0,,195
19642_west,1964,47,tram,Gradestr. Ecke Tempelhoferweg<> Große-Ziethenchaussee Ecke Waltersdorferchaussee,21.0,,west,10.0,,195
19643_west,1964,53,tram,Richard-Wagner-Platz<> Hakenfelde,40.0,,west,20.0,,195
19644_west,1964,54,tram,Richard-Wagner-Platz<> Johannesstift,41.0,,west,20.0,,195
19645_west,1964,55,tram,Bhf. Zoo<> Hakenfelde,51.0,,west,15.0,,195
19646_west,1964,75,tram,"Bhf. Zoo, Kantstr.<> Hakenfelde",58.0,,west,20.0,,195
19647_west,1964,76,tram,"Bhf. Zoo, Kantstr.<> Johannesstift",59.0,,west,20.0,,195
19648_west,1964,95,tram,Mehringplatz<> Schwarzerweg Ecke Sonnenallee,25.0,,west,15.0,,195
19649_west,1964,96,tram,Lindenstr.<> Goerzallee,49.0,,west,15.0,,195
196410_west,1964,A1,autobus,"Moabit, Waldstr. Ecke Turmstr.<> Lindenstr. Ecke Müllerstr.",58.0,,west,15.0,,0
196411_west,1964,A2,autobus,Bhf. Zoo<> Trippsteinstr.,39.0,,west,10.0,,0
196412_west,1964,A3,autobus,"Rathaus Zehlendorf<> Stölpchensee, Wilhelmplatz",39.0,,west,10.0,,0
196413_west,1964,A10,autobus,"Haselhorst, Kirche<> Lupsteinerweg",62.0,,west,10.0,,0
196414_west,1964,A11,autobus,"Saargemünderstr.<> Marienfelde, Alt-Marienfelde",34.0,,west,7.0,,0
196415_west,1964,A12,autobus,Gartenstr. Ecke Bernauerstr.<> Hainbuchenstr. Ecke Kastanienallee,54.0,,west,20.0,,0
196416_west,1964,A12S,autobus,Leopoldplatz<> Zeltingerplatz,31.0,,west,10.0,,0
196417_west,1964,A13,autobus,Alt-Heiligensee<> Weinmeisterhornweg,57.0,,west,15.0,,0
196418_west,1964,A14,autobus,Alt-Heiligensee<> Rügenerstr.,53.0,,west,20.0,,0
196419_west,1964,A15,autobus,"Lübarserstr. Ecke Eichhorsterweg<> Frohnau, Invalidensiedlung",55.0,,west,20.0,,0
196420_west,1964,A16,autobus,Osloerstr.<> Englerallee,50.0,,west,15.0,,0
196421_west,1964,A17,autobus,"Grunewald, Fontanestr.<> Saaleckplatz",46.0,,west,10.0,,0
196422_west,1964,A18,autobus,Saargemünderstr.<> Kohlhasenbrück,32.0,,west,20.0,,0
196423_west,1964,A19,autobus,Roseneck<> Flughafen,39.0,,west,10.0,,0
196424_west,1964,A20,autobus,"Tegelort<> Lübars, Dorfaue",36.0,,west,15.0,,0
196425_west,1964,A21,autobus,Wentowsteig<> U-Bhf. Fehrbellinerplatz,50.0,,west,15.0,,0
196426_west,1964,A24,autobus,Wiebestr.<> Flughafen,39.0,,west,15.0,,0
196427_west,1964,A25,autobus,Unionplatz<> Grünerweg Ecke Buschkrugallee,59.0,,west,10.0,,0
196428_west,1964,A28,autobus,Loewenhardtdamm<> Heckmannufer,30.0,,west,7.0,,0
196429_west,1964,A29,autobus,Roseneck<> Oranienplatz,40.0,,west,10.0,,0
196430_west,1964,A31,autobus,Machandelweg<> Heidebergplan,30.0,,west,20.0,,0
196431_west,1964,A32,autobus,Breitenbachplatz<> Bhf. Marienfelde,28.0,,west,6.0,,0
196432_west,1964,A33,autobus,"Berlinickestr. Ecke Albrechtstr.<> Mariendorf, Kaiserstr.",15.0,,west,5.0,,0
196433_west,1964,A34,autobus,"Spandau, Friedhof<> Gutshof",48.0,,west,30.0,,0
196434_west,1964,A35,autobus,"Spandau, Friedhof<> Hottengrund",45.0,,west,30.0,,0
196435_west,1964,A35E,autobus,Altenheim Hottengrund<> Alt-Kladow Ecke Kladowerdamm,7.0,,west,274.0,,0
196436_west,1964,A4,autobus,Brixplatz<> Harzerstr.,56.0,,west,10.0,,0
196437_west,1964,A48,autobus,"Potsdamerstr. Ecke Fischerhüttenstr.<> Philharmonie, Tiergartenstr.",39.0,,west,10.0,,0
196438_west,1964,A5,autobus,Machandelweg<> Nervenklinik,32.0,,west,10.0,,0
196439_west,1964,A50,autobus,Roseneck<> Pragerplatz,19.0,,west,10.0,,0
196440_west,1964,A51,autobus,Bhf. Wannsee<> Krankenhaus Heckeshorn,10.0,,west,28.0,,0
196441_west,1964,A52,autobus,"Marienfelde, Stadtrandsiedlung<> Stubenrauchstr. Ecke Kanalstr.",46.0,,west,20.0,,0
196442_west,1964,A53,autobus,Dreilindenstr.<> Jungfernstieg,47.0,,west,20.0,,0
196443_west,1964,A6,autobus,Bhf. Wannsee<> Glienicker Brücke,13.0,,west,30.0,,0
196444_west,1964,A60,autobus,"Roseneck, Hundekehl<> Wittenbergplatz",26.0,,west,10.0,,0
196445_west,1964,A61,autobus,"Zobeltitzstr.<> Gartenplatz, Feldstr.",32.0,,west,10.0,,0
196446_west,1964,A62,autobus,Wittenau<> Wittenbergplatz,38.0,,west,15.0,,0
196447_west,1964,A63,autobus,Radelandstr. Ecke Niederheideweg<> Seegefelderweg,31.0,,west,20.0,,0
196448_west,1964,A64,autobus,Bernauerstr. Ecke Wollinerstr.<> Höllenderstr. Ecke Septimerstr.,26.0,,west,7.0,,0
196449_west,1964,A65,autobus,Goebelplatz<> Schulenburgpark,56.0,,west,10.0,,0
196450_west,1964,A66,autobus,"Doppel-Süd, Berlepschstr.<> U-Bhf. Onkel-Toms-Hütte",18.0,,west,20.0,,0
196451_west,1964,A67,autobus,"Jerusalems-Kirche, Lindenstr.<> Otto-Wels-Ring",36.0,,west,5.0,,0
196452_west,1964,A68,autobus,Clayallee Ecke Königin-Luise-Str.<> Bhf. Tempelhof,36.0,,west,15.0,,0
196453_west,1964,A69,autobus,Eichkamp<> Moltkebrücke,32.0,,west,20.0,,0
196454_west,1964,A70,autobus,"Bhf. Wollankstr.<> Wiebestr., Strassenbahnhof",27.0,,west,10.0,,0
196455_west,1964,A71,autobus,Bhf. Wilhelmsruh<> Bernauerstr. Ecke Wollinerstr.,22.0,,west,15.0,,0
196456_west,1964,A72,autobus,Alt-Reinickendorf Ecke Rödernallee<> Gartenfeld,46.0,,west,15.0,,0
196457_west,1964,A73,autobus,Bhf. Zoo<> Buschkrug Alle Ecke Blaschko-Allee,35.0,,west,10.0,,0
196458_west,1964,A74,autobus,Königin-Elisabeth-Str.<> Eythstr.,39.0,,west,15.0,,0
196459_west,1964,A75,autobus,Munsterdamm Ecke Steglitzerdamm<> Hermannplatz,47.0,,west,10.0,,0
196460_west,1964,A76,autobus,Blohmstr. Ecke Wünsdorferstr.<> Platz Der Luftbrücke,36.0,,west,10.0,,0
196461_west,1964,A77,autobus,Daimlerstr.<> Platz Der Luftbrücke,25.0,,west,10.0,,0
196462_west,1964,A78,autobus,Tropfsteinweg Ecke Quarz-Weg<> Platz Der Luftbrücke,26.0,,west,10.0,,0
196463_west,1964,A79,autobus,Leopoldplatz<> Sommerstr. Ecke Klemkestr.,16.0,,west,10.0,,0
