stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from,neighbourhood,district,east_west,postal_code
Daimlerstr.,tram,15,19640_west,"52.42636276,13.37438168",,52.42636276,13.37438168,90.0,Großbeerenstr. Ecke Daimlerstr.,19651_west,['15'],,Marienfelde,Tempelhof-Schöneberg,west,12277
Großbeerenstr. Ecke Lankwitzerstr.,tram,15,19641_west,"52.43791017,13.38048153",,,,,,,,1964410.0,Mariendorf,Tempelhof-Schöneberg,west,12107
Körtingstr.,tram,15,19642_west,"52.43481353,13.37831564",,52.43481353,13.37831564,90.0,Körtingstr. Ecke Großbeerenstr.,19652_west,['15'],,Mariendorf,Tempelhof-Schöneberg,west,12107
Mariendorferdamm,tram,15,19643_west,"52.44016815,13.38730997",,52.44016815,13.38730997,90.0,Mariendorferdamm Ecke Alt-Mariendorf,19653_west,['15'],,Mariendorf,Tempelhof-Schöneberg,west,12107
Imbrosweg,tram,15,19644_west,"52.44352627,13.39862544",,52.44352627,13.39862544,90.0,Imbrosweg Ecke Rixdorferstr.,19654_west,['15'],,Mariendorf,Tempelhof-Schöneberg,west,12109
Mariendorfer Friedhof,tram,15,19645_west,"52.44953069,13.40475593",,,,,,,,1964776.0,Mariendorf,Tempelhof-Schöneberg,west,12109
Industriestr.,tram,15,19646_west,"52.45533607,13.40989571",,52.45533607,13.40989571,90.0,Industriestr. Ecke Gottlieb-Dunkel-Str.,19656_west,['15'],,Tempelhof,Tempelhof-Schöneberg,west,12099
Germaniastr.,tram,15,19647_west,"52.46053987,13.41805889",,52.46053987,13.41805889,90.0,Germaniastr. Ecke Gottlieb-Dunkel-Str.,19657_west,['15'],,Tempelhof,Tempelhof-Schöneberg,west,12099
Frauenklinik,tram,15,19648_west,"52.46394991,13.42750955",,52.46394991,13.42750955,90.0,"Frauenklinik, Mariendorferweg",19658_west,['15'],,Neukölln,Neukölln,west,12051
Hermannstr.,tram,15,19649_west,"52.46638908,13.43610847",,52.466389076559096,13.436108467114586,90.0,Hermannstr./Britzerdamm,19659_west,['15'],,Neukölln,Neukölln,west,12051
U-Bhf. Neukölln,tram,15,196410_west,"52.46965568,13.44161494",,52.46965568,13.44161494,100.0,U-Bhf. Neukölln,196510_west,['15'],,Neukölln,Neukölln,west,12055
Richardstr.,tram,15,196411_west,"52.47098038,13.44634551",,52.47098038,13.44634551,90.0,Richardstr. Ecke Braunschweigerstr.,196511_west,['15'],,Neukölln,Neukölln,west,12055
Saalestr. Ecke Sonnenallee,tram,15,196412_west,"52.47384843,13.45589857",,52.47384843,13.45589857,100.0,Saalestr. Ecke Sonnenallee,196512_west,['15'],,Neukölln,Neukölln,west,12059
Dammweg,tram,15,196413_west,"52.47028918,13.46461967",,52.47028918,13.46461967,90.0,Dammweg Ecke Sonnenallee,196513_west,['15'],,Neukölln,Neukölln,west,12057
Schulenburgpark,tram,15,196414_west,"52.46666061,13.47029259",,52.46666061,13.47029259,100.0,Schulenburgpark,196514_west,['15'],,Neukölln,Neukölln,west,12057
Gradestr. Ecke Tempelhoferweg,tram,47,196415_west,"52.45253932,13.43305683",,52.45253932,13.43305683,100.0,Gradestr. Ecke Tempelhoferweg,196515_west,['47'],,Britz,Neukölln,west,12347
U-Bhf. Blaschko-Allee,tram,47,196416_west,"52.45247429,13.44902591",,52.45247429,13.44902591,98.0,U-Bhf. Blaschkoallee,196516_west,['47'],,Britz,Neukölln,west,12359
