stop_name,type,line_name,stop_id,location,identifier,neighbourhood,district,east_west,postal_code
Pankow (Vinetastr.),u-bahn,A,19650_east,"52.55916667,13.41333333",Q570906,Pankow,Pankow,east,13189
Schönhauserallee,u-bahn,A,19651_east,"52.54932889,13.41370611",Q47014936,Prenzlauer Berg,Pankow,east,10439
Dimitroffstr.,u-bahn,A,19652_east,"52.54166667,13.41222222",Q571382,Prenzlauer Berg,Pankow,east,10437
Senefelderplatz,u-bahn,A,19653_east,"52.53242000,13.41274300",Q32661454,Prenzlauer Berg,Pankow,east,10405
Luxemburgplatz,u-bahn,A,19654_east,"52.52833333,13.41027778",Q658790,Mitte,Mitte,east,10119
Alexanderplatz,u-bahn,A,19655_east,"52.52140000,13.41190000",Q17173458,Mitte,Mitte,east,10179
Klosterstr.,u-bahn,A,19656_east,"52.51611111,13.41222222",Q657893,Mitte,Mitte,east,10179
Märkisches Museum,u-bahn,A,19657_east,"52.51194444,13.40888889",Q657871,Mitte,Mitte,east,10179
Spittelmarkt,u-bahn,A,19658_east,"52.51111111,13.40361111",Q569489,Mitte,Mitte,east,10179
Hausvogteiplatz,u-bahn,A,19659_east,"52.51305556,13.39666667",Q656523,Mitte,Mitte,east,10117
Stadtmitte (Mohrenstr.),u-bahn,A,196510_east,"52.51167000,13.38472000",Q658391,Mitte,Mitte,east,10117
Thälmannplatz,u-bahn,A,196511_east,"52.51167000,13.38472000",Q658391,Mitte,Mitte,east,10117
Alexanderplatz,u-bahn,E,196512_east,"52.52140000,13.41190000",Q17173458,Mitte,Mitte,east,10179
Schillingstr.,u-bahn,E,196513_east,"52.52027800,13.42166700",Q552899,Mitte,Mitte,east,10178
Strausbergerplatz,u-bahn,E,196514_east,"52.51805556,13.43083333",Q570999,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Marchlewskistr.,u-bahn,E,196515_east,"52.51679444,13.44499167",Q551768,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Frankfurter Tor,u-bahn,E,196516_east,"52.51583333,13.45416667",Q568627,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Samariterstr.,u-bahn,E,196517_east,"52.51472222,13.46444444",Q552891,Friedrichshain,Friedrichshain-Kreuzberg,east,10247
Frankfurterallee (Ringbahn),u-bahn,E,196518_east,"52.51363889,13.47569444",Q3752007,Lichtenberg,Lichtenberg,east,10365
Magdalenenstr.,u-bahn,E,196519_east,"52.51250000,13.48638889",Q473901,Lichtenberg,Lichtenberg,east,10365
Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,E,196520_east,"52.51055600,13.49638900",Q3831986,Rummelsburg,Lichtenberg,east,10317
Friedrichsfelde (Tierpark),u-bahn,E,196521_east,"52.50611111,13.51277778",Q429781,Friedrichsfelde,Lichtenberg,east,10315
Adalbertstr. Ecke Köpenickerstr.,tram,1,196522_east,"52.50882154,13.42463886",,Mitte,Mitte,east,10179
