stop_name,type,line_name,stop_id,location,identifier,neighbourhood,district,east_west,postal_code
"Marienfelde, Daimlerstr.",tram,15,19650_west,"52.42393712,13.38022295",,Marienfelde,Tempelhof-Schöneberg,west,12277
Großbeerenstr. Ecke Daimlerstr.,tram,15,19651_west,"52.42636276,13.37438168",,Marienfelde,Tempelhof-Schöneberg,west,12277
Körtingstr. Ecke Großbeerenstr.,tram,15,19652_west,"52.43481353,13.37831564",,Mariendorf,Tempelhof-Schöneberg,west,12107
Mariendorferdamm Ecke Alt-Mariendorf,tram,15,19653_west,"52.44016815,13.38730997",,Mariendorf,Tempelhof-Schöneberg,west,12107
Imbrosweg Ecke Rixdorferstr.,tram,15,19654_west,"52.44352627,13.39862544",,Mariendorf,Tempelhof-Schöneberg,west,12109
Mariendamm Friedhof,tram,15,19655_west,"52.44953069,13.40475593",,Mariendorf,Tempelhof-Schöneberg,west,12109
Industriestr. Ecke Gottlieb-Dunkel-Str.,tram,15,19656_west,"52.45533607,13.40989571",,Tempelhof,Tempelhof-Schöneberg,west,12099
Germaniastr. Ecke Gottlieb-Dunkel-Str.,tram,15,19657_west,"52.46053987,13.41805889",,Tempelhof,Tempelhof-Schöneberg,west,12099
"Frauenklinik, Mariendorferweg",tram,15,19658_west,"52.46394991,13.42750955",,Neukölln,Neukölln,west,12051
Hermannstr./Britzerdamm,tram,15,19659_west,"52.46276073,13.43439092",,Britz,Neukölln,west,12347
U-Bhf. Neukölln,tram,15,196510_west,"52.46965568,13.44161494",,Neukölln,Neukölln,west,12055
Richardstr. Ecke Braunschweigerstr.,tram,15,196511_west,"52.47098038,13.44634551",,Neukölln,Neukölln,west,12055
Saalestr. Ecke Sonnenallee,tram,15,196512_west,"52.47384843,13.45589857",,Neukölln,Neukölln,west,12059
Dammweg Ecke Sonnenallee,tram,15,196513_west,"52.47028918,13.46461967",,Neukölln,Neukölln,west,12057
Schulenburgpark,tram,15,196514_west,"52.46666061,13.47029259",,Neukölln,Neukölln,west,12057
Gradestr. Ecke Tempelhoferweg,tram,47,196515_west,"52.45253932,13.43305683",,Britz,Neukölln,west,12347
U-Bhf. Blaschkoallee,tram,47,196516_west,"52.45247429,13.44902591",,Britz,Neukölln,west,12359
Buschkrugallee Ecke Blaschkoallee,tram,47,196517_west,"52.45253092,13.45217109",,Britz,Neukölln,west,12359
Onkel-Herse-Str. Ecke Buschkrugallee,tram,47,196518_west,"52.44824572,13.45392578",,Britz,Neukölln,west,12359
Parchimerallee Ecke Buschkrugallee,tram,47,196519_west,"52.44543069,13.45497615",,Britz,Neukölln,west,12359
Grünerweg Ecke Buschkrugallee,tram,47,196520_west,"52.44256249,13.45634565",,Britz,Neukölln,west,12359
Krankenhaus Neukölln,tram,47,196521_west,"52.43977054,13.45935906",,Buckow,Neukölln,west,12351
Johannisthaler Chaussee Ecke Rudowerstr.,tram,47,196522_west,"52.43431775,13.46904333",,Buckow,Neukölln,west,12351
Wildmeisterdamm Ecke Neuköllnerstr.,tram,47,196523_west,"52.42577675,13.48323925",,Rudow,Neukölln,west,12357
Stubenrauchstr. Ecke Neuköllnerstr.,tram,47,196524_west,"52.42416862,13.48544348",,Rudow,Neukölln,west,12357
Köpenickerstr. Ecke Neuköllnerstr.,tram,47,196525_west,"52.41693184,13.49408867",,Rudow,Neukölln,west,12355
Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee,tram,47,196526_west,"52.41611361,13.49741897",,Rudow,Neukölln,west,12355
Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee,tram,47P,196527_west,"52.41611361,13.49741897",,Rudow,Neukölln,west,12355
"Rudow, Stadtgrenze",tram,47P,196528_west,"52.40149832,13.51359770",,Rudow,Neukölln,west,12355
Richard-Wagner-Platz,tram,53,196529_west,"52.51757062,13.30624812",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10585
Luisenplatz,tram,53,196530_west,"52.52039497,13.29942701",,Charlottenburg,Charlottenburg-Wilmersdorf,west,14059
Klausenerplatz,tram,53,196531_west,"52.51920201,13.29186737",,Charlottenburg,Charlottenburg-Wilmersdorf,west,14059
Kirschenallee Ecke Spandauerdamm,tram,53,196532_west,"52.52038534,13.26714901",,Westend,Charlottenburg-Wilmersdorf,west,14050
Schloß Ruhwald,tram,53,196533_west,"52.52160458,13.26039687",,Westend,Charlottenburg-Wilmersdorf,west,14050
U-Bhf. Ruhleben,tram,53,196534_west,"52.52595777,13.24137187",,Spandau,Spandau,west,13597
Teltowerstr. Ecke Ruhlebenerstr.,tram,53,196535_west,"52.52649488,13.21644671",,Wilhelmstadt,Spandau,west,13597
Freiheit,tram,53,196536_west,"52.53269779,13.20751844",,Spandau,Spandau,west,13597
Spandauer Markt,tram,53,196537_west,"52.53687071,13.20531554",,Spandau,Spandau,west,13597
Hafenplatz,tram,53,196538_west,"52.54229255,13.20620113",,Spandau,Spandau,west,13585
Lynarstr. Ecke Neuendorferstr.,tram,53,196539_west,"52.54898037,13.21025253",,Hakenfelde,Spandau,west,13585
Hohenzollernring Ecke Streitstr.,tram,53,196540_west,"52.55572554,13.20753076",,Hakenfelde,Spandau,west,13587
"Hakenfelde, Niederneuendorferallee",tram,53,196541_west,"52.57049943,13.21252012",,Hakenfelde,Spandau,west,13587
Richard-Wagner-Platz,tram,54,196542_west,"52.51757062,13.30624812",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10585
Luisenplatz,tram,54,196543_west,"52.52039497,13.29942701",,Charlottenburg,Charlottenburg-Wilmersdorf,west,14059
Klausenerplatz,tram,54,196544_west,"52.51920201,13.29186737",,Charlottenburg,Charlottenburg-Wilmersdorf,west,14059
Kirschenallee Ecke Spandauerdamm,tram,54,196545_west,"52.52038534,13.26714901",,Westend,Charlottenburg-Wilmersdorf,west,14050
Schloß Ruhwald,tram,54,196546_west,"52.52160458,13.26039687",,Westend,Charlottenburg-Wilmersdorf,west,14050
U-Bhf. Ruhleben,tram,54,196547_west,"52.52595777,13.24137187",,Spandau,Spandau,west,13597
