stop_order,stop_id,line_id
0,19670_east,19671_east
1,19671_east,19671_east
2,19672_east,19671_east
3,19673_east,19671_east
4,19674_east,19671_east
5,19675_east,19671_east
6,19676_east,19671_east
7,19677_east,19671_east
8,19678_east,19671_east
9,19679_east,19671_east
10,196710_east,19671_east
0,196714_east,19672_east
1,196715_east,19672_east
2,196716_east,19672_east
3,196717_east,19672_east
4,196718_east,19672_east
5,196719_east,19672_east
6,196720_east,19672_east
7,196721_east,19672_east
8,196722_east,19672_east
9,196723_east,19672_east
0,196724_east,19673_east
1,196725_east,19673_east
2,196726_east,19673_east
3,196727_east,19673_east
4,196728_east,19673_east
5,196729_east,19673_east
6,196730_east,19673_east
7,196731_east,19673_east
8,196732_east,19673_east
9,196733_east,19673_east
10,196734_east,19673_east
11,196735_east,19673_east
0,196736_east,19674_east
1,196737_east,19674_east
2,196738_east,19674_east
3,196739_east,19674_east
4,196740_east,19674_east
5,196741_east,19674_east
6,196742_east,19674_east
7,196743_east,19674_east
8,196744_east,19674_east
0,196745_east,19675_east
1,196746_east,19675_east
2,196747_east,19675_east
3,196748_east,19675_east
4,196749_east,19675_east
5,196750_east,19675_east
6,196751_east,19675_east
7,196752_east,19675_east
8,196753_east,19675_east
9,196754_east,19675_east
10,196755_east,19675_east
11,196756_east,19675_east
0,196757_east,19676_east
1,196758_east,19676_east
2,196759_east,19676_east
3,196760_east,19676_east
4,196761_east,19676_east
5,196762_east,19676_east
6,196763_east,19676_east
7,196764_east,19676_east
8,196765_east,19676_east
9,196766_east,19676_east
10,196767_east,19676_east
11,196768_east,19676_east
0,196769_east,19677_east
1,196770_east,19677_east
2,196771_east,19677_east
3,196772_east,19677_east
4,196773_east,19677_east
5,196774_east,19677_east
6,196775_east,19677_east
7,196776_east,19677_east
8,196777_east,19677_east
9,196778_east,19677_east
10,196779_east,19677_east
11,196780_east,19677_east
12,196781_east,19677_east
13,196782_east,19677_east
0,196783_east,19678_east
1,196784_east,19678_east
2,196785_east,19678_east
3,196786_east,19678_east
4,196787_east,19678_east
5,196788_east,19678_east
6,196789_east,19678_east
7,196790_east,19678_east
8,196791_east,19678_east
9,196792_east,19678_east
10,196793_east,19678_east
11,196794_east,19678_east
12,196795_east,19678_east
0,196796_east,19679_east
1,196797_east,19679_east
2,196798_east,19679_east
3,196799_east,19679_east
4,1967100_east,19679_east
5,1967101_east,19679_east
6,1967102_east,19679_east
7,1967103_east,19679_east
8,1967104_east,19679_east
9,1967105_east,19679_east
10,1967106_east,19679_east
11,1967107_east,19679_east
12,1967108_east,19679_east
13,1967109_east,19679_east
14,1967110_east,19679_east
0,1967111_east,196710_east
1,1967112_east,196710_east
2,1967113_east,196710_east
3,1967114_east,196710_east
4,1967115_east,196710_east
5,1967116_east,196710_east
6,1967117_east,196710_east
7,1967118_east,196710_east
8,1967119_east,196710_east
9,1967120_east,196710_east
10,1967121_east,196710_east
0,1967122_east,196711_east
1,1967123_east,196711_east
2,1967124_east,196711_east
3,1967125_east,196711_east
4,1967126_east,196711_east
5,1967127_east,196711_east
6,1967128_east,196711_east
7,1967129_east,196711_east
8,1967130_east,196711_east
9,1967131_east,196711_east
0,1967132_east,196712_east
1,1967133_east,196712_east
2,1967134_east,196712_east
3,1967135_east,196712_east
4,1967136_east,196712_east
5,1967137_east,196712_east
6,1967138_east,196712_east
7,1967139_east,196712_east
8,1967140_east,196712_east
9,1967141_east,196712_east
10,1967142_east,196712_east
11,1967143_east,196712_east
0,1967144_east,196713_east
1,1967145_east,196713_east
2,1967146_east,196713_east
3,1967147_east,196713_east
4,1967148_east,196713_east
5,1967149_east,196713_east
6,1967150_east,196713_east
7,1967151_east,196713_east
8,1967152_east,196713_east
9,1967153_east,196713_east
10,1967154_east,196713_east
11,1967155_east,196713_east
12,1967156_east,196713_east
13,1967157_east,196713_east
14,1967158_east,196713_east
15,1967159_east,196713_east
0,1967160_east,196714_east
1,1967161_east,196714_east
2,1967162_east,196714_east
3,1967163_east,196714_east
4,1967164_east,196714_east
5,1967165_east,196714_east
6,1967166_east,196714_east
7,1967167_east,196714_east
8,1967168_east,196714_east
9,1967169_east,196714_east
10,1967170_east,196714_east
11,1967171_east,196714_east
12,1967172_east,196714_east
13,1967173_east,196714_east
14,1967174_east,196714_east
15,1967175_east,196714_east
16,1967176_east,196714_east
17,1967177_east,196714_east
18,1967178_east,196714_east
19,1967179_east,196714_east
20,1967180_east,196714_east
21,1967181_east,196714_east
22,1967182_east,196714_east
0,1967183_east,196715_east
1,1967184_east,196715_east
2,1967185_east,196715_east
0,1967186_east,196716_east
1,1967187_east,196716_east
2,1967188_east,196716_east
3,1967189_east,196716_east
4,1967190_east,196716_east
5,1967191_east,196716_east
6,1967192_east,196716_east
7,1967193_east,196716_east
8,1967194_east,196716_east
9,1967195_east,196716_east
10,1967196_east,196716_east
0,1967197_east,196717_east
1,1967198_east,196717_east
2,1967199_east,196717_east
3,1967200_east,196717_east
4,1967201_east,196717_east
5,1967202_east,196717_east
0,1967203_east,196718_east
1,1967204_east,196718_east
2,1967205_east,196718_east
3,1967206_east,196718_east
4,1967207_east,196718_east
5,1967208_east,196718_east
6,1967209_east,196718_east
7,1967210_east,196718_east
8,1967211_east,196718_east
9,1967212_east,196718_east
10,1967213_east,196718_east
11,1967214_east,196718_east
0,1967215_east,196719_east
1,1967216_east,196719_east
2,1967217_east,196719_east
3,1967218_east,196719_east
4,1967219_east,196719_east
5,1967220_east,196719_east
6,1967221_east,196719_east
7,1967222_east,196719_east
8,1967223_east,196719_east
9,1967224_east,196719_east
0,1967225_east,196720_east
1,1967226_east,196720_east
2,1967227_east,196720_east
3,1967228_east,196720_east
4,1967229_east,196720_east
5,1967230_east,196720_east
6,1967231_east,196720_east
7,1967232_east,196720_east
8,1967233_east,196720_east
9,1967234_east,196720_east
10,1967235_east,196720_east
11,1967236_east,196720_east
0,1967237_east,196721_east
1,1967238_east,196721_east
2,1967239_east,196721_east
3,1967240_east,196721_east
4,1967241_east,196721_east
5,1967242_east,196721_east
6,1967243_east,196721_east
7,1967244_east,196721_east
8,1967245_east,196721_east
9,1967246_east,196721_east
10,1967247_east,196721_east
11,1967248_east,196721_east
12,1967249_east,196721_east
13,1967250_east,196721_east
14,1967251_east,196721_east
0,1967252_east,196722_east
1,1967253_east,196722_east
2,1967254_east,196722_east
3,1967255_east,196722_east
4,1967256_east,196722_east
5,1967257_east,196722_east
0,1967258_east,196723_east
1,1967259_east,196723_east
2,1967260_east,196723_east
3,1967261_east,196723_east
4,1967262_east,196723_east
5,1967263_east,196723_east
6,1967264_east,196723_east
7,1967265_east,196723_east
8,1967266_east,196723_east
9,1967267_east,196723_east
10,1967268_east,196723_east
0,1967269_east,196724_east
1,1967270_east,196724_east
2,1967271_east,196724_east
3,1967272_east,196724_east
0,1967273_east,196725_east
1,1967274_east,196725_east
2,1967275_east,196725_east
3,1967276_east,196725_east
4,1967277_east,196725_east
5,1967278_east,196725_east
6,1967279_east,196725_east
0,1967280_east,196726_east
1,1967281_east,196726_east
2,1967282_east,196726_east
3,1967283_east,196726_east
4,1967284_east,196726_east
5,1967285_east,196726_east
6,1967286_east,196726_east
0,1967287_east,196727_east
1,1967288_east,196727_east
2,1967289_east,196727_east
3,1967290_east,196727_east
4,1967291_east,196727_east
5,1967292_east,196727_east
0,1967293_east,196728_east
1,1967294_east,196728_east
0,1967295_east,196729_east
1,1967296_east,196729_east
2,1967297_east,196729_east
3,1967298_east,196729_east
4,1967299_east,196729_east
5,1967300_east,196729_east
6,1967301_east,196729_east
7,1967302_east,196729_east
8,1967303_east,196729_east
9,1967304_east,196729_east
10,1967305_east,196729_east
11,1967306_east,196729_east
0,1967307_east,196730_east
1,1967308_east,196730_east
2,1967309_east,196730_east
3,1967310_east,196730_east
4,1967311_east,196730_east
5,1967312_east,196730_east
6,1967313_east,196730_east
7,1967314_east,196730_east
0,1967315_east,196731_east
1,1967316_east,196731_east
2,1967317_east,196731_east
3,1967318_east,196731_east
4,1967319_east,196731_east
5,1967320_east,196731_east
0,1967321_east,196732_east
1,1967322_east,196732_east
2,1967323_east,196732_east
3,1967324_east,196732_east
4,1967325_east,196732_east
5,1967326_east,196732_east
6,1967327_east,196732_east
0,1967328_east,196733_east
1,1967329_east,196733_east
2,1967330_east,196733_east
3,1967331_east,196733_east
4,1967332_east,196733_east
5,1967333_east,196733_east
6,1967334_east,196733_east
7,1967335_east,196733_east
8,1967336_east,196733_east
9,1967337_east,196733_east
10,1967338_east,196733_east
11,1967339_east,196733_east
0,1967340_east,196734_east
1,1967341_east,196734_east
2,1967342_east,196734_east
3,1967343_east,196734_east
4,1967344_east,196734_east
5,1967345_east,196734_east
6,1967346_east,196734_east
7,1967347_east,196734_east
8,1967348_east,196734_east
0,1967349_east,196735_east
1,1967350_east,196735_east
2,1967351_east,196735_east
3,1967352_east,196735_east
4,1967353_east,196735_east
0,1967354_east,196736_east
1,1967355_east,196736_east
2,1967356_east,196736_east
3,1967357_east,196736_east
4,1967358_east,196736_east
0,1967359_east,196737_east
1,1967360_east,196737_east
2,1967361_east,196737_east
3,1967360_east,196737_east
4,1967359_east,196737_east
0,1967362_east,196738_east
1,1967363_east,196738_east
2,1967364_east,196738_east
3,1967365_east,196738_east
4,1967366_east,196738_east
5,1967367_east,196738_east
6,1967368_east,196738_east
7,1967369_east,196738_east
8,1967370_east,196738_east
9,1967371_east,196738_east
0,1967372_east,196739_east
1,1967373_east,196739_east
2,1967374_east,196739_east
3,1967375_east,196739_east
4,1967376_east,196739_east
5,1967377_east,196739_east
0,1967378_east,196740_east
1,1967379_east,196740_east
2,1967380_east,196740_east
3,1967381_east,196740_east
4,1967382_east,196740_east
5,1967383_east,196740_east
6,1967384_east,196740_east
7,1967385_east,196740_east
0,1967386_east,196741_east
1,1967387_east,196741_east
2,1967388_east,196741_east
3,1967389_east,196741_east
4,1967388_east,196741_east
5,1967387_east,196741_east
6,1967386_east,196741_east
0,1967390_east,196742_east
1,1967391_east,196742_east
2,1967392_east,196742_east
3,1967393_east,196742_east
4,1967390_east,196742_east
0,1967394_east,196743_east
1,1967395_east,196743_east
2,1967396_east,196743_east
3,1967397_east,196743_east
4,1967398_east,196743_east
5,1967399_east,196743_east
0,1967400_east,196744_east
1,1967401_east,196744_east
2,1967402_east,196744_east
0,1967403_east,196745_east
1,1967404_east,196745_east
2,1967405_east,196745_east
3,1967406_east,196745_east
4,1967407_east,196745_east
5,1967408_east,196745_east
0,1967409_east,196746_east
1,1967410_east,196746_east
2,1967411_east,196746_east
3,1967412_east,196746_east
4,1967413_east,196746_east
5,1967414_east,196746_east
6,1967415_east,196746_east
0,1967416_east,196747_east
1,1967417_east,196747_east
2,1967418_east,196747_east
3,1967419_east,196747_east
4,1967420_east,196747_east
5,1967421_east,196747_east
6,1967422_east,196747_east
7,1967423_east,196747_east
0,1967424_east,196748_east
1,1967425_east,196748_east
2,1967426_east,196748_east
3,1967427_east,196748_east
4,1967428_east,196748_east
5,1967429_east,196748_east
6,1967430_east,196748_east
0,1967431_east,196749_east
1,1967432_east,196749_east
2,1967433_east,196749_east
3,1967434_east,196749_east
4,1967435_east,196749_east
