stop_order,stop_id,line_id
0,19670_west,19671_west
1,19671_west,19671_west
2,19672_west,19671_west
3,19673_west,19671_west
4,19674_west,19671_west
5,19675_west,19671_west
6,19676_west,19671_west
7,19677_west,19671_west
8,19678_west,19671_west
9,19679_west,19671_west
10,196710_west,19671_west
11,196711_west,19671_west
12,196712_west,19671_west
13,196713_west,19671_west
14,196714_west,19671_west
0,196715_west,19672_west
1,196716_west,19672_west
2,196717_west,19672_west
3,196718_west,19672_west
4,196719_west,19672_west
5,196720_west,19672_west
6,196721_west,19672_west
7,196722_west,19672_west
8,196723_west,19672_west
9,196724_west,19672_west
10,196725_west,19672_west
11,196726_west,19672_west
12,196727_west,19672_west
13,196728_west,19672_west
14,196729_west,19672_west
0,196730_west,19673_west
1,196731_west,19673_west
2,196732_west,19673_west
3,196733_west,19673_west
4,196734_west,19673_west
5,196735_west,19673_west
6,196736_west,19673_west
7,196737_west,19673_west
8,196738_west,19673_west
9,196739_west,19673_west
10,196740_west,19673_west
11,196741_west,19673_west
12,196742_west,19673_west
13,196743_west,19673_west
14,196744_west,19673_west
0,196745_west,19674_west
1,196746_west,19674_west
2,196747_west,19674_west
3,196748_west,19674_west
4,196749_west,19674_west
5,196750_west,19674_west
6,196751_west,19674_west
7,196752_west,19674_west
8,196753_west,19674_west
9,196754_west,19674_west
10,196755_west,19674_west
11,196756_west,19674_west
12,196757_west,19674_west
13,196758_west,19674_west
14,196759_west,19674_west
0,196760_west,19675_west
1,196761_west,19675_west
2,196762_west,19675_west
3,196763_west,19675_west
4,196764_west,19675_west
5,196765_west,19675_west
6,196766_west,19675_west
7,196767_west,19675_west
8,196768_west,19675_west
9,196769_west,19675_west
10,196770_west,19675_west
11,196771_west,19675_west
12,196772_west,19675_west
13,196773_west,19675_west
14,196774_west,19675_west
0,196775_west,19676_west
1,196776_west,19676_west
2,196777_west,19676_west
3,196778_west,19676_west
4,196779_west,19676_west
5,196780_west,19676_west
6,196781_west,19676_west
7,196782_west,19676_west
8,196783_west,19676_west
9,196784_west,19676_west
10,196785_west,19676_west
11,196786_west,19676_west
12,196787_west,19676_west
13,196788_west,19676_west
14,196789_west,19676_west
15,196790_west,19676_west
0,196791_west,19677_west
1,196792_west,19677_west
2,196793_west,19677_west
3,196794_west,19677_west
4,196795_west,19677_west
5,196796_west,19677_west
6,196797_west,19677_west
7,196798_west,19677_west
8,196799_west,19677_west
9,1967100_west,19677_west
10,1967101_west,19677_west
11,1967102_west,19677_west
12,1967103_west,19677_west
13,1967104_west,19677_west
14,1967105_west,19677_west
0,1967106_west,19678_west
1,1967107_west,19678_west
2,1967108_west,19678_west
3,1967109_west,19678_west
