line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
1,tram,"Schillingbrücke (Ostbahnhof) - Stalinallee - Leninplatz - Leninallee, Kleine Frankfurterstrasse - Alexanderplatz, Memhardstr. - Gipsstrasse, U-Bhf. Weinmeisterstrasse - Rosenthaler Platz - Brunnen Ecke Invalidenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Weidendammbrücke, Bhf. Friedrichstrasse - Am Kupfergraben",20,33,7.66,1956,unified,
2,tram,"Wienerstrasse, Spreewaldplatz - Hermannplatz - Südstern - Mehringdamm - Goebenstrasse Ecke Bülowstrasse - Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - Am Knie - Gotzkowskystrasse Ecke Turmstrasse - Turmstrasse Ecke Rathenowerstrasse - Fennbrücke - Weddingplatz - Usedomerstrasse - Bernauerstrasse Ecke Wollinerstrasse",15,70,,1956,unified,
3,tram,"Mühlenstrasse - Bhf. Warschauer Brücke - Boxhagener Strasse - Bhf. Stalineallee, Gürtelstrasse - Rathaus Lichtenberg - Roederplatz - Landsberger Chaussee Ecke Weißenseer Weg - Hohenschönhauser Strasse - Klement-Gottwald-Allee/Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade Ecke Gustav-Adolf-Strasse - Schönhauser Allee - Björnsonstrasse",12,45,12.09,1956,unified,
3,tram,"Neukölln, Hermannplatz - Südstern - Zosener Strasse Ecke Gneisenaustrasse - Mehringdamm - Potsdamer Strasse - Martin-Luther-Strasse - Bundesallee Ecke Berliner Strasse - Fehrbelliner Platz - Kurfürstendamm Ecke Brandenburgischestrasse - Kantstrasse Ecke Wilmersdorfer Strasse - Wilmersdorferstrasse Ecke Berliner Strasse - Luisenplatz - Osnabrückerstrasse Ecke Tauroggenerstrasse - Gotzkowskystrasse Ecke Turmstrasse - Plötzensee - U-Bhf. Seestrasse - Oskarplatz - Prinzenallee Ecke Osloer Strasse - Grüntalerstrasse Ecke Osloer Strasse",10,81,,1956,unified,
4,tram,Mühlenstrasse - Bhf. Warschauer Brücke - Grünberger Strasse - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Paul-Heyse-Strasse - Arnswalder Platz - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Oderberger Strasse,5,27,6.32,1956,unified,
6,tram,Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Rathaus Schöneberg - Hauptstrasse - Alboinstrasse Ecke Schönebergerstrasse - Tempelhofer Damm Ecke Alt-Tempelhof - Oberlandstrasse Ecke Germaniastrasse - Gottlieb-Dunkel-Strasse Ecke Germaniastrasse - Britzer Damm Ecke Blaschkoallee - Buschkrug - U-Bhf. Grenzallee - U-Bhf. Neukölln - U-Bhf. Rathaus Neukölln - Elsenstrasse Ecke Heidelbergerstrasse,10,58,,1956,unified,
11,tram,"Köpenicker Strasse Ecke Adalbertstrasse - U-Bhf. Neanderstrasse - Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstrasse - U-Bhf. Weinmeisterstrasse - Rosenthaler Platz - Brunnen Ecke Invalidenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Hannoversche Strasse",20,23,5.43,1956,unified,
13,tram,"Klingenberg, Blockdammweg - Kraftwerk Klingenberg - Saganerstrasse, Güterbahn - Klingenberg, Hauptstrasse - Holteistrasse - Boxhagener Strasse - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Paul-Heyse-Strasse - Arnswalder Platz - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Oderberger Strasse",15,37,9.91,1956,unified,
15,tram,Daimlerstrasse - Bhf. Marienfelde - Mariendorfer Damm Ecke Alt-Mariendorf - Imbrosweg - Mariendorfer Friedhof - Industriestrasse - Germaniastrasse Ecke Gottlieb-Dunkel-Strasse - Frauenklinik - Hermannstrasse Ecke Hertastrasse - U-Bhf. Neukölln - Richardstrasse - Bhf. Sonnenallee - Dammweg - Schulenburgpark,15,36,,1956,unified,
22,tram,"Bhf. Rosenthal - Rosenthal, Siedlung - Nordendstrasse - Kurt-Fischer-Platz - Breite Strasse, Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow, Florastrasse - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - Eberswalderstrasse, U-Bhf. Dimitroffstrasse - Zionskirchstrasse - Rosenthaler Platz - Memhardtstrasse Ecke Liebknechtstrasse - Alexanderplatz, Grunerstrasse - Elisabethstrasse",12,49,11.65,1956,unified,
23,tram,"Bhf. Wollankstrasse - Osloer Strasse Ecke Prinzenallee - Badstrasse Ecke Prinzenallee - Nettelbeckplatz - Weddingplatz - Fennbrücke - Augustenburger Platz - Birkenstrasse Ecke Pulitzstrasse - Stromstrase Ecke Turmstrasse - Turmstrasse Ecke Gotzkowskystrasse - Moabit, Zwinglistrasse",15,29,,1956,unified,
24,tram,Bhf. Wollankstrasse - Osloerstrasse Ecke Prinzenallee - Prinzenallee Ecke Badstrasse - Bhf. Gesundbrunnen - Rügenerstrasse Ecke Brunnenstrasse - Brunnenstrasse Ecke Bernauerstrasse - Bernauerstrasse Ecke Wollinerstrasse,15,14,,1956,unified,
25,tram,"Tegel, Alt-Tegel - Bernauerstrasse Ecke Berlinerstrasse - Eichborndamm Ecke Scharnweberstrasse - Kurt-Schuhmacher-Platz - Londoner Strasse, Strassenbahnhof - Seestrasse Ecke Müllerstrasse - Weddingplatz - Kriminalgericht - Stromstrasse Ecke Turmstrasse - Turmstrasse Ecke Gotzkowskystrasse - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Badenschestrasse Ecke Martin-Luther-Strasse - Rathaus Schöneberg (Belzigerstrasse) - Dominicusstrasse Ecke Hauptstrasse - Kaiser-Wilhelm-Platz - Schöneberg, Gotenstrasse",15,77,,1956,unified,
26,tram,"Spreewaldplatz - Reichenberger Strasse - Glogauer Strasse - Sonnenallee - Hermannplatz - Weichselstrasse - Rathaus Neukölln - Karl-Marx-Strasse-Station - U-Bhf. Neukölln - Hermannstrasse Ecke Hertastrasse - Germaniastrasse Ecke Gottlieb-Dunkel-Strasse - Tempelhof, Industriestrasse",15,31,,1956,unified,
27,tram,"Neukölln, Hermannplatz - U-Bhf. Boddinstrasse - Bhf. Hermannstrasse - Gradestrasse - Mariendorfer Allee - Buckow, Alt-Buckow",10,26,,1956,unified,
28,tram,"Tegelort, Kurzestrasse - Falkenplatz - Gabelung - Ruppiner Chaussee Ecke Karolinenstrasse - Alt-Tegel Ecke Schloßstrasse - Bernauerstrasse Ecke Berlinerstrasse - Eichenborndamm, Sportplatz Reinickendorf - Kurt-Schumacher-Platz - Londonerstrasse Ecke Müllerstrasse - Seestrasse Ecke Müllerstrasse - Müllerstrasse Ecke Schulstrasse - Reinickendorferstrasse Ecke Schulstrasse - Uferstrasse Ecke Exerzierstrasse - Pankstrasse/Prinzenallee - Bhf. Gesundbrunnen - Rügenesrstrasse Ecke Brunnenstrasse",20,59,,1956,unified,
