line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
1,tram,"Schillingbrücke (Ostbahnhof) - U-Bhf. Strausbergerplatz - Stalinallee - Leninplatz - Alexanderplats, Memhardstr. - Rosenthalerplatz - Brunnen Ecke Invalidenstr. - Invalidenstr. Ecke Chausseestr. - Weidendammbrücke, Bhf. Friedrichstr. - Am Kupfergraben",20,33,7.7,1960,unified,
11,tram,"Köpenickerstr. Ecke Adalbertstr. - Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstr. - Rosenthalerplatz - Brunnen Ecke Invalidenstr. - Invalidenstr. Ecke Chausseestr. - Oranienburger Tor, Hannoverschestr.",20,23,5.4,1960,unified,
13,tram,"Klingenberg, Blockdammweg - Karlshorsterstr. - Holteistr. - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Kniprodestr. - Greifswalderstr. - Prenzlauerallee - U-Bhf. Dimitroffstr. - Oderbergerstr.",7,37,9.9,1960,unified,
15,tram,Daimlerstr. - Bhf. Marienfelde - Körtingstr. - Mariendorferdamm - Imbrosweg - Mariendorfer Friedhof - Industriestr. - Germaniastr. - Frauenklinik - Hermannstr. - U-Bhf. Neukölln - Richardstr. - Bhf. Sonnenallee - Dammweg - Schulenburgpark,15,36,,1960,unified,
2,tram,Wollinerstr. - Voltastr. - Weddingplatz - Rathenowerstr. - Stromstr. - Gotzkowskybrücke - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Potsdamerstr. - Bhf. Yorckstr. - Mehringdamm - Südstern - Hermannplatz - Spreewaldplatz,15,70,,1960,unified,
22,tram,"Bhf. Rosenthal - Nordendstr. - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - U-Bhf. Vinestr. - S-Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Rosenthalerplatz - Alexanderplatz, Memhardstr. - Elisabethstr.",13,49,11.7,1960,unified,
25,tram,Wollinerstr. - Rügenerstr. - Bhf. Gesundbrunnen - Nauenerplatz - Weddingplatz - Augustenburgerplatz - Turmstr. - Gotzkowskystr. - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Wartburgplatz - Rathaus Schöneberg - Hauptstr. - Gotenstr.,15,68,,1960,unified,
26,tram,Spreewaldplatz - Reichenbergerstr. - Glogauerstr. - Sonnenallee - Hermannplatz - Weichselstr. - Rathaus Neukölln - Saltykowstr. - Karl-Marx-Platz - Silbersteinstr. - Hermannstr. - Städtische Frauenklinik - Germaniastr. - Bhf. Teltowkanal - Industriestr.,15,31,,1960,unified,
27,tram,Hobrechtstr. - Hasenheide - U-Bhf. Boddinstr. - U-Bhf. Leinestr. - Bhf. Hermannstr. - Mariendorferweg - Germaniapromenade - Franz-Körnerstr. - Gradestr. - Tempelhoferweg - Mariendorferallee - Gutschmidstr. - Kleinbahn - Dacchdeckerweg - Parkfriedhof Neukölln - Alt-Buckow,10,26,,1960,unified,
3,tram,Mühlenstr. - Bhf. Warschauer Brücke - Boxhagenerstr. - Bhf. Stalineallee - Roederplatz - Hohenschönhauserstr. - Klement-Gottwald-Allee/Lichtenbergerstr. - Antonplatz - Prenzlauer Promenade - Schönhauserallee - Björnsonstr.,10,45,12.1,1960,unified,
