line_name,type,stops,frequency (7:30),length (time),Length (km),year,info
A I,,Pankow (Vinetastr.) – Schönhauser Allee – Dimitroffstr. – Senefelderplatz – Luxemburgplatz – Alexanderplatz – Klosterstr. – Märkisches Museum – Spittelmarkt – Hausvogteiplatz – Stadtmitte (Mohrenstr.) – Thälmannplatz – Potsdamer Platz – Gleisdreieck – Bülowstr. – Nollendorfplatz – Wittenbergplatz – Zoologischer Garten – Knie (Ernst-Reuter-Platz) – Deutsches Opernhaus – Sophie-Charlotte-Platz – Kaiserdamm – Reichskanzlerplatz,10,41.5,16.9,1960,
A II,,Pankow (Vinetastr.) – Schönhauser Allee – Dimitroffstr. – Senefelderplatz – Luxemburgplatz – Alexanderplatz – Klosterstr. – Märkisches Museum – Spittelmarkt – Hausvogteiplatz – Stadtmitte (Mohrenstr.) – Thälmannplatz – Potsdamer Platz – Gleisdreieck – Bülowstr. – Nollendorfplatz – Wittenbergplatz – Spichernstr. (Bundesallee) – Hohenzollernplatz – Fehrbelliner Platz – Heidelberger Platz – Rüdesheimer Platz – Breitenbachplatz – Podbielskiallee – Dahlem-Dorf – Thielplatz – Oskar-Helene-Heim – Onkel Toms Hütte – Krumme Lanke,,,,,
A III,,Deutsches Opernhaus (Bismarckstr.) – Richard-Wagner-Platz,,,,,
B I,,Warschauer Brücke – Schlesisches Tor – Görlitzer Bahnhof (Oranienstr.) – Kottbusser Tor – Prinzenstr. – Hallesches Tor – Möckernbrücke – Gleisdreieck – Kurfürstenstr. – Nollendorfplatz – Wittenbergplatz – Zoologischer Garten – Ernst-Reuter-Platz – Deutsches Opernhaus (Bismarckstr.) – Sophie-Charlotte-Platz – Kaiserdamm (Messedamm) – Reichskanzlerplatz – Neu-Westend – Olympia-Stadion – Ruhleben,,,,,
B II,,Warschauer Brücke – Schlesisches Tor – Görlitzer Bahnhof (Oranienstr.) – Kottbusser Tor – Prinzenstr. – Hallesches Tor – Möckernbrücke – Gleisdreieck – Kurfürstenstr. – Nollendorfplatz – Wittenbergplatz – Spichernstr. (Bundesallee) – Hohenzollernplatz – Fehrbelliner Platz – Heidelberger Platz – Rüdesheimer Platz – Breitenbachplatz – Podbielskiallee – Dahlem-Dorf – Thielplatz – Oskar-Helene-Heim – Onkel Toms Hütte – Krumme Lanke,,,,,
B III,,Nollendorfplatz – Viktoria-Luise-Platz – Bayerischer Platz – Rathaus Schöneberg – Innsbrucker Platz (Hauptstr.),,,,,
C I,,Tegel – Borsigwerke – Holzhauser Str. – Seidelstr. (Flugplatz Tegel) – Scharnweberstr. (Eichborndamm) – Kurt-Schumacher-Platz – Afrikanische Str. – Rehberge – Seestr. – Leopoldplatz – Bahnhof Wedding – Reinickendorfer Str. – Schwartzkopffstr. – Nordbahnhof – Oranienburger Tor – Bahnhof Friedrichstr. (Stadtbahn) – Französische Str. – Stadtmitte (Leipziger Str.) – Kochstr. – Hallesches Tor – Mehringdamm – Gneisenaustr. – Südstern – Hermannplatz – Rathaus Neukölln – Karl-Marx-Str. – Neukölln (Südring) – Grenzallee,,,,,
C II,,Tegel – Borsigwerke – Holzhauser Str. – Seidelstr. (Flugplatz Tegel) – Scharnweberstr. (Eichborndamm) – Kurt-Schumacher-Platz – Afrikanische Str. – Rehberge – Seestr. – Leopoldplatz – Bahnhof Wedding – Reinickendorfer Str. – Schwartzkopffstr. – Nordbahnhof – Oranienburger Tor – Bahnhof Friedrichstr. (Stadtbahn) – Französische Str. – Stadtmitte (Leipziger Str.) – Kochstr. – Hallesches Tor – Mehringdamm – Flughafen – Paradestr. – Tempelhof (Südring),,,,,
D,,Gesundbrunnen – Voltastr. – Bernauer Str. – Rosenthaler Platz – Weinmeisterstr. – Alexanderplatz – Jannowitzbrücke – Neanderstr. – Moritzplatz – Kottbusser Tor – Kottbusser Damm (Schönleinstr.) – Hermannplatz – Boddinstr. – Leinestr.,,,,,
E,,Alexanderplatz – Schillingstr. – Strausberger Platz – Marchlewskistr. – Bersarinstr. (Frankfurter Tor) – Samariterstr. – Stalinallee (Ringbahn) – Magdalenenstr. – Bahnhof Lichtenberg (Zentralfriedhof) – Friedrichsfelde (Tierpark),,,,,
