line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
1,tram,"Ostbahnhof - U-Bhf. Strausbergerplatz - Leninplatz - Alexanderplatz, Memhardstr. - Rosenthalerplatz - Invalidenstr. Ecke Chausseestr. - Oranienburger Tor - Hannoverschestr.",20,28,,1964,east,
A1P,autobus,"Adalbertstr. Ecke Köpenickerstr. - S-Bhf. Jannowitzbrücke - Alexanderplatz, Grunerstr.",10,6,,1964,east,
3,tram,S-Bhf. Warschauerstr. - Kopernikusstr. - Holteistr. Ecke Boxhagenerstr. - Bhf. Frankfurterallee - Roederplatz - Hohenschönhauserstr. - Omnibus-Bhf. Lichtenbergerstr. - Klement-Gottwald-Allee - Antonplatz - Prenzlauer Promenade - Schönhauserallee - Björnsonstr.,12,45,,1964,east,
4,tram,S-Bhf. Warschauerstr. - Grünbergerstr. - Frankfurter Tor - Bersarinplatz - Leninallee - Kniprodestr. - Greifswalderstr. - Prenzlauerallee - U-Bhf. Dimitroffstr. - Eberswalderstr. Ecke Oderbergerstr.,12,26,,1964,east,
11,tram,"Heinrich-Heine-Str. - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstr. - Rosenthalerplatz - Brunnenstr. Ecke Invalidenstr. - Oranienburger Tor - Bhf. Friedrichstr. - Am Kupfergraben",20,27,,1964,east,
13,tram,Hönower Wiesenweg Ecke Blockdammweg - Kraftwerk Klingenberg - Karlshorsterstr. - Holteistr. Ecke Boxhagenerstr. - Frankfurter Tor - Bersarinplatz - Leninallee - Kniprodestr. - Greifswalderstr. - Prenzlauerallee - U-Bhf. Dimitroffstr. - Oderbergerstr. Ecke Eberswalderstr.,14,38,,1964,east,
22,tram,"Rosenthal, Hauptstr. - Nordendstr. - Kurt-Fischer-Platz - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastr. - S-Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Rosenthalerplatz - Alexanderplatz, Memhardstr. - S-Bhf. Jannowitzbrücke",12,46,,1964,east,
46,tram,"Niederschönhausen, Schillerstr. - Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastr. - S-Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Brunnenstr. - Oranienburger Tor - Bhf. Friedrichstr. - Am Kupfergraben",5,47,,1964,east,
46P,tram,"Niederschönhausen, Idastr. - Ossietzkyplatz",12.0,4.0,0.7,1964,east,
49,tram,"Buchholz, Hauptstr. - Rosenthalerstr. - Galenusstr. - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastr. - Bornholmerstr. - S-Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Rosenthalerplatz - Hackescher Markt, Große Präsidentenstr.",11,39,,1964,east,
63,tram,"Hohenschönhausen, Gartenstadt - Falkenbergerstr. Ecke Wartenbergerstr. - Hohenschönhausen, Hauptstr. - Degnerstr. - Weißenseerweg - Steuerhaus - Dimitroffstr. - Leninplatz - Alexanderplatz, Memhardstr. - Hackescher Markt, Große Präsidentenstr.",20,38,,1964,east,
