line_name,type,stops,frequency (7:30),length (Time),length (km),year,east_west,info
15,tram,"Marienfelde, Daimlerstr. - Großbeerenstr. Ecke Daimlerstr. - Körtingstr. Ecke Großbeerenstr. - Mariendorferdamm Ecke Alt-Mariendorf - Imbrosweg Ecke Rixdorferstr. - Mariendamm Friedhof - Industriestr. Ecke Gottlieb-Dunkel-Str. - Germaniastr. Ecke Gottlieb-Dunkel-Str. - Frauenklinik, Mariendorferweg - Hermannstr./Britzerdamm - U-Bhf. Neukölln - Richardstr. Ecke Braunschweigerstr. - Saalestr. Ecke Sonnenallee - Dammweg Ecke Sonnenallee - Schulenburgpark",10.0,36.0,,1965,west,
47,tram,Gradestr. Ecke Tempelhoferweg - U-Bhf. Blaschkoallee - Buschkrugallee Ecke Blaschkoallee - Onkel-Herse-Str. Ecke Buschkrugallee - Parchimerallee Ecke Buschkrugallee - Grünerweg Ecke Buschkrugallee - Krankenhaus Neukölln - Johannisthalerchaussee Ecke Rudowerstr. - Wildmeisterdamm Ecke Neuköllnerstr. - Stubenrauchstr. Ecke Neuköllnerstr. - Köpenickerstr. Ecke Neuköllnerstr. - Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee,10.0,21.0,,1965,west,
47P,tram,"Groß-Ziethener-Chaussee Ecke Waltersdorferchaussee - Rudow, Stadtgrenze",20.0,6.0,,1965,west,
53,tram,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Kirschenallee Ecke Spandauerdamm - Schloß Ruhwald - U-Bhf. Ruhleben - Teltowerstr. Ecke Ruhlebenerstr. - Freiheit - Spandauer Markt - Hafenplatz - Lynarstr. Ecke Neuendorferstr. - Hohenzollernring Ecke Streitstr. - Hakenfelde, Niederneuendorferallee",20.0,40.0,,1965,west,
54,tram,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Kirschenallee Ecke Spandauerdamm - Schloß Ruhwald - U-Bhf. Ruhleben - Teltowerstr. Ecke Ruhlebenerstr. - Freiheit - Spandauer Markt - Hafenplatz - Lynarstr. Ecke Schönwalderstr. - Hohenzollernring Ecke Schönwalderstr. - Spandau, Johannesstift",20.0,41.0,,1965,west,
55,tram,Bhf. Zoo - Ernst-Reuter-Platz - Otto-Suhr-Allee Ecke Leibnizstr. - Richard-Wagner-Platz - Luisenplatz - Osnabrückerstr. Ecke Tegelerweg - Jakob-Kaiser-Platz - Quellweg Ecke Nonnendammallee - Paulsternstr. Ecke Gartenfelderstr. - Zitadellenweg Ecke Am Juliusturm - Carl-Schurz-Str. Ecke Am Juliusturm - Hafenplatz - Hohenzollernring Ecke Neuendorferstr. - Hakenfelde,15.0,51.0,,1965,west,
75,tram,"Zoo, Kantstr. - Leibnizstr. Ecke Kantstr. - Wilmersdorferstr. Ecke Kantstr. - Amtsgericht - Messedamm - Theodor-Heuss-Platz - Preußenallee Ecke Heerstr. - Reichssportfeldstr. Ecke Heerstr. - Stößenseebrücke - Pichelsdorferstr. Ecke Heerstr. - Seeburgerstr. Ecke Klosterstr. - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring Ecke Neuendorferstr. - Hakenfelde",20.0,58.0,,1965,west,
76,tram,"Zoo, Kantstr. - Leibnizstr. Ecke Kantstr. - Wilmersdorferstr. Ecke Kantstr. - Amtsgericht - Messedamm - Theodor-Heuss-Platz - Preußenallee Ecke Heerstr. - Reichssportfeldstr. Ecke Heerstr. - Stößenseebrücke - Pichelsdorferstr. Ecke Heerstr. - Seeburgerstr. Ecke Klosterstr. - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring Ecke Schönwalderstr. - Johannesstift",20.0,59.0,,1965,west,
96,tram,"Lindenstr. Ecke Kochstr. - Mehringplatz - Yorckstr. Ecke Mehringdamm - U-Bhf. Flughafen - Adolf-Scheidt-Platz - Berlinickeplatz - Attilaplatz - Ringstr. Ecke Attilastr. - Lankwitz, Kirche - Seydlitzstr. Ecke Kaiser-Wilhelm-Str. - Kranoldplatz - Ostpreußendamm Ecke Morgensternstr. - Giesensdorferstr. Ecke Ostpreußendamm - Lichterfelde, Goerzallee",15.0,49.0,,1965,west,
A1,autobus,Waldstr. Ecke Turmstr. - Gotzkowskybrücke - Dovebrücke - Otto-Suhr-Allee Ecke Cauerstr. - Kurfürstendamm Ecke Leibnizstr. - U-Bhf. Fehrbellinerplatz - Berlinerstr. Ecke Brandenburgischestr. - Hildegardstr. Ecke Blissestr. - Detmolderstr. Ecke Blissestr. - Breitenbachplatz - Botanischer Garten - Pacelliallee/Thielallee - Clayallee Ecke Königin-Luise-Str. - U-Bhf. Oskar-Helene-Heim - Potsdamerstr. Ecke Clayallee - Rathaus Zehlendorf - Machnowerstr. Ecke Teltowerdamm - Beeskowdamm Ecke Teltowerstr. - Wismarerstr. Ecke Goerzallee - Lindenstr. Ecke Ostpreußendamm,15.0,58.0,,1965,west,
A2,autobus,"Bhf. Zoo, Hardenbergplatz - Spichernstr. Ecke Bundesallee - Berlinerstr. Ecke Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstr. Ecke Bundesallee - Feuerbachstr. Ecke Bismarckstr. - Bergstr. Ecke Bismarckstr. - Steglitzerdamm Ecke Halskestr. - Leonorenstr. Ecke Siemensstr. - Lankwitz, Kirche - Havensteinstr. Ecke Gallwitzallee - Lerbacherweg - Trippsteinstrase Ecke Frankenhauserstr.",10.0,39.0,,1965,west,
A3,autobus,"Rathaus Zehlendorf - Winfriedstr. Ecke Clayallee - Sundgauerstr. Ecke Clayallee - U-Bhf. Oskar-Helene-Heim - U-Bhf. Onkel-Toms-Hütte - U-Bhf. Krumme Lanke - Lindenthalerallee Ecke Argentischestr. - Spanischeallee Ecke Potsdamerschaussee - Schopenhauerstr. Ecke Spanischeallee - Borussenstr. Ecke Spanischeallee - Am Beelitzhof Ecke Kronprinzessinnenweg - Bhf. Wannsee - Am Großen Wannssee Ecke Königstr. - Pfaueninselchaussee Ecke Königstr. - Rathaus Wannsee - Stölpchensee, Wilhelmplatz",10.0,39.0,,1965,west,
A4,autobus,"Neu-Westend, Brixplatz - Theodor-Heuss-Platz - Messedamm - Henriettenplatz - Hochmeisterplatz - U-Bhf. Fehrbellinerplatz - Berlinerstr. Ecke Uhlandstr. - Bundesallee Ecke Badenschestr. - Rathaus Schöneberg - Innsbruckerplatz - Hauptstr. Ecke Dominicusstr. - Kaiser-Wilhelm-Platz - Dudenstr. Ecke Katzbachstr. - U-Bhf. Flughafen - Columbiadamm Ecke Friesenstr. - Flughafenstr. Ecke Hermannstr. - Kienitzerstr. Ecke Karl-Marx-Str. - Sonnenallee Ecke Erkstr. - Harzerstr. Ecke Elsenstr.",10.0,56.0,,1965,west,
A5,autobus,"Machandelweg - U-Bhf. Ruhleben - Teltowerstr. Ecke Ruhlebenerstr. - Stresowplatz - Breitestr. Ecke Charlottenstr. - Rathaus Spandau - Zeppelinstr. Ecke Seegefelderstr. - Falkenseerchaussee Ecke Zeppelinstr. - Waldkrankenhaus - Spandau, Landesnervenklinik",10.0,32.0,,1965,west,
A6,autobus,S-Bhf. Wannsee - Königstr. Ecke Kronprinzessinnenweg - Pfaueninselschaussee Ecke Königstr. - Rathaus Wannsee - Friedenstr. Ecke Königstr. - Schäferberg - Nikolskoerweg Ecke Königstr. - Glienicker Brücke,30.0,13.0,,1965,west,
