line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
1,autobus,"Moabit, Waldstrasse - Turmstrasse - Alt-Moabit - Franklinstrasse - Otto-Suhr-Allee - Bismarckstrasse - Kantstrasse - Kurfürstendamm - Olivaer Platz - U-Bhf. Konstanzerstrasse - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - Hildegardstrasse - Laubacherstrasse - U-Bhf. Breitenbachplatz - U-Bhf. Dahlem-Dorf - Pacelli-/Thielallee - Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Winfriedstrasse - Berlinerstrasse - Rathaus Zehlendorf - Hampsteadstrasse - Wismarerstrasse - Lichterfelde, Lindenstrasse",12,66,,1980,west,
10,autobus,"Haselhorster Damm - Gartenfelderstrasse - Paulsternstrasse - Nonnendammallee - U-Bhf. Rohrdamm - Fürstenbrunner Weg/Friedhof - Spandauer Damm - U-Bhf. Kaiserdamm - ICC/Omnibusbahnhof - Dernburgstrasse - Amtgerichtsplatz - Kurfürstendamm - Henriettenplatz - Rathenauplatz - Herbertstrasse/BSC-Sportplatz - Elsterplatz - Hundekehlestrasse - Königen-Luise-Strasse/Museum Dahlem - U-Bhf. Thielplatz - Corrensplatz - Berlinerstrasse - Teltower Damm - Rathaus Zehlendorf - Behring-Krankenhaus - Zehlendorf-Süd, Sachtlebenstrasse Ecke Lupsteiner Weg",12,67,,1980,west,
11,autobus,Dahlem Waldfriedhof - U-Bhf. Oskar-Helene-Heim - Garystrasse - Corrensplatz - Berlinerstrasse - Adolf-Martens-Strasse - Drakestrasse - Gardeschützenweg - Hindenburgdamm/Wiesenbaude - Ostpreußendamm - Marienstrasse/Königswarter Krankenhaus - Morgensternstrasse - Kranoldplatz - Hildburghauserstrasse - Marienfelder Allee - Alt-Marienfelde - An der Heilandsweide - Stegerwaldstrasse - Hranitzkystrasse - Daimlerstrasse - Wilhelm-von-Siemens-Strasse - Alt-Mariendorf - U-Bhf. Alt-Mariendorf,7,43,,1980,west,
12,autobus,"Wedding, Bernauerstrasse - Voltastrasse - Scheringstrasse - Nettelbeckplatz - U-Bhf. Leopoldplatz - Limburgerstrasse/Rathaus Wedding - U-Bhf. Seestrasse - Barfusstrasse - Holländerstrasse - Emmentalerstrasse - Roedernallee - Am Nordgraben - Oranienburgerstrasse - Eichborndamm - Hermsdorferstrasse - Cyclopstrasse - Zabel-Krüger-Damm - Dianastrasse - Hermsdorfer Damm - Burgfrauenstrasse - Zeltinger Platz - Ludolfinger Platz - Donnersmarckplatz - Maximiliankorso Ecke Hainbuchenstrasse",15,63,,1980,west,
12E,autobus,U-Bhf. Leopoldplatz - U-Bhf. Seestrasse - Türkenstrasse - Holländerstrasse - Emmentalerstrasse - Lindauer Allee - Flottenstrasse - Oranienburgerstrasse - Eichborndamm - Lange Enden - Zabel-Krüger-Damm - Schildowerstrasse - Hermsdorfer Damm - Veltheimstrasse - Hohefeldstrasse - Im Fischgrund - Fürstendamm - Zeltinger Platz,20,0,,1980,west,
13,autobus,Alt-Heiligensee - Heiligenseestrasse - Konradshöherstrasse - Karolinenstrasse - U-Bhf. Tegel - U-Bhf. Borsigwerke - U-Bhf. Holzhauserstrasse - Krankenhaus Tegel-Süd - Straße nach Saatwinkel - Paulsternstrasse - Haselhorster Damm - Am Juliusturm - Carl-Schurz-Strasse - Rathaus Spandau - Brunsbütteler Damm - Seeburgerstrasse - Päwesiner Weg - Kolonie Hasenheide - Adamstrasse - Am Omnibushof - Heerstrasse - Spandau Weinmeisterhornweg,12,68,,1980,west,
14,autobus,U-Bhf. Osloerstrasse - Drontheimerstrasse - Pankower Allee - Emmentalerstrasse - Residenzstrasse - Aroser Allee - Roedernallee - Ollenhauerstrasse - Karl-Bonhoeffer-Nervenklinik - Tessenowstrasse - Jansenstrasse - Alt-Wittenau - Eichborndamm - Hermsdorferstrasse - Ziekowstrasse - U-Bhf. Tegel - Ruppiner Chausee - Diakoniezentrum - Hennigsdorferstrasse - Heiligenseestrasse - Fährstrasse - Alt-Heiligensee,15,60,,1980,west,
14E,autobus,Alt-Heiligensee - Fährstrasse - Havelblick - Strandbad Heiligensee - Gemeindefriedhof - Rallenweg - Rohrweihstrasse - Sperberstrasse - Habichtstrasse/Strandbad - Falkenplatz,30,9,,1980,west,
15,autobus,"Wittenauerstrasse Märkisches Viertel - Lübarserstrasse - Finsterwalderstrasse - Wilhelmsruher Damm - Oranienburgerstrasse - Alt-Wittenau, Kirche - Rathaus Reinickendorf - Pannwitzstrasse - Olbendorfer Weg - Breitenbachstrasse - Holzhauserstrasse - Eschachstrasse/Ziekowstrasse - Buddestrasse - Alt-Tegel/U-Bhf. Tegel - Hermsdorfer Damm - Mühlenfeldstrasse - Falkentaler Steig - Hermsdorfer Friedhof - Donnersmarckplatz - Ludolfinger Platz - Zeltinger Platz - Am Pilz - Frohnau Invalidensiedlung",20,58,,1980,west,
16,autobus,Reinickendorf Klemkestrasse/Sommerstrasse - Reginhardstrasse - Pankower Allee - Residenzstrasse - U-Bhf. Osloerstrasse - Luise-Schröder-Platz - U-Bhf. Seestrasse - Amrumerstrasse - U-Bhf. Amrumerstrasse - Fennstrasse - Turmstrasse - Alt-Moabit - U-Bhf. Hansaplatz - Großer Stern - Lützowplatz - U-Bhf. Nollendorfplatz - Martin-Luther-Strasse - John-F.-Kennedy-Platz - U-Bhf. Innsbrucker Platz - U-Bhf. Bundesplatz - Wiesbadenerstrasse - Breitenbachplatz,15,63,,1980,west,
