line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
1,autobus,"Moabit, Waldstr. Ecke Turmstr. - Turmstr. - Alt-Moabit - Franklinstr. - Otto-Suhr-Allee - Bismarckstr. - Kantstr. - Kurfürstendamm - Olivaerplatz - U-Bhf. Konstanzerstr. - U-Bhf. Fehrbellinerplatz - U-Bhf. Blissestr. - Hildegardstr. - Laubacherstr. - U-Bhf. Breitenbachplatz - U-Bhf. Dahlem-Dorf - Pacelli-/Thielallee - Königin-Luisestr. - U-Bhf. Oskar-Helene-Heim - Winfriedstr. - Berlinerstr. - Rathaus Zehlendorf - Hampsteadstr. - Wismarerstr. - Lichterfelde, Lindenstr.",12,69,,1982,west,
10,autobus,"Haselhorsterdamm - Gartenfelderstr. - Paulsternstr. - Nonnendammallee - U-Bhf. Rohrdamm - Fürstenbrunnerweg/Friedhof - Spandauerdamm - U-Bhf. Kaiserdamm - Icc/Omnibusbahnhof - Dernburgstr. - Amtgerichtsplatz - Kurfürstendamm - Henriettenplatz - Rathenauplatz - Herbertstr./Bsc-Sportplatz - Elsterplatz - Hundekehlestr. - Königen-Luisestr./Museum Dahlem - U-Bhf. Thielplatz - Corrensplatz - Berlinerstr. - Teltowerdamm - Rathaus Zehlendorf - Behring-Krankenhaus - Zehlendorf-Süd, Sachtlebenstr. Ecke Lupsteinerweg",12,67,,1982,west,
11,autobus,Dahlem Waldfriedhof - U-Bhf. Oskar-Helene-Heim - Garystr. - Corrensplatz - Berlinerstr. - Adolf-Martensstr. - Drakestr. - Gardeschützenweg - Hindenburgdamm/Wiesenbaude - Ostpreußendamm - Marienstr./Königswarter Krankenhaus - Morgensternstr. - Kranoldplatz - Hildburghauserstr. - Marienfelderallee - Alt-Marienfelde - An der Heilandsweide - Stegerwaldstr. - Hranitzkystr. - Daimlerstr. - Wilhelm-Von-Siemensstr. - Alt-Mariendorf - U-Bhf. Alt-Mariendorf,12,43,,1982,west,
12,autobus,"Wedding, Bernauerstr. - Voltastr. - Scheringstr. - Nettelbeckplatz - U-Bhf. Leopoldplatz - Limburgerstr./Rathaus Wedding - U-Bhf. Seestr. - Barfusstr. - Holländerstr. - Emmentalerstr. - Roedernallee - Am Nordgraben - Oranienburgerstr. - Eichborndamm - Hermsdorferstr. - Cyclopstr. - Zabel-Krüger-Damm - Dianastr. - Hermsdorferdamm - Burgfrauenstr. - Zeltingerplatz - Ludolfingerplatz - Donnersmarckplatz - Maximiliankorso Ecke Hainbuchenstr.",15,61,,1982,west,
13,autobus,Alt-Heiligensee - Heiligenseestr. - Konradshöherstr. - Karolinenstr. - U-Bhf. Tegel - U-Bhf. Borsigwerke - U-Bhf. Holzhauserstr. - Neheimerstr. - Marienwerderweg - Paulsternstr. - Haselhorsterdamm - Am Juliusturm - Zur Zitadelle - Rathaus Spandau - Brunsbüttelerdamm - Seeburgerstr. - Päwesinerweg - Kolonie Hasenheide - Adamstr. - Am Omnibushof - Heerstr. - Spandau Weinmeisterhornweg,12,66,,1982,west,
14,autobus,U-Bhf. Osloerstr. - Drontheimerstr. - Pankowerallee - Emmentalerstr. - Residenzstr. - Aroserallee - Roedernallee - Ollenhauerstr. - Karl-Bonhoeffer-Nervenklinik - Tessenowstr. - Jansenstr. - Alt-Wittenau - Eichborndamm - Hermsdorferstr. - Ziekowstr. - U-Bhf. Tegel - Ruppiner Chausee - Diakoniezentrum - Hennigsdorferstr. - Heiligenseestr. - Fährstr. - Alt-Heiligensee,15,60,,1982,west,
14E,autobus,Alt-Heiligensee - Fährstr. - Havelblick - Strandbad Heiligensee - Gemeindefriedhof - Rallenweg - Rohrweihstr. - Sperberstr. - Habichtstr./Strandbad - Falkenplatz,30,9,,1982,west,
15,autobus,"Wittenauerstr. Märkisches Viertel - Lübarserstr. - Finsterwalderstr. - Wilhelmsruherdamm - Oranienburgerstr. - Alt-Wittenau, Kirche - Rathaus Reinickendorf - Pannwitzstr. - Olbendorferweg - Breitenbachstr. - Holzhauserstr. - Eschachstr./Ziekowstr. - Buddestr. - Alt-Tegel/U-Bhf. Tegel - Hermsdorferdamm - Mühlenfeldstr. - Falkentaler Steig - Hermsdorfer Friedhof - Donnersmarckplatz - Ludolfingerplatz - Zeltingerplatz - Am Pilz - Frohnau Invalidensiedlung",20,58,,1982,west,
16,autobus,Reinickendorf Klemkestr./Sommerstr. - Reginhardstr. - Pankowerallee - Residenzstr. - U-Bhf. Osloerstr. - Luise-Schröder-Platz - U-Bhf. Seestr. - Amrumerstr. - U-Bhf. Amrumerstr. - Fennstr. - Turmstr. - Alt-Moabit - U-Bhf. Hansaplatz - Großer Stern - Lützowplatz - U-Bhf. Nollendorfplatz - Martin-Lutherstr. - John-F.-Kennedy-Platz - U-Bhf. Innsbruckerplatz - U-Bhf. Bundesplatz - Wiesbadenerstr. - Breitenbachplatz,15,63,,1982,west,
17,autobus,Grundewald Fontanestr. - Hagenplatz - Teplitzerstr. - Roseneck - Berkaerstr. - U-Bhf. Rüdesheimerplatz - Laubacherstr./Südwestkorso - U-Bhf. Friedrich-Wilhelm-Platz - Kaisereiche/Schmiljanstr. - U-Bhf. Walther-Schreiber-Platz - U-Bhf. Schloßstr. - Kielerstr. - U-Bhf. Rathaus Steglitz - Klingsorstr. - Bismarckstr. - Halskestr. - Albrechtstr. - Leonorenstr. - Birkbuschstr. - Königsbergerstr. - Marienstr./Königswarter Krankenhaus - Jungfernstieg - Kranoldplatz - Oberhoferplatz - Lichterfelde Celsiusstr.,12,56,,1982,west,
18,autobus,"U-Bhf. Oskar-Helene-Heim - Krankenhaus Oskar-Helene-Heim - Sophie-Charlottestr. - Schützallee - Scharfestr. - Potsdamerstr. - Fischerhüttenstr. - Lindenthalerallee - Spanischeallee - Von-Luckstr./Waldfriedhof - Isoldestr. - Nibelungenstr. - Kronprinzessinenweg - Am Großen Wannsee - Endestr. - Pfaueninselchaussee - Rathaus Wannsee - Charlottenstr. - Wilhelmplatz, Stölpchensee - Kohlhasenbrück - Königsweg - Bernhard-Beyerstr. - Steinstücken",20,33,,1982,west,
19,autobus,Grunewald Roseneck - Teplitzerstr. - Richard-Straußstr. - Koenigsallee/Hagenplatz - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrichstr. - Lehninerplatz - U-Bhf. Adenauerplatz - Olivaerplatz/Leibnizstr. - Bleibtreustr. - U-Bhf. Uhlandstr. - U-Bhf. Kurfürstendamm - Breitscheidplatz - Marburgerstr. - U-Bhf. Wittenbergplatz - Martin-Lutherstr. - U-Bhf. Nollendorfplatz - Potsdamerstr. - Goebenstr. - U-Bhf. Yorckstr. - Großbeerenstr. - U-Bhf. Mehringdamm - U-Bhf. Platz der Luftbrücke - Platz der Luftbrücke,10,44,,1982,west,
2,autobus,"U-Bhf. Friedrich-Wilhelm-Platz - Stubenrauchstr. - U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregestr. - Bismarckstr. - Lauenburgerplatz - Bergstr. - Selerweg - Steglitzerdamm - Munsterdamm - Albrechtstr. - Leonorenstr. - Rathaus Lankwitz - Lankwitz, Kirche - Hildburghauserstr. - Waldsassenerstr. - Marienfelde, Waldsassenerstr.",7,36,,1982,west,
20,autobus,Tegelort - Falkenplatz - Heiligenseestr./Gabelung - Schulzendorferweg - Karolinenstr. - Gabrielenstr. - Alt-Tegel/U-Bhf. Tegel - Gorkistr. - Ziekowstr. - Freie Scholle - Dianaplatz - Oraniendamm - Zabel-Krüger-Damm - Am Vierrutenberg - Lübars Alt-Lübars,15,41,,1982,west,
