line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
10,tram,Betriebshof Marzahn - Otto-Buchwitz-Str. - Alt-Marzahn - Elisabethstr. - S-Bhf. Springpfuhl - Rhinstr. - Leninallee - Gärtnerstr. - Hauptstr. - Stadion Buschallee - Sulzfelderstr. - Falkenbergerstr. - Betriebshof Weißensee,20,34,,1989,east,
11,tram,"Elisabethstr. - Alt-Marzahn - Bruno-Leuschner-Str. - Bruno-Baum-Str. - S-Bhf. Marzahn - Bwf Marzahn - Rhinstr. - Arendsweg - Ho-Chi-Minh-Str. - S-Bhf. Leninallee - Dimitroffstr. - Leninplatz - Hans-Beimler-Str. - Prenzlauerallee - U-Bhf. Rosa-Luxemburg-Platz - Rosenthalerplatz - Brunnenstr. - Invalidenstr., Post - Stadion Der Weltjugend - Pflugstr.",10,56,,1989,east,
12,tram,Ahrensfelde - Erich-Glückauf-Str. - Henneckestr. - Bruno-Baum-Str. - S-Bhf. Marzahn - Bwf Marzahn - Rhinstr. - Arendsweg - Zechlinerstr. - Ho-Chi-Minh-Str. - Leninallee - Herzbergstr. - Rathaus Lichtenberg - Bhf. Frankfurterallee - Scharnweberstr.,20,39,,1989,east,
13,tram,Eberswalderstr. - U-Bhf. Dimitroffstr. - Prenzlauerallee - Greifswalderstr. - Bötzowstr. - Artur-Becker-Str. - Leninallee - Besarinplatz - U-Bhf. Frankfurter Tor - Holteistr. - S-Bhf. Rummelsburg - Veb Gummiwerke - Heizkraftwerk - Hönower Wiesenweg,20,40,,1989,east,
14,tram,Ahrensfelde - Erich-Glückauf-Str. - Henneckestr. - Otto-Winzer-Str. - Bruno-Baum-Str. - S-Bhf. Marzahn - Bwf Marzahn - Rhinstr. - Arendsweg - Zechlinerstr. - Ho-Chi-Minh-Str. - S-Bhf. Leninallee - Dimitroffstr.,10,35,,1989,east,
15,tram,Falkenberg - S-Bhf. Hohenschönhausen - Prerowerplatz - Gehrenseestr. - Hauptstr. - Simon-Bolivar-Str. - Ho-Chi-Minh-Str. - S-Bhf. Leninallee - Dimitroffstr.,10,28,,1989,east,
16,tram,"Köpenick, Krankenhaus - Wendenschloßstr. - Freiheit - Bahnhof-/lindenstr. - Pionierpark - Rathenaustr. - Sterndamm - Bhf. Berlin-Schöneweide - Edisonstr. - Bhf. Karlshorst - U-Bhf. Tierpark - Straße Der Befreiung - S-Bhf. Friedrichsfelde Ost - Allee Der Kosmonauten - Leninallee - Gärtnerstr. - Gehrenseestr. - Prerowerplatz - Zingsterstr. Hohenschönhausen",20,66,,1989,east,
17,tram,"Leninallee/dimitroffstr. - S-Bhf. Leninallee - Anton-Saefkow-Platz - Herzbergstr. Ecke Ho-Chi-Minh-Str. - Siegfriedstr. Ecke Herzbergstr. - Allee Der Kosmonauten Ecke Rhinstr. - S-Bhf. Friedrichsfelde Ost - Straße Der Befreiung - U-Bhf. Tierpark - Bhf. Karlshorst - Wilhelminenhofstr. Ecke Edinsonstr. - Bhf. Schöneweide - Königsheideweg Ecke Sterndamm - Johannisthal, Haeckelstr.",12,54,,1989,east,
18,tram,"Ahrensfelde - Erich-Glückauf-Str. - Henneckestr. - Otto-Winzer-Str. - Bruno-Leuschner-Str. - Alt-Marzahn - Elisabethstr. - S-Bhf. Springpfuhl - Rhinstr. Eckeallee Der Kosmonauten - Siegfriedstr. Ecke Herzbergstr. - Ho-Chi-Minh-Str. Ecke Herzbergstr. - S-Bhf. Leninallee - Dimitroffstr. Ecke Leninallee - Leninplatz - Hans-Beimler-Str. Ecke Mollstr. - Prenzlauerallee Ecke Wilhelm-Pieck-Str. - U-Bhf. Rosa-Luxemburg-Platz - Rosenthalerplatz - Brunnenstr. Ecke Invalidenstr. - Invalidenstr., Post Ecke Chausseestr. - Stadion Der Weltjugend - Wöhlertstr.",10,64,,1989,east,
18E,tram,Ahrensfelde - Erich-Glückauf-Str. - Henneckestr. - Otto-Winzer-Str. - Bruno-Leuschner-Str. - Alt-Marzahn - Elisabethstr. - S-Bhf. Springpfuhl - Rhinstr. Eckeallee Der Kosmonauten - Siegfriedstr. Ecke Herzbergstr. - Ho-Chi-Minh-Str. Ecke Herzbergstr. - S-Bhf. Leninallee - Dimitroffstr. Ecke Leninallee,10,40,,1989,east,
19,tram,"Scharnweberstr. - Bhf. Frankfurterallee - Rathaus Lichtenberg - Herzbergstr. Ecke Ho-Chi-Minh-Str. - Siegfriedstr. Ecke Herzbergstr. - Allee Der Kosmonauten Ecke Rhinstr. - S-Bhf. Friedrichsfelde Ost - Straße Der Befreiung - U-Bhf. Tierpark - Bhf. Karlshorst - Wilhelminenhofstr. Ecke Edinsonstr. - Rathenaustr. - Pionierpark - Bahnhof-/lindenstr. - Schloßplatz - Wendenschloßstr. Ecke Müggelheimerstr. - Köpenick, Krankenhaus",0,0,,1989,east,
20,tram,Bhf. Lichtenberg - Betriebshof Lichtenberg - Josef-Orlopp-Str. - Herzbergstr. Ecke Siegfriedstr. - Ho-Chi-Minh-Str. Ecke Herzbergstr. - Leninallee Ecke Ho-Chi-Minh-Str. - Hohenschönhauserstr. Ecke Ho-Chi-Minh-Str. - Omnibus-Betriebshof Ecke Indira-Gandhi-Str. - Klement-Gottwald-Allee - Antonplatz - Roelckestr. - Wisbyerstr. - S-Bhf. Prenzlauerallee - Dimitroffstr. - Knaackstr. - Wilhelm-Pieck-Str. - U-Bhf. Rosa-Luxemburg-Platz - Hackerscher Markt,0,0,,1989,east,
21,tram,"Eberswalderstr. - U-Bhf. Dimitroffstr. - Prenzlauerallee - Greifswalderstr. Ecke Dimitroffstr. - Bötzowstr. - Artur-Becker-Str. Ecke Dimitroffstr. - Leninallee Ecke Dimitroffstr. - Besarinplatz - U-Bhf. Frankfurter Tor - Holteistr. Ecke Boxhagenerstr. - S-Bhf. Rummelsburg - Veb Gummiwerke - Heizkraftwerk - Hönower Wiesenweg - Liepnitzstr. - Hermann-Duncker-Str. Ecke Ehrlichstr. - Wilhelminenhofstr. Ecke Edisonstr. - Rathenaustr. - Pionierpark - Bahnhof-/lindenstr. - Schloßplatz - Wendenschloßstr. Ecke Müggelheimerstr. - Köpenick, Krankenhaus",20,75,,1989,east,
22,tram,"Rosenthal, Quickbornerstr. - Hauptstr. - Siedlung - Kastanienallee - Nordendstr. - Platanenstr. - Kurt-Fischer-Platz - Bürgerpark - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow (vinetastr.) - Bornholmerstr. Ecke Wisbyerstr. - Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Zionskirchplatz - Brunnenstr. - Invalidenstr., Post - Oranienburger Tor - Bhf. Friedrichstr. - Am Kupfergraben",15,48,,1989,east,
23,autobus,"Falkenhöhe - S-Bhf. Grünbergallee - S-Bhf. Altglienicke - Normannenstr. Ecke Germanenstr. - Wolfmarsteig - Schönefelderchaussee Ecke Dankmarsteig - Altglienicke, Kirche - Glienickerweg - Veb Berlin-Chemie - Dörpfeldstr. - S-Bhf. Adlershof - Rudowerchaussee",20,28,,1989,east,
24,tram,"Weißensee, Pasedagplatz - Buschallee - Indira-Gandhi-Str. Ecke Klement-Gottwald-Allee - Albertinenstr. - Antonplatz - S-Bhf. Erich-Thälmann-Park - Dimitroffstr. Ecke Greifswalderstr. - Mollstr. Ecke Hans-Beimler-Str. - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Orianienburger Tor - Stadion Der Weltjugend - Pflugstr.",10,36,,1989,east,
25,tram,Sterndamm - Bhf. Schöneweide - Wilhelminenhofstr. Ecke Edisonstr. - Rathenaustr. - Pionierpark - Bahnhof-/lindenstr. - Seelenbinderstr. Ecke Bahnhofstr. - Brandenburgplatz - Hirschgarten - Bölschestr. - S-Bhf. Friedrichshagen - Hartlebenstr. - Am Wasserwerk - Müggelseedamm - Freibad Müggelsee - Rahnsdorf,20,47,,1989,east,
26,tram,"Sterndamm - Bhf. Schöneweide - Wilhelminenhofstr. Ecke Edisonstr. - Rathenaustr. - Pionierpark - Bahnhof-/lindenstr. - Schloßplatz - Wendenschloßstr. Ecke Müggelheimerstr. - Köpenick, Krankenhaus",20,28,,1989,east,
