stop_id,stop_name,type,location,in_lines,identifier,stop_description
19460,Adlershof,s-bahn,"52.434722222222,13.541388888889","['KBS 100a', 'KBS 100c']",Q323551,
19461,Akazienallee,omnibus,"52.47849809201335, 13.607179083668733",['D'],,
19462,Alexanderplatz,omnibus,"52.52005246558073, 13.413957243449447","['1', '9']",,
19463,Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","['KBS 101', 'KBS 100c']",Q111324700,
19464,Alexanderplatz,tram,"52.5219449,13.4143847","['72', '64', '73', '65', '60']",Q65548996,
19465,Alexanderplatz,u-bahn,"52.5214,13.4119","['E', 'A', 'D']",Q17173458,
19466,Alexanderstr.,omnibus,"52.51778540833277, 13.418077932963259",['1'],,
19467,Alt-Biesdorf,omnibus,"52.508805788386496, 13.558724778261455",['H'],,
19468,Alt-Friedrichsfelde,omnibus,"52.51072943298707, 13.504877027235766","['H', '1']",,
19469,Alt-Friedrichsfelde,tram,"52.50914093654053, 13.518129930582422",['69'],,
194610,Alt-Kaulsdorf,omnibus,"52.50517404169193, 13.581539359412261",['H'],,
194611,Alt-Moabit,tram,"52.522953428732706, 13.363110996619637",['21'],,
194612,Alt-Pichelsdorf,tram,"52.512205003004254, 13.20098769648865",['75'],,
194613,Am Schlesischen Bahnhof,omnibus,"52.511300751384205, 13.434689302904747",['1'],,
194614,Am Schlesischen Bahnhof,tram,"52.50992342587209, 13.433401993102558",['82'],,
194615,Am Treptower Park,tram,"52.49174753133871, 13.457760339630582","['87_a', '87_b']",,
194616,An der Wuhlheide,tram,"52.4558167657369, 13.558133104178587","['87_a', '87_b', '95_a', '95_b']",,
194617,Anhalter Bahnhof,s-bahn,"52.503055555556,13.381944444444","['KBS 105a', 'KBS 103', 'KBS 104a']",Q111324573,
194618,Anhalter Bahnhof,tram,"52.50453275122, 13.382326534592197",['1'],,
194619,Anhalter Bhf.,tram,"52.50449054956299, 13.382289924849571",['21'],,
194620,Attilaplatz,tram,"52.455498340147045, 13.375619638525905","['96', '99']",,
194621,Attilastr.,tram,"52.44680180814698, 13.360708029669821",['96'],,
194622,Babelsberg,s-bahn,"52.3914,13.0928",['KBS 101'],Q801326,
