year,Stops,Frequency,Length (time),line_name,type,east-west
1946,"Flughafen - Franz-Mehring-Strasse (3, 99) - Hallesches Tor - Lindenstrasse - Jerusalemer Strasse - Dönhoffplatz (74, 87) - Werderscher markt - Schloßplatz - Alexanderplatz (60,64,65,72,73; 9) - Alexanderstrasse - Holzmarkstrasse - Schlesischer Bahnhof (82) - Am Schlesischen Bahnhof - Fruchtstrasse - Kürstriner Platz - Frankfurter Allee - Frankfurter Allee Ecke Warschauer Strasse (4) - Frankfurter Allee Ecke  Gürtelstrasse (8) - Alt-Friedrichsfelde (Rosenfelder Strasse ) (69)",25.0,,1,bus,both/unkown
1946,"Hackescher Markt - Rosenthaler Strasse - Rosenthaler Platz - Invalidenstrasse - Stettiner Bhf. - Chausseestrasse - Friedrichstrasse - Weidendammbrücke - Prinz-Louis-Ferdinand-Strasse - Dorotheenstrasse - Hindenburgplatz (9; 21) - Potsdamer Platz (21,74) - Anhalter Bahnhof",10.0,15.0,1,strassenbahn,both/unkown
1946,"Zehlendorf, Rathaus (5) - Potsdamer Chaussee - Bhf. Nikolassee - Bhf. Wannsee - Stölpchensee ",30.0,,17,bus,both/unkown
1946,Wiebestrasse - Thälmannstrasse Ecke Waldstrasse - Rathenower Strasse - Alt-Moabit - Moltkebrücke - Lehrter Bhf. - Moltkestrasse - Fürst-Bismarck-Strasse - Königsplatz - Hindenburgplatz - Potsdamer Platz - Anhalter Bhf.,6.0,15.0,21,strassenbahn,both/unkown
1946,"Rosenthal - Reichskanzlerdamm - Bismarckplatz - Grabbeallee - Pankow, Schönholzer Strasse - Wollankstrasse - Wollankstrasse Ecke Brehmestrasse - Prinzenallee Ecke Brehmestrasse - Pankstrasse - Nettelbeckplatz - Reinickendorfer Strasse - Weddingplatz - Fennstrasse ",10.0,20.0,23,strassenbahn,both/unkown
1946,Warschauer Brücke - Warschauer Strasse - Baltenplatz - Elbinger Strasse Ecke Lansberger Allee - Elbinger Strasse Ecke Prenzelauer Allee - Danziger Strasse Ecke Schönhauser Allee - Bernauer Strasse Ecke Brunnenstrasse - Strelitzerstrasse ,7.0,15.0,4,strassenbahn,both/unkown
1946,"Steglitz, Rathaus (74.77) - Schloßstrasse - Unter den Eichen - Berliner Strasse Ecke Thielallee - Zehlendorf, Rathaus (17)",60.0,,5,bus,both/unkown
1946,"Schönberg, Wartburgplatz - Mühlenstrasse Ecke Hauptstrasse - Bhf. Schöneberg - Sachsendamm - Bhf. Papestrasse - Tempelhof, Schöneberger Strasse - Dorfstrasse - Dorfstrasse Ecke Berliner Strasse - Germaniastrasse - Gottlieb-Dunkel-Strasse - Mariendorfer Weg - Mariendorfer Weg Ecke Chausseestrasse - Knesebeckstrasse - Bhf. Neukölln - Bergstrasse - Erkstrasse - Wildenbruchstrasse - Treptow, Elsenstrasse",12.0,,6,strassenbahn,both/unkown
1946,"Seestrasse, Friedhöfe - Seestrasse Ecke Müllerstrasse - Seestrasse Ecke Markstrasse - Osloer strasse - Osloer Strasse Ecke Prinzenallee - Bornholmer Strasse - Bhf. Bornholmer Strasse - Bornholmer Strasse Ecke Schönhauser Allee - Wisbyer Strasse Ecke Bornholmerstrasse - Wisbyer Strasse Ecke Prenzlauer Allee - Gustav-Adolf-Strasse Ecke Langhansstrasse - Berliner Allee, Antonplatz - Berliner Allee Ecke Lichtenberger strasse - Weißenseer Weg Ecke Hohenschönhauser Strasse - Lichtenberg, Röderplatz - Möllendorffstrasse Ecke Scheffelstrasse - Gürtelstrasse Ecke Frankfurter Allee",15.0,20.0,8,strassenbahn,both/unkown
1946,"Alexanderplatz (60,64,65,72,73; 1) - Schloßplatz - Unter den Linden Ecke Friedrichstrasse - Brandenburger Tor (1,21) - Charlottenburger Chaussee - Charlottenburg, Knie",10.0,15.0,9,bus,both/unkown
1946,Türschmidtstrasse Ecke Karlshorster Strasse - Köpenicker Chaussee - Kraftwerk Klingenberg,15.0,30.0,13,strassenbahn,both/unkown
1946,"Gotzkowskystrasse - Thälmannstrasse Ecke Beusselstrasse (21;8) - Kaiserin-Augusta-Allee Ecke Tauroggener Strasse (55) - Berliner Strasse  Ecke Wilmersdorfer Strasse (54) - Wilmerdorfer Strasse - Wilmersdorfer Strasse Ecke Kantstrasse - Wilmersdorfer Strasse Ecke Kurfürstendamm (62,75,76) - Brandenburgische Strasse - Fehrbelliner Platz - Berliner Strasse  Ecke Kaiserallee (77) - Bayerischer Platz - Grunewaldstrasse - Goltzstrasse - Winterfeldtplatz - Pallasstrasse - Pallasstrasse Ecke Potsdamer Strasse (74) - Goebenstrasse - Yorckstrasse - Yorckstrasse Ecke Franz-Mehring-Strasse - Gneisenausstrasse - Gardepionierplatz ",10.0,,3,strassenbahn,both/unkown
1946,"U-Bhf. Friedrichsfelde - Treskowallee - Warmbader Strasse (69) - Biesdorf-Süd - Kaulsdorf-Süd, Zimmermannstrasse - Ulmenstrasse - Mahlsdorf-Süd, Kohlisstrasse (83) - Akazienallee - Dahlwitz, Kol. Waldesruh",12.0,,D,bus,both/unkown
