Column,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Adamstrasse Ecke Wilhelmstrasse,bus,['A13'],"52.5210974258045, 13.187990320264987",,['A13'],
1,Adlershof,s-bahn,"['KBS 100a', 'KBS 103']","52.434722222222,13.541388888889",Q323551,"['KBS 100a', 'KBS 103']+ KBS 103,KBS 100a+ KBS 103,KBS 100a,KBS 106+ KBS 106a,KBS 103,KBS 103a",Berlin-Adlershof station+ Berlin-Adlershof station+ Berlin-Adlershof station
2,"Adlershof, Oppenbrücke (Benzolwerk)",strassenbahn,['84'],"52.42607491619971, 13.555219462749426",,,
3,Falkenberger Chaussee,bus,['A39'],"52.5706254674252, 13.534226375399161",,,
4,Alboinstrasse Ecke Schönebergerstrasse,strassenbahn,['6'],"52.4698434808757, 13.372061552266187",,['6'],
5,Albrechtshof,s-bahn,['KBS 103'],"52.5494,13.1283",Q800470,['KBS 103']+ KBS 103+ KBS 103+ KBS 103,Berlin Albrechtshof station+ Berlin Albrechtshof station+ Berlin Albrechtshof station
6,Alexanderplatz,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']","52.521388888889,13.411944444444",Q111324700,"['KBS 102', 'KBS 101', 'KBS 103']+ KBS 102,KBS 103,KBS 101+ KBS 101,KBS 103,KBS 102+ KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104",S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz
7,Alexanderplatz,strassenbahn,['1'],"52.5219449,13.4143847",Q65548996,,
8,Alexanderplatz,u-bahn,"['A I', 'D', 'E']","52.5214,13.4119",Q17173458,"['D', 'E', 'A I']+ E,D,A I,A II+ A,E+ A,E",Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station
9,"Alexanderplatz, Grunerstrasse",strassenbahn,"['73', '71', '72', '74']","52.52008326268696, 13.41408418961877",,"['74', '22', '71', '72']+ 82,74,74E,72,71+ 71+ 71","+ Alexanderplatz, Grunerstrasse+ Alexanderplatz, Grunerstrasse+ Alexanderplatz, Grunerstrasse"
10,"Alexanderplatz, Grunestrasse",strassenbahn,['64'],"52.52008326268696, 13.41408418961877",,['64']+ 64,"+ Alexanderplatz, Grunerstrasse"
11,"Alexanderplatz, Neue Königsstrasse",strassenbahn,"['69', '65']","52.52208108570033, 13.416386259940168",,,
12,"Alt-Blankenburg, Kirche",bus,['A42'],"52.59331569949531, 13.453672869643954",,,
13,"Alt-Buch, Kirche",bus,['A42'],"52.63517918139864, 13.498694001682974",,,
14,"Alt-Glienicke, Am Falkenberg",strassenbahn,['84'],"52.418565185694725, 13.54870199909426",,,
15,"Alt-Karow, Kirche",bus,['A42'],"52.612016271884954, 13.483134353282757",,,
16,"Alt-Kladow, Kladow",bus,['A34'],"52.452286936783146, 13.148573109235501",,,
17,Alt-Kladow/Postamt,bus,['A6'],"52.45329658628831, 13.143672713561154",,,
18,Alt-Mariendorf Ecke Mariendorfer Damm,strassenbahn,['99'],"52.440183277735734, 13.387302593017989",,,
19,"Alt-Marzahn, Kirche",bus,['A37'],"52.542423454435976, 13.564061751343658",,"['A37', 'O37']+ O37+ O37+ O37","+ Alt-Marzahn, Kirche+ Alt-Marzahn, Kirche+ Alt-Marzahn, Kirche"
20,Alt-Schmöckwitz,strassenbahn,['86'],"52.3752767,13.649549",Q66459540,['86']+ 86+ 86+ 86,Alt-Schmöckwitz+ Alt-Schmöckwitz+ Alt-Schmöckwitz
