,stop_name,line_count,type,in_lines
0,Hallesches Tor (Stresemannstrasse),1,strassenbahn,['1']
1,Prinzenstrasse,3,strassenbahn,['1']
2,Prinzenstrasse,3,u-bahn,"['B I', 'B II']"
3,U-Bhf. Moritzplatz,2,strassenbahn,"['1', '88']"
4,Brückenstrasse/Neanderstrasse,1,strassenbahn,['1']
5,Schillingbrücke,1,strassenbahn,['1']
6,Andreasplatz,1,strassenbahn,['1']
7,Alexanderplatz,7,strassenbahn,['1']
8,Alexanderplatz,7,u-bahn,"['A I', 'D', 'E']"
9,Alexanderplatz,7,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
10,Rosentaler Platz,2,strassenbahn,['1']
11,Rosentaler Platz,2,bus,['A40']
12,Invalidenstrasse Ecke Chausseestrasse,2,strassenbahn,"['1', '70']"
13,Oranienburger Tor,5,strassenbahn,"['46', '1', '70']"
14,Oranienburger Tor,5,bus,['A40']
15,Oranienburger Tor,5,u-bahn,['C I']
16,Dorotheestrasse (Bhf. Friedrichstrasse),1,strassenbahn,['1']
17,Charlottenstrasse Ecke Unter den Linden,1,strassenbahn,['1']
18,Werftstrasse Ecke Alt-Moabit,1,strassenbahn,['2']
19,"Rathenowerstrasse, Kriminalgericht",1,strassenbahn,['2']
20,Stromstrasse Ecke Turmstrasse,4,strassenbahn,"['35', '2', '25', '21']"
21,Waldstrasse Ecke Gotzkowskystrasse,1,strassenbahn,['2']
22,Knie,3,strassenbahn,"['2', '55', '25']"
23,Bhf. Zoo,12,strassenbahn,"['78', '2', '51', '55', '25', '75', '76E', '77', '76', '6']"
24,Bhf. Zoo,12,bus,['A2']
25,U-Bhf. Wittenbergplatz,3,strassenbahn,"['25', '2', '6']"
26,U-Bhf. Nollendorfplatz,1,strassenbahn,['2']
27,Potsdamerstrasse Ecke Bülowstrasse,1,strassenbahn,['2']
28,Mansteinstrasse (Bhf. Großgörschenstrasse),1,strassenbahn,['2']
29,Osloerstrasse Ecke Grüntalerstrasse,2,strassenbahn,['3']
30,Prinzenallee Ecke Osloerstrasse,1,strassenbahn,['3']
31,Oskarplatz,1,strassenbahn,['3']
32,Müllerstrasse Ecke Seestrasse,2,strassenbahn,"['68', '3']"
33,Seestraßenbrücke,1,strassenbahn,['3']
34,Turmstrasse Ecke Gotzkowskystrasse,1,strassenbahn,['3']
35,Osnabrückerstrasse Ecke Taurroggenerstrasse,1,strassenbahn,['3']
36,Schloßbrücke/Luisenplatz,1,strassenbahn,['3']
37,Berlinerstrasse Ecke Wilmersdorferstrasse,2,strassenbahn,"['55', '3']"
38,Kanststrasse Ecke Wilmersdorferstrasse,1,strassenbahn,['3']
39,Fehrbelliner Platz,5,strassenbahn,"['60', '44', '3', '57']"
40,Fehrbelliner Platz,5,u-bahn,['A II']
41,Bundesallee Ecke Brandenburgischestrasse,1,strassenbahn,['3']
42,Bayerischer Platz,3,strassenbahn,"['60', '3']"
43,Bayerischer Platz,3,u-bahn,['B I']
44,Martin-Luther-Strasse Ecke Brandenburgischestrasse,1,strassenbahn,['3']
45,Potsdamerstrasse Ecke Goebenstrasse,1,strassenbahn,['3']
46,Mehringdamm Ecke Gneisenaustrasse,1,strassenbahn,['3']
47,Zossenerstrasse Ecke Gneisenaustrasse,1,strassenbahn,['3']
48,Südstern,2,strassenbahn,['3']
49,Südstern,2,u-bahn,['C I']
50,Hermannplatz,6,strassenbahn,"['3', '95', '26', '47']"
51,Hermannplatz,6,u-bahn,"['D', 'C I']"
52,Osloerstrasse Ecke Grüntalerstrasse,2,strassenbahn,['3']
53,Schönhauser Allee/Berlinerstrasse,1,strassenbahn,['3']
54,Prenzlauer Allee/Prenzlauer Promenade,1,strassenbahn,['3']
55,Berlinerstrasse Ecke Langhans Allee,1,strassenbahn,['3']
56,Lichtenbergerstrasse Ecke Langhans Allee,1,strassenbahn,['3']
57,Hohenschönhauserstrasse Ecke Lichtenbergerstrasse,1,strassenbahn,['3']
58,Landberger Chaussee Ecke Lichtenbergerstrasse,1,strassenbahn,['3']
59,Roederstrasse/Herzbergerstrasse,1,strassenbahn,['3']
60,Stalinallee,3,strassenbahn,['3']
61,Stalinallee,3,u-bahn,['E']
62,Stalinallee,3,s-bahn,['KBS 100']
63,Boxhagenerstrasse,1,strassenbahn,['3']
64,Warschauer Brücke,3,strassenbahn,"['3', '4']"
65,Warschauer Brücke,3,u-bahn,['B II']
66,Schlesisches Tor,3,strassenbahn,"['3', '4']"
67,Schlesisches Tor,3,u-bahn,['B II']
68,"Treptow, Elsenstrasse",1,strassenbahn,['3']
69,Strelitzerstrasse Ecke Berlauerstrasse,1,strassenbahn,['4']
70,Eberwalderstrasse Ecke Schönhauserallee,1,strassenbahn,['4']
