Column,stop_name,type,in_lines,location,identifier
0,Adamstrasse Ecke Wilhelmstrasse,bus,['A13'],"52.5210974258045, 13.187990320264987",
1,Adlershof,s-bahn,"['KBS 100a', 'KBS 103']","52.434722222222,13.541388888889",Q323551
2,Adolf-Scheidt-Platz,strassenbahn,['95'],"52.478194856980814, 13.37836902238447",
3,Afrikanische Str.,u-bahn,['C I'],"52.560027777778,13.334633333333",Q559239
4,"Ahrensfeld, Lindenbergerstrasse",bus,['A46'],"52.57534151289329, 13.576465760668366",
5,Alboinstrasse Ecke Schönebergerstrasse,strassenbahn,['6'],"52.4698434808757, 13.372061552266187",
6,Albrechtshof,s-bahn,['KBS 103'],"52.5494,13.1283",Q800470
7,Alexanderplatz,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.521388888889,13.411944444444",Q111324700
8,Alexanderplatz,u-bahn,"['D', 'E', 'A I']","52.5214,13.4119",Q17173458
9,"Alexanderplatz, Grunerstrasse",strassenbahn,"['74', '22', '71', '72']","52.52008326268696, 13.41408418961877",
10,"Alexanderplatz, Grunestrasse",strassenbahn,['64'],"52.52008326268696, 13.41408418961877",
11,"Alexanderplatz, Memhardstr.",strassenbahn,['1'],"52.5233439,13.4110773",Q65227406
12,"Alexanderplatz, Memhardstrasse",strassenbahn,"['63', '69', '11']","52.5233439,13.4110773",Q65227406
13,"Alt-Biesdorf, Oberfeldstrasse",bus,['A8'],"52.50918606891929, 13.553347058493491",
14,Alt-Kladow,bus,['A34'],"52.454591413254434, 13.144488043956764",
15,Alt-Kladow Ecke Kladower Damm,bus,['A35'],"52.453456955410275, 13.143930501157236",
16,Alt-Mariendorf,strassenbahn,['99'],"52.4401532176395, 13.387265005984174",
17,Alt-Marienfelde Ecke Marienfelderallee,bus,['A52'],"52.41357787421618, 13.363330517921128",
18,"Alt-Marzahn, Kirche",bus,"['A37', 'O37']","52.542423454435976, 13.564061751343658",
19,Alt-Moabit/Paulstrasse,bus,['A24'],"52.52362366662573, 13.356925243183808",
20,Alt-Müggelheim,bus,['A27'],"52.41018331064196, 13.665897531850348",
21,Alt-Reinickendorf Ecke Roedernstrasse,bus,"['A12', 'A12S']","52.575847957276935, 13.347790909547232",
22,Alt-Schmöckwitz,strassenbahn,['86'],"52.3752767,13.649549",Q66459540
23,Alt-Tegel,bus,['A15'],"52.58954346115138, 13.283679780746766",
