,line_id,year,line_name,type,start_stop,Length (time),Length (km),east_west,Frequency
0,19561,1956,1,strassenbahn,Schillingbrücke (Ostbahnhof)<> Am Kupfergraben,33,7.66,Ost,20
1,19562,1956,2,strassenbahn,"Wienerstrasse, Spreewaldplatz<> Bernauerstrasse Ecke Wollinerstrasse",70,,West,15
2,19563,1956,3,strassenbahn,Mühlenstrasse<> Björnsonstrasse,45,12.09,Ost,12
3,19564,1956,3,strassenbahn,"Neukölln, Hermannplatz<> Grüntalerstrasse Ecke Osloer Strasse",81,,West,10
4,19565,1956,4,strassenbahn,Mühlenstrasse<> Oderberger Strasse,27,6.32,both/unkown,5
5,19566,1956,6,strassenbahn,Bhf. Zoo<> Elsenstrasse Ecke Heidelbergerstrasse,58,,West,10
6,19567,1956,11,strassenbahn,Köpenicker Strasse Ecke Adalbertstrasse<> Hannoversche Strasse,23,5.43,Ost,20
7,19568,1956,13,strassenbahn,"Klingenberg, Blockdammweg<> Oderberger Strasse",37,9.91,Ost,15
8,19569,1956,15,strassenbahn,Daimlerstrasse<> Schulenburgpark,36,,West,15
9,195610,1956,22,strassenbahn,Bhf. Rosenthal<> Elisabethstrasse,49,11.65,Ost,12
10,195611,1956,23,strassenbahn,"Bhf. Wollankstrasse<> Moabit, Zwinglistrasse",29,,West,15
11,195612,1956,24,strassenbahn,Bhf. Wollankstrasse<> Bernauerstrasse Ecke Wollinerstrasse,14,,West,15
12,195613,1956,25,strassenbahn,"Tegel, Alt-Tegel<> Schöneberg, Gotenstrasse",77,,West,15
13,195614,1956,26,strassenbahn,"Spreewaldplatz<> Tempelhof, Industriestrasse",31,,West,15
14,195615,1956,27,strassenbahn,"Neukölln, Hermannplatz<> Buckow, Alt-Buckow",26,,West,10
15,195616,1956,28,strassenbahn,"Tegelort, Kurzestrasse<> Rügenesrstrasse Ecke Brunnenstrasse",59,,West,20
16,195617,1956,29,strassenbahn,"Heiligensee, Dorfaue<> Rügenerstrasse Ecke Brunnenstrasse",57,,West,20
17,195618,1956,35,strassenbahn,"Siemensstradt, Nonnendammallee<> Reinickendorf, Teichstrasse Ecke Humboldtstrasse",48,,West,15
18,195619,1956,36,strassenbahn,Bhf. Wilhelmsruh<> Rügenerstrasse Ecke Brunnenstrasse,20,,West,15
19,195620,1956,40,strassenbahn,"Dahlem, Clayallee<> Steglitz, Birkbuschstrasse Ecke Siemensstrasse",20,,West,15
20,195621,1956,41,strassenbahn,"Tegel, Alt-Tegel<> Bernauerstrasse Ecke Wollinerstrasse",44,,West,15
21,195622,1956,44,strassenbahn,"Sandkrugbrücke, Lehrter Bahnhof<> Birkbuschstrasse Ecke Siemensstrasse",56,,West,15
22,195623,1956,46,strassenbahn,"Niederschönhausen, Schillerstrasse<> Am Kupfergraben",49,11.75,Ost,12
23,195624,1956,47,strassenbahn,"Hermannplatz<> Rudow, Bahnhofstrasse",34,,West,10
24,195625,1956,49,strassenbahn,Buchholz<> Große Präsidentenstrasse,42,10.38,Ost,16
25,195626,1956,51,strassenbahn,"Roseneck, Grunewald<> Bhf. Zoo",23,,West,20
26,195627,1956,54,strassenbahn,"Spandau, Johannesstift<> Bhf. Zoo",51,,West,15
27,195628,1956,55,strassenbahn,"Spandau, Nauenerstrasse<> Bhf. Zoo",48,,West,12
28,195629,1956,60,strassenbahn,Königin-Elisabeth-Strasse Ecke Kaiserdamm<> Lindenhof Eythstrasse,49,,West,15
29,195630,1956,63,strassenbahn,"Hohenschönhausen, Gartenstadt<> Große Präsidentenstrasse",41,10.16,Ost,20
30,195631,1956,64,strassenbahn,"Hohenschönhausen, Falkenberger Strasse<> Dönhoffplatz, Krausenstrasse",39,12.08,Ost,20
31,195632,1956,66,strassenbahn,Belziger Strasse Ecke Martin-Luther-Strasse<> Thorwaldsenstrasse Ecke Grazer Damm,12,,West,10
32,195633,1956,68,strassenbahn,"Bhf. Wittenau, Nordbahn, Cyclopstrasse<> Nettelbeckplatz",27,,West,15
33,195634,1956,69,strassenbahn,"Johannisthal, Haeckelstrasse<> Walter-Ulbricht-Stadion",79,21.39,Ost,20
34,195635,1956,70,strassenbahn,"Hohenschönhausen, Falkenberger Strasse<> Clara-Zetkin-Strasse Ecke Neue Wilhelmstrasse",52,12.43,Ost,12
