line_name,Stops,Frequency,Length (time),Length (km),type,east-west,year
1,"Schillingbrücke (Ostbahnhof) - Stalinallee - Leninplatz - Leninallee, Kleine Frankfurterstrasse - Alexanderplatz, Memhardstr. - Gipsstrasse, U-Bhf. Weinmeisterstrasse - Rosenthaler Platz - Brunnen Ecke Invalidenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Weidendammbrücke, Bhf. Friedrichstrasse - Am Kupfergraben",20,33,7.66,strassenbahn,Ost,1956
2,"Wienerstrasse, Spreewaldplatz - Hermannplatz - Südstern - Mehringdamm - Goebenstrasse Ecke Bülowstrasse - Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - Am Knie - Gotzkowskystrasse Ecke Turmstrasse - Turmstrasse Ecke Rathenowerstrasse - Fennbrücke - Weddingplatz - Usedomerstrasse - Bernauerstrasse Ecke Wollinerstrasse",15,70,,strassenbahn,West,1956
3,"Mühlenstrasse - Bhf. Warschauer Brücke - Boxhagener Strasse - Bhf. Stalineallee, Gürtelstrasse - Rathaus Lichtenberg - Roederplatz - Landsberger Chaussee Ecke Weißenseer Weg - Hohenschönhauser Strasse - Klement-Gottwald-Allee/Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade Ecke Gustav-Adolf-Strasse - Schönhauser Allee - Björnsonstrasse",12,45,12.09,strassenbahn,Ost,1956
3,"Neukölln, Hermannplatz - Südstern - Zosener Strasse Ecke Gneisenaustrasse - Mehringdamm - Potsdamer Strasse - Martin-Luther-Strasse - Bundesallee Ecke Berliner Strasse - Fehrbelliner Platz - Kurfürstendamm Ecke Brandenburgischestrasse - Kantstrasse Ecke Wilmersdorfer Strasse - Wilmersdorferstrasse Ecke Berliner Strasse - Luisenplatz - Osnabrückerstrasse Ecke Tauroggenerstrasse - Gotzkowskystrasse Ecke Turmstrasse - Plötzensee - U-Bhf. Seestrasse - Oskarplatz - Prinzenallee Ecke Osloer Strasse - Grüntalerstrasse Ecke Osloer Strasse",10,81,,strassenbahn,West,1956
4,Mühlenstrasse - Bhf. Warschauer Brücke - Grünberger Strasse - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Paul-Heyse-Strasse - Arnswalder Platz - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Oderberger Strasse,5,27,6.32,strassenbahn,both/unkown,1956
6,Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Rathaus Schöneberg - Hauptstrasse - Alboinstrasse Ecke Schönebergerstrasse - Tempelhofer Damm Ecke Alt-Tempelhof - Oberlandstrasse Ecke Germaniastrasse - Gottlieb-Dunkel-Strasse Ecke Germaniastrasse - Britzer Damm Ecke Blaschkoallee - Buschkrug - U-Bhf. Grenzallee - U-Bhf. Neukölln - U-Bhf. Rathaus Neukölln - Elsenstrasse Ecke Heidelbergerstrasse,10,58,,strassenbahn,West,1956
11,"Köpenicker Strasse Ecke Adalbertstrasse - U-Bhf. Neanderstrasse - Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstrasse - U-Bhf. Weinmeisterstrasse - Rosenthaler Platz - Brunnen Ecke Invalidenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Hannoversche Strasse",20,23,5.43,strassenbahn,Ost,1956
13,"Klingenberg, Blockdammweg - Kraftwerk Klingenberg - Saganerstrasse, Güterbahn -  Klingenberg, Hauptstrasse - Holteistrasse - Boxhagener Strasse - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Paul-Heyse-Strasse - Arnswalder Platz - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Oderberger Strasse ",15,37,9.91,strassenbahn,Ost,1956
15,Daimlerstrasse - Bhf. Marienfelde - Mariendorfer Damm Ecke Alt-Mariendorf - Imbrosweg - Mariendorfer Friedhof - Industriestrasse - Germaniastrasse Ecke Gottlieb-Dunkel-Strasse - Frauenklinik - Hermannstrasse Ecke Hertastrasse - U-Bhf. Neukölln - Richardstrasse - Bhf. Sonnenallee - Dammweg - Schulenburgpark,15,36,,strassenbahn,West,1956
22,"Bhf. Rosenthal - Rosenthal, Siedlung - Nordendstrasse - Kurt-Fischer-Platz - Breite Strasse, Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow, Florastrasse - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - Eberswalderstrasse, U-Bhf. Dimitroffstrasse - Zionskirchstrasse - Rosenthaler Platz - Memhardtstrasse Ecke Liebknechtstrasse - Alexanderplatz, Grunerstrasse - Elisabethstrasse",12,49,11.65,strassenbahn,Ost,1956
23,"Bhf. Wollankstrasse - Osloer Strasse Ecke Prinzenallee - Badstrasse Ecke Prinzenallee - Nettelbeckplatz - Weddingplatz - Fennbrücke - Augustenburger Platz - Birkenstrasse  Ecke Pulitzstrasse - Stromstrase Ecke Turmstrasse - Turmstrasse Ecke Gotzkowskystrasse - Moabit, Zwinglistrasse",15,29,,strassenbahn,West,1956
24,Bhf. Wollankstrasse - Osloerstrasse Ecke Prinzenallee - Prinzenallee Ecke Badstrasse - Bhf. Gesundbrunnen - Rügenerstrasse Ecke Brunnenstrasse - Brunnenstrasse Ecke Bernauerstrasse - Bernauerstrasse Ecke Wollinerstrasse,15,14,,strassenbahn,West,1956
25,"Tegel, Alt-Tegel - Bernauerstrasse Ecke Berlinerstrasse - Eichborndamm Ecke Scharnweberstrasse - Kurt-Schuhmacher-Platz - Londoner Strasse, Strassenbahnhof - Seestrasse Ecke Müllerstrasse - Weddingplatz - Kriminalgericht - Stromstrasse Ecke Turmstrasse - Turmstrasse Ecke Gotzkowskystrasse - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Badenschestrasse Ecke Martin-Luther-Strasse - Rathaus Schöneberg (Belzigerstrasse) - Dominicusstrasse Ecke Hauptstrasse - Kaiser-Wilhelm-Platz - Schöneberg, Gotenstrasse",15,77,,strassenbahn,West,1956
26,"Spreewaldplatz - Reichenberger Strasse - Glogauer Strasse - Sonnenallee - Hermannplatz - Weichselstrasse - Rathaus Neukölln - Karl-Marx-Strasse-Station - U-Bhf. Neukölln - Hermannstrasse Ecke Hertastrasse - Germaniastrasse Ecke Gottlieb-Dunkel-Strasse - Tempelhof, Industriestrasse",15,31,,strassenbahn,West,1956
27,"Neukölln, Hermannplatz - U-Bhf. Boddinstrasse - Bhf. Hermannstrasse - Gradestrasse - Mariendorfer Allee - Buckow, Alt-Buckow",10,26,,strassenbahn,West,1956
28,"Tegelort, Kurzestrasse - Falkenplatz - Gabelung - Ruppiner Chaussee Ecke Karolinenstrasse - Alt-Tegel Ecke Schloßstrasse - Bernauerstrasse Ecke Berlinerstrasse - Eichenborndamm, Sportplatz Reinickendorf - Kurt-Schumacher-Platz - Londonerstrasse Ecke Müllerstrasse - Seestrasse Ecke Müllerstrasse - Müllerstrasse Ecke Schulstrasse - Reinickendorferstrasse Ecke Schulstrasse - Uferstrasse Ecke Exerzierstrasse - Pankstrasse/Prinzenallee - Bhf. Gesundbrunnen - Rügenesrstrasse Ecke Brunnenstrasse",20,59,,strassenbahn,West,1956
29,"Heiligensee, Dorfaue - Hennigsdorferstrasse Ecke Heiligensee - Gabelung - Ruppiner Chaussee Ecke Karolinenstrasse - Alt-Tegel Ecke Schloßstrasse - Bernauerstrasse Ecke Berlinerstrasse - Eichborndamm, Sportplatz Reinickendorf - Kurt-Schumacher-Platz - Londonerstrasse Ecke Müllerstrasse - Seestrasse Ecke Müllerstrasse - Müllerstrasse Ecke Schulstrasse - Reinickendorferstrasse Ecke Schulstrasse - Uferstrasse Ekce Exerziestrasse - Pankstrasse/Prinzenallee - Bhf. Gesundbrunnen - Rügenerstrasse Ecke Brunnenstrasse",20,57,,strassenbahn,West,1956
35,"Siemensstradt, Nonnendammallee - Wernerwerk - Bhf. Jungfernheide - Tauroggenerstrasse Ecke Osnabrückerstrasse - Wiebestrasse Ecke Huttenstrasse - Gotzkowskystrasse Ecke turmstrasse - Turmstrasse Ecke Stromstrasse - Rathenowerstrasse Ecke Perlebergstrasse - Weddingplatz, Müllerstrasse - Nettelbeckplatz - Schulstrasse Ecke Reinickendorferstrasse - Oskarplatz - Pankowerallee Ecke Residenzstrasse - Residenzstrasse Ecke Alt-Reinickendorf - Graf-Roedern-Allee Ecke Alt-Reinickendorf - Reinickendorf, Teichstrasse Ecke Humboldtstrasse",15,48,,strassenbahn,West,1956
36,"Bhf. Wilhelmsruh - Residenzstrasse Ecke Alt-Reinickendorf - Pankower Allee, Schäfersee - Pankower Allee, Strassenbahnhof - Pankower Allee Ecke Provinzstrasse - Osloerstrasse Ecke Kolonie-Drontheim - Schwedenstrasse/Uferstrasse - Pankstrasse Ecke Badstrasse - Bhf. Gesundbrunnen - Rügenerstrasse Ecke Brunnenstrasse",15,20,,strassenbahn,West,1956
40,"Dahlem, Clayallee - Pacelliallee/Thielallee - U-Bhf. Dahlem-Dorf - Podbielskiallee (Botanischer Garten) - Rathaus Steglitz - Bhf. Steglitz - Klingsorstrasse Ecke Birkbuschstrasse - Steglitz, Birkbuschstrasse Ecke Siemensstrasse",15,20,,strassenbahn,West,1956
41,"Tegel, Alt-Tegel - Bernauerstrasse Ecke Berlinerstrasse - Eichborndamm Ecke Scharnweberstrasse - Kurt-Schuhmacher-Platz - Graf-Roedernallee Ecke Reinickendorferstrasse - Aroserallee Ecke Reinickendorferstrasse - Residenzstrasse Ecke Alt-Reinickendorf - Pankowerallee (Schäfersee) - Osloerstrasse Ecke Schwedenstrasse - Uferstrasse Ecke Badstrasse - Pankstrasse/Prinzenallee - U-Bhf. Gesundbrunnen - Usedomerstrasse - Brunnenstrasse Ecke Bernauerstrasse - Bernauerstrasse Ecke  Wollinerstrasse ",15,44,,strassenbahn,West,1956
44,"Sandkrugbrücke, Lehrter Bahnhof - Rathenowerstrasse Ecke Invalidenstrasse - Stromstrasse Ecke Alt-Moabit - Gotzkowskystrasse Ecke Alt-Moabit - U-Bhf. Ernst-Reuter-Platz - Wilmersdorfer Strasse Ecke Berlinerstrasse - Kantstrasse Ecke Wilmersdorferstrasse - Kurfürstendamm Ecke Wilmersdorferstrasse - Fehrbelliner Platz - Berlinerstrasse Ecke Blissestrasse - Hildegardstrasse  Ecke Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Titania-Palast - Bhf. Steglitz - Schloßstrasse Ecke Albrechtstrasse - Birkbuschstrasse Ecke Siemensstrasse",15,56,,strassenbahn,West,1956
46,"Niederschönhausen, Schillerstrasse - Nordend, Dietzgenstrasse - Ossietzkyplatz - Kurt-Fischer-Platz - Breitestrasse, Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow, Florastrasse - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - Eberswalderstrasse, U-Bhf. Dimitroffstrasse - Zionskirchstrasse - Veteranenstrasse Ecke Brunnenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Weidendammbrücke, Bhf. Friedrichstrasse - Am Kupfergraben",12,49,11.75,strassenbahn,Ost,1956
47,"Hermannplatz - Erkstrasse, Rathaus Neukölln - Karl-Marx-Strasse Station - U-Bhf. Neukölln - U-Bhf. Grenzallee - Buschkrug - Parchimerallee Ecke Rudowerstrasse - Krankenhaus Neukölln - Johannisthaler Chaussee Ecke Rudowerstrasse - Wildmeisterdamm - Rudow, Bahnhofstrasse",10,34,,strassenbahn,West,1956
49,"Buchholz - Eweststrasse - Galenusstrasse, Pankow, Krankenhaus - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - S-Bhf. Pankow, Florastrasse - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - Eberswalderstrasse, U-Bhf. Dimitroffstrasse - Zionskirchstrasse - Rosenthaler Platz - Hackescher Markt - Große Präsidentenstrasse",16,42,10.38,strassenbahn,Ost,1956
51,"Roseneck, Grunewald - U-Bhf. Heidelberger Platz - Berlinerstrasse Ecke Uhlandstrasse - U-Bhf. Hohenzollernplatz - U-Bhf. Uhlandstrasse - Bhf. Zoo",20,23,,strassenbahn,West,1956
