,stop_id,stop_description,type,in_lines,identifier,location,stop_name
0,19601,4. Ring,bus,A53,,"52.42250630689789, 13.2869490566549",4. Ring
1,19602,Adamstrasse Ecke Pichelsdorfer Strasse,bus,"A34,A35",,"52.521029117218866, 13.19780699419913",Adamstrasse
2,19603,Berlin-Adlershof station,s-bahn,"KBS 103,KBS 100a",Q323551,"52.434722222222,13.541388888889",Adlershof
3,19604,Adolf-Scheidt-Platz,strassenbahn,95,,"52.478194856980814, 13.37836902238447",Adolf-Scheidt-Platz
4,19605,Afrikanische Straße,u-bahn,"C II,C I",Q559239,"52.560027777778,13.334633333333",Afrikanische Str.
5,19606,"Ahrensfeld, Kirche",bus,A46,,"52.57532170199278, 13.576515606968998","Ahrensfeld, Kirche"
6,19607,Albertstrasse,strassenbahn,"74,73",,"52.48441764584102, 13.352842591071507",Albertstrasse
7,19608,Berlin Albrechtshof station,s-bahn,KBS 103,Q800470,"52.5494,13.1283",Albrechtshof
8,19609,Albrechtstrasse Ecke Rheinhardtstrasse,bus,A57,,"52.52325414751492, 13.383819128683713",Albrechtstrasse
9,196010,Memhardstraße,strassenbahn,1,Q65227406,"52.5233439,13.4110773","Alexanderplats, Memhardstr."
10,196011,S-Bahnhof Berlin Alexanderplatz,s-bahn,"KBS 103,KBS 102,KBS 101",Q111324700,"52.521388888889,13.411944444444",Alexanderplatz
11,196012,Alexanderplatz u-bahn station,u-bahn,"A I,D,A II,E",Q17173458,"52.5214,13.4119",Alexanderplatz
12,196013,"Alexanderplatz, Grunerstrasse",strassenbahn,"74,72,71,82,74E",,"52.52008326268696, 13.41408418961877","Alexanderplatz, Grunerstrasse"
13,196014,"Alexanderplatz, Grunerstrasse",strassenbahn,64,,"52.52008326268696, 13.41408418961877","Alexanderplatz, Grunestrasse"
14,196015,Memhardstraße,strassenbahn,"69,11,63,22",Q65227406,"52.5233439,13.4110773","Alexanderplatz, Memhardstrasse"
15,196016,"Alt-Biesdorf, Oberfeldstrasse",bus,A8,,"52.50918606891929, 13.553347058493491","Alt-Biesdorf, Oberfeldstrasse"
16,196017,Alt-Buch,bus,A42,,"52.63585516282156, 13.50090380436997",Alt-Buch
17,196018,Alt-Buckow,strassenbahn,27,,"52.42369898147204, 13.43651094045107",Alt-Buckow
18,196019,Alt-Heiligensee,bus,"A13,A14",,"52.60616921042186, 13.210646859320935",Alt-Heiligensee
19,196020,Alt-Kladow,bus,"A34,A35",,"52.454591413254434, 13.144488043956764",Alt-Kladow
20,196021,Alt-Mariendorf Ecke Mariendorfer Damm,bus,AS2,,"52.44015553185248, 13.387328254903215",Alt-Mariendorf
21,196022,Alt-Mariendorf,strassenbahn,99,,"52.4401532176395, 13.387265005984174",Alt-Mariendorf
22,196023,Alt-Marienfelde Ecke Marienfelder Allee,bus,A52,,"52.413385082183694, 13.36338063003787",Alt-Marienfelde
23,196024,"Alt-Marzahn, Kirche",bus,O37,,"52.542423454435976, 13.564061751343658","Alt-Marzahn, Kirche"
24,196025,Alt-Müggelheim,bus,A27,,"52.41018331064196, 13.665897531850348",Alt-Müggelheim
25,196026,Alt-Schmöckwitz,bus (Umlandlinie),"Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf)",,"52.37536708814027, 13.649399886968025",Alt-Schm ckwitz
26,196027,Alt-Schmöckwitz,strassenbahn,86,Q66459540,"52.3752767,13.649549",Alt-Schmöckwitz
27,196028,Alt-Tempelhof,strassenbahn,"99,96,98",,"52.4660774066416, 13.3856316379907",Alt-Tempelhof
28,196029,Alte Wagenhalle,strassenbahn,96,,"52.39228324366295, 13.224814455372194",Alte Wagenhalle
29,196030,"Altglienicke, Am Falkenberg",strassenbahn,84,,"52.41079970042163, 13.570452931545786","Altglienicke, Am Falkenberg"
30,196031,"Altglienicke, Kirche",bus,A23,,"52.421845729296805, 13.539407702079252","Altglienicke, Kirche"
31,196032,Am Beelitzhof Ecke Kronprinzessinnenweg,bus,A3,,"52.432202091928794, 13.186661564435827",Am Beelitzhof
32,196033,Am Dachsbau Ecke Heiligenseestrasse,bus,A13,,"52.60655284387061, 13.22984370797522",Am Dachsbau
33,196034,Am Fließ,bus,A15,,"52.6034575714732, 13.289613652822638",Am Flie
34,196035,Am Grossen Wannsee Ecke Königstrasse,bus,"A3,A6,A18,A51",,"52.420496581432594, 13.167192967572669",Am Grossen Wannsee
35,196036,Am Kupfergraben,strassenbahn,1,Q65055027,"52.5194208,13.3953839",Am Kupfergraben
36,196037,Am Kupfergraben (Haus der Frau),strassenbahn,70,,"52.51968436891945, 13.396249324607327",Am Kupfergraben (Haus der Frau)
37,196038,Am Nordhafen,bus,A70,,"52.53868315849872, 13.363248409190426",Am Nordhafen
38,196039,Am Oberhafen,bus,A67,,"52.465017297775326, 13.450594183790596",Am Oberhafen
39,196040,Am Rosenhag,bus,"A44E,A44",,"52.52474356253909, 13.621775828105108",Am Rosenhag
40,196041,Am Steinberg Ecke Prenzlauer Promenade,bus,"A45,A42",,"52.55648144940878, 13.429306764151775",Am Steinberg
41,196042,Am Steinberg,strassenbahn,71,Q65103320,"52.5585796,13.4333751",Am Steinberg
42,196043,Am Treptower Park Ecke Bulgarische Strasse,strassenbahn,87,,"52.48147563483442, 13.472811198997826",Am Treptower Park Ecke Bulgarische Strasse
43,196044,Am Vierrutenbert,bus,A20,,"52.613698620824124, 13.344231823340426",Am Vierrutenbert
44,196045,Am Volkspark Ecke Blissestrasse,bus,A60,,"52.483222065143515, 13.32036833862448",Am Volkspark
45,196046,Amtsgerichsplatz,bus,A10,,"52.50685665976427, 13.295057483522156",Amtsgerichsplatz
46,196047,Amtsgericht,strassenbahn,"75,76",,"52.50682617853116, 13.297391449613752",Amtsgericht
47,196048,Amtsgericht Charlottenburg,bus,A21,,"52.50571853839105, 13.295347400894903",Amtsgericht Charlottenburg
48,196049,Andreasstrasse/Lebuser Strasse,bus,O30,,"52.51797306914227, 13.432895480772247",Andreasstrasse
49,196050,Andreasstrasse,strassenbahn,82,,"52.51085823996067, 13.430402171026154",Andreasstrasse
50,196051,S-Bahnhof Berlin Anhalter Bahnhof,s-bahn,"KBS 105,KBS 106,KBS 104",Q111324573,"52.503055555556,13.381944444444",Anhalter Bahnhof
51,196052,Anhalter Bahnhof,strassenbahn,88,,"52.50453275122, 13.382326534592197",Anhalter Bahnhof
52,196053,Anhalter Bhf.,bus,"A24,A29",,"52.504693895352524, 13.381969502572149",Anhalter Bhf.
53,196054,Antonplatz,strassenbahn,"74,72,70,3,74E",Q65548849,"52.5484803,13.4517416",Antonplatz
54,196055,Arnimallee,bus,A68,,"52.45789378609326, 13.299570204130864",Arnimallee
55,196056,Aroser Allee Ecke Lindauer Strasse,bus,"A61,A14",,"52.57376245122369, 13.351970705456408",Aroser Allee
56,196057,Attilaplatz,bus,"A25,AS2",,"52.45590179888225, 13.376512495751076",Attilaplatz
57,196058,Attilaplatz,strassenbahn,"96,95",,"52.455498340147045, 13.375619638525905",Attilaplatz
58,196059,Auguste-Viktoria-Allee Ecke Ollenhauerstrasse,bus,A62,,"52.569268504658915, 13.329801350092811",Auguste-Viktoria-Allee
59,196060,Augustenburger Platz,strassenbahn,25,,"52.54195473048106, 13.349004434392675",Augustenburger Platz
