Stops,Frequency,Length (time),Length (km),line_name,type,east-west,year,start_stop,last_change
"SchillingBrücke (Ostbahnhof) - U-Bhf. Strausberger Platz - Stalinallee - Leninplatz - Alexanderplats, Memhardstr. - Rosenthaler Platz - Brunnen Ecke Invalidenstrasse - Invaliden- Ecke Chausseestrasse - WeidendammBrücke, Bhf. Friedrichstrasse - Am Kupfergraben",20,33.0,7.7,1,strassenbahn,Ost,1960,,
"Köpenicker Strasse Ecke Adalbertstrasse - Bhf. JannowitzBrücke - Alexanderplatz, Memhardstrasse - Rosenthaler Platz - Brunnen Ecke Invalidenstrasse - Invaliden- Ecke Chausseestrasse - Oranienburger Tor, Hannoversche Strasse",20,23.0,5.4,11,strassenbahn,Ost,1960,,
"Klingenberg, Blockdammweg - Karlshorster Strasse - Holteistrasse - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Oderberger Strasse ",7,37.0,9.9,13,strassenbahn,Ost,1960,,
Daimlerstrasse - Bhf. Marienfelde - K rtingstrasse - Mariendorfer Damm - Imbrosweg - Mariendorfer Friedhof - Industriestrasse - Germaniastrasse - Frauenklinik - Hermannstrasse - U-Bhf. Neukölln - Richardstrasse - Bhf. Sonnenallee - Dammweg - Schulenburgpark,15,36.0,,15,strassenbahn,West,1960,,
Wolliner Strasse - Voltastrasse - Weddingplatz - Rathenower Strasse - Stromstrasse - GotzkowskyBrücke - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Potsdamer Strasse - Bhf. Yorckstrasse - Mehringdamm - Südstern - Hermannplatz - Spreewaldplatz,15,70.0,,2,strassenbahn,West,1960,,
"Bhf. Rosenthal - Nordendstrasse - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - U-Bhf. Vinestrasse - S-Bhf. Sch nhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Alexanderplatz, Memhardstrasse - Elisabethstrasse",13,49.0,11.7,22,strassenbahn,Ost,1960,,
Wolliner Strasse - Rügener Strasse - Bhf. Gesundbrunnen - Nauener Platz - Weddingplatz - Augustenburger Platz - Turmstrasse - Gotzkowskystrasse - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Wartburgplatz - Rathaus Sch neberg - Hauptstrasse - Gotenstrasse,15,68.0,,25,strassenbahn,West,1960,,
Spreewaldplatz - Reichenberger Strasse - Glogauer Strasse - Sonnenallee - Hermannplatz - Weichselstrasse - Rathaus Neukölln - Saltykowstrasse - Karl-Marx-Platz - Silbersteinstrasse - Hermannstrasse - St dtische Frauenklinik - Germaniastrasse - Bhf. Teltowkanal - Industriestrasse,15,31.0,,26,strassenbahn,West,1960,,
Hobrechtstrasse - Hasenheide - U-Bhf. Boddinstrasse - U-Bhf. Leinestrasse - Bhf. Hermannstrasse - Mariendorfer Weg - Germaniapromenade - Franz-K rner-Strasse - Gradestrasse - Tempelhofer Weg - Mariendorfer Allee - Gutschmidstrasse - Kleinbahn - Dacchdeckerweg - Parkfriedhof Neukölln - Alt-Buckow,10,26.0,,27,strassenbahn,West,1960,,
Mühlenstrasse - Bhf. Warschauer Brücke - Boxhagener Strasse - Bhf. Stalineallee - Roederplatz - Hohensch nhauser Strasse - Klement-Gottwald-Allee/Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade - Sch nhauser Allee - Bj rnsonstrasse,10,45.0,12.1,3,strassenbahn,Ost,1960,,
Hobrechtstrasse - U-Bhf. Südstern - Mehringdamm - Potsdamer Strasse - Martin-Luther-Strasse - Bundesallee Ecke Berliner Strasse - Fehrbelliner Platz - Kurfürstendamm - Otto-Suhr-Allee - OsnaBrücker Strasse - Wiebestrasse - Bhf. Beusselstrasse - Schwedenstrasse - Grüntaler Strasse,10,79.0,,3,strassenbahn,West,1960,,
Nonnendammallee - Quellweg - Bhf. Jungfernheide - Tauroggener Strasse - Wiebestrasse/Huttenstrasse - Stromstrasse - Rathenower Strasse - Weddingplatz - Nettelbeckplatz - Nauener Platz - Osloer Strasse - Pankower Allee - Kopenhagener Strasse - Bhf. Wilhelmsruh,15,48.0,,35,strassenbahn,West,1960,,
Mühlenstrasse - Bhf. Warschauer Brücke - Grünberger Strasse - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Oderberger Strasse,8,27.0,6.3,4,strassenbahn,both/unkown,1960,,
Sandkrugbrücke - Stromstrasse - Gotzkowskystrasse - U-Bhf. Ernst-Reuter-Platz - Wilmersdorfer Strasse - Kantstrasse - Kurfürstendamm - Fehrbelliner Platz - Hildegardstrasse - Bundesplatz - Schlossstrasse - Rathaus Steglitz - Bhf. Steglitz - Schützenstrasse - Birkbuschstrasse,15,58.0,,44,strassenbahn,West,1960,,
"Niedersch nhausen, Schillerstrasse - Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - U-Bhf. Vinetastrasse - S-Bhf. Sch nhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Invaliden- Ecke Chausseestrasse - Oranienburger Tor - WeidendammBrücke, Bhf. Friedrichstrasse - Clara-Zetkin-Strasse",15,51.0,12.1,46,strassenbahn,Ost,1960,,
"Niedersch nhausen, Idastrasse bzw. Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - U-Bhf. Vinetastrasse - S-Bhf. Sch nhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Invaliden- Ecke Chausseestrasse - Oranienburger Tor, Hannoversche Strasse",15,41.0,9.8,46E,strassenbahn,Ost,1960,,
Hermannplatz - Weichselstrasse - Rathaus Neukölln - Karl-Marx-Platz - U-Bhf. Neukölln - Silbersteinstrasse - U-Bhf. Grenzallee - Buschkrug - Onkel-Herse-Strasse - Parchimer Allee - Krankenhause Neukölln - Johannisthaler Chaussee - Wildmeisterdamm - Stubenrauchstrasse - Köpenicker Strasse - Bahnhofstrasse,10,34.0,,47,strassenbahn,West,1960,,
"Buchholz, Hauptstrasse - Blankenburger Weiche - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - U-Bhf. Vinetastrasse - S-Bhf. Sch nhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Hackescher Markt, Große Präsidentenstrasse",8,41.0,10.6,49,strassenbahn,Ost,1960,,
"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Reuter-Platz - Richard-Wagner-Platz - Luisenplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Spandau, Markt - Carl-Schurz-Strasse - Hafenplatz - Hohenzollernring - Hakenfelde",20,59.0,,53,strassenbahn,West,1960,,
"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Richard-Wagner-Platz - Luisenplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Spandau, Markt - Carl-Schurz-Strasse - Hafenplatz - Hohenzollernring - Johannesstift",20,60.0,,54,strassenbahn,West,1960,,
"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Cauerstrasse - Richard-Wagner-Platz - Luisenplatz - OsnaBrücker Strasse - Bhf. Jungfernheide - Siemensplatz - Quellweg - Paulsternstrasse - Zitadellenweg - Spandau, Markt - Rathaus Spandau - Nauener Strasse",12,54.0,,55,strassenbahn,West,1960,,
