stop_name,type,location,in_lines,identifier,east-west
Adlershof,s-bahn,"52.434722222222,13.541388888889","KBS 103,KBS 100a,KBS 106",Q323551,Ost
"Ahrensfeld, Kirche",bus,"52.57532170199278, 13.576515606968998",A46,,Ost
Albrechtshof,s-bahn,"52.5494,13.1283",KBS 103,Q800470,Ost
Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","KBS 101,KBS 103,KBS 102",Q111324700,Ost
Alexanderplatz,u-bahn,"52.5214,13.4119","A,E",Q17173458,Ost
"Alexanderplatz, Elisabethstrasse",strassenbahn,"52.5214867270211, 13.41819396874171",82,,Ost
"Alexanderplatz, Grunerstrasse",strassenbahn,"52.52008326268696, 13.41408418961877",71,,Ost
"Alexanderplatz, Leninallee",strassenbahn,"52.522103158947594, 13.416511130432587",64,,Ost
"Alexanderplatz, Memhardstr.",strassenbahn,"52.5233439,13.4110773","1, 63,11,72,74E,22,74","Q65227406, Q65227406",Ost
"Alt-Biesdorf, Oberfeldstrasse",bus,"52.50918606891929, 13.553347058493491","O37, A8,A8E",",",Ost
Alt-Friedrichsfelde Ecke Am Tierpark,bus,"52.5097025850849, 13.518832511815527","A43,O37,A8,A8E",,Ost
Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,"52.50914093654053, 13.518129930582422",69,,Ost
"Alt-Marzahn, Kirche",bus,"52.542423454435976, 13.564061751343658",O37,,Ost
Alt-Schmöckwitz,bus,"52.37536708814027, 13.649399886968025","Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)",,Ost
Alt-Schmöckwitz,strassenbahn,"52.3752767,13.649549",86,Q66459540,Ost
"Altglienicke, Am Falkenberg",strassenbahn,"52.41079970042163, 13.570452931545786",84,,Ost
"Altglienicke, Kirche",bus,"52.421845729296805, 13.539407702079252",A23,,Ost
Am Kupfergraben,strassenbahn,"52.5194208,13.3953839","46,70,1",Q65055027,Ost
Am Rosenhag,bus,"52.52474356253909, 13.621775828105108","A44,A44E",,Ost
Am Steinberg,bus,"52.55648144940878, 13.429306764151775","A55,A42,A45",,Ost
Am Steinberg,strassenbahn,"52.5585796,13.4333751",71,Q65103320,Ost
Am Treptower Park Ecke Elsenstrasse,strassenbahn,"52.4917648672198, 13.457703881892664",87,,Ost
Andreasstrasse,bus,"52.51797306914227, 13.432895480772247",O30,,Ost
Antonplatz,strassenbahn,"52.5484803,13.4517416","3,70,72,74E,74",Q65548849,Ost
Babelsberg,s-bahn,"52.3914,13.0928",KBS 102,Q801326,Ost
Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,"52.510556,13.496389",E,Q3831986,Ost
Bahnhofstrasse Ecke Lindenstrasse,bus,"52.45096281111, 13.572146868709519",A27,,Ost
Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"52.4505094,13.572684","82,87, 83,95,84,86","Q66095701, Q66095701",Ost
Baumschulenstrasse,strassenbahn,"52.469081846595664, 13.491329912138305","95,92",,Ost
Baumschulenweg,s-bahn,"52.4675,13.489722","KBS 103,KBS 103a,KBS 100a,KBS 106",Q324336,Ost
Benzolwerk,strassenbahn,"52.426414690299055, 13.546444409734137",84,,Ost
Bernau (b Bln),s-bahn,"52.6763,13.5931",KBS 106,Q479789,Ost
Bersarinplatz,strassenbahn,"52.519215,13.4525257","13,4",Q65706258,Ost
Betriebsbahnhof Rummelsburg,s-bahn,"52.4939,13.4978",KBS 102,Q829009,Ost
Betriebsbahnhof Schöneweide,s-bahn,"52.44676,13.52391","KBS 103,KBS 100a,KBS 106",Q4526101,Ost
Bf. Siegfriedstrasse,bus,"52.52004640241046, 13.499373630980266",O30,,Ost
Bhf. Drewitz,bus,"52.383210942095026, 13.122280120317033","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
Bhf. Eichwalde,bus,"52.371950560017005, 13.614447144096058",Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
Bhf. Friedrichstrasse,bus,"52.5205606637086, 13.388231915342985","A57,A9",,Ost
Bhf. Friedrichstrasse,strassenbahn,"52.5192805,13.3884107","46,70,1",Q65095382,Ost
Bhf. Köpenick,strassenbahn,"52.4582153,13.5790435",83,Q66370784,Ost
Bhf. Lichtenberg,bus,"52.5112875601879, 13.499591119128855","O30,O37",,Ost
Bhf. Lichtenberg,strassenbahn,"52.5123603,13.4977547",69,Q66013733,Ost
Bhf. Mahlow,bus,"52.36020392986998, 13.408712381285893","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
Bhf. Rosenthal,strassenbahn,"52.598664,13.3726652",22,Q65364041,Ost
Bhf. Schöneweide,bus,"52.45374952013775, 13.510200397684477","A47,Flughafen Schönefeld <> Strausberger Platz,A26",,Ost
Bhf. Schöneweide,strassenbahn,"52.45640818289644, 13.509916574756422","95,69,92",,Ost
"Bhf. Schöneweide, Brückenstrasse",strassenbahn,"52.45648404130997, 13.509984392000785",87,,Ost
Bhf. Siegfriedstrasse,strassenbahn,"52.5123603,13.4977547",69,Q66013733,Ost
Bhf. Stalinallee,strassenbahn,"52.5153903,13.4540172",3,Q65706246,Ost
Bhf. Teltow,bus,"52.38887329700411, 13.300037338373293","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
Biesdorf,s-bahn,"52.5131,13.5554",KBS 101,Q4892357,Ost
Birkenwerder,s-bahn,"52.6885,13.2888",KBS 104,Q2343634,Ost
Björnsonstrasse,strassenbahn,"52.5544232,13.4030585",3,Q65920495,Ost
Blankenburg,s-bahn,"52.5915,13.4435",KBS 106,Q800469,Ost
"Blankenburg, Bahnhofstrasse",bus,"52.591380472079955, 13.453512267562314",A42,,Ost
Blankenburger Strasse Ecke Pasewalker Strasse,strassenbahn,"52.58856586829923, 13.430216508474143",49,,Ost
Blankenfelde,s-bahn,"52.3376,13.4158",KBS 105,Q111311372,Ost
"Blankenfelde, Hauptstrasse",bus,"52.63002534735451, 13.38262328371393",A7,,Ost
"Bohnsdorf, Kirche",bus,"52.39948771402893, 13.555574431978044",AD/36,,Ost
"Bohnsdorf, Waldstrasse",bus,"52.389397192754984, 13.570666562153916",A38,,Ost
Borgsdorf,s-bahn,"52.7155,13.2764",KBS 104,Q4093486,Ost
Bornholmer Strasse Ecke Schönhauser Allee,strassenbahn,"52.5537705,13.4138898",49,Q65076842,Ost
Boxhagenerstrasse Ecke Holteistrasse,bus,"52.508613193309614, 13.466277189422302",O30,,Ost
Boxhagenerstrasse Ecke Holteistrasse,strassenbahn,"52.5088235,13.465969","3, 13","Q65675805, Q65675805",Ost
Brauerei,strassenbahn,"52.44699265840037, 13.624251999339991",84,,Ost
Breslauer Strasse Ecke Andreasstrasse,strassenbahn,"52.51112572772843, 13.430544216648766",1,,Ost
Brunnenstrasse,strassenbahn,"52.5324542,13.3974236","46,70",Q65691740,Ost
Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,"52.5324542,13.3974236",11,Q65691740,Ost
Buch,s-bahn,"52.6359,13.4917",KBS 106,Q4892359,Ost
"Buch, Kiesgruben",bus,"52.641758052786535, 13.515964627443202",A42,,Ost
"Buchholz, Hauptstrasse",strassenbahn,"52.619072064369824, 13.393383358408967",49,,Ost
Buschallee Ecke Berliner Allee,strassenbahn,"52.55388247845091, 13.467523731713502",72,,Ost
Buschallee Ecke Klement-Gottwald-Alle,bus,"52.55387831866095, 13.467451226079117",A46,,Ost
Buschallee Ecke Klement-Gottwald-Allee,strassenbahn,"52.5537598,13.4691966",70,Q65546661,Ost
"Bölschestrasse, Brauerei",strassenbahn,"52.44699265840037, 13.624251999339991",87,,Ost
Bürgerwäldchen,strassenbahn,"52.4893741,13.6064139",83,Q66364551,Ost
Bürknersfelde,bus,"52.538889807153126, 13.534159376784622","A43,O37",,Ost
Carl-von-Ossietzky-Werk,bus,"52.39701454468935, 13.243358010546082","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
Charlottenstrasse Ecke Leipziger Strasse,strassenbahn,"52.51050786460274, 13.391831492474326",72,,Ost
Chemische Fabrik,strassenbahn,"52.42696432509712, 13.573540465650169",86,,Ost
Chemnitzer Ecke Ulmenstrasse,bus,"52.48730504728054, 13.5749460378103","A8,A8E",,Ost
Chemnitzer Strasse Ecke Alt-Kaulsdorf,bus,"52.505156423214295, 13.58155740370254",A27,,Ost
Dahlewitz,s-bahn,"52.326389,13.419722",KBS 105,Q5208886,Ost
Dankmarsteig,bus,"52.412460454887416, 13.528705230313825",A23,,Ost
Degnerstrasse,strassenbahn,"52.54488036635163, 13.493949954029993","64,63",,Ost
"Diepensee, Flughafen",bus,"52.362110314401846, 13.548585893916993",AD/36,,Ost
Dimitroffstr.,u-bahn,"52.541666666667,13.412222222222",A,Q571382,Ost
Dimitroffstrasse,bus,"52.52644944679887, 13.447574773361476",A9,,Ost
Dimitroffstrasse,strassenbahn,"52.5264303512303, 13.447596791543624","64,63",,Ost
Dimitroffstrasse,strassenbahn,"52.53617065447549, 13.433035147691381","74E,74",,Ost
Dimitroffstrasse,strassenbahn,"52.53918901477695, 13.42424530247013","72,71",,Ost
Dimitroffstrasse Ecke Leninallee,bus,"52.52644398829154, 13.447645022319072",O37,,Ost
Dingelstädter Strasse,bus,"52.53587676296107, 13.522058626010088",O37,,Ost
Dönhoffplatz,strassenbahn,"52.509950568117645, 13.398144081918815",64,,Ost
Eberswalderstrasse Ecke Oderberger Strasse,strassenbahn,"52.54061076763243, 13.404559930731686","4, 13",",",Ost
Ebertystrasse Ecke Leninallee,bus,"52.52722237261361, 13.450799684654514",O30,,Ost
Edisonstrasse,strassenbahn,"52.4619496,13.5139049",95,Q65951882,Ost
Ehrenmal,bus,"52.57958419912971, 13.375974716701414","A55,A45",,Ost
Eichbuschallee,bus,"52.47574296676633, 13.487312571777435",A47,,Ost
Eichbuschplatz,bus,"52.39366126137233, 13.582046308470128",A38,,Ost
Eichwalde,s-bahn,"52.3715,13.6152",KBS 103,Q19274479,Ost
"Eichwalde, Uhlandstrasse",bus,"52.372634587228696, 13.62680242919348",Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
Elisabethstrasse,bus,"52.53409533705918, 13.55949915809485",O37,,Ost
Elisabethstrasse,strassenbahn,"52.51764985236767, 13.418046139104245",22,Q65364041,Ost
Elsässer Strasse,bus,"52.63337294510061, 13.345103420124245",A7,,Ost
Erkner,s-bahn,"52.4296,13.7513",KBS 102,Q14434071,Ost
Fahlenbergstrasse Ecke Fürstenwalder Allee,bus,"52.431470149043314, 13.718708856639706",A22,,Ost
Falkenberger Chaussee,bus,"52.565816857333125, 13.511913714753",A39,,Ost
Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,"52.55036672097044, 13.509915032138812",63,,Ost
Falkensee,s-bahn,"52.559722,13.088889",KBS 103,Q5431918,Ost
Feldtmannstrasse,bus,"52.56401588379611, 13.46980857664685",A46,,Ost
"Fichtenau, Stadtgrenze",bus,"52.45479242349705, 13.701499962608066",A22,,Ost
Fichtestrasse Ecke Schopenhauerstrasse,bus,"52.47979924975105, 13.617292306977053",A8,,Ost
Flughafen Schönefeld,bus,"52.388890492596076, 13.518696635005039",Flughafen Schönefeld <> Strausberger Platz,,Ost
Frankfurter Tor,u-bahn,"52.515833333333,13.454166666667",E,Q568627,Ost
Frankfurter Tor/Stalinallee,strassenbahn,"52.5153903,13.4540172","13,4",Q65706246,Ost
Fredersdorf (b Bln),s-bahn,"52.5265,13.7625",KBS 101,Q15197387,Ost
Freibad Grünau,strassenbahn,"52.4086224,13.604455",86,Q66489598,Ost
Friedrich-Junge-Strasse,bus,"52.49382897072681, 13.471572865851856",A82P,,Ost
Friedrichsfelde (Tierpark),u-bahn,"52.506111111111,13.512777777778",E,Q429781,Ost
Friedrichsfelde Ost,s-bahn,"52.5141,13.5198",KBS 101,Q800473,Ost
Friedrichshagen,s-bahn,"52.4574,13.6233",KBS 102,Q800474,Ost
"Friedrichshagen, Wasserwerk",strassenbahn,"52.4560563,13.6419956",84,Q66362601,Ost
Friedrichstrasse Ecke Leipzigerstrasse,strassenbahn,"52.5103602362092, 13.38989950699694",74,,Ost
Friedrichstrasse Ecke Unter den Linden,bus,"52.51718498081941, 13.388821428784585","A57,A9",,Ost
Fürstenwalder Damm,strassenbahn,"52.4498638,13.661534",84,Q66361484,Ost
"Galenusstrasse, Krankenhaus Pankow",strassenbahn,"52.5818183,13.4287678",49,Q66195410,Ost
Gartenstadtweg,bus,"52.412313913821045, 13.56660267841369",AD/36,,Ost
Genslerstrasse Ecke Siegfriedstrasse,bus,"52.53419051284018, 13.497014225567375",O37,,Ost
Gerosteig,bus,"52.40977095398672, 13.52694351354655",A23,,Ost
Giebelsee,s-bahn,"52.5291,13.791",KBS 101,Q7178217,Ost
Glasow,bus,"52.34362622314638, 13.436212574873101","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
"Glienicke, Kirche",bus,"52.63062737184449, 13.312861916755343",A7,,Ost
Greifswalder Str.,s-bahn,"52.539722222222,13.439444444444","KBS 103a,KBS 106",Q439246,Ost
Greifswalder Strasse,bus,"52.53002871375482, 13.62681794411932","A44,A44E",,Ost
Greifswalder Strasse,strassenbahn,"52.5364975,13.4334045","13,4",Q65548960,Ost
Greifswalderstrasse Ecke Dimitroffstrasse,bus,"52.5362177572407, 13.433017500945247",O30,,Ost
Griebnitzsee,s-bahn,"52.3944,13.1272",KBS 102,Q315133,Ost
Grottkauer Strasse,bus,"52.52796238368814, 13.600805280630896",A49,,Ost
Groß Ziethen,bus,"52.41404104155547, 13.438879163306126",AZ,,Ost
Große Seestrasse Ecke Berliner Allee,bus,"52.55706359604488, 13.46682217730197",A55,,Ost
Grünau,s-bahn,"52.4122,13.5746","KBS 103,KBS 100a,KBS 106",Q111307258,Ost
Grünberger Strasse,strassenbahn,"52.5122359,13.452609",4,Q65706239,Ost
Gustav-Adolf-Strasse Ecke Rennbahnstrasse,bus,"52.562178269666816, 13.454275093038184",A55,,Ost
Güteraußenring,bus,"52.599887239389226, 13.469297130431492",A42,,Ost
Güterbahnhof Springpfuhl,bus,"52.52561231977731, 13.533687321893124",A43,,Ost
"Hackescher Markt, Große Präsidentenstrasse",strassenbahn,"52.523392495650945, 13.40144677696498","49,63",,Ost
Hamburger Platz,bus,"52.555394187589414, 13.438973139463632","A56,A55,A45",,Ost
Hannoversche Strasse,strassenbahn,"52.52716496126181, 13.387046759579254",11,,Ost
Hauptstrasse Ecke Edelweißstrasse,bus,"52.586379262142074, 13.36752938856218","A55,A45",,Ost
Hauptstrasse Ecke Karlshorster Strasse,strassenbahn,"52.50151144462545, 13.475233514493265",82,,Ost
Hauptstrasse Ecke Suermondtstrasse,strassenbahn,"52.549007155940316, 13.5016967242267",70,,Ost
Hausvogteiplatz,u-bahn,"52.513055555556,13.396666666667",A,Q656523,Ost
"Heinersdorf, Kirche",bus,"52.56826376476754, 13.440601903603064",A42,,Ost
"Heinersdorf, Kirche",strassenbahn,"52.5686908,13.4389053",71,Q65096107,Ost
"Heinersdorf, Romain-Rolland-Str.",strassenbahn,"52.5725511,13.4371063",71,Q65096052,Ost
Heinrich-Duncker-Strasse Ecke Ehrlichstrasse,strassenbahn,"52.4789566,13.5234316",82,Q65951921,Ost
Heinrich-Heine-Strasse,strassenbahn,"52.51099529411967, 13.416420239383946","64,11",,Ost
Heinrich-Mann-Platz,bus,"52.57297246262195, 13.392146133350426","A55,A45",,Ost
Hennigsdorf (b Bln),s-bahn,"52.638,13.2057",KBS 105,Q800909,Ost
Hennigsdorf Nord,s-bahn,"52.66,13.2033",KBS 105,Q685717,Ost
"Hessenwinkel, Lindenstrasse",bus,"52.42653518647879, 13.728458969026482",A22,,Ost
Hirschgarten,s-bahn,"52.4579,13.6032",KBS 102,Q4892435,Ost
Hirschgarten,strassenbahn,"52.4518533,13.6006245","84,87",Q66360740,Ost
