,line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
0,1,"Ostbahnhof - Breslauer Strasse Ecke Andreasstrasse - U-Bhf. Strausberger Platz - Leninplatz - Alexanderplatz, Memhardstr. - Rosenthaler Platz - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",20.0,39.0,strassenbahn,Ost,1961
3,3,Warschauer Strasse - Warschauer Brücke - Kopernikusstrasse Ecke Warschauer Strasse - Boxhagenerstrasse Ecke Holteistrasse - Bhf. Stalinallee - Rathaus Lichtenberg - Roederplatz - Landsberger Chaussee Ecke Weißenseer Weg - Hohenschönhauser Strasse - Klement-Gottwald-Allee Ecke Indira-Ghandi-Strasse - Antonplatz - Prenzlauer Promenade - Schönhauser Allee Ecke Bornholmer Strasse - Björnsonstrasse,12.0,46.0,strassenbahn,Ost,1961
4,4,Warschauer Strasse - Warschauer Brücke - Kopernikusstrasse Ecke Warschauer Strasse - Grünberger Strasse - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Eberswalderstrasse Ecke Oderberger Strasse,8.0,25.0,strassenbahn,Ost,1961
5,11,"Heinrich-Heine-Strasse - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstr. - Rosenthaler Platz - Brunnenstrasse Ecke Invalidenstrasse - Oranienburger Tor - Hannoversche Strasse",20.0,19.0,strassenbahn,Ost,1961
6,13,"Klingenberg, Blockdammweg - Kraftwerk Klingenberg - Karlshorster Strasse - Boxhagenerstrasse Ecke Holteistrasse - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Oderberger Strasse Ecke Eberswalderstrasse",8.0,35.0,strassenbahn,Ost,1961
8,22,"Bhf. Rosenthal - Nordendstrasse - Kurt-Fischer-Platz - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Alexanderplatz, Memhardstr. - Elisabethstrasse",12.0,48.0,strassenbahn,Ost,1961
11,46,"Niederschönhausen, Schillerstrasse - Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Rathaus - S-Bhf. Pankow - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",12.0,52.0,strassenbahn,Ost,1961
13,49,"Buchholz, Hauptstrasse - Rosenthalerweg - Blankenburger Strasse Ecke Pasewalker Strasse - Galenusstrasse, Krankenhaus Pankow - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastrasse - Bornholmer Strasse Ecke Schönhauser Allee - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Hackescher Markt, Große Präsidentenstrasse",15.0,41.0,strassenbahn,Ost,1961
18,63,"Hohenschönhausen, Gartenstadt - Falkenbergerstrasse Ecke Wartenberger Strasse - Hohenschönhausen, Hauptstrasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Memhardstr. - Hackescher Markt, Große Präsidentenstrasse",20.0,36.0,strassenbahn,Ost,1961
19,64,"Hohenschönhausen, Falkenberger Strasse - Hohenschönhausen, Hauptstrasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Leninallee - S-Bhf. Jannowitzbrücke - Heinrich-Heine-Strasse - Spittelmarkt - Dönhoffplatz",20.0,27.0,strassenbahn,Ost,1961
