,stop_id,stop_name,type,in_lines
0,1,Adlershof,s-bahn,"{'KBS 103', 'KBS 106'}"
1,2,"Ahrensfeld, Kirche",bus,{'A46'}
2,3,Albrechtshof,s-bahn,{'KBS 103'}
3,4,Alexanderplatz,s-bahn,"{'KBS 101', 'KBS 102', 'KBS 103'}"
4,5,Alexanderplatz,u-bahn,"{'A', 'E'}"
5,6,"Alexanderplatz, Elisabethstrasse",strassenbahn,{'82'}
6,7,"Alexanderplatz, Grunerstrasse",strassenbahn,{'71'}
7,8,"Alexanderplatz, Leninallee",strassenbahn,{'64'}
8,9,"Alexanderplatz, Memhardstr.",strassenbahn,"{'72', '74', '11', '1', '63', '74E', '22'}"
9,10,"Alt-Biesdorf, Oberfeldstrasse",bus,"{'A8E', 'O37', 'A8'}"
10,11,Alt-Friedrichsfelde Ecke Am Tierpark,bus,"{'A8E', 'O37', 'A8', 'A43'}"
11,12,Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,{'69'}
12,13,"Alt-Marzahn, Kirche",bus,{'O37'}
13,14,Alt-Schmöckwitz,bus,"{'Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf)', 'Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)'}"
14,15,Alt-Schmöckwitz,strassenbahn,{'86'}
15,16,"Altglienicke, Am Falkenberg",strassenbahn,{'84'}
16,17,"Altglienicke, Kirche",bus,{'A23'}
17,18,Am Kupfergraben,strassenbahn,"{'46', '1', '70'}"
18,19,Am Rosenhag,bus,"{'A44', 'A44E'}"
19,20,Am Steinberg,bus,"{'A55', 'A45', 'A42'}"
20,21,Am Steinberg,strassenbahn,{'71'}
21,22,Am Treptower Park Ecke Elsenstrasse,strassenbahn,{'87'}
22,23,Andreasstrasse,bus,{'O30'}
23,24,Antonplatz,strassenbahn,"{'72', '74', '70', '3', '74E'}"
24,25,Babelsberg,s-bahn,{'KBS 102'}
25,26,Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,{'E'}
26,27,Bahnhofstrasse Ecke Lindenstrasse,bus,{'A27'}
27,28,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"{'84', '95', '86', '87', '82', '83'}"
28,29,Baumschulenstrasse,strassenbahn,"{'92', '95'}"
29,30,Baumschulenstrasse Ecke Südostallee,bus,{'A47'}
30,31,Baumschulenweg,s-bahn,"{'KBS 103', 'KBS 106', 'KBS 103a'}"
31,32,Benzolwerk,strassenbahn,{'84'}
32,33,Bernau (b Bln),s-bahn,{'KBS 106'}
33,34,Bersarinplatz,strassenbahn,"{'13', '4'}"
34,35,Betriebsbahnhof Rummelsburg,s-bahn,{'KBS 102'}
35,36,Betriebsbahnhof Schöneweide,s-bahn,"{'KBS 103', 'KBS 106'}"
36,37,Bf. Siegfriedstrasse,bus,{'O30'}
37,38,Bhf. Drewitz,bus,"{'S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)'}"
38,39,Bhf. Eichwalde,bus,{'Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)'}
39,40,Bhf. Friedrichstrasse,bus,"{'A57', 'A9'}"
40,41,Bhf. Friedrichstrasse,strassenbahn,"{'46', '1', '70'}"
41,42,Bhf. Groß Ziethen,bus,{'AZ'}
42,43,Bhf. Köpenick,strassenbahn,{'83'}
43,44,Bhf. Lichtenberg,bus,"{'O37', 'O30'}"
44,45,Bhf. Lichtenberg,strassenbahn,{'69'}
45,46,Bhf. Mahlow,bus,"{'S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)'}"
46,47,Bhf. Rosenthal,strassenbahn,{'22'}
47,48,Bhf. Schöneweide,bus,"{'Flughafen Schönefeld <> Strausberger Platz', 'A47', 'A26'}"
48,49,Bhf. Schöneweide,strassenbahn,"{'69', '92', '95'}"
49,50,"Bhf. Schöneweide, Brückenstrasse",strassenbahn,{'87'}
50,51,Bhf. Siegfriedstrasse,strassenbahn,{'69'}
51,52,Bhf. Stalinallee,strassenbahn,{'3'}
52,53,Bhf. Teltow,bus,"{'S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)'}"
53,54,Biesdorf,s-bahn,{'KBS 101'}
54,55,Birkenwerder,s-bahn,{'KBS 104'}
55,56,Björnsonstrasse,strassenbahn,{'3'}
56,57,Blankenburg,s-bahn,{'KBS 106'}
57,58,"Blankenburg, Bahnhofstrasse",bus,{'A42'}
58,59,Blankenburger Strasse Ecke Pasewalker Strasse,strassenbahn,{'49'}
59,60,Blankenfelde,s-bahn,{'KBS 105'}
60,61,"Blankenfelde, Hauptstrasse",bus,{'A7'}
61,62,Blumenstrasse,bus,{'S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)'}
62,63,"Bohnsdorf, Kirche",bus,{'AD/36'}
63,64,"Bohnsdorf, Waldstrasse",bus,{'A38'}
64,65,Borgsdorf,s-bahn,{'KBS 104'}
65,66,Bornholmer Strasse Ecke Schönhauser Allee,strassenbahn,{'49'}
66,67,Boxhagenerstrasse Ecke Holteistrasse,bus,{'O30'}
67,68,Boxhagenerstrasse Ecke Holteistrasse,strassenbahn,"{'13', '3'}"
68,69,Brauerei,strassenbahn,{'84'}
69,70,Breslauer Strasse Ecke Andreasstrasse,strassenbahn,{'1'}
70,71,Brunnenstrasse,strassenbahn,"{'46', '70'}"
71,72,Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,{'11'}
72,73,Buch,s-bahn,{'KBS 106'}
73,74,"Buch, Kiesgruben",bus,{'A42'}
74,75,"Buchholz, Hauptstrasse",strassenbahn,{'49'}
75,76,Buschallee Ecke Berliner Allee,strassenbahn,{'72'}
76,77,Buschallee Ecke Klement-Gottwald-Alle,bus,{'A46'}
77,78,Buschallee Ecke Klement-Gottwald-Allee,strassenbahn,{'70'}
78,79,"Bölschestrasse, Brauerei",strassenbahn,{'87'}
79,80,Bürgerwäldchen,strassenbahn,{'83'}
80,81,Bürknersfelde,bus,"{'O37', 'A43'}"
81,82,Carl-von-Ossietzky-Werk,bus,"{'S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)'}"
82,83,Charlottenstrasse Ecke Leipziger Strasse,strassenbahn,{'72'}
83,84,Chemische Fabrik,strassenbahn,{'86'}
