,stop_name,type,location,in_lines,identifier,east-west
0,4. Ring,bus,"52.42250630689789, 13.2869490566549",A53,,West
1,Adamstrasse,bus,"52.521029117218866, 13.19780699419913","A34,A35",,West
2,Adlershof,s-bahn,"52.434722222222,13.541388888889","KBS 103,KBS 100a,KBS 106",Q323551,Ost
3,Adolf-Scheidt-Platz,strassenbahn,"52.478194856980814, 13.37836902238447",96,,West
4,Afrikanische Str.,u-bahn,"52.560027777778,13.334633333333",C I,Q559239,West
5,Afrikanische Strasse,bus,"52.54630154020319, 13.343855247543928",A16,,West
6,"Ahrensfeld, Kirche",bus,"52.57532170199278, 13.576515606968998",A46,,Ost
7,Albertstrasse,strassenbahn,"52.48441764584102, 13.352842591071507","73,74",,West
8,Alboinstrasse Ecke Arnulfstrasse,bus,"52.455767812500675, 13.36990459867346",A68,,West
9,Albrechtshof,s-bahn,"52.5494,13.1283",KBS 103,Q800470,Ost
10,Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","KBS 101,KBS 103,KBS 102",Q111324700,Ost
11,Alexanderplatz,u-bahn,"52.5214,13.4119","A,E",Q17173458,Ost
12,"Alexanderplatz, Elisabethstrasse",strassenbahn,"52.5214867270211, 13.41819396874171",82,,Ost
13,"Alexanderplatz, Grunerstrasse",strassenbahn,"52.52008326268696, 13.41408418961877",71,,Ost
14,"Alexanderplatz, Leninallee",strassenbahn,"52.522103158947594, 13.416511130432587",64,,Ost
15,"Alexanderplatz, Memhardstr.",strassenbahn,"52.5233439,13.4110773","1, 63,11,72,74E,22,74","Q65227406, Q65227406",Ost
16,"Alt-Biesdorf, Oberfeldstrasse",bus,"52.50918606891929, 13.553347058493491","O37, A8,A8E",",",Ost
17,Alt-Buckow Ecke Buckower Damm,strassenbahn,"52.42365120067525, 13.436635949176258",27,,West
18,Alt-Friedrichsfelde Ecke Am Tierpark,bus,"52.5097025850849, 13.518832511815527","A43,O37,A8,A8E",,Ost
19,Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,"52.50914093654053, 13.518129930582422",69,,Ost
20,Alt-Heiligensee,bus,"52.60616921042186, 13.210646859320935","A14,A13",,West
21,Alt-Kladow,bus,"52.454591413254434, 13.144488043956764","A34,A35",,West
22,Alt-Mariendorf,bus,"52.44015553185248, 13.387328254903215",AS2,,West
23,Alt-Mariendorf Ecke Tempelhofer Damm,bus,"52.44016235770067, 13.387229967555644",A76,,West
24,Alt-Marienfelde,bus,"52.413385082183694, 13.36338063003787",A52,,West
25,"Alt-Marzahn, Kirche",bus,"52.542423454435976, 13.564061751343658",O37,,Ost
26,Alt-Moabit,bus,"52.524078460891005, 13.357069143313803",A24,,West
27,Alt-Moabit Ecke Rathenower Strasse,strassenbahn,"52.52356,13.35779",2,Q121863902,West
28,Alt-Reinickendorf Ecke Rödern Allee,bus,"52.57586051212987, 13.347765981901512",A72,,West
29,Alt-Schmöckwitz,bus,"52.37536708814027, 13.649399886968025","Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)",,Ost
30,Alt-Schmöckwitz,strassenbahn,"52.3752767,13.649549",86,Q66459540,Ost
31,Alt-Tempelhof Ecke Tempelhofer Damm,bus,"52.465964306830664, 13.38558297633417","A77,A68,A76, A73, A65",", ,",West
32,Alt-Wittenau,bus,"52.58972877186178, 13.334169215342472",A62,,West
33,Alt-Wittenau,bus,"52.59166508975595, 13.326326895395114","A15,A21",,West
34,"Altglienicke, Am Falkenberg",strassenbahn,"52.41079970042163, 13.570452931545786",84,,Ost
35,"Altglienicke, Kirche",bus,"52.421845729296805, 13.539407702079252",A23,,Ost
36,Am Beelitzhof,bus,"52.432202091928794, 13.186661564435827",A3,,West
37,Am Dachsbau,bus,"52.60655284387061, 13.22984370797522",A13,,West
38,Am Fließ,bus,"52.603c4575714732, 13.289613652822638",A15,,Unknown
39,Am Grossen Wannsee,bus,"52.420496581432594, 13.167192967572669","A6,A51,A18",,West
40,Am Großen Wannsee Ecke Königstrasse,bus,"52.420496581432594, 13.167192967572669",A3,,West
41,Am Karlsbad,bus,"52.505510534075455, 13.36801582264215",A75,,West
42,Am Kupfergraben,strassenbahn,"52.5194208,13.3953839","46,70,1",Q65055027,Ost
43,Am Nordhafen,bus,"52.53868315849872, 13.363248409190426",A70,,West
44,Am Oberhafen,bus,"52.465017297775326, 13.450594183790596",A67,,West
45,Am Rosenhag,bus,"52.52474356253909, 13.621775828105108","A44,A44E",,Ost
46,Am Steinberg,bus,"52.55648144940878, 13.429306764151775","A55,A42,A45",,Ost
47,Am Steinberg,strassenbahn,"52.5585796,13.4333751",71,Q65103320,Ost
48,Am Treptower Park Ecke Elsenstrasse,strassenbahn,"52.4917648672198, 13.457703881892664",87,,Ost
49,Am Vierrutenbert,bus,"52.613698620824124, 13.344231823340426",A20,,West
50,Am Volkspark,bus,"52.483222065143515, 13.32036833862448",A60,,West
51,Amtsgerichsplatz,bus,"52.50685665976427, 13.295057483522156",A10,,West
52,Amtsgericht,strassenbahn,"52.50682617853116, 13.297391449613752","75,76",,West
53,Amtsgericht Charlottenburg,bus,"52.50571853839105, 13.295347400894903",A21,,West
54,Andreasstrasse,bus,"52.51797306914227, 13.432895480772247",O30,,Ost
55,Andreezeile,bus,"52.41046140348477, 13.267143098688617",A66,,West
56,Anhalter Bahnhof,s-bahn,"52.503055555556,13.381944444444","KBS 104,KBS 105,KBS 106",Q111324573,West
57,Antonplatz,strassenbahn,"52.5484803,13.4517416","3,70,72,74E,74",Q65548849,Ost
58,Apoldaer Strasse Ecke Sonderhauser Strasse,bus,"52.41944943945407, 13.342640667996188",A11,,West
59,Arnimallee,bus,"52.45789378609326, 13.299570204130864",A68,,West
60,Aroser Allee,bus,"52.57376245122369, 13.351970705456408","A61,A14",,West
61,Askanierring,bus,"52.545679974269035, 13.194267325495874","A35,A63",,West
62,Askanierring,bus,"52.54891706140618, 13.193495587303872",A34,,West
63,Askanischer Platz,bus,"52.50447897041404, 13.382295467838158","A29,A75,A24",,West
64,Attilaplatz,bus,"52.45590179888225, 13.376512495751076","A25,AS2,A68",,West
65,Attilaplatz,strassenbahn,"52.455498340147045, 13.375619638525905",96,,West
66,Augsburger Str.,u-bahn,"52.500556,13.336389","A II,B II",Q667035,West
67,Auguste-Viktoria-Allee,bus,"52.569268504658915, 13.329801350092811",A62,,West
68,Augustenburger Platz,bus,"52.542186362228115, 13.34942313975666",A64,,West
69,BSC-Sportplatz,bus,"52.48590335523557, 13.284366733504768",A29,,West
70,Babelsberg,s-bahn,"52.3914,13.0928",KBS 102,Q801326,Ost
71,Badstrasse,bus,"52.55228040855936, 13.381394276023574",A70,,West
72,Badstrasse/Prinzenallee,bus,"52.55231378388406, 13.381413167559051",A71,,West
73,Baerwaldstrasse Ecke Urbanstrasse,strassenbahn,"52.493899843231475, 13.403460093532933",95,,West
74,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,"52.520111111111,13.388305555556",C I,Q3753274,West
75,Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,"52.510556,13.496389",E,Q3831986,Ost
76,Bahnhof Wedding,u-bahn,"52.5425,13.366111",C I,Q4018733,West
77,Bahnhofstrasse,strassenbahn,"52.40244986860125, 13.512704137216817",47,,West
78,Bahnhofstrasse Ecke Lindenstrasse,bus,"52.45096281111, 13.572146868709519",A27,,Ost
79,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"52.4505094,13.572684","82,87, 83,95,84,86","Q66095701, Q66095701",Ost
80,Baumschulenstrasse,strassenbahn,"52.469081846595664, 13.491329912138305","95,92",,Ost
81,Baumschulenstrasse Ecke Südostallee,bus,"52.46095841731415, 13.481191835004426",A47,,Unknown
82,Baumschulenweg,s-bahn,"52.4675,13.489722","KBS 103,KBS 103a,KBS 100a,KBS 106",Q324336,Ost
83,Bayerischer Platz,u-bahn,"52.488333333333,13.340277777778",B III,Q668574,West
84,Beeskowdamm,bus,"52.40965850195346, 13.267308742502374",A1,,West
85,Behring-Krankenhaus,bus,"52.42410894567823, 13.251764544509987",A10,,West
86,Bellevue,s-bahn,"52.52,13.348055555556","KBS 101,KBS 102",Q374018,West
87,Belziger Strasse,strassenbahn,"52.48469759121592, 13.34547616644445",66,,West
88,Benschallee,bus,"52.42959261918116, 13.22400013419735",A18,,West
89,Benschallee Ecke Potsdamer Chaussee,bus,"52.429638035873005, 13.22393270091056",A3,,West
90,Benzolwerk,strassenbahn,"52.426414690299055, 13.546444409734137",84,,Ost
91,Bergstrasse,bus,"52.458183734651705, 13.329753854060407",A68,,West
