line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
1,"Ostbahnhof - Breslauer Strasse Ecke Andreasstrasse - U-Bhf. Strausberger Platz - Leninplatz - Alexanderplatz, Memhardstr. - Rosenthaler Platz - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",20,39,strassenbahn,Ost,1961
2,Bernauer Strasse Ecke Wolliner Strasse - Voltastrasse Ecke Watt Strasse - Weddingplatz - Rathenower Strasse Ecke Perleberger Strasse - Alt-Moabit Ecke Rathenower Strasse - Stromstrasse Ecke Alt-Moabit - Gotzkowskybrücke - Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Rathaus Schöneberg - Hauptstrasse Ecke Dominicusstrasse - Kaiser-Wilhelm-Platz - GotenStrasse,15,60,strassenbahn,West,1961
3,Grüntaler Straße Ecke Osloer Strasse - U-Bhf. Seestrasse - Bhf. Beusselstrasse - Gotzkowskystrasse Ecke Turmstrasse - Wiebestrasse Ecke Kaiserin-Augusta-Allee - Tauroggener Strasse Ecke Osnabrücker Strasse - Luisenplatz - Wilmersdorfer Strasse Ecke Otto-Suhr-Alle - Wilmersdorfer Strasse Ecke Kurfürstendamm - Fehrbelliner Platz - Berliner Strasse Ecke Bundesallee - Grunewaldstrasse Ecke Martin-Luther-Strasse - Potsdamer Strasse Ecke Pallasstrasse - Mehringdamm Ecke Yorck Strasse - U-Bhf. Südstern - Hermannplatz - Wilderbruchstrasse Ecke Sonnenallee - Elsenstraße Ecke Heidelberger Strasse,10,87,strassenbahn,West,1961
3,Warschauer Strasse - Warschauer Brücke - Kopernikusstrasse Ecke Warschauer Strasse - Boxhagenerstrasse Ecke Holteistrasse - Bhf. Stalinallee - Rathaus Lichtenberg - Roederplatz - Landsberger Chaussee Ecke Weißenseer Weg - Hohenschönhauser Strasse - Klement-Gottwald-Allee Ecke Indira-Ghandi-Strasse - Antonplatz - Prenzlauer Promenade - Schönhauser Allee Ecke Bornholmer Strasse - Björnsonstrasse,12,46,strassenbahn,Ost,1961
4,Warschauer Strasse - Warschauer Brücke - Kopernikusstrasse Ecke Warschauer Strasse - Grünberger Strasse - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Eberswalderstrasse Ecke Oderberger Strasse,8,25,strassenbahn,Ost,1961
11,"Heinrich-Heine-Strasse - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstr. - Rosenthaler Platz - Brunnenstrasse Ecke Invalidenstrasse - Oranienburger Tor - Hannoversche Strasse",20,19,strassenbahn,Ost,1961
13,"Klingenberg, Blockdammweg - Kraftwerk Klingenberg - Karlshorster Strasse - Boxhagenerstrasse Ecke Holteistrasse - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Oderberger Strasse Ecke Eberswalderstrasse",8,35,strassenbahn,Ost,1961
15,Daimlerstrasse - Bhf. Marienfelde - Körtingstrasse Ecke Großbeerenstrasse - Mariendorfer Damm - Imbrosweg - Mariendorfer Friedhof - Industriestrasse - Germaniastrasse - Frauenklinik - Hermannstrasse - U-Bhf. Neukölln - Richardstrasse - Bhf. Sonnenallee - Dammweg - Schulenburgpark,15,36,strassenbahn,West,1961
22,"Bhf. Rosenthal - Nordendstrasse - Kurt-Fischer-Platz - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Alexanderplatz, Memhardstr. - Elisabethstrasse",12,48,strassenbahn,Ost,1961
26,Spreewaldplatz - Reichenberger Strasse - Glogauer Strasse - Sonnenallee - Hermannplatz - Weichselstrasse - Rathaus Neukölln - Karl-Marx-Platz - U-Bhf. Neukölln - Silbersteinstrasse - Hermannstrasse - Städtische Frauenklinik - Germaniastrasse - Bhf. Teltowkanal - Industriestrasse,15,30,strassenbahn,West,1961
27,"Spreewaldplatz - Hermannplatz - U-Bhf. Boddinstrasse - U-Bhf. Leinestrasse - Bhf. Hermannstrasse - Mariendorfer Weg Ecke Hermannstrasse - Germaniapromenade Ecke Britzer Damm - Franz-Körner-Strasse Ecke Britzer Damm - Britzer Damm Ecke Gradestrasse - Tempelhofer Weg Ecke Britzer Damm - Mohriner Allee Ecke Buckower Damm - Gutschmidtstrasse Ecke Buckower Damm - Kleinbahn, Buckower Damm - Dachdeckerweg Ecke Buckower Damm - Parkfriedhof Neukölln, Buckower Damm - Alt-Buckow Ecke Buckower Damm",15,30,strassenbahn,West,1961
46,"Niederschönhausen, Schillerstrasse - Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Rathaus - S-Bhf. Pankow - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",12,52,strassenbahn,Ost,1961
47,Hermannplatz - Weichselstrasse - Rathaus Neukölln - Karl-Marx-Platz - U-Bhf. Neukölln - Silbersteinstrasse - U-Bhf. Grenzallee - Buschkrug - Onkel-Herse-Strasse - Parchimer Allee - Krankenhause Neukölln - Johannisthaler Chaussee - Wildmeisterdamm - Stubenrauchstrasse - Köpenicker Strasse - Bahnhofstrasse,10,34,strassenbahn,West,1961
49,"Buchholz, Hauptstrasse - Rosenthalerweg - Blankenburger Strasse Ecke Pasewalker Strasse - Galenusstrasse, Krankenhaus Pankow - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastrasse - Bornholmer Strasse Ecke Schönhauser Allee - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Hackescher Markt, Große Präsidentenstrasse",15,41,strassenbahn,Ost,1961
53,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Bhf. Spandau - Spandau, Markt - Hafenplatz - Lynastrasse Ecke Neuendorfer Strasse - Hohenzollernring - Hakenfelde",20,42,strassenbahn,West,1961
