,stop_id,stop_name,type,in_lines
0,1,4. Ring,bus,{'A53'}
1,2,Adamstrasse,bus,"{'A34', 'A35'}"
2,3,Adlershof,s-bahn,"{'KBS 106', 'KBS 103', 'KBS 100a'}"
3,4,Adolf-Scheidt-Platz,strassenbahn,{'96'}
4,5,Afrikanische Str.,u-bahn,{'C I'}
5,6,Afrikanische Strasse,bus,{'A16'}
6,7,"Ahrensfeld, Kirche",bus,{'A46'}
7,8,Albertstrasse,strassenbahn,"{'74', '73'}"
8,9,Alboinstrasse Ecke Prellerweg,bus,{'A68'}
9,10,Albrechtshof,s-bahn,{'KBS 103'}
10,11,Alexanderplatz,s-bahn,"{'KBS 101', 'KBS 103', 'KBS 102'}"
11,12,Alexanderplatz,u-bahn,"{'A', 'E'}"
12,13,"Alexanderplatz, Elisabethstrasse",strassenbahn,{'82'}
13,14,"Alexanderplatz, Grunerstrasse",strassenbahn,{'71'}
14,15,"Alexanderplatz, Leninallee",strassenbahn,{'64'}
15,16,"Alexanderplatz, Memhardstr.",strassenbahn,{'1'}
16,17,"Alexanderplatz, Memhardstrasse",strassenbahn,"{'22', '11', '74', '72', '63', '74E'}"
17,18,"Alt-Biesdorf, OBerfeldstrasse",bus,{'O37'}
18,19,"Alt-Biesdorf, Oberfeldstrasse",bus,"{'A8', 'A8E'}"
19,20,Alt-Buckow Ecke Buckower Damm,strassenbahn,{'27'}
20,21,Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,{'69'}
21,22,"Alt-Friedrichsfelde, Am Tierpark",bus,"{'A43', 'A8E', 'A8', 'O37'}"
22,23,Alt-Heiligensee,bus,"{'A14', 'A13'}"
23,24,Alt-Kladow,bus,"{'A34', 'A35'}"
24,25,Alt-Mariendorf,bus,{'AS2'}
25,26,Alt-Mariendorf Ecke Lichtenrader Damm,bus,{'A76'}
26,27,Alt-Marienfelde,bus,{'A52'}
27,28,"Alt-Marzahn, Kirche",bus,{'O37'}
28,29,Alt-Moabit,bus,{'A24'}
29,30,Alt-Moabit Ecke Rathenower Strasse,strassenbahn,{'2'}
30,31,Alt-Reinickendorf Ecke Rödern Allee,bus,{'A72'}
31,32,Alt-Schmöckwitz,bus,"{'Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf)', 'Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)'}"
32,33,Alt-Schmöckwitz,strassenbahn,{'86'}
33,34,Alt-Tempelhof Ecke Tempelhofer Damm,bus,"{'A77', 'A68', 'A76'}"
34,35,Alt-Wittenau,bus,"{'A62', 'A15', 'A21'}"
35,36,"Altglienicke, Am Falkenberg",strassenbahn,{'84'}
36,37,"Altglienicke, Kirche",bus,{'A23'}
37,38,Am Beelitzhof,bus,{'A3'}
38,39,Am Dachsbau,bus,{'A13'}
39,40,Am Fließ,bus,{'A15'}
40,41,Am Grossen Wannsee,bus,"{'A18', 'A6', 'A51'}"
41,42,Am Großen Wannsee Ecke Königstrasse,bus,{'A3'}
42,43,Am Karlsbad,bus,{'A75'}
43,44,Am Kupfergraben,strassenbahn,"{'46', '70', '1'}"
44,45,Am Nordhafen,bus,{'A70'}
45,46,Am Oberhafen,bus,{'A67'}
46,47,Am Rosenhag,bus,"{'A44', 'A44E'}"
47,48,Am Steinberg,bus,"{'A55', 'A42', 'A45'}"
48,49,Am Steinberg,strassenbahn,{'71'}
49,50,Am Treptower Park Ecke Elsenstrasse,strassenbahn,{'87'}
50,51,Am Vierrutenbert,bus,{'A20'}
51,52,Am Volkspark,bus,{'A60'}
52,53,Amtsgerichsplatz,bus,{'A10'}
53,54,Amtsgericht,strassenbahn,"{'76', '75'}"
54,55,Amtsgericht Charlottenburg,bus,{'A21'}
55,56,Andreasstrasse,bus,{'O30'}
56,57,Andreezeile,bus,{'A66'}
57,58,Anhalter Bahnhof,s-bahn,"{'KBS 106', 'KBS 105', 'KBS 104'}"
58,59,Antonplatz,strassenbahn,"{'70', '74', '3', '72', '74E'}"
59,60,Apoldaer Strasse Ecke Sonderhaus Strasse,bus,{'A11'}
60,61,Arnimallee,bus,{'A68'}
61,62,Aroser Allee,bus,"{'A14', 'A61'}"
62,63,Askanierring,bus,"{'A34', 'A35', 'A63'}"
63,64,Askanischer Platz,bus,"{'A29', 'A24', 'A75'}"
64,65,Attilaplatz,bus,"{'AS2', 'A68', 'A25'}"
65,66,Attilaplatz,strassenbahn,{'96'}
66,67,Augsburger Str.,u-bahn,"{'B II', 'A II'}"
67,68,Auguste-Viktoria-Allee,bus,{'A62'}
68,69,Augustenbrücke Platz,bus,{'A64'}
69,70,BSC-Sportplatz,bus,{'A29'}
70,71,Babelsberg,s-bahn,{'KBS 102'}
