,stop_id,stop_name,type,in_lines,location,identifier,stop_id_1960,stop_description
0,1,4. Ring,bus,A53,"52.42250630689789, 13.2869490566549",nan,1,4. Ring
1,2,Adamstrasse,bus,"A34,A35","52.521029117218866, 13.19780699419913",nan,2,Adamstrasse Ecke Pichelsdorfer Strasse
2,3,Adlershof,s-bahn,"KBS 103,KBS 100a,KBS 106","52.434722222222,13.541388888889",Q323551,3,Berlin-Adlershof station
3,4,Adolf-Scheidt-Platz,strassenbahn,96,"52.478194856980814, 13.37836902238447",nan,4,Adolf-Scheidt-Platz
4,5,Afrikanische Str.,u-bahn,C I,"52.560027777778,13.334633333333",Q559239,5,Afrikanische Straße
5,6,Afrikanische Strasse,bus,A16,"52.54630154020319, 13.343855247543928 +  52.56092107945643, 13.333499647590612",nan+ nan,6+ 10006,Afrikanische Strasse Ecke Seestrasse +  Afrikanische Strasse Ecke Müllerstrasse
6,7,"Ahrensfeld, Kirche",bus,A46,"52.57532170199278, 13.576515606968998",nan,7,"Ahrensfeld, Kirche"
7,8,Albertstrasse,strassenbahn,"73,74","52.48441764584102, 13.352842591071507",nan,8,Albertstrasse
8,9,Alboinstrasse Ecke Prellerweg,bus,A68,,,,
9,10,Albrechtshof,s-bahn,KBS 103,"52.5494,13.1283",Q800470,9,Berlin Albrechtshof station
10,11,Alexanderplatz,s-bahn,"KBS 101,KBS 103,KBS 102","52.521388888889,13.411944444444",Q111324700,12,S-Bahnhof Berlin Alexanderplatz
11,12,Alexanderplatz,u-bahn,"A,E","52.5214,13.4119",Q17173458,13,Alexanderplatz u-bahn station
12,13,"Alexanderplatz, Elisabethstrasse",strassenbahn,82,,,,
13,14,"Alexanderplatz, Grunerstrasse",strassenbahn,71,"52.52008326268696, 13.41408418961877",nan,14,"Alexanderplatz, Grunerstrasse"
14,15,"Alexanderplatz, Leninallee",strassenbahn,64,,,,
15,16,"Alexanderplatz, Memhardstr.",strassenbahn,1,,,,
16,17,"Alexanderplatz, Memhardstrasse",strassenbahn,"63,11,72,74E,22,74","52.5233439,13.4110773",Q65227406,16,Memhardstraße
17,18,"Alt-Biesdorf, OBerfeldstrasse",bus,O37,,,,
18,19,"Alt-Biesdorf, Oberfeldstrasse",bus,"A8,A8E","52.50918606891929, 13.553347058493491",nan,17,"Alt-Biesdorf, Oberfeldstrasse"
19,20,Alt-Buckow Ecke Buckower Damm,strassenbahn,27,,,,
20,21,Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,69,,,,
21,22,"Alt-Friedrichsfelde, Am Tierpark",bus,"A43,O37,A8,A8E",,,,
22,23,Alt-Heiligensee,bus,"A14,A13","52.60616921042186, 13.210646859320935",nan,20,Alt-Heiligensee
23,24,Alt-Kladow,bus,"A34,A35","52.454591413254434, 13.144488043956764",nan,21,Alt-Kladow
24,25,Alt-Mariendorf,bus,AS2,"52.44015553185248, 13.387328254903215",nan,22,Alt-Mariendorf Ecke Mariendorfer Damm
25,26,Alt-Mariendorf Ecke Lichtenrader Damm,bus,A76,,,,
26,27,Alt-Marienfelde,bus,A52,"52.413385082183694, 13.36338063003787",nan,24,Alt-Marienfelde Ecke Marienfelder Allee
27,28,"Alt-Marzahn, Kirche",bus,O37,"52.542423454435976, 13.564061751343658",nan,25,"Alt-Marzahn, Kirche"
28,29,Alt-Moabit,bus,A24,"52.524078460891005, 13.357069143313803 +  52.52437871670591, 13.350938481047272",nan+ nan,26+ 10026,Alt-Moabit Ecke Rathenower Strasse +  Alt-Moabit Ecke Wilsnacker Strasse
29,30,Alt-Moabit Ecke Rathenower Strasse,strassenbahn,2,,,,
30,31,Alt-Reinickendorf Ecke Rödern Allee,bus,A72,,,,
31,32,Alt-Schmöckwitz,bus,"Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)",,,,
32,33,Alt-Schmöckwitz,strassenbahn,86,0,Q66459540,29,Alt-Schmöckwitz
33,34,Alt-Tempelhof Ecke Tempelhofer Damm,bus,"A77,A68,A76",,,,
34,35,Alt-Wittenau,bus,"A15,A21,A62","52.58972877186178, 13.334169215342472 +  52.59166508975595, 13.326326895395114",nan+ nan,31+ 10031,Alt-Wittenau Ecke Oranienburger Straße +  Alt-Wittenau Ecke Eichborndamm
35,36,"Altglienicke, Am Falkenberg",strassenbahn,84,"52.41079970042163, 13.570452931545786",nan,33,"Altglienicke, Am Falkenberg"
36,37,"Altglienicke, Kirche",bus,A23,"52.421845729296805, 13.539407702079252",nan,34,"Altglienicke, Kirche"
37,38,Am Beelitzhof,bus,A3,"52.432202091928794, 13.186661564435827",nan,35,Am Beelitzhof Ecke Kronprinzessinnenweg
38,39,Am Dachsbau,bus,A13,"52.60655284387061, 13.22984370797522",nan,36,Am Dachsbau Ecke Heiligenseestrasse
39,40,Am Fließ,bus,A15,,,,
