stop_name,type,location,in_lines,identifier,east-west
4. Ring,bus,"52.42250630689789, 13.2869490566549",A53,,West
Adamstrasse,bus,"52.521029117218866, 13.19780699419913","A34,A35",,West
Adolf-Scheidt-Platz,strassenbahn,"52.478194856980814, 13.37836902238447",96,,West
Afrikanische Str.,u-bahn,"52.560027777778,13.334633333333",C I,Q559239,West
Afrikanische Strasse,bus,"52.54630154020319, 13.343855247543928",A16,,West
Albertstrasse,strassenbahn,"52.48441764584102, 13.352842591071507","73,74",,West
Alboinstrasse Ecke Arnulfstrasse,bus,"52.455767812500675, 13.36990459867346",A68,,West
Alt-Buckow Ecke Buckower Damm,strassenbahn,"52.42365120067525, 13.436635949176258",27,,West
Alt-Heiligensee,bus,"52.60616921042186, 13.210646859320935","A14,A13",,West
Alt-Kladow,bus,"52.454591413254434, 13.144488043956764","A34,A35",,West
Alt-Mariendorf,bus,"52.44015553185248, 13.387328254903215",AS2,,West
Alt-Mariendorf Ecke Tempelhofer Damm,bus,"52.44016235770067, 13.387229967555644",A76,,West
Alt-Marienfelde,bus,"52.413385082183694, 13.36338063003787",A52,,West
Alt-Moabit,bus,"52.524078460891005, 13.357069143313803",A24,,West
Alt-Moabit Ecke Rathenower Strasse,strassenbahn,"52.52356,13.35779",2,Q121863902,West
Alt-Reinickendorf Ecke Rödern Allee,bus,"52.57586051212987, 13.347765981901512",A72,,West
Alt-Tempelhof Ecke Tempelhofer Damm,bus,"52.465964306830664, 13.38558297633417","A77,A68,A76, A73, A65",", ,",West
Alt-Wittenau,bus,"52.58972877186178, 13.334169215342472",A62,,West
Alt-Wittenau,bus,"52.59166508975595, 13.326326895395114","A15,A21",,West
Am Beelitzhof,bus,"52.432202091928794, 13.186661564435827",A3,,West
Am Dachsbau,bus,"52.60655284387061, 13.22984370797522",A13,,West
Am Grossen Wannsee,bus,"52.420496581432594, 13.167192967572669","A6,A51,A18",,West
Am Großen Wannsee Ecke Königstrasse,bus,"52.420496581432594, 13.167192967572669",A3,,West
Am Karlsbad,bus,"52.505510534075455, 13.36801582264215",A75,,West
Am Nordhafen,bus,"52.53868315849872, 13.363248409190426",A70,,West
Am Oberhafen,bus,"52.465017297775326, 13.450594183790596",A67,,West
Am Vierrutenbert,bus,"52.613698620824124, 13.344231823340426",A20,,West
Am Volkspark,bus,"52.483222065143515, 13.32036833862448",A60,,West
Amtsgerichsplatz,bus,"52.50685665976427, 13.295057483522156",A10,,West
Amtsgericht,strassenbahn,"52.50682617853116, 13.297391449613752","75,76",,West
Amtsgericht Charlottenburg,bus,"52.50571853839105, 13.295347400894903",A21,,West
Andreezeile,bus,"52.41046140348477, 13.267143098688617",A66,,West
Anhalter Bahnhof,s-bahn,"52.503055555556,13.381944444444","KBS 104,KBS 105,KBS 106",Q111324573,West
Apoldaer Strasse Ecke Sonderhauser Strasse,bus,"52.41944943945407, 13.342640667996188",A11,,West
Arnimallee,bus,"52.45789378609326, 13.299570204130864",A68,,West
Aroser Allee,bus,"52.57376245122369, 13.351970705456408","A61,A14",,West
Askanierring,bus,"52.545679974269035, 13.194267325495874","A35,A63",,West
Askanierring,bus,"52.54891706140618, 13.193495587303872",A34,,West
Askanischer Platz,bus,"52.50447897041404, 13.382295467838158","A29,A75,A24",,West
Attilaplatz,bus,"52.45590179888225, 13.376512495751076","A25,AS2,A68",,West
Attilaplatz,strassenbahn,"52.455498340147045, 13.375619638525905",96,,West
Augsburger Str.,u-bahn,"52.500556,13.336389","A II,B II",Q667035,West
Auguste-Viktoria-Allee,bus,"52.569268504658915, 13.329801350092811",A62,,West
Augustenburger Platz,bus,"52.542186362228115, 13.34942313975666",A64,,West
BSC-Sportplatz,bus,"52.48590335523557, 13.284366733504768",A29,,West
Badstrasse,bus,"52.55228040855936, 13.381394276023574",A70,,West
