,line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
1,2,Bernauer Strasse Ecke Wolliner Strasse - Voltastrasse Ecke Watt Strasse - Weddingplatz - Rathenower Strasse Ecke Perleberger Strasse - Alt-Moabit Ecke Rathenower Strasse - Stromstrasse Ecke Alt-Moabit - Gotzkowskybrücke - Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Rathaus Schöneberg - Hauptstrasse Ecke Dominicusstrasse - Kaiser-Wilhelm-Platz - GotenStrasse,15.0,60.0,strassenbahn,West,1961
2,3,Grüntaler Straße Ecke Osloer Strasse - U-Bhf. Seestrasse - Bhf. Beusselstrasse - Gotzkowskystrasse Ecke Turmstrasse - Wiebestrasse Ecke Kaiserin-Augusta-Allee - Tauroggener Strasse Ecke Osnabrücker Strasse - Luisenplatz - Wilmersdorfer Strasse Ecke Otto-Suhr-Alle - Wilmersdorfer Strasse Ecke Kurfürstendamm - Fehrbelliner Platz - Berliner Strasse Ecke Bundesallee - Grunewaldstrasse Ecke Martin-Luther-Strasse - Potsdamer Strasse Ecke Pallasstrasse - Mehringdamm Ecke Yorck Strasse - U-Bhf. Südstern - Hermannplatz - Wilderbruchstrasse Ecke Sonnenallee - Elsenstraße Ecke Heidelberger Strasse,10.0,87.0,strassenbahn,West,1961
7,15,Daimlerstrasse - Bhf. Marienfelde - Körtingstrasse Ecke Großbeerenstrasse - Mariendorfer Damm - Imbrosweg - Mariendorfer Friedhof - Industriestrasse - Germaniastrasse - Frauenklinik - Hermannstrasse - U-Bhf. Neukölln - Richardstrasse - Bhf. Sonnenallee - Dammweg - Schulenburgpark,15.0,36.0,strassenbahn,West,1961
9,26,Spreewaldplatz - Reichenberger Strasse - Glogauer Strasse - Sonnenallee - Hermannplatz - Weichselstrasse - Rathaus Neukölln - Karl-Marx-Platz - U-Bhf. Neukölln - Silbersteinstrasse - Hermannstrasse - Städtische Frauenklinik - Germaniastrasse - Bhf. Teltowkanal - Industriestrasse,15.0,30.0,strassenbahn,West,1961
10,27,"Spreewaldplatz - Hermannplatz - U-Bhf. Boddinstrasse - U-Bhf. Leinestrasse - Bhf. Hermannstrasse - Mariendorfer Weg Ecke Hermannstrasse - Germaniapromenade Ecke Britzer Damm - Franz-Körner-Strasse Ecke Britzer Damm - Britzer Damm Ecke Gradestrasse - Tempelhofer Weg Ecke Britzer Damm - Mohriner Allee Ecke Buckower Damm - Gutschmidtstrasse Ecke Buckower Damm - Kleinbahn, Buckower Damm - Dachdeckerweg Ecke Buckower Damm - Parkfriedhof Neukölln, Buckower Damm - Alt-Buckow Ecke Buckower Damm",15.0,30.0,strassenbahn,West,1961
12,47,Hermannplatz - Weichselstrasse - Rathaus Neukölln - Karl-Marx-Platz - U-Bhf. Neukölln - Silbersteinstrasse - U-Bhf. Grenzallee - Buschkrug - Onkel-Herse-Strasse - Parchimer Allee - Krankenhause Neukölln - Johannisthaler Chaussee - Wildmeisterdamm - Stubenrauchstrasse - Köpenicker Strasse - Bahnhofstrasse,10.0,34.0,strassenbahn,West,1961
14,53,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Bhf. Spandau - Spandau, Markt - Hafenplatz - Lynastrasse Ecke Neuendorfer Strasse - Hohenzollernring - Hakenfelde",20.0,42.0,strassenbahn,West,1961
15,54,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Bhf. Spandau - Spandau, Markt - Hafenplatz - Lynastrasse Ecke Neuendorfer Strasse - Hohenzollernring - Johannesstift",20.0,43.0,strassenbahn,West,1961
16,55,"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Cauerstrasse - Richard-Wagner-Platz - Luisenplatz - OsnaBrücker Strasse - Bhf. Jungfernheide - Jakob-Kaiser-Platz - Quellweg - Paulsternstrasse - Zitadellenweg - Spandau, Markt - Rathaus Spandau - Nauener Strasse",12.0,54.0,strassenbahn,West,1961
17,60,Königin-Elisabeth-Strasse - Sophie-Charlotten-Platz - Stuttgarter Platz - Fehrbelliner Platz - Bundesallee - Rathaus Schöneberg - Hauptstrasse (Schöneberg) - Bhf. Papestrasse - Eythstrasse,15.0,49.0,strassenbahn,West,1961
