,stop_id,stop_name,type,in_lines
0,1,4. Ring,bus,{'A53x'}
1,2,Adamstrasse,bus,"{'A35s', 'A34s'}"
2,3,Adlershof,s-bahn,{'KBS 100a'}
3,4,Adolf-Scheidt-Platz,strassenbahn,{'96x'}
4,5,Afrikanische Str.,u-bahn,{'C I'}
5,6,Afrikanische Strasse,bus,{'A16'}
6,7,Albertstrasse,strassenbahn,"{'73s', '74s'}"
7,8,Alboinstrasse Ecke Arnulfstrasse,bus,{'A68x'}
8,9,Alt-Buckow Ecke Buckower Damm,strassenbahn,{'27x'}
9,10,Alt-Heiligensee,bus,"{'A14', 'A13'}"
10,11,Alt-Kladow,bus,"{'A35s', 'A34s'}"
11,12,Alt-Mariendorf,bus,{'AS2s'}
12,13,Alt-Mariendorf Ecke Tempelhofer Damm,bus,{'A76x'}
13,14,Alt-Marienfelde,bus,{'A52s'}
14,15,Alt-Moabit,bus,{'A24x'}
15,16,Alt-Moabit Ecke Rathenower Strasse,strassenbahn,{'2x'}
16,17,Alt-Reinickendorf Ecke Rödern Allee,bus,{'A72x'}
17,18,Alt-Tempelhof Ecke Tempelhofer Damm,bus,"{'A76x', 'A65x', 'A73x', 'A77x', 'A68x'}"
18,19,Alt-Wittenau,bus,"{'A15', 'A62x', 'A21'}"
19,20,Am Beelitzhof,bus,{'A3'}
20,21,Am Dachsbau,bus,{'A13'}
21,22,Am Fließ,bus,{'A15'}
22,23,Am Grossen Wannsee,bus,"{'A18', 'A51s', 'A6s'}"
23,24,Am Großen Wannsee Ecke Königstrasse,bus,{'A3'}
24,25,Am Karlsbad,bus,{'A75x'}
25,26,Am Nordhafen,bus,{'A70x'}
26,27,Am Oberhafen,bus,{'A67s'}
27,28,Am Vierrutenbert,bus,{'A20'}
28,29,Am Volkspark,bus,{'A60s'}
29,30,Amtsgerichsplatz,bus,{'A10'}
30,31,Amtsgericht,strassenbahn,"{'76x', '75s'}"
31,32,Amtsgericht Charlottenburg,bus,{'A21'}
32,33,Andreezeile,bus,{'A66x'}
33,34,Anhalter Bahnhof,s-bahn,"{'KBS 104', 'KBS 106', 'KBS 105'}"
34,35,Apoldaer Strasse Ecke Sonderhauser Strasse,bus,{'A11'}
35,36,Arnimallee,bus,{'A68x'}
36,37,Aroser Allee,bus,"{'A61s', 'A14'}"
37,38,Askanierring,bus,"{'A63x', 'A35s', 'A34s'}"
38,39,Askanischer Platz,bus,"{'A75x', 'A24x', 'A29s'}"
39,40,Attilaplatz,bus,"{'A68x', 'A25x', 'AS2s'}"
40,41,Attilaplatz,strassenbahn,{'96x'}
41,42,Augsburger Str.,u-bahn,"{'A II', 'B II'}"
42,43,Auguste-Viktoria-Allee,bus,{'A62x'}
43,44,Augustenburger Platz,bus,{'A64x'}
44,45,BSC-Sportplatz,bus,{'A29s'}
45,46,Badstrasse,bus,{'A70x'}
46,47,Badstrasse/Prinzenallee,bus,{'A71s'}
47,48,Baerwaldstrasse Ecke Urbanstrasse,strassenbahn,{'95x'}
48,49,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,{'C I'}
49,50,Bahnhof Wedding,u-bahn,{'C I'}
50,51,Bahnhofstrasse,strassenbahn,{'47x'}
51,52,Baumschulenweg,s-bahn,{'KBS 100a'}
52,53,Bayerischer Platz,u-bahn,{'B III'}
53,54,Beeskowdamm,bus,{'A1s'}
54,55,Behring-Krankenhaus,bus,{'A10'}
55,56,Bellevue,s-bahn,"{'KBS 101', 'KBS 102'}"
56,57,Belziger Strasse,strassenbahn,{'66x'}
57,58,Benschallee,bus,{'A18'}
58,59,Benschallee Ecke Potsdamer Chaussee,bus,{'A3'}
59,60,Bergstrasse,bus,{'A68x'}
60,61,Bergstrasse,strassenbahn,{'66x'}
61,62,Bergstrasse Ecke Bismarckstrasse,bus,"{'A75x', 'A2', 'A68x'}"
62,63,Berkaer Strasse,bus,{'A29s'}
63,64,"Berkaer Strasse, Elsterplatz",bus,{'AS3s'}
64,65,Berliner Strasse,bus,"{'A60s', 'AS2s'}"
65,66,Berliner Strasse Ecke Bundesallee,bus,"{'A2', 'A25x'}"
66,67,Berliner Strasse Ecke Bundesallee,strassenbahn,{'3x'}
67,68,Berlinickeplatz,bus,{'A73x'}
68,69,Berlinickeplatz,strassenbahn,{'96x'}
69,70,Bernauer Strasse,bus,"{'A61s', 'A13'}"
