stop_name,type,in_lines,location,identifier
"Ahrensfelde, Kirche",Autobus,['A 46'],"52.57532251281871, 13.576456279814597",
Alexanderplatz,u-bahn,"['E', 'A']","52.5214,13.4119",Q17173458
"Alexanderplatz, Grunerstrasse",Omnibus,['1'],"52.52008326268696, 13.41408418961877",
"Alexanderplatz, Grunerstrasse",strassenbahn,['71'],"52.52008326268696, 13.41408418961877",
"Alexanderplatz, Leninallee",strassenbahn,"['69', '64']","52.522103158947594, 13.416511130432587",
"Alexanderplatz, Memhardstrasse",strassenbahn,"['22', '1', '11']","52.5233439,13.4110773",Q65227406
"Alexanderplatz, Memhardstrasse",strassenbahn,"['82', '74', '63', '71', '72']","52.5233439,13.4110773",Q65227406
"Alt-Biesdorf, Oberfelderstrasse",Autobus,['A 8'],"52.50918606891929, 13.553347058493491",
"Alt-Biesdorf, Oberfeldstrasse",Omnibus,['O 37'],"52.50918606891929, 13.553347058493491",
Alt-Friedrichsfelde/Am Tierpark,Autobus,"['A 43', 'A 8']","52.5097025850849, 13.518832511815527",
Alt-Friedrichsfelde/Am Tierpark,Omnibus,['O 37'],"52.5097025850849, 13.518832511815527",
Alt-Friedrichsfele/Am Tierpark,strassenbahn,['69'],"52.50914093654053, 13.518129930582422",
"Alt-Karow, Bahnhofstrasse",Autobus,['A 42'],"52.60931228539711, 13.481265848599735",
"Alt-Marzahn, Kirche",Omnibus,['O 37'],"52.542423454435976, 13.564061751343658",
Alt-Schmöckwitz,Autobus,"['Schmöckwitz - Ziegenhals', 'Schmöckwitz - Eichwalde']","52.37536708814027, 13.649399886968025",
Alt-Schmöckwitz,strassenbahn,['86'],"52.3752767,13.649549",Q66459540
"Altglienicke, Am Falkenberg",strassenbahn,['84'],"52.41079970042163, 13.570452931545786",
"Altglienicke, Kirche",Autobus,['A 23'],"52.421845729296805, 13.539407702079252",
"Altglienicke, Kirche",strassenbahn,['84'],"52.421845729296805, 13.539407702079252",
Am Kupfergraben,strassenbahn,"['70', '46', '11']","52.5194208,13.3953839",Q65055027
Am Rosenhag,Autobus,"['A 44', 'A 44 E']","52.52474356253909, 13.621775828105108",
Am Steinberg,Autobus,"['A 45', 'A 42']","52.55648144940878, 13.429306764151775",
Am Steinberg,strassenbahn,['71'],"52.5585796,13.4333751",Q65103320
Am Steinberg/Thulestrasse,Autobus,['A 55'],"52.55644689291127, 13.429226457898798",
Andreasstrasse,Omnibus,['O 30'],"52.51797306914227, 13.432895480772247",
Antonplatz,strassenbahn,"['70', '72', '74', '3']","52.5484803,13.4517416",Q65548849
Arnswalder Platz,Autobus,['A 9'],"52.53376530892205, 13.438121296337357",
Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,['E'],"52.510556,13.496389",Q3831986
Bahnhofstrasse,strassenbahn,['49'],"52.59633,13.432876",Q66192394
Bahnhofstrasse Ecke Lindenstrasse,Autobus,['A 27'],"52.45096281111, 13.572146868709519",
Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"['84', '87', '86']","52.4505094,13.572684",Q66095701
Bahnhofstrasse/Lindenstrasse,strassenbahn,['83'],"52.4505094,13.572684",Q66095701
Baumschulenstrasse,Autobus,['A 47'],"52.460823690124585, 13.503654622533428",
Baumschulenstrasse,strassenbahn,"['87', '92', '95']","52.46085478943951, 13.481376331759526",
Bersarinplatz,strassenbahn,"['13', '4']","52.519215,13.4525257",Q65706258
Bersarinstrasse Ecke Leninallee,strassenbahn,['63'],"52.52637416456414, 13.447600391274861",
Ebertystrasse Ecke Leninallee,Omnibus,['O 30'],"52.52722237261361, 13.450799684654514",
Bf. Siegfriedstrasse,Omnibus,"['O 30', 'O 37']","52.520558278471135, 13.49943441740371",
Bf. Siegfriedstrasse,strassenbahn,['69'],"52.52557752899851, 13.49972478101036",
Bhf. Eichwalde,Autobus,['Schmöckwitz - Eichwalde'],"52.371950560017005, 13.614447144096058",
Bhf. Friedrichstrasse,Autobus,"['A 57', 'A 9', 'A 59']","52.5205606637086, 13.388231915342985",
Bhf. Friedrichstrasse,strassenbahn,['11'],"52.5192805,13.3884107",Q65095382
Bhf. Friedrichstrasse,strassenbahn,"['70', '46']","52.5192805,13.3884107",Q65095382
Bhf. Lichtenberg,Omnibus,"['O 30', 'O 37']","52.5442346,13.4687215",Q65939077
Bhf. Lichtenberg,strassenbahn,['69'],"52.5123603,13.4977547",Q66013733
Bhf. Schönefeld,Autobus,"['A Z', 'A 24']","52.38192403313463, 13.511545079208773",
Bhf. Schöneweide,Autobus,"['A 47', 'A 26']","52.45374952013775, 13.510200397684477",
Bhf. Schöneweide,strassenbahn,"['69', '92', '95']","52.4553413,13.5110449",Q65950245
"Bhf. Schöneweide, Brückenstrasse",strassenbahn,['87'],"52.45648404130997, 13.509984392000785",
Björnsonstrasse Ecke Ibsenstrasse,strassenbahn,['3'],"52.55438588228195, 13.40316116759326",
"Blankenburg, Bahnhofstrasse",Autobus,['A 42'],"52.591380472079955, 13.453512267562314",
Blankenburger Strasse,strassenbahn,['49'],"52.58856735400595, 13.430204947038318",
"Blankenfelde, Hauptstrasse",Autobus,['A 7'],"52.63002534735451, 13.38262328371393",
Blumenstrasse,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],"52.44932599725309, 13.759715132008731",
