,line_id,stop_name,stop_order,stop_id
0,19631,Pankow (Vinetastrasse),0,1963232
1,19631,Schönhauser Allee,1,1963321
2,19631,Dimitroffstrasse,2,196375
3,19631,Luxemburgplatz,3,1963204
4,19631,Alexanderplatz,4,19631
5,19631,Klosterstrasse,5,1963173
6,19631,Spittelmarkt,6,1963328
7,19631,Stadtmitte,7,1963330
8,19631,Thälmannplatz,8,1963343
9,19632,Alexanderplatz,0,19631
10,19632,Schillingstrasse,1,1963311
11,19632,Strausberger Platz,2,1963340
12,19632,Marchlewskistrasse,3,1963210
13,19632,Frankfurter Tor,4,1963104
14,19632,Samariterstrasse,5,1963307
15,19632,Stalinallee (Ringbahn),6,1963331
16,19632,Magdalenenstrasse,7,1963205
17,19632,Bahnhof Lichtenberg (Zentralfriedhof),8,196326
18,19632,Friedrichsfelde (Tierpark),9,1963107
19,19633,Köpenickerstrasse Ecke Adalbertstrasse,0,1963190
20,19633,"Alexanderplatz, Grunerstrasse",1,19632
21,19634,Ostbahnhof,0,1963231
22,19634,Breslauerstrasse Ecke Andreasstrasse,1,196357
23,19634,U-Bhf. Strausberger Platz,2,1963353
24,19634,Leninplatz,3,1963197
25,19634,"Alexanderplatz, Memhardstrasse",4,19635
26,19634,Brunnenstrasse Ecke Invalidenstrasse,5,196358
27,19634,Oranienburger Tor,6,1963228
28,19634,Hannoversche Strasse,7,1963129
29,19635,S-Bhf. Warschauer Strasse,0,1963303
30,19635,Holteistrasse Ecke Boxhagener Strasse,1,1963149
31,19635,U- u. S-Bhf. Frankfurter Allee,2,1963346
32,19635,Roederplatz,3,1963263
33,19635,Hohenschönhauser Strasse,4,1963148
34,19635,Omnibus-Bf. Lichtenberger Strasse,5,1963225
35,19635,Klement-Gottwald-Allee,6,1963167
36,19635,Antonplatz,7,196324
37,19635,Prenzlauer Promenade,8,1963246
38,19635,Schönhauser Allee,9,1963320
39,19635,Björnsonstrasse Ecke Ibsenstrasse,10,196346
40,19636,S-Bhf. Warschauer Strasse,0,1963303
41,19636,Grünberger Strasse,1,1963123
42,19636,Frankfurter Tor,2,1963103
43,19636,Bersarinplatz,3,196333
44,19636,Leninallee,4,1963194
45,19636,Kniprodestrasse,5,1963174
46,19636,Greifswalder Strasse,6,1963116
47,19636,Prenzlauer Allee,7,1963243
48,19636,U-Bhf. Dimitroffstrasse,8,1963347
49,19637,S-Bhf. Warschauer Strasse,0,1963303
50,19637,Grünberger Strasse,1,1963123
51,19637,Frankfurter Tor,2,1963103
52,19637,Bersarinplatz,3,196333
53,19637,Leninallee,4,1963194
54,19637,Kniprodestrasse,5,1963174
55,19637,Greifswalder Strasse,6,1963116
56,19637,Prenzlauer Allee,7,1963243
57,19637,U-Bhf. Dimitroffstrasse,8,1963347
58,19637,Eberswalderstrasse Ecke Oderberger Strasse,9,196384
59,19638,Heinrich-Heine-Strasse Ecke Schmidtstrasse,0,1963139
60,19638,S-Bhf. Jannowitzbrücke,1,1963284
61,19638,"Alexanderplatz, Memhardstrasse",2,19635
62,19638,Brunnenstrasse Ecke Invalidenstrasse,3,196358
63,19638,Oranienburger Tor,4,1963228
64,19638,Bhf. Friedrichstrasse,5,196339
65,19638,Am Kupfergraben,6,196318
66,19639,"Rosenthal, Haupstrasse",0,1963264
67,19639,Nordendstrasse,1,1963222
68,19639,Kurt-Fischer-Platz,2,1963185
69,19639,"Pankow, Rathaus",3,1963236
70,19639,"Pankow, Kirche",4,1963234
71,19639,S-Bhf. Pankow,5,1963294
72,19639,U-Bhf. Pankow (Vinetastrasse),6,1963351
73,19639,Bornholmer Strasse Ecke Schönhauser Alle,7,196353
74,19639,S-Bhf. Schönhauser Allee,8,1963300
75,19639,U-Bhf. Dimitroffstrasse,9,1963347
76,19639,Rosenthaler Platz,10,1963266
77,19639,"Alexanderplatz, Memhardstrasse",11,19635
78,19639,S-Bhf. Jannowitzbrücke,12,1963284
79,196310,"Rosenthal, Haupstrasse",0,1963264
80,196310,Nordendstrasse,1,1963222
81,196310,Kurt-Fischer-Platz,2,1963185
82,196310,"Pankow, Rathaus",3,1963236
83,196310,"Pankow, Kirche",4,1963234
84,196310,S-Bhf. Pankow,5,1963294
85,196310,U-Bhf. Pankow (Vinetastrasse),6,1963351
86,196310,Bornholmer Strasse Ecke Schönhauser Alle,7,196353
87,196310,S-Bhf. Schönhauser Allee,8,1963300
88,196310,U-Bhf. Dimitroffstrasse,9,1963347
89,196310,Rosenthaler Platz,10,1963266
90,196310,"Alexanderplatz, Memhardstrasse",11,19635
91,196310,Wallnerstrasse Ecke Alexanderstrasse,12,1963361
92,196311,"Klingenberg, Blockdammweg",0,1963171
93,196311,Kraftwerk Klingenberg,1,1963180
94,196311,Karlshorster Strasse,2,1963161
95,196311,Boxhagenerstrasse Ecke Holteistrasse,3,196356
96,196311,Frankfurter Tor,4,1963103
97,196311,Bersarinplatz,5,196333
98,196311,Leninallee Ecke Dimitroffstrasse,6,1963195
99,196311,Kniprodestrasse Ecke Dimitroffstrasse,7,1963175
100,196311,Greifswalder Strasse Ecke Dimitroffstrasse,8,1963117
101,196311,Prenzlauer Allee Ecke Dimitroffstrasse,9,1963244
102,196311,U-Bhf. Dimitroffstrasse,10,1963347
103,196312,"Klingenberg, Blockdammweg",0,1963171
104,196312,Kraftwerk Klingenberg,1,1963180
105,196312,Karlshorster Strasse,2,1963161
106,196312,Boxhagenerstrasse Ecke Holteistrasse,3,196356
107,196312,Frankfurter Tor,4,1963103
108,196312,Bersarinplatz,5,196333
109,196312,Leninallee Ecke Dimitroffstrasse,6,1963195
110,196312,Kniprodestrasse Ecke Dimitroffstrasse,7,1963175
111,196312,Greifswalder Strasse Ecke Dimitroffstrasse,8,1963117
112,196312,Prenzlauer Allee Ecke Dimitroffstrasse,9,1963244
113,196312,U-Bhf. Dimitroffstrasse,10,1963347
114,196312,Eberswalderstrasse Ecke Oderberger Strasse,11,196384
115,196313,Nordend,0,1963221
116,196313,Ossietzkyplatz,1,1963229
117,196313,Kurt-Fischer-Platz,2,1963185
118,196313,"Pankow, Rathaus",3,1963236
119,196313,"Pankow, Kirche",4,1963234
120,196313,S-Bhf. Pankow,5,1963294
121,196313,U-Bhf. Pankow (Vinetastrasse),6,1963351
122,196313,Bornholmer Strasse Ecke Schönhauser Allee,7,196354
123,196313,S-Bhf. Schönhauser Allee,8,1963300
124,196313,U-Bhf. Dimitroffstrasse,9,1963347
125,196313,Brunnenstrasse Ecke Invalidenstrasse,10,196358
126,196313,Oranienburger Tor,11,1963228
127,196313,Bhf. Friedrichstrasse,12,196339
128,196313,Am Kupfergraben,13,196318
129,196314,"Bucholz, Hauptstrasse",0,196361
130,196314,Rosenthaler Strasse,1,1963267
131,196314,Blankenburger Strasse,2,196348
132,196314,Galenusstrasse/ Krankenhaus Pankow,3,1963110
133,196314,"Pankow, Kirche",4,1963234
134,196314,S-Bhf. Pankow,5,1963294
135,196314,U-Bhf. Pankow (Vinetastrasse),6,1963351
136,196314,Bornholmer Strasse Ecke Schönhauser Allee,7,196354
137,196314,S-Bhf. Schönhauser Allee,8,1963300
138,196314,U-Bhf. Dimitroffstrasse,9,1963347
139,196314,Rosenthaler Platz,10,1963266
140,196314,Hackescher Markt,11,1963127
141,196315,"Bucholz, Elfenallee",0,196360
142,196315,Bahnhofstrasse,1,196327
143,196315,Margaretenaue,2,1963211
144,196315,Galenusstrasse/ Krankenhaus Pankow,3,1963110
145,196315,S-Bhf. Pankow-Heinersdorf,4,1963295
146,196315,"Pankow, Kirche",5,1963234
147,196315,S-Bhf. Pankow,6,1963294
148,196315,U-Bhf. Pankow (Vinetastrasse),7,1963351
149,196315,Wisbyer Strasse Ecke Schönhauser Allee,8,1963390
150,196315,S-Bhf. Schönhauser Allee,9,1963300
151,196315,U-Bhf. Dimitroffstrasse,10,1963347
152,196315,Rosenthaler Platz,11,1963266
153,196315,S-Bhf. Marx-Engels-Platz,12,1963291
154,196315,Große Präsidentenstrasse,13,1963122
155,196316,"Hohenschönhausen, Gartenstadt",0,1963147
156,196316,Falkenbergerstrasse Ecke Wartenberger Strasse,1,196398
157,196316,Hauptstrasse/Berliner Strasse,2,1963132
158,196316,Degnerstrasse,3,196373
160,196316,Weißenseer Weg,4,1963378
161,196316,Steuerhaus,5,1963334
162,196316,Dimitroffstrasse Ecke Leninallee,6,196378
163,196316,Leninplatz,7,1963197
164,196316,"Alexanderplatz, Memhardstrasse",8,19635
165,196316,Hackescher Markt,9,1963127
166,196317,"Hohenschönhausen, Gartenstadt",0,1963147
167,196317,Falkenbergerstrasse Ecke Wartenberger Strasse,1,196398
168,196317,Hauptstrasse/Berliner Strasse,2,1963132
169,196317,Degnerstrasse,3,196373
