,stop_id,stop_name,type,location,in_lines,identifier
0,19630,"Ahrensfelde, Kirche",Autobus,"52.57532251281871, 13.576456279814597",['A 46'],
1,19631,Alexanderplatz,u-bahn,"52.5214,13.4119","['E', 'A']",Q17173458
2,19632,"Alexanderplatz, Grunerstrasse",Omnibus,"52.52008326268696, 13.41408418961877",['1'],
3,19633,"Alexanderplatz, Grunerstrasse",strassenbahn,"52.52008326268696, 13.41408418961877",['71'],
4,19634,"Alexanderplatz, Leninallee",strassenbahn,"52.522103158947594, 13.416511130432587","['69', '64']",
5,19635,"Alexanderplatz, Memhardstrasse",strassenbahn,"52.5233439,13.4110773","['22', '1', '11'], ['82', '74', '63', '71', '72']","Q65227406, Q65227406"
6,19636,"Alt-Biesdorf, Oberfelderstrasse",Autobus,"52.50918606891929, 13.553347058493491",['A 8'],
7,19637,"Alt-Biesdorf, Oberfeldstrasse",Omnibus,"52.50918606891929, 13.553347058493491",['O 37'],
8,19638,Alt-Friedrichsfelde/Am Tierpark,Autobus,"52.5097025850849, 13.518832511815527","['A 43', 'A 8']",
9,19639,Alt-Friedrichsfelde/Am Tierpark,Omnibus,"52.5097025850849, 13.518832511815527",['O 37'],
10,196310,Alt-Friedrichsfele/Am Tierpark,strassenbahn,"52.50914093654053, 13.518129930582422",['69'],
11,196311,"Alt-Karow, Bahnhofstrasse",Autobus,"52.60931228539711, 13.481265848599735",['A 42'],
12,196312,"Alt-Marzahn, Kirche",Omnibus,"52.542423454435976, 13.564061751343658",['O 37'],
13,196313,Alt-Schmöckwitz,Autobus,"52.37536708814027, 13.649399886968025","['Schmöckwitz - Ziegenhals', 'Schmöckwitz - Eichwalde']",
14,196314,Alt-Schmöckwitz,strassenbahn,"52.3752767,13.649549",['86'],Q66459540
15,196315,"Altglienicke, Am Falkenberg",strassenbahn,"52.41079970042163, 13.570452931545786",['84'],
16,196316,"Altglienicke, Kirche",Autobus,"52.421845729296805, 13.539407702079252",['A 23'],
