,line_name,type,east-west,Stops,Frequency_7-30,Length (time),direction,Length (km),year,Info
0,A,u-bahn,east,Pankow (Vinetastrasse) - Schönhauser Allee - Dimitroffstrasse - Luxemburgplatz - Alexanderplatz - Klosterstrasse - Spittelmarkt - Stadtmitte - Thälmannplatz,2,19,both,,1963,
1,E,u-bahn,east,Alexanderplatz - Schillingstrasse - Strausberger Platz - Marchlewskistrasse - Frankfurter Tor - Samariterstrasse - Stalinallee (Ringbahn) - Magdalenenstrasse - Bahnhof Lichtenberg (Zentralfriedhof) - Friedrichsfelde (Tierpark),5,15,both,,1963,
2,1,Omnibus,east,"Köpenickerstrasse Ecke Adalbertstrasse - Alexanderplatz, Grunerstrasse",20,6,both,,1963,
3,1,strassenbahn,east,"Ostbahnhof - Breslauerstrasse Ecke Andreasstrasse - U-Bhf. Strausberger Platz - Leninplatz - Alexanderplatz, Memhardstrasse - Brunnenstrasse Ecke Invalidenstrasse - Oranienburger Tor - Hannoversche Strasse",20,28,both,,1963,
4,3,strassenbahn,east,S-Bhf. Warschauer Strasse - Holteistrasse Ecke Boxhagener Strasse - U- u. S-Bhf. Frankfurter Allee - Roederplatz - Hohenschönhauser Strasse - Omnibus-Bf. Lichtenberger Strasse - Klement-Gottwald-Allee - Antonplatz - Prenzlauer Promenade - Schönhauser Allee - Björnsonstrasse Ecke Ibsenstrasse,12,45,both,,1963,
5,4,strassenbahn,east,S-Bhf. Warschauer Strasse - Grünberger Strasse - Frankfurter Tor - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse,8,24,hin,,1963,
6,4,strassenbahn,east,S-Bhf. Warschauer Strasse - Grünberger Strasse - Frankfurter Tor - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Eberswalderstrasse Ecke Oderberger Strasse,10,25,zurück,,1963,
7,11,strassenbahn,east,"Heinrich-Heine-Strasse Ecke Schmidtstrasse - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstrasse - Brunnenstrasse Ecke Invalidenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",20,26,,,1963,
8,22,strassenbahn,east,"Rosenthal, Haupstrasse - Nordendstrasse - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow (Vinetastrasse) - Bornholmer Strasse Ecke Schönhauser Alle - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Alexanderplatz, Memhardstrasse - S-Bhf. Jannowitzbrücke",10,46,hin,,1963,
9,22,strassenbahn,east,"Rosenthal, Haupstrasse - Nordendstrasse - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow (Vinetastrasse) - Bornholmer Strasse Ecke Schönhauser Alle - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Alexanderplatz, Memhardstrasse - Wallnerstrasse Ecke Alexanderstrasse",15,46,zurück,,1963,
