,station_id,stop_name,line_count,type,in_lines
0,1,Pankow (Vinetastrasse),1,u-bahn,['A']
1,2,Schönhauser Allee,2,u-bahn,['A']
2,2,Schönhauser Allee,2,strassenbahn,['3']
3,3,Dimitroffstrasse,1,u-bahn,['A']
4,4,Luxemburgplatz,1,u-bahn,['A']
5,5,Alexanderplatz,2,u-bahn,"['E', 'A']"
6,6,Klosterstrasse,2,u-bahn,['A']
7,6,Klosterstrasse,2,Omnibus,['O 30']
8,7,Spittelmarkt,5,u-bahn,['A']
9,7,Spittelmarkt,5,strassenbahn,"['72', '74', '64']"
10,8,Stadtmitte,1,u-bahn,['A']
11,9,Thälmannplatz,2,u-bahn,['A']
12,9,Thälmannplatz,2,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse']
13,10,Alexanderplatz,2,u-bahn,"['E', 'A']"
14,11,Schillingstrasse,1,u-bahn,['E']
15,12,Strausberger Platz,1,u-bahn,['E']
16,13,Marchlewskistrasse,1,u-bahn,['E']
17,14,Frankfurter Tor,4,u-bahn,['E']
18,14,Frankfurter Tor,4,strassenbahn,"['13', '4']"
19,15,Samariterstrasse,1,u-bahn,['E']
20,16,Stalinallee (Ringbahn),1,u-bahn,['E']
21,17,Magdalenenstrasse,1,u-bahn,['E']
22,18,Bahnhof Lichtenberg (Zentralfriedhof),1,u-bahn,['E']
23,19,Friedrichsfelde (Tierpark),1,u-bahn,['E']
24,20,Köpenickerstrasse Ecke Adalbertstrasse,1,Omnibus,['1']
25,21,"Alexanderplatz, Grunerstrasse",1,Omnibus,['1']
26,22,Ostbahnhof,3,strassenbahn,"['82', '1']"
27,22,Ostbahnhof,3,Omnibus,['O 40']
28,23,Breslauerstrasse Ecke Andreasstrasse,1,strassenbahn,['1']
29,24,U-Bhf. Strausberger Platz,1,strassenbahn,['1']
30,25,Leninplatz,6,strassenbahn,"['1', '63', '69', '64']"
31,25,Leninplatz,6,Omnibus,['O 40']
32,26,"Alexanderplatz, Memhardstrasse",4,strassenbahn,"['22', '1', '11']"
33,27,Brunnenstrasse Ecke Invalidenstrasse,2,strassenbahn,"['1', '11']"
34,28,Oranienburger Tor,9,strassenbahn,"['1', '46', '70', '11', '69']"
35,28,Oranienburger Tor,9,Omnibus,['O 40']
36,28,Oranienburger Tor,9,Autobus,"['A 9', 'A 59']"
37,29,Hannoversche Strasse,1,strassenbahn,['1']
38,30,S-Bhf. Warschauer Strasse,3,strassenbahn,"['3', '4']"
39,31,Holteistrasse Ecke Boshagener Strasse,1,strassenbahn,['3']
40,32,U- u. S-Bhf. Frankfurter Allee,1,strassenbahn,['3']
41,33,Roederplatz,3,strassenbahn,"['69', '3']"
42,33,Roederplatz,3,Omnibus,['O 30']
43,34,Hohenschönhaser Strasse,1,strassenbahn,['3']
44,35,Omnibus-Bf. Lichtenberger Strasse,1,strassenbahn,['3']
45,36,Klement-Gottwald-Allee,1,strassenbahn,['3']
46,37,Antonplatz,5,strassenbahn,"['70', '72', '74', '3']"
