line_name,type,east-west,Stops,Frequency_7-30,Length (time),direction,Length (km),year
A 1P,Autobus,east,"Adalbertstrasse - S-Bhf. Jannowitzbrücke - Alexanderplatz, Grunerstrasse",10,6,both,,1964
A 22,Autobus,east,"Hessenwinkel, Lindenstrasse - Fahlenbergstrasse Ecke Fürstenwalder Allee - S-Bhf. Wilhelmshagen - Zentralschule - Waldschänke - S-Bhf. Rahnsdorf - Fichtenau, Stadtgrenze",20,27,,8.5,1964
A 22,Autobus,east,"Hessenwinkel, Lindenstrasse - Fahlenbergstrasse Ecke Fürstenwalder Allee - S-Bhf. Wilhelmshagen - Zentralschule - Waldschänke - S-Bhf. Rahnsdorf - Fichtenau, Stadtgrenze",20,27,,8.5,1964
A 23,Autobus,east,"Falkenhöhe - S-Bhf. Altglienicke - Normannenstrasse - Wolfmarsteig - Schönefelder Chaussee - Altglienicke, Kirche ",20,20,,3.5,1964
A 26,Autobus,east,VEB Bautransporte - Bhf. Schöneweide,15,5,,2,1964
A 27,Autobus,east,"S-Bhf. Kaulsdorf, Planitzstrasse - Chemnitzer Strasse Ecke Alt-Kaulsdorf - Ulmenstrasse - Wongrowitzer Strasse - S-Bhf. Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Köpenick, Krankenhaus - Müggelseeperle - Müggelheim",10,43,,16,1964
A 36,Autobus,east,"Zentralflughafen - Schönefeld, Kirche - Gartenstrasse - S-Bhf. Grünbergallee - Bohnsdorf, Kirche - Gartenstadtweg - S-Bhf. Grünau",20,21,,10.6,1964
A 39,Autobus,east,"Wartenberg, Siedlung - Wartenberg, Dorfstrasse - Falkenberger Chaussee - Kolonie ""Land in Sonne"" - Hohenschönhausen, Falkenberger Strasse",15,13,,4.2,1964
A 42,Autobus,east,"Buch, Kiesgruben - Karower Strasse, Alt-Buch - Strasse 78 - Alt-Karow - Güteraußenring - Blankenburg, Bahnhofstrasse - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Promenade (Spitze)",10,31,,12.1,1964
A 43,Autobus,east,"Bürknersfelde - Marzahn, Berliner Chaussee - Güterbahnhof Springpfuhl - S-Bhf. Friedrichsfelde-Ost - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde - Weitlingstrasse - S-Bhf. Nöldnerplatz",20,23,,2.4,1964
A 44,Autobus,east,"Hönow, Dorfstrasse - Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf",13,13,,4.3,1964
A 44E,Autobus,east,Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf,10,7,,20.4,1964
A 45,Autobus,east,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelweißstrasse - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - Prenzlauer Promenade Ecke Kissingenstrasse - Am Steinberg - Hamburger Platz - Pistoriusstrasse Ecke Klement-Gottwald-Allee - Lichtenberger Strasse Ecke Klement-Gottwald-Allee - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Weißensee, Schwarzelfenweg",15,38,,13.3,1964
A 46,Autobus,east,"Ahrensfeld, Kirche - LPG Falkenberg - Strasse nach Wartenberg - Malchower Weg - Buschallee Ecke Klement-Gottwald-Alle - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Feldtmannstrasse - Malchow, Dorfstrasse",15,30,,10.8,1964
A 47,Autobus,east,"Bhf. Schöneweide - Sterndamm - Johannisthaler Chaussee - Baumschulenstrasse  Ecke Südostallee - S-Bhf. Baumschulenweg - Eichbuschallee - Treptow, Rathaus - S-Bhf. Treptower Park",10,26,,9.3,1964
A 48,Autobus,east,Bhf. Schöneweide - Königsheideweg - Lindhorstweg - Stubenrauchstrasse - Lindhorstweg - Königsheideweg - Bhf. Schöneweide,5,17,,,1964
A 49,Autobus,east,"Kaulsdorf, Bausdorfstrasse - Ridbacher Strasse - Grottkauer Strasse - Uckermarkstrasse - Kaulsdorf, Bausdorfstrasse",20,14,,5.4,1964
A 54,Autobus,east,Storkowerstrasse Ecke Greifswalderstrasse - S-Bhf. Lenninallee - Dimitroffstrasse Ecke Leninallee,10,7,,4.2,1964
A 55,Autobus,east,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelweißstrasse - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - Prenzlauer Promenade Ecke Granitzstrasse - Heinersdorf, Kirche - Am Steinberg - Hamburger Platz - Gustav-Adolf-Strasse Ecke Rennbahnstrasse - Große Seestrasse Ecke Klement-Gottwald-Allee - Weißensee, Liebermannstrasse Ecke Piesporter Strasse ",16,39,,11.4,1964
A 56,Autobus,east,"Weißensee, Nüßlerstrasse - Rennbahnstrasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Prenzlauer Promenade - Wicherstrasse Ecke Prenzlauer Allee",15,13,,4.2,1964
A 57,Autobus,east,Kniprodestrasse Ecke Ermländische Strasse - Dimitroffstrasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse - Bhf. Friedrichstrasse - Schumannstrasse - Robert-Koch-Platz,7,24,,6.5,1964
A 58,Autobus,east,"Fontanestrasse - Wilhelmsruh, Hauptstrasee - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow -  U-Bhf. Pankow",16,18,,,1964
A 59,Autobus,east,Walther-Ulbricht-Stadion - Invalidenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Französische Strasse - U-Bhf. Stadtmitte - U-Bhf. Thälmannplatz,7,12,,,1964
A 7,Autobus,east,"Glienicke, Kirche - Elsässer Strasse - Schildow, Kirche - Blankenfelde, Hauptstrasse - Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - U-Bhf. Vinetastrasse",12,34,,14.7,1964
A 7E,Autobus,east,"Schildow, Kirche - Blankenfelde, Hauptstrasse - Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - U-Bhf. Vinetastrasse",11,23,,9.9,1964
A 8,Autobus,east,"Waldesruh, Malhlsdorfer Allee - Fichtestrasse Ecke Schopenhauerstrasse - Hultschiner Damm - Sadowastrasse - Chemnitzer Ecke Ulmenstrasse - Alt-Biesdorf, Oberfeldstrasse - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde",10,33,,13.2,1964
A 8E,Autobus,east,"Sadowastrasse - Chemnitzer Ecke Ulmenstrasse - Alt-Biesdorf, Oberfeldstrasse - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde",10,21,,8.3,1964
A 9,Autobus,east,Kurische Strasse - Dimitroffstrasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse - Bhf. Friedrichstrasse - Oranienburger Tor - Platz vor dem Neuen Tor - Scharnhorststrasse Ecke Kieler Strasse,7,27,,7.3,1964
A D,Autobus,east,"Diepensee - Kienberg - Waltersdorf - Bohnsdorf, Waldstrasse - S-Bhf. Grünau",10,24,,10.6,1964
A S,Autobus,east,"Zühlsdorf - Summt, Seegarten - Triftweg, LPG - Mühlenbeck, Schule - Mönchmühle - Schildow, Kirche",50,25,,12.4,1964
A 38,Autobus,east,"Bonsdorf, Waldstrasse - Eichbuschplatz - Joachimstrasse - S-Bhf. Grünau",150,13,,6.7,1964
A L,Autobus,east,"Neu-Lindenberg - Lindenberg - Malchow, Dorfstrasse",32,15,,5.9,1964
A Z,Autobus,east,"Groß Ziethen - Klein Ziethen - Waßmannsdorf, Warteh. - Schönefeld, Kirche - Bhf. Schönefeld",20,24,,17.2,1964
A 82P,Autobus,east,Kinderheim - Friedrich-Junge-Strasse - Markgrafendamm,20,5,,1.2,1964
