stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
1,4. Ring,bus,A53,"52.42250630689789, 13.2869490566549",nan,1,A53,4. Ring
2,Adalbertstrasse,bus,A1P,"52.50548699996121, 13.42221404498021",,,,
3,Adamstrasse,bus,"A34,A35","52.521029117218866, 13.19780699419913",nan,2,"A34,A35",Adamstrasse Ecke Pichelsdorfer Strasse
4,Adlershof,s-bahn,"KBS 106a,KBS 103,KBS 103a","52.434722222222,13.541388888889",Q323551,3,"KBS 103,KBS 100a,KBS 106",Berlin-Adlershof station
5,Adolf-Scheidt-Platz,strassenbahn,96,"52.478194856980814, 13.37836902238447",nan,4,96,Adolf-Scheidt-Platz
6,Afrikanische Str.,u-bahn,C I,"52.560027777778,13.334633333333",Q559239,5,C I,Afrikanische Straße
7,"Ahrensfeld, Kirche",bus,A46,"52.57532170199278, 13.576515606968998",nan,7,A46,"Ahrensfeld, Kirche"
8,Alboinstrasse Ecke Prellerweg,bus,A68,"52.45573169907433, 13.369923338330747",,,,
9,Albrechtshof,s-bahn,KBS 103,"52.5494,13.1283",Q800470,10,KBS 103,Berlin Albrechtshof station
10,Alexanderplatz,s-bahn,"KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104","52.521388888889,13.411944444444",Q111324700,11,"KBS 101,KBS 103,KBS 102",S-Bahnhof Berlin Alexanderplatz
11,Alexanderplatz,u-bahn,"A,E","52.5214,13.4119",Q17173458,12,"A,E",Alexanderplatz u-bahn station
12,"Alexanderplatz, Grunerstrasse",bus,A1P,"52.52008326268696, 13.41408418961877",,,,
13,"Alexanderplatz, Grunerstrasse",strassenbahn,71,"52.52008326268696, 13.41408418961877",nan,14,71,"Alexanderplatz, Grunerstrasse"
14,"Alexanderplatz, Leninallee",strassenbahn,64,"52.522103158947594, 13.416511130432587",nan,15,64,nan
15,"Alexanderplatz, Memhardstr.",strassenbahn,1,"52.5233439,13.4110773",Q65227406,16+ 17,"1+ 63,11,72,74E,22,74",nan+ Memhardstraße
16,"Alexanderplatz, Memhardstrasse",strassenbahn,"11,72,74E,82,22,74,63,69","52.5233439,13.4110773",Q65227406,,,
17,"Alexanderplatz, Neue Königstrasse",bus,O30,"52.52004899287185, 13.414018555056696",,,,
18,Alexandrinenstrasse Ecke Neuenburgerstrasse,bus,A24,"52.49949226647086, 13.400403454687233",,,,
19,Almutstrasse Ecke Berliner Strasse,bus,A12,"52.61486318631112, 13.31700949454557",,,,
20,"Alt-Biesdorf, Oberfeldstrasse",bus,"O37,A8,A8E","52.50918606891929, 13.553347058493491",nan+ nan,18+ 19,"O37+ A8,A8E","nan+ Alt-Biesdorf, Oberfeldstrasse"
21,Alt-Buckow Ecke Buckower Damm,bus,A91,"52.42365120067525, 13.436635949176258",,,,
22,Alt-Friedrichsfelde,strassenbahn,69E,"52.50914093654053, 13.518129930582422",,,,
23,Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,"69,69E","52.50914093654053, 13.518129930582422",nan,21,69,nan
24,"Alt-Friedrichsfelde, Am Tierpark",bus,"A43,O37,A8,A8E","52.5097025850849, 13.518832511815527",,,,
25,Alt-Heiligensee,bus,"A14,A13","52.60616921042186, 13.210646859320935",nan,23,"A14,A13",Alt-Heiligensee
26,Alt-Karow,bus,A42,"52.60931228539711, 13.481265848599735",,,,
27,Alt-Kladow,bus,"A34,A35","52.454591413254434, 13.144488043956764",nan,24,"A34,A35",Alt-Kladow
28,Alt-Kladow Ecke Kladower Damm,bus,A35E,"52.453456955410275, 13.143930501157236",,,,
29,"Alt-Lankwitz, Dorfaue",bus,A81,"52.43908382575332, 13.354417745001864",,,,
