,stop_id,stop_name,type,location,in_lines,identifier,stop_description
0,19640,4. Ring,bus,"52.42250630689789, 13.2869490566549",A53,nan,4. Ring
1,19641,Adalbertstrasse,bus,"52.50548699996121, 13.42221404498021",A1P,nan,nan
2,19642,Adamstrasse,bus,"52.521029117218866, 13.19780699419913","A34,A35",nan,Adamstrasse Ecke Pichelsdorfer Strasse
3,19643,Adlershof,s-bahn,"52.434722222222,13.541388888889","KBS 106a,KBS 103,KBS 103a",Q323551,Berlin-Adlershof station
4,19644,Adolf-Scheidt-Platz,strassenbahn,"52.478194856980814, 13.37836902238447",96,nan,Adolf-Scheidt-Platz
5,19645,Afrikanische Str.,u-bahn,"52.560027777778,13.334633333333",C I,Q559239,Afrikanische Straße
6,19646,"Ahrensfeld, Kirche",bus,"52.57532170199278, 13.576515606968998",A46,nan,"Ahrensfeld, Kirche"
7,19647,Alboinstrasse Ecke Prellerweg,bus,"52.45573169907433, 13.369923338330747",A68,nan,nan
8,19648,Albrechtshof,s-bahn,"52.5494,13.1283",KBS 103,Q800470,Berlin Albrechtshof station
9,19649,Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104",Q111324700,S-Bahnhof Berlin Alexanderplatz
10,196410,Alexanderplatz,u-bahn,"52.5214,13.4119","A,E",Q17173458,Alexanderplatz u-bahn station
11,196411,"Alexanderplatz, Grunerstrasse",bus,"52.52008326268696, 13.41408418961877",A1P,nan,nan
12,196412,"Alexanderplatz, Grunerstrasse",strassenbahn,"52.52008326268696, 13.41408418961877",71,nan,"Alexanderplatz, Grunerstrasse"
13,196413,"Alexanderplatz, Leninallee",strassenbahn,"52.522103158947594, 13.416511130432587",64,nan,nan
14,196414,"Alexanderplatz, Memhardstr.",strassenbahn,"52.5233439,13.4110773",1,Q65227406,nan+ Memhardstraße
15,196415,"Alexanderplatz, Memhardstrasse",strassenbahn,"52.5233439,13.4110773","11,72,74E,82,22,74,63,69",Q65227406,nan
